date,open,high,low,close,klgdkl
2010-01-04,54.0,54.5,52.5,54.5,153010.0
2010-01-05,57.0,57.0,52.0,56.0,85700.0
2010-01-06,55.5,56.5,54.5,55.0,139130.0
2010-01-07,57.5,57.5,57.0,57.5,324660.0
2010-01-08,60.0,60.0,56.0,56.0,349060.0
2010-01-11,57.5,58.5,55.5,57.5,124510.0
2010-01-12,58.5,58.5,56.5,56.5,179960.0
2010-01-13,54.5,57.0,54.0,56.5,160750.0
2010-01-14,58.0,58.0,56.5,56.5,168720.0
2010-01-15,54.5,59.0,54.5,58.0,547570.0
2010-01-18,56.5,58.0,56.0,57.0,279130.0
2010-01-19,57.0,59.5,57.0,59.5,355460.0
2010-01-20,58.0,59.0,57.0,58.5,315210.0
2010-01-21,57.0,58.0,56.5,57.5,370540.0
2010-01-22,55.5,57.5,55.5,57.5,144500.0
2010-01-25,57.5,57.5,57.0,57.5,172560.0
2010-01-26,57.0,60.0,57.0,60.0,303990.0
2010-01-27,57.5,60.0,57.5,59.5,91380.0
2010-01-28,58.0,58.5,57.5,58.5,80240.0
2010-01-29,58.5,59.0,57.5,59.0,60360.0
2010-02-01,59.0,59.0,57.5,59.0,50450.0
2010-02-02,59.0,59.5,58.0,58.0,33950.0
2010-02-03,58.5,58.5,57.5,58.0,22010.0
2010-02-04,58.0,58.0,56.5,58.0,54920.0
2010-02-05,56.5,57.5,56.0,56.0,50160.0
2010-02-08,56.0,56.5,56.0,56.0,1760.0
2010-02-09,54.5,55.5,53.5,54.5,43600.0
2010-02-10,55.0,55.0,54.5,55.0,29690.0
2010-02-11,55.5,55.5,55.0,55.0,17240.0
2010-02-12,56.0,57.0,55.5,56.0,18410.0
2010-02-22,57.0,57.0,55.0,55.0,48920.0
2010-02-23,55.0,55.0,53.0,53.0,41110.0
2010-02-24,52.5,54.0,52.0,52.0,19220.0
2010-02-25,52.5,53.5,52.0,53.5,44990.0
2010-02-26,53.5,53.5,52.0,53.0,4050.0
2010-03-01,54.0,54.5,53.5,54.0,19580.0
2010-03-02,54.5,55.0,53.5,55.0,23060.0
2010-03-03,55.5,56.0,55.0,56.0,21120.0
2010-03-04,56.0,57.0,56.0,56.0,35820.0
2010-03-05,56.0,56.5,55.0,56.5,35960.0
2010-03-08,57.0,57.5,56.5,56.5,41520.0
2010-03-09,56.5,59.0,56.5,59.0,129680.0
2010-03-10,59.0,59.5,58.0,59.0,78350.0
2010-03-11,59.0,59.0,57.0,57.0,12910.0
2010-03-12,57.0,57.0,56.5,57.0,35400.0
2010-03-15,59.0,59.0,58.0,58.0,71220.0
2010-03-16,57.0,58.0,56.5,57.0,51900.0
2010-03-17,57.0,57.0,56.0,56.0,39640.0
2010-03-18,57.5,57.5,56.0,57.0,12970.0
2010-03-19,56.0,56.0,56.0,56.0,19700.0
2010-03-22,56.0,56.0,54.5,54.5,52440.0
2010-03-23,54.0,54.0,53.5,54.0,29750.0
2010-03-24,54.0,55.0,54.0,55.0,42920.0
2010-03-25,54.0,55.0,53.5,54.0,16670.0
2010-03-26,54.5,54.5,53.5,54.0,34590.0
2010-03-29,54.0,54.0,54.0,54.0,17630.0
2010-03-30,54.5,54.5,53.0,54.0,32500.0
2010-03-31,54.0,54.0,53.0,54.0,11670.0
2010-04-01,52.0,54.5,52.0,54.5,12470.0
2010-04-02,54.5,55.0,54.5,54.5,14900.0
2010-04-05,55.0,55.0,54.0,54.5,61050.0
2010-04-06,55.5,55.5,54.5,54.5,58510.0
2010-04-07,55.0,55.0,54.0,54.5,22310.0
2010-04-08,54.0,55.5,54.0,54.0,54080.0
2010-04-09,55.0,55.5,54.5,54.5,16800.0
2010-04-12,55.0,55.0,54.5,55.0,56250.0
2010-04-13,55.0,55.0,55.0,55.0,36920.0
2010-04-14,55.0,55.0,54.5,55.0,37730.0
2010-04-15,54.5,55.0,54.5,55.0,22730.0
2010-04-16,56.0,56.0,54.5,54.5,14520.0
2010-04-19,54.5,54.5,54.0,54.5,52410.0
2010-04-20,54.5,55.0,54.5,54.5,23020.0
2010-04-21,55.0,55.5,55.0,55.0,22060.0
2010-04-22,55.5,56.5,55.0,55.0,44080.0
2010-04-26,56.5,57.5,55.5,57.0,97260.0
2010-04-27,56.5,57.0,56.0,56.5,49000.0
2010-04-28,56.0,56.0,55.5,56.0,37270.0
2010-04-29,56.5,56.5,56.0,56.0,67810.0
2010-05-04,57.0,57.5,56.0,56.0,70320.0
2010-05-05,56.5,58.5,56.0,58.5,279010.0
2010-05-06,60.0,60.5,58.5,59.0,80170.0
2010-05-07,58.5,58.5,56.5,58.0,104490.0
2010-05-10,57.0,57.0,55.5,55.5,88840.0
2010-05-11,57.5,57.5,55.5,57.0,35980.0
2010-05-12,55.0,56.5,54.5,55.0,59140.0
2010-05-13,55.0,55.5,54.0,54.0,28040.0
2010-05-14,55.5,56.0,54.0,56.0,66890.0
