date,open,high,low,close,klgdkl
2010-01-04,28.7,29.0,28.7,29.0,49360.0
2010-01-05,30.4,30.4,29.0,29.0,37950.0
2010-01-06,29.0,29.5,28.5,29.0,37590.0
2010-01-07,29.8,30.4,29.0,30.4,219160.0
2010-01-08,31.9,31.9,30.0,30.0,286600.0
2010-01-11,31.0,31.0,30.0,30.6,26010.0
2010-01-12,30.0,30.6,29.2,29.2,24300.0
2010-01-13,27.8,29.0,27.8,28.9,64400.0
2010-01-14,29.4,29.4,28.0,28.0,20090.0
2010-01-15,28.0,28.0,26.7,27.0,30880.0
2010-01-18,27.0,27.0,25.7,25.7,62870.0
2010-01-19,26.6,26.9,26.4,26.9,46080.0
2010-01-20,27.9,27.9,26.5,27.0,55130.0
2010-01-21,27.0,27.0,25.7,25.8,41170.0
2010-01-22,24.9,26.1,24.6,25.9,23630.0
2010-01-25,25.9,26.8,25.2,26.8,6840.0
2010-01-26,26.8,28.1,26.8,28.1,25940.0
2010-01-27,28.0,28.0,27.2,27.2,24760.0
2010-01-28,27.1,27.1,26.4,27.0,19990.0
2010-01-29,27.6,27.6,27.0,27.2,51610.0
2010-02-01,27.5,27.6,27.2,27.6,14570.0
2010-02-02,28.0,28.2,27.6,28.2,42400.0
2010-02-03,28.2,29.0,28.2,29.0,47680.0
2010-02-04,28.9,29.3,28.8,29.2,19430.0
2010-02-05,28.2,29.0,28.2,28.5,23140.0
2010-02-08,28.1,28.4,27.8,28.4,16510.0
2010-02-09,28.4,28.4,27.0,27.0,69650.0
2010-02-10,28.3,28.3,26.6,27.0,66610.0
2010-02-11,27.0,28.2,27.0,28.1,24080.0
2010-02-12,29.1,29.1,28.9,29.0,20040.0
2010-02-22,30.4,30.4,30.0,30.4,97520.0
2010-02-23,30.8,31.6,30.4,31.0,111270.0
2010-02-24,31.0,31.5,30.6,31.3,35960.0
2010-02-25,30.4,31.2,29.8,29.8,183380.0
2010-02-26,29.8,30.4,29.2,29.9,15130.0
