date,open,high,low,close,klgdkl
2010-01-07,30.0,30.0,30.0,30.0,120100.0
2010-01-08,31.5,31.5,31.4,31.5,192490.0
2010-01-11,32.0,32.0,31.5,31.5,25700.0
2010-01-12,31.5,31.5,30.0,30.0,13450.0
2010-01-13,28.5,29.5,28.5,29.0,59970.0
2010-01-14,29.0,29.9,28.5,29.5,21200.0
2010-01-15,28.3,29.5,28.1,29.5,26880.0
2010-01-18,28.2,28.5,28.1,28.1,17110.0
2010-01-19,26.7,29.0,26.7,29.0,22180.0
2010-01-20,29.0,29.0,28.0,28.0,5500.0
2010-01-21,26.6,26.6,26.6,26.6,23450.0
2010-01-22,25.3,27.5,25.3,27.0,14030.0
2010-01-25,28.0,28.0,27.0,27.0,2560.0
2010-01-26,28.2,28.2,28.0,28.0,2050.0
2010-01-27,29.0,29.0,27.8,27.8,550.0
2010-01-28,27.0,27.9,26.5,27.0,23160.0
2010-01-29,26.1,27.8,26.1,27.1,2810.0
2010-02-01,26.2,27.2,26.1,27.1,7720.0
2010-02-02,27.9,27.9,26.0,26.0,29810.0
2010-02-03,26.0,26.9,26.0,26.0,34020.0
2010-02-04,26.2,27.3,25.5,27.3,22560.0
2010-02-05,27.1,27.3,27.1,27.3,2540.0
2010-02-08,26.9,27.0,26.9,27.0,4530.0
2010-02-09,26.5,27.5,26.0,26.9,6980.0
2010-02-10,26.8,27.0,26.8,26.9,2660.0
2010-02-11,28.1,28.1,27.0,27.0,2500.0
2010-02-12,28.0,28.3,27.0,28.2,5210.0
2010-02-22,26.8,26.8,26.8,26.8,50.0
2010-02-23,26.8,27.5,26.8,27.5,3310.0
2010-02-24,26.2,27.5,26.2,27.5,48820.0
2010-02-25,27.0,28.0,27.0,28.0,4130.0
2010-02-26,28.0,28.0,28.0,28.0,8000.0
2010-03-01,28.5,28.5,28.5,28.5,20.0
2010-03-02,29.4,29.4,28.0,28.0,410.0
2010-03-03,27.0,28.0,26.6,28.0,5270.0
2010-03-04,28.0,28.9,27.9,28.0,9450.0
2010-03-05,28.5,29.0,28.0,29.0,50440.0
2010-03-08,28.0,29.4,28.0,29.2,30300.0
2010-03-09,29.4,29.8,27.8,29.8,49980.0
2010-03-10,29.8,30.0,29.0,29.0,29010.0
2010-03-11,30.4,30.4,30.0,30.2,37620.0
2010-03-12,30.5,31.4,30.2,31.4,47640.0
2010-03-15,31.5,31.5,29.9,30.0,18450.0
2010-03-16,28.7,30.0,28.7,29.5,2730.0
2010-03-17,29.0,29.5,28.5,29.5,29140.0
2010-03-18,29.2,30.3,29.0,30.3,10970.0
2010-03-19,30.8,30.8,29.3,29.3,10680.0
2010-03-22,30.4,30.4,29.0,29.3,13080.0
2010-03-23,30.2,30.2,29.0,29.3,13240.0
2010-03-24,29.5,30.0,29.5,30.0,3030.0
2010-03-25,28.6,30.3,28.5,30.3,21660.0
2010-03-26,30.3,30.3,30.3,30.3,10.0
2010-03-29,30.0,30.3,29.5,30.3,42950.0
2010-03-30,30.4,30.4,30.0,30.3,19500.0
2010-03-31,30.5,30.5,30.5,30.5,40.0
2010-04-01,30.5,30.5,30.5,30.5,0.0
2010-04-02,30.8,30.8,30.8,30.8,10.0
2010-04-05,30.8,30.8,30.8,30.8,0.0
2010-04-06,30.8,30.8,30.8,30.8,30.0
2010-04-07,29.3,29.5,29.3,29.5,1030.0
2010-04-08,30.0,30.0,30.0,30.0,10.0
2010-04-09,30.2,30.2,28.5,30.0,3060.0
2010-04-12,30.0,30.0,30.0,30.0,10.0
2010-04-13,30.0,30.0,28.5,28.5,13730.0
2010-04-14,27.3,28.5,27.3,28.5,4270.0
2010-04-15,28.5,29.0,28.5,28.5,1030.0
2010-04-16,27.2,28.9,27.2,28.9,3620.0
2010-04-19,28.9,28.9,28.9,28.9,0.0
2010-04-20,28.9,28.9,28.9,28.9,1000.0
2010-04-21,27.7,28.5,27.7,28.5,3320.0
2010-04-22,28.7,28.7,27.6,27.6,6100.0
2010-04-26,28.4,28.4,27.2,28.4,1150.0
2010-04-27,27.6,28.3,27.6,28.3,1200.0
2010-04-28,28.1,28.4,28.1,28.4,1000.0
2010-04-29,28.0,28.4,28.0,28.4,580.0
2010-05-04,28.0,28.0,28.0,28.0,2590.0
2010-05-05,28.0,28.5,27.2,28.3,11670.0
2010-05-06,29.4,29.4,28.9,29.0,15330.0
2010-05-07,29.0,29.0,27.6,28.5,16670.0
2010-05-10,28.7,28.7,27.3,27.3,510.0
2010-05-11,27.3,27.3,27.3,27.3,10.0
2010-05-12,26.9,26.9,26.0,26.0,3210.0
2010-05-13,27.2,27.3,25.5,25.5,4050.0
2010-05-14,26.7,26.7,25.2,25.2,4010.0
2010-05-17,25.2,26.4,25.2,25.3,10680.0
2010-05-18,26.0,26.5,26.0,26.5,3230.0
2010-05-19,27.1,27.1,26.5,26.5,4220.0
2010-05-20,26.0,27.8,26.0,27.8,10980.0
2010-05-21,26.5,27.9,26.5,26.8,8100.0
2010-05-24,27.3,28.1,27.1,27.1,2660.0
2010-05-25,27.1,27.1,27.0,27.1,530.0
2010-05-26,26.0,28.0,26.0,28.0,1170.0
2010-05-27,27.8,27.8,27.0,27.0,1140.0
2010-05-28,27.5,28.2,26.1,27.9,2250.0
2010-05-31,27.0,28.2,27.0,28.0,61190.0
2010-06-01,28.3,28.4,27.1,28.2,77310.0
2010-06-02,28.3,28.6,28.0,28.3,93990.0
2010-06-03,29.4,29.7,29.3,29.7,83140.0
2010-06-04,31.1,31.1,28.6,28.8,134930.0
2010-06-07,27.4,30.2,27.4,29.0,38550.0
2010-06-08,28.2,29.0,28.0,29.0,24040.0
2010-06-09,29.0,30.4,29.0,30.2,49690.0
2010-06-10,30.0,30.0,29.3,29.7,27210.0
2010-06-11,30.5,30.5,29.2,29.5,45320.0
2010-06-14,28.1,30.9,28.1,30.9,73440.0
2010-06-15,29.4,30.0,29.4,29.4,26860.0
2010-06-16,29.4,29.4,28.0,29.3,27240.0
2010-06-17,28.3,29.5,28.3,29.5,1360.0
2010-06-18,29.0,29.6,28.5,29.6,6710.0
2010-06-21,28.7,28.7,28.7,28.7,6120.0
2010-06-22,28.5,28.5,28.2,28.3,12160.0
2010-06-23,29.2,29.2,28.0,29.0,44060.0
2010-06-24,29.5,30.4,28.7,30.4,96300.0
2010-06-25,31.9,31.9,31.9,31.9,126760.0
2010-06-28,33.4,33.4,33.4,33.4,45340.0
2010-06-29,33.4,35.0,33.4,35.0,590.0
2010-06-30,36.7,36.7,36.4,36.7,160240.0
2010-07-01,36.7,38.5,36.0,38.5,143340.0
2010-07-02,40.4,40.4,40.0,40.4,150270.0
2010-07-05,41.0,42.3,39.0,40.0,139240.0
2010-07-06,38.7,39.0,38.3,38.3,78970.0
2010-07-07,40.2,40.2,38.0,38.5,118830.0
2010-07-08,38.5,40.4,38.5,40.4,128570.0
2010-07-09,42.4,42.4,42.4,42.4,87320.0
2010-07-12,40.3,40.5,40.3,40.5,216150.0
2010-07-13,40.9,40.9,38.9,39.1,154270.0
2010-07-14,40.3,40.4,39.6,40.0,158210.0
2010-07-15,40.0,40.3,39.2,39.9,83080.0
2010-07-16,39.0,39.7,38.6,39.0,83350.0
2010-07-19,37.6,37.6,37.1,37.1,44180.0
2010-07-20,36.0,36.0,35.3,35.3,99320.0
2010-07-21,35.9,37.0,34.6,37.0,231970.0
2010-07-22,38.0,38.0,36.9,37.0,50650.0
2010-07-23,37.9,37.9,36.5,37.0,91160.0
2010-07-26,36.7,37.0,35.2,35.2,117530.0
2010-07-27,35.2,35.2,33.5,33.5,119510.0
2010-07-28,32.1,34.0,31.9,31.9,51540.0
2010-07-29,33.0,33.0,31.0,32.5,21410.0
2010-07-30,33.8,33.8,31.0,31.0,15080.0
2010-08-02,31.0,31.0,30.0,30.0,31000.0
2010-08-03,31.0,31.0,30.0,30.0,15150.0
2010-08-04,29.6,30.5,29.6,29.7,27450.0
2010-08-05,30.6,30.6,28.8,29.6,61250.0
2010-08-06,30.5,30.5,29.6,29.6,23310.0
2010-08-09,29.6,30.0,29.4,29.4,106380.0
2010-08-10,29.0,29.2,28.0,28.7,72550.0
2010-08-11,29.8,29.8,28.5,29.0,5260.0
2010-08-12,28.5,28.5,27.6,27.6,138660.0
2010-08-13,27.0,28.9,27.0,28.9,90580.0
2010-08-16,30.0,30.3,29.0,30.3,42480.0
2010-08-17,30.5,30.5,29.0,30.0,37140.0
2010-08-18,30.0,30.0,28.5,28.5,32740.0
2010-08-19,29.1,29.1,28.0,28.5,32820.0
2010-08-20,27.5,29.9,27.1,29.9,33320.0
2010-08-23,29.0,29.0,28.5,28.5,11920.0
2010-08-24,27.5,28.8,27.1,28.5,35750.0
2010-08-25,27.2,28.3,27.1,28.3,38800.0
2010-08-26,29.2,29.2,27.5,28.5,67050.0
2010-08-27,27.4,28.2,27.4,28.2,9980.0
2010-08-30,28.8,29.4,28.5,28.6,9990.0
2010-08-31,28.0,29.0,28.0,28.1,7490.0
2010-09-01,28.1,28.2,28.1,28.1,31550.0
2010-09-06,29.4,29.5,29.4,29.5,20670.0
2010-09-07,30.9,30.9,29.7,30.9,61640.0
2010-09-08,31.0,32.4,30.9,32.4,46950.0
2010-09-09,34.0,34.0,32.0,32.7,87330.0
2010-09-10,32.0,32.3,31.1,31.1,113360.0
2010-09-13,30.8,31.0,29.6,29.9,69480.0
2010-09-14,30.2,30.8,29.7,30.8,79320.0
2010-09-15,30.7,30.8,30.0,30.7,76210.0
2010-09-16,31.9,32.2,30.8,32.0,88420.0
2010-09-17,32.0,33.5,32.0,33.5,64800.0
2010-09-20,34.0,34.0,33.0,33.0,95360.0
2010-09-21,32.0,32.5,31.4,31.4,102540.0
2010-09-22,32.2,32.2,31.0,32.2,73890.0
2010-09-23,33.0,33.0,30.6,31.0,114020.0
2010-09-24,29.5,31.7,29.5,29.7,53990.0
2010-09-27,29.8,30.5,29.8,29.8,23000.0
2010-09-28,30.8,30.9,29.8,30.0,18800.0
2010-09-29,30.9,30.9,29.5,29.5,39370.0
