date,open,high,low,close,klgdkl
2010-01-04,33.2,34.8,33.2,34.8,75340.0
2010-01-05,34.8,36.0,34.2,34.5,99180.0
2010-01-06,34.3,34.7,34.0,34.6,116810.0
2010-01-07,36.3,36.3,36.3,36.3,42660.0
2010-01-08,38.1,38.1,38.1,38.1,56480.0
2010-01-11,39.9,39.9,36.8,38.1,222450.0
2010-01-12,37.0,37.2,36.2,36.2,62010.0
2010-01-13,35.0,35.9,34.5,35.9,66750.0
2010-01-14,35.9,36.8,35.9,36.0,49930.0
2010-01-15,35.0,36.0,35.0,35.3,68560.0
2010-01-18,34.2,35.0,34.1,34.3,101070.0
2010-01-19,33.1,35.8,33.1,35.3,44140.0
2010-01-20,35.8,36.0,34.5,35.0,119830.0
2010-01-21,35.0,35.0,34.0,34.0,31510.0
2010-01-22,34.0,35.0,32.3,34.0,115390.0
2010-01-25,33.1,34.3,33.0,34.0,39690.0
2010-01-26,34.0,35.2,34.0,35.0,50690.0
2010-01-27,35.0,35.0,33.1,34.0,38220.0
2010-01-28,34.9,34.9,32.8,32.8,21650.0
2010-01-29,33.0,34.0,31.5,34.0,29550.0
2010-02-01,33.3,34.2,33.3,33.3,96870.0
2010-02-02,33.0,33.3,32.5,33.0,16380.0
2010-02-03,33.4,33.5,33.4,33.4,7560.0
2010-02-04,33.9,34.0,33.3,34.0,52600.0
2010-02-05,34.1,34.1,33.0,33.8,18700.0
2010-02-08,33.0,33.0,32.5,33.0,12590.0
2010-02-09,32.5,32.8,32.5,32.5,26280.0
2010-02-10,32.5,33.9,31.2,33.7,11140.0
2010-02-11,33.7,34.2,33.0,33.5,50850.0
2010-02-12,35.1,35.1,34.0,34.5,150300.0
2010-02-22,34.9,34.9,34.5,34.5,2860.0
2010-02-23,34.3,34.4,33.0,33.5,79640.0
2010-02-24,32.5,33.7,32.5,33.1,51790.0
2010-02-25,33.1,34.0,33.1,33.9,84060.0
2010-02-26,34.6,34.6,34.0,34.6,28640.0
2010-03-01,34.0,34.9,34.0,34.9,33570.0
2010-03-02,34.9,34.9,34.1,34.1,20340.0
2010-03-03,34.0,34.5,34.0,34.4,60830.0
2010-03-04,34.9,34.9,34.4,34.4,59870.0
2010-03-05,34.4,34.8,34.4,34.7,58340.0
2010-03-08,35.0,35.0,34.8,35.0,41560.0
2010-03-09,34.6,36.5,34.6,36.0,108950.0
2010-03-10,36.0,36.0,35.5,35.6,36280.0
2010-03-11,35.8,35.8,35.1,35.4,30940.0
2010-03-12,35.1,35.5,35.1,35.3,87690.0
2010-03-15,34.9,35.3,34.6,35.3,57100.0
2010-03-16,35.0,35.2,35.0,35.0,17840.0
2010-03-17,34.6,35.6,34.6,34.9,58360.0
2010-03-18,35.7,35.7,35.0,35.2,49550.0
2010-03-19,35.2,35.5,35.0,35.0,17340.0
2010-03-22,34.9,35.1,34.9,35.0,30960.0
2010-03-23,35.0,35.2,34.5,34.5,36070.0
