date,open,high,low,close,klgdkl
2012-12-14,16.0,23.6,16.0,20.2,3270.0
2012-12-17,20.5,21.0,20.5,20.5,820.0
2012-12-18,21.5,21.5,20.0,20.5,1130.0
2012-12-19,20.5,20.5,20.5,20.5,100.0
2012-12-20,20.5,20.5,20.0,20.0,1080.0
2012-12-21,20.0,20.0,20.0,20.0,770.0
2012-12-24,19.2,20.5,19.2,20.5,1730.0
2012-12-25,21.0,21.5,21.0,21.5,20.0
2012-12-26,20.5,22.0,20.5,22.0,2900.0
2012-12-27,22.0,23.0,20.9,23.0,25020.0
2012-12-28,21.9,22.0,21.9,22.0,1060.0
2013-01-02,20.9,22.0,20.9,22.0,2540.0
2013-01-03,20.9,22.0,20.9,20.9,1660.0
2013-01-04,20.0,21.0,19.9,21.0,2430.0
2013-01-07,20.0,21.0,20.0,21.0,1570.0
2013-01-08,20.0,20.5,20.0,20.5,8680.0
2013-01-09,19.5,20.5,19.5,20.5,590.0
2013-01-10,19.5,20.5,19.5,20.5,380.0
2013-01-11,19.6,19.7,19.5,19.7,1120.0
2013-01-14,19.3,20.0,19.3,20.0,1100.0
2013-01-15,20.0,20.0,20.0,20.0,0.0
2013-01-16,18.6,20.0,18.6,20.0,550.0
2013-01-17,18.7,20.0,18.7,20.0,2100.0
2013-01-18,20.0,20.0,20.0,20.0,0.0
2013-01-21,20.0,20.0,20.0,20.0,0.0
2013-01-22,18.6,20.0,18.6,20.0,770.0
2013-01-23,19.0,20.0,18.6,18.6,880.0
2013-01-24,19.9,19.9,19.9,19.9,10.0
2013-01-25,19.9,20.0,19.9,20.0,2090.0
2013-01-28,20.0,20.0,20.0,20.0,0.0
2013-01-29,19.0,19.9,19.0,19.9,590.0
2013-01-30,19.9,19.9,19.9,19.9,10.0
2013-01-31,19.9,19.9,19.9,19.9,300.0
2013-02-01,19.9,19.9,19.9,19.9,400.0
2013-02-04,19.9,19.9,19.9,19.9,30.0
2013-02-05,19.9,19.9,19.9,19.9,30.0
2013-02-06,18.7,19.9,18.6,19.9,1060.0
2013-02-07,19.9,19.9,19.9,19.9,0.0
2013-02-08,19.9,19.9,19.9,19.9,1380.0
2013-02-18,19.0,20.0,19.0,20.0,130.0
2013-02-19,19.9,19.9,19.0,19.9,700.0
2013-02-20,19.0,19.9,19.0,19.9,20.0
2013-02-21,19.0,19.0,19.0,19.0,350.0
2013-02-22,19.0,19.9,19.0,19.9,360.0
2013-02-25,19.9,19.9,19.9,19.9,0.0
2013-02-26,19.9,19.9,19.9,19.9,0.0
2013-02-27,19.0,19.0,19.0,19.0,30.0
2013-02-28,18.5,19.0,18.5,19.0,480.0
2013-03-01,19.0,19.0,19.0,19.0,0.0
2013-03-04,18.6,18.6,17.7,17.7,210.0
2013-03-05,18.9,18.9,18.9,18.9,10.0
2013-03-06,18.0,18.0,18.0,18.0,900.0
2013-03-07,18.5,18.5,18.5,18.5,10.0
2013-03-08,18.5,18.5,18.5,18.5,0.0
2013-03-11,18.5,18.5,18.5,18.5,0.0
2013-03-12,17.3,17.3,17.3,17.3,10.0
2013-03-13,18.5,18.5,18.5,18.5,70.0
2013-03-14,17.3,19.7,17.3,19.7,2280.0
2013-03-15,18.5,19.8,18.4,19.8,520.0
2013-03-18,18.5,19.5,18.5,19.5,230.0
2013-03-19,18.2,18.2,18.2,18.2,240.0
2013-03-20,19.0,19.0,19.0,19.0,20.0
2013-03-21,18.6,18.6,17.7,18.6,260.0
2013-03-22,18.8,18.8,18.8,18.8,10.0
2013-03-25,18.8,18.8,18.8,18.8,0.0
2013-03-26,18.8,18.8,18.8,18.8,0.0
2013-03-27,18.8,18.8,18.8,18.8,0.0
2013-03-28,19.0,19.0,19.0,19.0,10.0
2013-03-29,19.0,19.0,19.0,19.0,0.0
2013-04-01,19.0,19.0,19.0,19.0,0.0
2013-04-02,19.0,19.0,19.0,19.0,0.0
2013-04-03,19.0,19.0,19.0,19.0,0.0
2013-04-04,18.0,18.6,18.0,18.6,60.0
2013-04-05,19.0,19.0,19.0,19.0,10.0
2013-04-08,18.0,18.5,18.0,18.5,60.0
2013-04-09,18.5,18.5,18.5,18.5,0.0
2013-04-10,18.5,18.5,18.5,18.5,0.0
2013-04-11,18.5,18.5,18.5,18.5,0.0
2013-04-12,18.8,18.8,18.8,18.8,10.0
2013-04-15,18.8,18.8,18.8,18.8,0.0
2013-04-16,17.5,18.8,17.5,18.8,1010.0
2013-04-17,18.8,18.8,18.8,18.8,0.0
2013-04-18,18.8,18.8,18.8,18.8,0.0
2013-04-22,18.8,18.8,18.8,18.8,0.0
2013-04-23,18.8,18.8,18.8,18.8,0.0
2013-04-24,18.8,18.8,18.8,18.8,0.0
2013-04-25,18.8,18.8,18.8,18.8,0.0
2013-04-26,18.8,18.8,18.8,18.8,0.0
2013-05-02,18.8,18.8,18.8,18.8,0.0
2013-05-03,17.5,18.5,17.5,18.5,20.0
2013-05-06,19.0,19.0,19.0,19.0,20.0
2013-05-07,19.0,19.0,19.0,19.0,0.0
2013-05-08,19.0,19.0,19.0,19.0,0.0
2013-05-09,19.0,19.0,17.9,18.0,860.0
2013-05-10,17.5,18.0,17.5,18.0,20.0
2013-05-13,18.0,18.4,18.0,18.0,760.0
2013-05-14,18.4,18.4,18.0,18.4,520.0
2013-05-15,18.8,18.8,18.8,18.8,10.0
2013-05-16,18.0,18.3,18.0,18.3,20.0
2013-05-17,18.0,18.0,18.0,18.0,100.0
2013-05-20,18.5,18.5,18.5,18.5,10.0
2013-05-21,17.5,17.5,16.0,17.0,300.0
2013-05-22,16.0,16.5,16.0,16.5,860.0
2013-05-23,17.0,17.0,17.0,17.0,10.0
2013-05-24,16.2,16.5,16.2,16.5,240.0
2013-05-27,17.0,17.0,15.9,17.0,2190.0
2013-05-28,16.5,16.5,16.5,16.5,1200.0
2013-05-29,16.5,17.6,16.0,17.0,10830.0
2013-05-30,16.3,16.3,16.3,16.3,210.0
2013-05-31,16.3,16.9,16.2,16.9,530.0
2013-06-03,17.0,17.0,17.0,17.0,10.0
2013-06-04,17.0,17.0,16.8,16.8,440.0
2013-06-05,16.8,16.8,16.8,16.8,0.0
2013-06-06,16.2,16.9,16.2,16.9,450.0
2013-06-07,16.8,16.8,16.8,16.8,300.0
2013-06-10,16.8,16.8,16.0,16.0,40.0
2013-06-11,16.0,16.0,16.0,16.0,200.0
2013-06-12,16.8,16.8,16.8,16.8,10.0
2013-06-13,16.8,16.8,16.8,16.8,700.0
2013-06-14,16.8,16.8,16.8,16.8,0.0
2013-06-17,16.0,16.0,16.0,16.0,510.0
2013-06-18,16.0,16.0,16.0,16.0,0.0
2013-06-19,16.0,16.0,15.5,15.7,670.0
2013-06-20,15.7,15.7,15.7,15.7,0.0
2013-06-21,15.0,15.0,15.0,15.0,270.0
2013-06-24,14.0,14.8,14.0,14.5,760.0
2013-06-25,15.0,15.0,13.6,14.5,300.0
2013-06-26,14.0,14.0,13.5,13.5,400.0
2013-06-27,14.4,14.4,13.8,13.8,260.0
2013-06-28,14.0,14.0,14.0,14.0,10.0
2013-07-01,14.0,14.0,14.0,14.0,0.0
2013-07-02,13.3,13.8,13.3,13.8,150.0
2013-07-03,13.4,13.5,13.4,13.5,220.0
2013-07-04,13.1,13.1,12.8,13.1,890.0
2013-07-05,12.7,14.0,12.7,14.0,5210.0
2013-07-08,14.5,14.5,13.3,14.2,320.0
2013-07-09,13.3,14.2,13.3,14.0,580.0
2013-07-10,14.0,14.0,14.0,14.0,0.0
2013-07-11,13.3,14.0,13.1,14.0,1160.0
2013-07-12,13.1,13.9,13.1,13.8,2130.0
2013-07-15,13.8,13.8,13.8,13.8,0.0
2013-07-16,13.5,13.5,13.0,13.3,450.0
2013-07-17,13.5,13.5,13.0,13.0,140.0
2013-07-18,13.3,13.3,13.3,13.3,10.0
2013-07-19,13.3,13.3,13.3,13.3,0.0
2013-07-22,13.3,13.3,13.3,13.3,0.0
2013-07-23,13.0,13.3,13.0,13.3,2480.0
2013-07-24,13.3,13.3,13.1,13.1,110.0
2013-07-25,13.0,13.3,13.0,13.3,5890.0
2013-07-26,13.3,13.3,13.3,13.3,0.0
2013-07-29,13.0,13.0,13.0,13.0,850.0
2013-07-30,13.0,13.0,12.4,12.4,420.0
2013-07-31,12.4,12.4,12.4,12.4,90.0
2013-08-01,12.4,12.4,12.4,12.4,20.0
2013-08-02,12.4,12.8,12.4,12.8,140.0
2013-08-05,13.0,13.0,13.0,13.0,120.0
2013-08-06,13.4,13.8,13.4,13.8,270.0
2013-08-07,13.8,13.8,13.8,13.8,10.0
2013-08-08,13.8,13.8,13.8,13.8,10.0
2013-08-09,12.9,12.9,12.9,12.9,20.0
2013-08-12,13.4,13.4,13.4,13.4,10.0
2013-08-13,12.5,12.5,12.5,12.5,4000.0
2013-08-14,13.0,13.0,13.0,13.0,40.0
2013-08-15,13.2,13.2,13.2,13.2,20.0
2013-08-16,12.3,13.2,12.3,13.2,5010.0
2013-08-19,13.2,13.2,13.2,13.2,1500.0
2013-08-20,13.4,13.4,13.4,13.4,20.0
2013-08-21,13.4,13.4,13.0,13.0,270.0
2013-08-22,13.0,13.0,13.0,13.0,0.0
2013-08-23,12.1,13.0,12.1,12.1,120.0
2013-08-26,12.8,12.8,11.8,12.8,390.0
2013-08-27,13.0,13.0,12.1,13.0,290.0
2013-08-28,13.0,13.0,13.0,13.0,0.0
2013-08-29,13.0,13.0,13.0,13.0,0.0
2013-08-30,13.0,13.0,13.0,13.0,0.0
2013-09-03,13.0,13.0,13.0,13.0,0.0
2013-09-04,13.7,13.7,13.7,13.7,10.0
2013-09-05,12.8,12.8,12.8,12.8,100.0
2013-09-06,12.0,12.8,12.0,12.8,150.0
2013-09-09,12.7,12.7,12.7,12.7,10.0
2013-09-10,12.7,12.7,12.7,12.7,0.0
2013-09-11,12.0,13.0,11.9,13.0,2070.0
2013-09-12,13.0,13.0,13.0,13.0,0.0
2013-09-13,13.0,13.0,13.0,13.0,0.0
2013-09-16,13.0,13.0,13.0,13.0,0.0
2013-09-17,13.0,13.0,13.0,13.0,0.0
2013-09-18,12.1,13.0,12.1,13.0,20.0
2013-09-19,13.0,13.0,13.0,13.0,0.0
2013-09-20,12.5,12.5,12.1,12.1,3180.0
2013-09-23,12.1,12.1,12.1,12.1,490.0
2013-09-24,12.1,12.1,12.1,12.1,0.0
2013-09-25,12.1,12.9,12.1,12.9,2010.0
2013-09-26,13.5,13.5,13.5,13.5,210.0
2013-09-27,13.0,13.0,12.6,12.6,3400.0
2013-09-30,13.4,13.4,12.6,12.6,110.0
2013-10-01,12.6,12.6,12.6,12.6,500.0
2013-10-02,12.2,12.2,12.2,12.2,510.0
2013-10-03,12.6,12.6,11.5,11.5,70.0
2013-10-04,11.5,12.3,11.5,12.3,150.0
