date,open,high,low,close,klgdkl
2010-01-04,11.9,12.4,11.9,12.4,47230.0
2010-01-05,12.8,13.0,12.4,12.5,75530.0
2010-01-06,12.4,12.8,12.4,12.5,107940.0
2010-01-07,12.5,12.6,12.4,12.5,82210.0
2010-01-08,12.9,12.9,12.4,12.4,34270.0
2010-01-11,12.4,12.5,12.2,12.2,40250.0
2010-01-12,12.8,12.8,12.8,12.8,68190.0
2010-01-13,13.4,13.4,13.0,13.4,282650.0
2010-01-14,13.4,13.4,13.0,13.3,64520.0
2010-01-15,13.3,13.5,13.1,13.1,44320.0
2010-01-18,12.9,12.9,12.6,12.7,64800.0
2010-01-19,12.7,13.0,12.6,12.7,45910.0
2010-01-20,12.7,12.8,12.4,12.5,32940.0
2010-01-21,12.5,12.5,12.1,12.1,68310.0
2010-01-22,12.3,12.3,11.8,11.9,37510.0
2010-01-25,11.9,12.3,11.7,11.9,30380.0
2010-01-26,12.0,12.3,11.9,12.3,38700.0
2010-01-27,12.0,12.1,12.0,12.0,17680.0
2010-01-28,12.3,12.3,11.9,12.1,16220.0
2010-01-29,12.0,12.2,12.0,12.1,14030.0
2010-02-01,11.9,12.4,11.9,12.1,28070.0
2010-02-02,12.4,12.4,11.7,12.0,62740.0
2010-02-03,12.0,12.2,11.9,12.1,8830.0
2010-02-04,11.9,12.2,11.9,12.1,19060.0
2010-02-05,12.0,12.0,11.8,11.8,26780.0
2010-02-08,12.2,12.2,11.8,11.8,8610.0
2010-02-09,12.0,12.0,11.7,11.8,7630.0
2010-02-10,12.0,12.0,12.0,12.0,2680.0
2010-02-11,12.0,12.2,11.9,12.2,11500.0
2010-02-12,12.5,12.5,12.2,12.2,14440.0
2010-02-22,12.6,12.6,12.0,12.0,9690.0
2010-02-23,12.0,12.3,12.0,12.1,19340.0
2010-02-24,12.2,12.4,12.1,12.1,77970.0
2010-02-25,12.1,12.4,12.1,12.1,21020.0
2010-02-26,12.1,12.4,12.1,12.1,9330.0
2010-03-01,12.1,12.3,12.1,12.3,25670.0
2010-03-02,12.3,12.3,12.1,12.3,19360.0
2010-03-03,12.4,12.4,12.2,12.4,23140.0
2010-03-04,12.5,12.8,12.4,12.5,26720.0
2010-03-05,12.3,12.5,12.3,12.5,76510.0
2010-03-08,12.5,12.9,12.5,12.7,22950.0
2010-03-09,12.8,12.8,12.6,12.8,42170.0
2010-03-10,12.8,12.9,12.7,12.9,39910.0
2010-03-11,12.9,13.1,12.8,12.9,51570.0
2010-03-12,12.7,13.0,12.7,13.0,60060.0
2010-03-15,13.1,13.2,13.0,13.0,24040.0
2010-03-16,13.0,13.0,12.8,12.8,32250.0
2010-03-17,13.0,13.4,12.9,13.0,20210.0
2010-03-18,13.0,13.2,12.9,13.0,28690.0
2010-03-19,13.0,13.1,12.9,12.9,35160.0
2010-03-22,12.9,13.0,12.9,12.9,29000.0
2010-03-23,13.0,13.0,12.7,12.7,30560.0
2010-03-24,12.7,12.9,12.7,12.9,151550.0
2010-03-25,12.9,12.9,12.6,12.6,42750.0
2010-03-26,12.8,12.9,12.6,12.6,11180.0
2010-03-29,12.6,12.9,12.6,12.7,9820.0
2010-03-30,12.9,12.9,12.6,12.6,15670.0
2010-03-31,12.6,12.7,12.6,12.6,21030.0
2010-04-01,12.8,12.8,12.6,12.7,15160.0
2010-04-02,12.7,12.8,12.6,12.7,32480.0
2010-04-05,12.6,12.9,12.6,12.7,42770.0
2010-04-06,12.7,13.0,12.7,12.7,23780.0
2010-04-07,12.7,12.9,12.7,12.8,36810.0
2010-04-08,12.8,12.9,12.8,12.8,24690.0
2010-04-09,13.0,13.4,13.0,13.4,77950.0
2010-04-12,14.0,14.0,13.8,14.0,273490.0
2010-04-13,14.0,14.2,14.0,14.2,152750.0
2010-04-14,14.0,14.9,14.0,14.9,281860.0
2010-04-15,15.6,15.6,15.1,15.6,281050.0
2010-04-16,15.6,16.3,15.5,16.3,293450.0
2010-04-19,16.8,16.8,16.1,16.7,133150.0
2010-04-20,17.5,17.5,17.0,17.5,297240.0
2010-04-21,18.3,18.3,18.2,18.3,171880.0
