date,open,high,low,close,klgdkl
2016-11-30,5.52,7.8,5.52,7.8,396310.0
2016-12-01,7.75,7.9,7.26,7.26,262900.0
2016-12-02,7.3,7.35,6.8,7.25,107110.0
2016-12-05,7.2,7.25,6.75,6.89,199610.0
2016-12-06,6.88,6.88,6.41,6.41,77700.0
2016-12-07,6.75,6.85,6.1,6.83,52900.0
2016-12-08,6.38,7.0,6.36,7.0,291100.0
2016-12-09,7.2,7.2,6.51,7.0,221600.0
2016-12-12,6.7,7.4,6.7,7.0,157610.0
2016-12-13,6.9,6.9,6.51,6.7,443170.0
2016-12-14,6.9,7.0,6.24,6.89,231220.0
2016-12-15,6.41,6.7,6.41,6.42,178850.0
2016-12-16,6.42,6.78,6.1,6.78,540070.0
2016-12-19,6.75,6.8,6.31,6.78,70230.0
2016-12-20,6.4,6.78,6.31,6.31,119140.0
2016-12-21,5.87,6.59,5.87,5.9,195550.0
2016-12-22,5.5,6.3,5.49,6.28,124620.0
2016-12-23,6.25,6.28,5.85,6.26,105960.0
2016-12-26,6.25,6.27,5.83,5.83,25260.0
2016-12-27,5.43,5.86,5.43,5.86,93180.0
2016-12-28,5.45,5.86,5.45,5.8,81310.0
2016-12-29,5.8,6.1,5.8,5.8,102080.0
2016-12-30,5.7,5.7,5.4,5.66,488810.0
2017-01-03,5.6,5.6,5.27,5.27,9420.0
2017-01-04,4.92,5.59,4.91,4.91,45290.0
2017-01-05,5.25,5.25,4.6,4.6,9200.0
2017-01-06,4.29,4.92,4.29,4.92,392210.0
2017-01-09,5.2,5.26,5.2,5.26,222220.0
2017-01-10,5.55,5.62,5.5,5.62,180920.0
2017-01-11,5.5,6.0,5.45,6.0,147070.0
2017-01-12,5.9,6.2,5.9,6.17,404280.0
2017-01-13,6.12,6.15,5.74,6.0,110510.0
2017-01-16,5.9,5.9,5.58,5.58,41410.0
2017-01-17,5.25,5.8,5.2,5.56,45020.0
2017-01-18,5.59,5.6,5.55,5.57,29280.0
2017-01-19,5.22,5.5,5.21,5.5,22900.0
2017-01-20,5.49,5.5,5.12,5.12,8210.0
2017-01-23,5.12,5.4,4.77,4.77,63780.0
2017-01-24,4.8,4.8,4.6,4.79,25890.0
2017-01-25,4.79,4.79,4.46,4.74,112910.0
2017-02-02,4.74,5.07,4.51,5.06,81170.0
2017-02-03,5.4,5.4,5.29,5.4,86760.0
2017-02-06,5.08,5.25,5.03,5.03,31080.0
2017-02-07,5.0,5.2,5.0,5.15,41470.0
2017-02-08,5.45,5.45,5.15,5.15,11860.0
2017-02-09,5.31,5.5,5.18,5.18,7050.0
2017-02-10,5.0,5.0,4.82,4.82,56070.0
2017-02-13,5.15,5.15,4.9,5.0,117090.0
2017-02-14,5.0,5.2,4.69,5.0,145880.0
2017-02-15,5.0,5.0,4.9,5.0,111560.0
2017-02-16,5.0,5.0,4.85,5.0,113120.0
2017-02-17,4.95,5.0,4.65,4.65,166220.0
2017-02-20,4.9,4.9,4.4,4.65,52050.0
2017-02-21,4.65,4.75,4.4,4.7,36300.0
2017-02-22,4.38,4.7,4.38,4.6,71120.0
2017-02-23,4.28,4.57,4.28,4.56,198350.0
2017-02-24,4.59,4.59,4.35,4.35,202350.0
2017-02-27,4.4,4.4,4.05,4.4,141470.0
2017-02-28,4.4,4.5,4.16,4.5,154850.0
2017-03-01,4.22,4.49,4.2,4.49,129800.0
2017-03-02,4.48,4.48,4.23,4.45,117040.0
2017-03-03,4.44,4.44,4.26,4.26,72520.0
2017-03-06,4.26,4.39,4.03,4.38,125920.0
2017-03-07,4.38,4.48,4.38,4.38,199910.0
2017-03-08,4.38,4.48,4.26,4.47,117660.0
2017-03-09,4.47,4.47,4.3,4.45,115110.0
2017-03-10,4.14,4.45,4.14,4.14,126260.0
2017-03-13,4.39,4.42,4.35,4.42,161810.0
2017-03-14,4.47,4.72,4.42,4.7,96290.0
2017-03-15,4.7,5.0,4.68,4.89,92620.0
2017-03-16,4.89,4.89,4.6,4.83,101210.0
2017-03-17,4.9,5.1,4.83,4.9,114440.0
2017-03-20,4.88,4.97,4.7,4.85,57060.0
2017-03-21,4.75,4.85,4.55,4.85,89020.0
2017-03-22,4.8,5.18,4.7,5.18,130140.0
2017-03-23,5.18,5.54,5.18,5.5,295790.0
2017-03-24,5.5,5.88,5.5,5.88,268480.0
2017-03-27,6.1,6.29,6.0,6.29,597780.0
2017-03-28,6.73,6.73,6.5,6.73,564370.0
2017-03-29,7.1,7.1,6.5,6.5,329040.0
2017-03-30,6.5,6.5,6.05,6.3,478360.0
2017-03-31,6.3,6.7,5.99,5.99,257440.0
2017-04-03,6.01,6.2,5.99,6.09,270800.0
2017-04-04,6.1,6.49,5.9,6.42,272070.0
2017-04-05,6.39,6.4,6.0,6.34,325990.0
2017-04-07,6.2,6.4,5.9,6.1,245870.0
2017-04-10,6.2,6.2,5.7,6.05,160090.0
2017-04-11,5.9,6.15,5.7,6.0,91700.0
2017-04-12,6.0,6.0,5.58,5.9,125210.0
2017-04-13,5.9,5.9,5.49,5.49,113260.0
2017-04-14,5.79,5.87,5.3,5.86,144630.0
2017-04-17,5.8,6.0,5.45,5.88,175110.0
2017-04-18,5.88,5.88,5.47,5.47,132780.0
2017-04-19,5.6,5.6,5.1,5.47,204750.0
2017-04-20,5.2,5.85,5.09,5.1,312100.0
2017-04-21,5.1,5.45,4.81,5.45,310460.0
2017-04-24,5.5,5.8,5.5,5.79,300270.0
2017-04-25,5.39,5.67,5.39,5.5,86160.0
2017-04-26,5.13,5.6,5.13,5.26,182300.0
2017-04-27,5.35,5.35,4.93,5.26,185520.0
2017-04-28,5.4,5.4,5.29,5.29,117200.0
2017-05-03,5.35,5.5,4.92,5.3,138150.0
2017-05-04,5.0,5.28,4.93,5.0,39870.0
2017-05-05,5.0,5.2,4.7,5.2,162150.0
2017-05-08,5.4,5.4,4.86,4.95,179940.0
2017-05-09,5.1,5.29,5.1,5.29,366400.0
2017-05-10,5.66,5.66,5.2,5.29,336080.0
2017-05-11,5.55,5.55,5.4,5.48,150570.0
2017-05-12,5.48,5.48,5.22,5.23,208310.0
2017-05-15,5.23,5.4,5.18,5.39,72080.0
2017-05-16,5.45,5.45,5.2,5.25,133420.0
2017-05-17,5.3,5.37,5.2,5.35,148000.0
2017-05-18,5.2,5.3,5.14,5.3,190960.0
2017-05-19,5.39,5.4,5.1,5.3,74680.0
2017-05-22,5.3,5.3,4.96,5.25,65860.0
2017-05-23,4.95,5.2,4.9,5.2,137260.0
2017-05-24,5.2,5.2,4.96,5.0,58760.0
2017-05-25,5.2,5.2,5.0,5.1,64130.0
2017-05-26,5.0,5.0,4.85,4.87,129130.0
2017-05-29,5.0,5.0,4.81,4.94,103390.0
2017-05-30,4.95,4.95,4.81,4.91,27420.0
2017-05-31,4.99,4.99,4.86,4.99,276610.0
2017-06-01,4.93,5.2,4.9,5.2,160070.0
2017-06-02,5.0,5.25,5.0,5.25,105980.0
2017-06-05,5.2,5.25,4.92,5.2,102340.0
2017-06-06,5.2,5.2,4.9,4.91,69720.0
2017-06-07,5.0,5.1,5.0,5.09,61280.0
2017-06-08,5.15,5.15,4.74,4.99,264330.0
2017-06-09,4.99,4.99,4.65,4.75,157920.0
2017-06-12,4.71,4.94,4.7,4.89,47170.0
2017-06-13,4.7,4.79,4.7,4.75,16760.0
2017-06-14,4.75,4.86,4.75,4.8,117770.0
2017-06-15,4.81,4.83,4.79,4.79,46130.0
2017-06-16,4.53,4.82,4.53,4.79,31100.0
2017-06-19,4.79,4.79,4.6,4.72,22390.0
2017-06-20,4.72,4.9,4.6,4.89,48590.0
2017-06-21,4.85,4.89,4.85,4.89,225820.0
2017-06-22,4.7,5.0,4.7,5.0,164350.0
2017-06-23,5.0,5.0,4.75,4.9,68430.0
2017-06-26,4.9,5.1,4.9,4.93,116560.0
2017-06-27,4.91,4.98,4.75,4.97,110110.0
2017-06-28,4.98,4.98,4.75,4.98,114210.0
2017-06-29,4.96,4.96,4.85,4.9,106320.0
2017-06-30,4.9,5.05,4.7,4.92,108160.0
2017-07-03,4.98,4.98,4.76,4.76,43130.0
2017-07-04,4.7,4.92,4.7,4.8,58840.0
2017-07-05,4.92,4.93,4.7,4.89,54030.0
2017-07-06,4.95,5.1,4.85,4.92,137570.0
2017-07-07,5.1,5.1,4.78,4.92,255380.0
2017-07-10,4.95,4.95,4.7,4.7,73990.0
2017-07-11,4.92,4.92,4.72,4.85,50470.0
2017-07-12,4.93,5.18,4.71,5.18,1166540.0
2017-07-13,5.54,5.54,5.54,5.54,302090.0
2017-07-14,5.92,5.92,5.92,5.92,442550.0
2017-07-17,6.33,6.33,5.52,5.53,591040.0
2017-07-18,5.65,5.7,5.3,5.55,203050.0
2017-07-19,5.5,5.93,5.18,5.7,418990.0
2017-07-20,5.75,5.75,5.31,5.49,322180.0
2017-07-21,5.6,5.6,5.35,5.49,212870.0
2017-07-24,5.49,5.49,5.15,5.25,233570.0
2017-07-25,4.95,5.4,4.9,5.3,421190.0
2017-07-26,5.3,5.35,5.17,5.35,333960.0
2017-07-27,5.35,5.4,5.2,5.36,258150.0
2017-07-28,5.3,5.36,5.25,5.35,253370.0
2017-07-31,5.63,5.63,5.35,5.41,287750.0
2017-08-01,5.41,5.41,5.3,5.41,227970.0
2017-08-02,5.42,5.43,5.16,5.26,256560.0
2017-08-03,5.05,5.62,5.05,5.62,602460.0
2017-08-04,6.01,6.01,5.5,5.85,324310.0
2017-08-07,5.9,6.25,5.6,6.0,332460.0
2017-08-08,6.05,6.41,5.7,6.17,619850.0
2017-08-09,5.9,6.3,5.8,5.9,951950.0
2017-08-10,6.05,6.05,5.6,5.9,280380.0
2017-08-11,5.76,5.95,5.6,5.9,306200.0
2017-08-14,5.9,6.0,5.9,5.9,227440.0
2017-08-15,5.95,6.1,5.7,6.0,286170.0
2017-08-16,6.05,6.05,5.8,5.9,279400.0
2017-08-17,5.9,5.94,5.66,5.8,259120.0
2017-08-18,5.7,5.9,5.5,5.9,311920.0
2017-08-21,5.9,5.95,5.8,5.92,273670.0
2017-08-22,5.93,5.93,5.78,5.91,294600.0
2017-08-23,5.91,5.91,5.8,5.87,251000.0
2017-08-24,5.9,6.05,5.8,6.04,481540.0
2017-08-25,5.85,6.2,5.85,6.2,456940.0
2017-08-28,6.25,6.25,6.15,6.21,440340.0
2017-08-29,6.21,6.21,6.0,6.2,309750.0
2017-08-30,6.05,6.17,6.05,6.06,299220.0
2017-08-31,6.06,6.06,5.95,6.02,252820.0
2017-09-01,6.02,6.08,5.95,6.04,388000.0
2017-09-05,6.04,6.09,5.95,6.07,293940.0
2017-09-06,6.07,6.1,6.04,6.07,153660.0
2017-09-07,6.02,6.49,5.9,6.33,503730.0
2017-09-08,6.33,6.34,6.1,6.33,603010.0
2017-09-11,6.15,6.35,6.15,6.32,501160.0
2017-09-12,6.32,6.32,6.15,6.3,353420.0
2017-09-13,6.3,6.3,6.1,6.29,512550.0
2017-09-14,6.28,6.29,6.11,6.29,393040.0
2017-09-15,6.29,6.29,5.85,6.24,580800.0
2017-09-18,6.24,6.25,6.05,6.15,296720.0
2017-09-19,6.12,6.24,6.12,6.24,217050.0
2017-09-20,6.1,6.1,5.81,5.9,702020.0
2017-09-21,5.9,6.18,5.9,6.13,133150.0
2017-09-22,6.18,6.18,5.71,5.71,505710.0
2017-09-25,5.8,5.8,5.32,5.33,334730.0
2017-09-26,5.33,5.35,5.0,5.25,420500.0
2017-09-27,5.1,5.5,5.1,5.2,71040.0
2017-09-28,5.43,5.43,5.12,5.19,197090.0
2017-09-29,5.37,5.37,5.1,5.2,128600.0
2017-10-02,4.97,5.24,4.97,5.21,189020.0
2017-10-03,5.02,5.22,5.02,5.21,192240.0
2017-10-04,5.21,5.24,5.09,5.24,247260.0
2017-10-05,5.24,5.32,5.2,5.3,193540.0
2017-10-06,5.26,5.3,5.15,5.3,211780.0
2017-10-09,5.24,5.29,5.15,5.28,155520.0
2017-10-10,5.16,5.25,5.16,5.24,166880.0
2017-10-11,5.15,5.23,5.14,5.17,218120.0
2017-10-12,5.17,5.23,5.17,5.23,201290.0
2017-10-13,5.18,5.25,5.18,5.24,154350.0
2017-10-16,5.26,5.26,5.17,5.2,214610.0
2017-10-17,5.2,5.26,5.2,5.26,227900.0
2017-10-18,5.26,5.26,5.21,5.26,312750.0
2017-10-19,5.26,5.26,5.17,5.26,212760.0
2017-10-20,5.26,5.32,5.22,5.28,212430.0
2017-10-23,5.21,5.28,5.15,5.21,230100.0
2017-10-24,5.21,5.21,5.0,5.2,284000.0
2017-10-25,5.2,5.2,5.1,5.2,307290.0
2017-10-26,5.2,5.2,5.09,5.2,256480.0
2017-10-27,5.2,5.26,5.15,5.26,217160.0
2017-10-30,5.26,5.28,5.12,5.28,310690.0
2017-10-31,5.28,5.28,5.15,5.22,258360.0
2017-11-01,5.22,5.25,5.16,5.25,270260.0
2017-11-02,5.25,5.3,5.15,5.3,366890.0
2017-11-03,5.3,5.32,5.17,5.31,217490.0
2017-11-06,5.31,5.6,5.2,5.6,227090.0
2017-11-07,5.6,5.6,5.21,5.5,472060.0
2017-11-08,5.45,5.45,5.12,5.12,448380.0
2017-11-09,5.12,5.47,5.12,5.47,916000.0
2017-11-10,5.47,5.47,5.26,5.43,252210.0
2017-11-13,5.3,5.38,5.25,5.3,253860.0
2017-11-14,5.3,5.35,5.1,5.29,328450.0
2017-11-15,5.33,5.35,5.11,5.33,313870.0
2017-11-16,5.33,5.34,5.22,5.22,329130.0
2017-11-17,5.22,5.35,5.22,5.3,349100.0
2017-11-20,5.3,5.32,5.25,5.32,326190.0
2017-11-21,5.32,5.34,5.25,5.32,306180.0
2017-11-22,5.32,5.34,5.25,5.34,260090.0
2017-11-23,5.34,5.41,5.3,5.4,350240.0
2017-11-24,5.4,5.44,5.4,5.43,399840.0
2017-11-27,5.43,5.44,5.4,5.42,340200.0
2017-11-28,5.42,5.43,5.36,5.42,214710.0
2017-11-29,5.42,5.75,5.42,5.7,356100.0
2017-11-30,5.73,5.95,5.73,5.9,390540.0
2017-12-01,5.9,5.94,5.6,5.93,363760.0
2017-12-04,5.9,5.9,5.6,5.88,398370.0
2017-12-05,5.82,5.85,5.51,5.77,315330.0
2017-12-06,5.77,5.77,5.45,5.6,332680.0
2017-12-07,5.6,5.8,5.38,5.7,459250.0
2017-12-08,5.7,5.73,5.45,5.7,327150.0
2017-12-11,5.7,5.71,5.4,5.6,406580.0
2017-12-12,5.6,5.61,5.26,5.55,347750.0
2017-12-13,5.55,5.55,5.35,5.5,219550.0
2017-12-14,5.49,5.49,5.33,5.37,305960.0
2017-12-15,5.37,5.37,5.24,5.35,294470.0
2017-12-18,5.35,5.58,5.35,5.44,331000.0
2017-12-19,5.44,5.59,5.4,5.45,365760.0
2017-12-20,5.45,5.5,5.26,5.44,271850.0
2017-12-21,5.44,5.44,5.06,5.36,493200.0
2017-12-22,5.36,5.38,5.1,5.3,375650.0
2017-12-25,5.35,5.4,5.2,5.39,322370.0
2017-12-26,5.2,5.39,5.2,5.3,293960.0
2017-12-27,5.3,5.33,5.21,5.3,276880.0
2017-12-28,5.3,5.38,5.21,5.32,216800.0
2017-12-29,5.3,5.58,5.22,5.22,529550.0
2018-01-02,5.23,5.5,5.23,5.42,244090.0
2018-01-03,5.42,5.79,5.3,5.65,762060.0
2018-01-04,5.65,6.0,5.65,5.74,360780.0
2018-01-05,5.74,5.92,5.62,5.73,308080.0
2018-01-08,5.75,5.82,5.65,5.65,236590.0
2018-01-09,5.67,5.76,5.26,5.65,684140.0
2018-01-10,5.28,5.59,5.27,5.34,635540.0
2018-01-11,5.18,5.52,5.18,5.48,423720.0
2018-01-12,5.48,5.56,5.3,5.4,304110.0
2018-01-15,5.4,5.52,5.3,5.4,508110.0
2018-01-16,5.42,5.44,5.29,5.4,419860.0
2018-01-17,5.4,5.44,5.35,5.42,326110.0
2018-01-18,5.43,5.52,5.38,5.45,261930.0
2018-01-19,5.47,5.51,5.36,5.44,280050.0
2018-01-22,5.44,5.56,5.44,5.52,410670.0
2018-01-25,5.52,5.9,5.5,5.86,709000.0
2018-01-26,5.88,5.96,5.63,5.86,358040.0
2018-01-29,5.88,5.9,5.75,5.87,363630.0
2018-01-30,5.87,5.88,5.75,5.88,348910.0
2018-01-31,5.88,6.2,5.8,5.95,890590.0
2018-02-01,5.95,6.0,5.87,6.0,325490.0
2018-02-02,6.0,6.08,5.91,6.05,329060.0
2018-02-05,6.0,6.05,5.67,5.85,291450.0
2018-02-06,5.85,5.85,5.45,5.85,155940.0
2018-02-07,5.85,5.9,5.8,5.85,204720.0
2018-02-08,5.85,5.89,5.6,5.7,279010.0
2018-02-09,5.5,5.72,5.41,5.72,233720.0
2018-02-12,5.72,5.78,5.65,5.73,181870.0
2018-02-13,5.42,5.9,5.42,5.85,206940.0
2018-02-21,5.85,6.06,5.85,6.0,241920.0
2018-02-22,6.04,6.1,5.96,6.01,228170.0
2018-02-23,6.05,6.09,5.95,6.05,381480.0
2018-02-26,6.05,6.12,6.0,6.1,253450.0
2018-02-27,6.1,6.12,6.0,6.1,215260.0
2018-02-28,6.1,6.1,6.0,6.1,269450.0
2018-03-01,5.85,6.1,5.85,6.09,293220.0
2018-03-02,6.09,6.1,6.0,6.05,166180.0
2018-03-05,6.05,6.2,6.05,6.15,296180.0
2018-03-06,6.15,6.18,5.95,6.15,218290.0
2018-03-07,6.15,6.19,6.05,6.15,201480.0
2018-03-08,6.15,6.15,6.0,6.15,184050.0
2018-03-09,6.15,6.15,6.02,6.02,171160.0
2018-03-12,6.03,6.04,5.82,6.03,353390.0
2018-03-13,6.0,6.04,5.87,6.04,366220.0
2018-03-14,6.04,6.05,5.99,6.04,687910.0
2018-03-15,6.04,6.05,6.0,6.05,343040.0
2018-03-16,6.05,6.1,6.0,6.1,683220.0
2018-03-19,6.11,6.38,6.11,6.14,385860.0
2018-03-20,6.15,6.15,5.95,6.15,712380.0
2018-03-21,5.6,5.98,5.6,5.98,768070.0
2018-03-22,5.98,5.98,5.69,5.97,816290.0
2018-03-23,5.9,5.9,5.7,5.86,204500.0
2018-03-26,5.9,5.9,5.77,5.82,423750.0
2018-03-27,5.82,5.82,5.7,5.82,282730.0
2018-03-28,5.42,5.82,5.42,5.82,199030.0
2018-03-29,5.82,5.82,5.68,5.79,350140.0
2018-03-30,5.56,5.79,5.56,5.56,255780.0
2018-04-02,5.58,5.7,5.52,5.52,608200.0
2018-04-03,5.56,5.6,5.49,5.6,420250.0
2018-04-04,5.62,5.7,5.5,5.65,680550.0
2018-04-05,5.65,5.7,5.54,5.65,286020.0
2018-04-06,5.69,5.7,5.58,5.68,564040.0
2018-04-09,5.69,5.74,5.61,5.69,243320.0
2018-04-10,5.68,5.7,5.5,5.5,317680.0
2018-04-11,5.5,5.64,5.5,5.6,231930.0
2018-04-12,5.6,5.6,5.4,5.56,399590.0
2018-04-13,5.5,5.6,5.46,5.46,240920.0
2018-04-16,5.37,5.56,5.37,5.48,291090.0
2018-04-17,5.48,5.69,5.48,5.57,208590.0
2018-04-18,5.59,5.6,5.48,5.56,305810.0
2018-04-19,5.48,5.62,5.45,5.57,216450.0
2018-04-20,5.5,5.57,5.4,5.57,326800.0
2018-04-23,5.5,5.58,5.45,5.57,479300.0
2018-04-24,5.57,5.57,5.46,5.57,262610.0
2018-04-26,5.57,5.59,5.45,5.59,291830.0
2018-04-27,5.6,5.6,5.5,5.58,287900.0
2018-05-02,5.58,5.58,5.5,5.58,225660.0
2018-05-03,5.5,5.59,5.43,5.59,316290.0
2018-05-04,5.6,5.61,5.55,5.6,244140.0
2018-05-07,5.62,5.7,5.6,5.62,248050.0
2018-05-08,5.45,5.6,5.45,5.59,391040.0
2018-05-09,5.64,5.64,5.46,5.63,365320.0
2018-05-10,5.65,5.7,5.58,5.58,290070.0
2018-05-11,5.51,5.65,5.51,5.64,378580.0
2018-05-14,5.7,5.86,5.65,5.75,336430.0
2018-05-15,5.78,5.78,5.63,5.78,327550.0
2018-05-16,5.8,5.8,5.72,5.8,352050.0
2018-05-17,5.72,5.82,5.72,5.82,320310.0
2018-05-18,5.83,5.84,5.75,5.83,253290.0
2018-05-21,5.62,5.84,5.62,5.84,312700.0
2018-05-22,5.7,5.78,5.45,5.68,255220.0
2018-05-23,5.62,5.8,5.5,5.8,279520.0
2018-05-24,5.72,5.84,5.68,5.8,289420.0
2018-05-25,5.72,5.8,5.6,5.75,201480.0
2018-05-28,5.75,5.77,5.55,5.55,321730.0
2018-05-29,5.55,5.75,5.5,5.7,288970.0
2018-05-30,5.55,5.7,5.4,5.61,685910.0
2018-05-31,5.45,5.65,5.45,5.64,427860.0
2018-06-01,5.66,5.68,5.5,5.64,279620.0
2018-06-04,5.64,5.64,5.5,5.62,210620.0
2018-06-05,6.01,6.01,5.62,5.84,267100.0
2018-06-06,6.0,6.0,5.75,5.86,619420.0
2018-06-07,5.95,5.95,5.65,5.85,468210.0
2018-06-08,5.6,5.73,5.6,5.72,360730.0
2018-06-11,5.7,5.7,5.5,5.5,350660.0
2018-06-12,5.55,5.55,5.45,5.55,183200.0
2018-06-13,5.55,5.75,5.55,5.74,208640.0
2018-06-14,5.6,5.78,5.6,5.69,176670.0
2018-06-15,5.69,5.69,5.6,5.69,293070.0
2018-06-18,5.8,5.8,5.55,5.65,149390.0
2018-06-19,5.65,5.65,5.37,5.59,226230.0
2018-06-20,5.7,5.75,5.59,5.75,239230.0
2018-06-21,5.7,5.75,5.5,5.74,284670.0
2018-06-22,5.6,5.67,5.5,5.67,268150.0
2018-06-25,5.71,5.73,5.68,5.72,454380.0
2018-06-26,5.72,5.75,5.6,5.74,248290.0
2018-06-27,5.8,5.8,5.62,5.71,261440.0
2018-06-28,5.55,5.73,5.5,5.64,178850.0
2018-06-29,5.68,5.68,5.55,5.64,179750.0
2018-07-02,5.64,5.65,5.54,5.63,197740.0
2018-07-03,5.63,5.75,5.62,5.63,306660.0
2018-07-04,5.65,5.7,5.57,5.61,372270.0
2018-07-05,5.4,5.65,5.4,5.61,227270.0
2018-07-06,5.45,5.65,5.45,5.61,226980.0
2018-07-09,5.61,5.7,5.61,5.63,167200.0
2018-07-10,5.65,5.8,5.65,5.67,183380.0
2018-07-11,5.5,5.7,5.5,5.62,176170.0
2018-07-12,5.62,5.7,5.5,5.62,214920.0
2018-07-13,5.65,5.65,5.6,5.63,273730.0
2018-07-16,5.7,5.7,5.55,5.63,205720.0
2018-07-17,5.41,5.6,5.4,5.58,539470.0
2018-07-18,5.58,5.6,5.41,5.41,373470.0
2018-07-19,5.6,5.65,5.4,5.54,318750.0
