date,open,high,low,close,klgdkl
2012-06-27,10.2,10.2,10.2,10.2,200.0
2012-06-28,10.5,10.5,10.5,10.5,500.0
2012-06-29,10.5,10.5,10.5,10.5,1500.0
2012-07-02,10.5,10.5,10.5,10.5,500.0
2012-07-03,10.5,10.5,10.5,10.5,650.0
2012-07-04,10.5,10.5,10.5,10.5,0.0
2012-07-05,10.4,10.4,10.4,10.4,150.0
2012-07-06,10.4,10.4,10.4,10.4,0.0
2012-07-09,10.3,10.3,10.3,10.3,200.0
2012-07-10,10.5,10.5,10.3,10.3,110.0
2012-07-11,10.3,10.3,10.3,10.3,200.0
2012-07-12,10.3,10.3,10.3,10.3,0.0
2012-07-13,10.3,10.3,10.3,10.3,1000.0
2012-07-16,9.8,9.8,9.8,9.8,1320.0
2012-07-17,10.0,10.0,9.8,9.8,600.0
2012-07-18,10.1,10.1,10.1,10.1,100.0
2012-07-19,10.1,10.1,10.1,10.1,0.0
2012-07-20,10.1,10.1,10.1,10.1,200.0
2012-07-23,9.9,9.9,9.9,9.9,1000.0
2012-07-24,10.3,10.3,10.3,10.3,100.0
2012-07-25,10.7,10.7,10.7,10.7,100.0
2012-07-26,11.0,11.0,10.7,10.7,150.0
2012-07-27,10.7,10.7,10.7,10.7,0.0
2012-07-30,10.6,10.6,10.6,10.6,190.0
2012-07-31,10.5,10.5,10.5,10.5,100.0
2012-08-01,11.0,11.0,10.5,10.5,250.0
2012-08-02,11.0,11.0,10.0,10.6,1150.0
2012-08-03,10.6,10.6,10.6,10.6,0.0
2012-08-06,11.0,11.0,11.0,11.0,50.0
2012-08-07,11.2,11.2,10.8,10.8,60.0
2012-08-08,10.3,10.3,10.3,10.3,380.0
2012-08-09,10.5,10.5,10.5,10.5,150.0
2012-08-10,10.5,10.5,10.5,10.5,20.0
2012-08-13,10.0,10.5,10.0,10.5,400.0
2012-08-14,10.5,10.5,10.5,10.5,0.0
2012-08-15,10.0,10.5,10.0,10.5,120.0
2012-08-16,10.5,10.5,10.5,10.5,0.0
2012-08-17,10.0,10.7,10.0,10.7,200.0
2012-08-20,10.2,10.2,10.2,10.2,590.0
2012-08-21,10.2,10.2,10.2,10.2,20.0
2012-08-22,10.2,10.2,10.2,10.2,0.0
2012-08-23,10.2,10.2,10.2,10.2,0.0
2012-08-24,10.1,10.1,10.1,10.1,10.0
2012-08-27,10.1,10.1,10.1,10.1,0.0
2012-08-28,10.3,10.3,10.3,10.3,100.0
2012-08-29,10.3,10.3,10.3,10.3,0.0
2012-08-30,10.4,10.6,10.4,10.6,500.0
2012-08-31,10.6,10.6,10.6,10.6,0.0
2012-09-04,10.6,10.6,10.6,10.6,0.0
2012-09-05,10.6,10.6,10.6,10.6,0.0
2012-09-06,10.7,10.7,10.7,10.7,20.0
2012-09-07,10.7,10.7,10.7,10.7,0.0
2012-09-10,10.2,10.2,10.2,10.2,490.0
2012-09-11,10.2,10.2,10.2,10.2,0.0
2012-09-12,10.2,10.2,10.2,10.2,0.0
2012-09-13,10.2,10.2,10.2,10.2,0.0
2012-09-14,10.2,10.2,10.2,10.2,50.0
2012-09-17,10.2,10.2,10.2,10.2,0.0
2012-09-18,10.2,10.2,10.2,10.2,0.0
2012-09-19,10.2,10.2,10.2,10.2,0.0
2012-09-20,10.2,10.2,10.2,10.2,10.0
2012-09-21,10.2,10.2,10.2,10.2,0.0
2012-09-24,10.2,10.2,10.2,10.2,0.0
2012-09-25,10.1,10.1,10.1,10.1,30.0
2012-09-26,10.1,10.1,10.1,10.1,0.0
2012-09-27,10.1,10.1,10.1,10.1,0.0
2012-09-28,10.1,10.1,10.1,10.1,0.0
2012-10-01,10.1,10.1,10.1,10.1,0.0
2012-10-02,10.1,10.1,10.1,10.1,0.0
2012-10-03,10.1,10.1,10.1,10.1,50.0
2012-10-04,10.1,10.1,10.1,10.1,0.0
2012-10-05,10.1,10.1,10.1,10.1,0.0
2012-10-08,10.1,10.1,10.1,10.1,0.0
2012-10-09,10.1,10.1,10.1,10.1,0.0
2012-10-10,10.1,10.1,10.1,10.1,0.0
2012-10-11,10.2,10.2,10.2,10.2,100.0
2012-10-12,10.2,10.2,10.2,10.2,0.0
2012-10-15,10.2,10.2,10.2,10.2,0.0
2012-10-16,10.2,10.2,10.2,10.2,0.0
2012-10-17,10.2,10.2,10.2,10.2,100.0
