date,open,high,low,close,klgdkl
2010-01-04,14.5,14.7,14.5,14.7,127890.0
2010-01-05,15.4,15.4,15.0,15.2,139170.0
2010-01-06,14.6,15.6,14.6,15.0,87570.0
2010-01-07,15.2,15.4,15.0,15.2,67410.0
2010-01-08,15.3,15.5,14.9,14.9,80770.0
2010-01-11,14.6,15.0,14.5,14.6,40010.0
2010-01-12,14.4,14.6,13.9,13.9,96660.0
2010-01-13,13.6,14.0,13.4,14.0,58280.0
2010-01-14,13.3,14.4,13.3,14.2,30500.0
2010-01-15,13.8,14.5,13.8,13.8,53890.0
2010-01-18,13.5,14.1,13.4,13.5,49900.0
2010-01-19,13.5,13.8,13.5,13.7,32070.0
2010-01-20,14.0,14.0,13.4,13.5,16440.0
2010-01-21,13.4,13.5,13.1,13.2,52920.0
2010-01-22,13.0,13.1,13.0,13.1,27510.0
2010-01-25,13.5,13.5,12.9,13.4,16920.0
2010-01-26,13.4,14.0,13.4,14.0,55200.0
2010-01-27,13.8,13.8,13.3,13.3,38070.0
2010-01-28,13.2,13.3,12.7,13.3,54400.0
2010-01-29,13.3,13.3,12.8,13.0,13850.0
2010-02-01,13.0,13.5,13.0,13.2,9240.0
2010-02-02,13.6,13.6,13.1,13.1,30350.0
2010-02-03,12.9,13.1,12.9,13.1,19450.0
2010-02-04,13.1,13.1,12.9,13.1,63260.0
2010-02-05,13.2,13.2,12.8,12.8,30060.0
2010-02-08,12.6,13.0,12.6,12.6,19640.0
2010-02-09,12.6,13.0,12.6,12.6,45580.0
2010-02-10,12.6,13.0,12.6,13.0,5960.0
2010-02-11,13.0,13.1,12.9,13.1,12530.0
2010-02-12,13.3,13.5,13.3,13.4,7680.0
2010-02-22,13.4,13.7,13.2,13.2,11440.0
2010-02-23,13.0,13.2,12.9,12.9,13260.0
2010-02-24,12.8,12.9,12.8,12.9,11370.0
2010-02-25,13.2,13.2,13.0,13.0,1330.0
2010-02-26,13.0,13.2,13.0,13.1,18860.0
2010-03-01,12.9,13.2,12.9,13.1,21350.0
2010-03-02,13.1,13.3,13.0,13.1,40810.0
2010-03-03,13.2,13.6,13.1,13.6,64280.0
2010-03-04,13.6,13.9,13.6,13.6,63350.0
2010-03-05,13.8,13.8,13.5,13.5,33710.0
2010-03-08,13.7,13.8,13.5,13.7,100960.0
2010-03-09,13.6,13.8,13.6,13.8,65490.0
2010-03-10,13.9,13.9,13.8,13.8,31960.0
2010-03-11,13.9,14.0,13.6,13.7,42480.0
2010-03-12,13.8,13.9,13.7,13.7,92530.0
2010-03-15,13.9,14.2,13.8,14.2,123750.0
2010-03-16,14.0,14.2,13.6,13.6,108150.0
2010-03-17,13.8,13.8,13.6,13.7,39690.0
2010-03-18,13.7,13.8,13.5,13.8,28630.0
2010-03-19,13.8,13.8,13.6,13.7,32550.0
2010-03-22,13.7,13.9,13.5,13.5,28530.0
2010-03-23,13.6,13.7,13.0,13.2,46400.0
2010-03-24,13.5,13.7,13.4,13.6,20220.0
2010-03-25,13.3,13.4,13.2,13.3,45750.0
2010-03-26,13.3,13.4,13.0,13.1,53410.0
2010-03-29,13.3,13.3,13.0,13.2,15860.0
2010-03-30,13.2,13.3,13.0,13.1,49370.0
2010-03-31,12.9,13.1,12.8,13.0,46980.0
2010-04-01,13.1,13.1,12.8,13.1,42780.0
2010-04-02,13.3,13.3,13.0,13.0,31190.0
2010-04-05,13.0,13.3,13.0,13.2,38220.0
2010-04-06,13.5,13.5,13.1,13.1,64880.0
2010-04-07,13.3,13.3,13.0,13.2,22470.0
2010-04-08,13.3,13.8,13.3,13.8,286080.0
2010-04-09,14.3,14.4,14.0,14.3,590430.0
2010-04-12,14.3,14.3,13.6,13.9,85530.0
2010-04-13,13.9,13.9,13.6,13.6,48050.0
2010-04-14,13.6,14.0,13.6,13.7,106400.0
2010-04-15,13.8,14.0,13.5,13.8,94180.0
2010-04-16,14.1,14.1,13.9,14.0,116970.0
2010-04-19,14.4,14.4,13.9,14.3,260160.0
2010-04-20,14.2,14.5,14.1,14.3,189950.0
2010-04-21,14.6,15.0,14.4,15.0,315050.0
2010-04-22,15.7,15.7,14.8,15.0,450330.0
2010-04-26,14.7,15.0,14.5,14.5,133640.0
2010-04-27,14.5,14.8,14.5,14.8,95380.0
2010-04-28,15.1,15.5,14.9,15.5,473520.0
2010-04-29,16.2,16.2,16.0,16.2,724790.0
2010-05-04,17.0,17.0,16.9,17.0,695490.0
2010-05-05,16.5,17.0,16.2,17.0,429280.0
2010-05-06,17.0,17.2,16.5,17.0,423920.0
2010-05-07,16.2,16.5,16.2,16.2,312040.0
2010-05-10,15.4,15.9,15.4,15.4,307180.0
2010-05-11,15.7,15.8,15.0,15.0,296250.0
2010-05-12,14.8,14.8,14.3,14.3,404020.0
2010-05-13,15.0,15.0,14.7,15.0,247900.0
2010-05-14,14.5,15.4,14.5,15.4,206000.0
2010-05-17,15.5,15.5,14.8,14.9,94690.0
2010-05-18,14.7,14.9,14.5,14.6,89680.0
2010-05-19,15.0,15.0,14.3,14.3,157220.0
2010-05-20,12.7,13.7,12.7,13.7,146540.0
2010-05-21,13.2,13.2,13.1,13.1,162290.0
2010-05-24,13.1,13.4,12.8,12.9,66180.0
2010-05-25,12.8,13.1,12.7,12.8,75050.0
2010-05-26,12.8,13.1,12.8,12.8,85320.0
2010-05-27,12.7,12.9,12.6,12.9,106820.0
2010-05-28,13.5,13.5,13.4,13.5,137190.0
2010-05-31,13.0,13.7,13.0,13.2,79110.0
2010-06-01,13.1,13.4,13.1,13.3,48090.0
