date,open,high,low,close,klgdkl
2018-01-04,54.0,54.0,54.0,54.0,12000.0
2018-01-05,57.7,57.7,57.7,57.7,8700.0
2018-01-08,61.7,61.7,61.7,61.7,150720.0
2018-01-09,66.0,66.0,66.0,66.0,223230.0
2018-01-10,70.6,70.6,70.6,70.6,173190.0
2018-01-11,68.0,70.6,65.7,65.7,203460.0
2018-01-12,69.0,69.0,65.0,66.0,234850.0
2018-01-15,66.0,66.5,63.9,64.3,63550.0
2018-01-16,63.1,64.1,62.4,64.1,126190.0
2018-01-17,66.0,67.0,65.0,65.2,106720.0
2018-01-18,65.0,65.0,61.8,64.7,118340.0
2018-01-19,64.7,65.3,63.0,64.9,159450.0
2018-01-22,64.9,66.5,64.9,66.2,295680.0
2018-01-25,67.0,67.0,65.0,66.5,278640.0
2018-01-26,66.7,66.8,66.0,66.4,163520.0
2018-01-29,63.0,66.3,62.8,65.8,269020.0
2018-01-30,64.0,65.8,63.5,65.1,354390.0
2018-01-31,67.0,67.0,65.7,65.9,116870.0
2018-02-01,66.5,68.8,66.0,68.8,471760.0
2018-02-02,70.0,70.0,68.8,69.7,322370.0
2018-02-05,69.3,69.3,68.2,68.6,193730.0
2018-02-06,64.3,66.8,63.8,64.3,280640.0
2018-02-07,66.3,66.5,65.1,66.5,252300.0
2018-02-08,66.5,67.5,65.5,67.0,186020.0
2018-02-09,65.0,65.8,64.0,65.6,175110.0
2018-02-12,66.5,69.9,66.4,67.1,135440.0
2018-02-13,69.0,69.0,67.3,67.9,122540.0
2018-02-21,68.5,72.0,68.5,71.2,179470.0
2018-02-22,72.0,72.0,70.0,71.3,161180.0
2018-02-23,72.0,72.0,71.5,72.0,172900.0
2018-02-26,72.0,73.6,71.0,72.0,145310.0
2018-02-27,72.2,72.2,71.1,71.6,159690.0
2018-02-28,71.6,71.6,71.2,71.6,198250.0
2018-03-01,72.0,72.2,71.6,72.0,422090.0
2018-03-02,71.8,77.0,71.6,76.8,377660.0
2018-03-05,78.0,80.0,78.0,79.0,186220.0
2018-03-06,79.0,79.0,77.3,78.7,123950.0
2018-03-07,78.7,82.0,77.8,78.4,166610.0
2018-03-08,79.0,81.0,78.4,81.0,187690.0
2018-03-09,81.5,85.3,81.5,84.9,219610.0
2018-03-12,83.2,86.0,83.2,83.2,125910.0
2018-03-13,83.0,83.8,81.0,82.9,155190.0
2018-03-14,83.7,84.2,82.9,83.5,138290.0
2018-03-15,84.0,84.0,77.7,77.7,321820.0
2018-03-16,82.0,82.0,77.5,82.0,228160.0
2018-03-19,82.9,82.9,80.3,81.4,124120.0
2018-03-20,81.9,82.4,80.1,82.0,152330.0
2018-03-21,80.3,82.5,76.5,76.5,245380.0
2018-03-22,79.0,79.0,74.6,77.0,173020.0
2018-03-23,73.0,77.0,73.0,76.8,116420.0
2018-03-26,76.8,77.7,76.7,77.6,128920.0
2018-03-27,79.5,82.0,79.0,82.0,154960.0
2018-03-28,82.5,82.5,79.0,80.7,143580.0
2018-03-29,81.0,81.3,79.0,80.0,118090.0
2018-03-30,80.3,80.4,78.0,80.0,112340.0
2018-04-02,80.0,80.0,79.1,79.8,139790.0
2018-04-03,80.0,81.9,80.0,80.5,185980.0
2018-04-04,81.7,81.7,80.0,80.9,175870.0
2018-04-05,81.9,81.9,80.0,80.9,146820.0
2018-04-06,81.4,81.5,80.9,81.4,160160.0
2018-04-09,81.9,82.0,80.0,80.8,135170.0
2018-04-10,81.0,81.0,80.0,80.1,115720.0
2018-04-11,80.7,80.7,77.5,77.9,228580.0
2018-04-12,77.9,77.9,77.0,77.4,138310.0
2018-04-13,76.3,79.0,76.3,78.3,353340.0
2018-04-16,79.2,79.5,78.5,79.0,104460.0
2018-04-17,79.9,80.5,79.8,80.0,257250.0
2018-04-18,80.5,81.4,80.1,81.2,225770.0
2018-04-19,81.5,84.4,81.2,82.0,238130.0
2018-04-20,83.5,83.5,82.3,82.5,106250.0
2018-04-23,83.0,83.5,80.0,82.0,164650.0
2018-04-24,82.0,82.5,81.0,82.5,149860.0
2018-04-26,83.5,83.7,81.5,81.9,122900.0
2018-04-27,81.5,82.0,80.5,82.0,140120.0
2018-05-02,81.5,83.0,80.5,81.5,101420.0
2018-05-03,82.0,82.0,80.1,81.5,103170.0
2018-05-04,82.0,82.7,81.0,81.4,83030.0
2018-05-07,81.4,81.5,78.0,79.5,85350.0
2018-05-08,79.0,79.0,75.5,75.5,118110.0
2018-05-09,75.0,75.0,72.5,73.5,140310.0
2018-05-10,72.1,73.4,71.0,71.0,111260.0
2018-05-11,71.0,71.0,68.0,70.0,72350.0
2018-05-14,70.0,71.5,69.8,71.0,75220.0
2018-05-15,70.0,71.2,70.0,70.1,90040.0
2018-05-16,69.3,70.0,69.0,69.1,91730.0
2018-05-17,70.0,70.3,69.6,69.7,43170.0
2018-05-18,70.0,70.1,69.6,70.0,53280.0
2018-05-21,68.5,70.2,68.5,69.5,65640.0
2018-05-22,69.5,69.5,67.5,67.5,70850.0
2018-05-23,67.0,67.0,66.0,66.9,57130.0
2018-05-24,65.5,66.5,65.5,66.0,60480.0
2018-05-25,65.5,65.5,64.3,65.2,84480.0
2018-05-28,64.0,64.2,63.0,63.0,93020.0
2018-05-29,63.0,63.1,59.0,59.0,171350.0
2018-05-30,59.3,63.1,59.3,63.1,62050.0
2018-05-31,63.1,66.4,63.1,64.8,52930.0
2018-06-01,61.8,69.3,61.8,69.3,91370.0
2018-06-04,69.9,69.9,68.0,69.5,80290.0
2018-06-05,68.5,69.3,68.2,68.7,140830.0
2018-06-06,69.0,69.0,67.5,68.5,80910.0
2018-06-07,69.0,69.9,68.0,68.6,68740.0
2018-06-08,68.6,68.6,66.9,67.2,96500.0
2018-06-11,68.2,68.2,66.0,66.7,73340.0
2018-06-12,66.1,66.5,65.1,66.0,81340.0
2018-06-13,68.0,68.0,65.6,66.9,71040.0
2018-06-14,67.3,67.7,66.0,66.9,116820.0
2018-06-15,67.5,67.8,66.5,67.0,51190.0
2018-06-18,67.0,67.0,62.0,65.0,59800.0
2018-06-19,65.0,65.0,61.0,61.3,57360.0
2018-06-20,62.0,64.0,61.5,63.5,60870.0
2018-06-21,64.2,64.5,61.0,63.9,90220.0
2018-06-22,64.0,64.0,62.0,63.8,57950.0
2018-06-25,64.0,64.0,62.7,63.2,53540.0
2018-06-26,64.0,64.0,62.1,63.0,62820.0
2018-06-27,63.5,63.5,63.0,63.2,63680.0
2018-06-28,63.5,63.5,62.4,62.9,58360.0
2018-06-29,63.5,63.5,62.3,62.9,60000.0
2018-07-02,63.2,63.2,61.8,62.5,71800.0
2018-07-03,62.5,62.5,61.0,62.0,92360.0
2018-07-04,62.0,62.6,61.1,62.4,68840.0
2018-07-05,61.8,62.5,61.8,62.4,59910.0
2018-07-06,62.2,62.4,61.8,62.4,68930.0
2018-07-09,62.4,63.5,62.0,62.9,68460.0
2018-07-10,63.0,63.4,62.9,63.0,60290.0
2018-07-11,62.3,63.0,61.8,62.2,54950.0
2018-07-12,61.0,63.4,59.0,61.0,126380.0
2018-07-13,61.0,63.0,57.0,61.2,55100.0
2018-07-16,61.8,62.0,61.2,61.2,51320.0
2018-07-17,61.2,61.5,61.0,61.3,55530.0
2018-07-18,61.4,62.5,61.2,61.5,51800.0
2018-07-19,61.9,61.9,60.5,60.8,54330.0
2018-07-20,61.8,61.8,60.5,60.8,64000.0
2018-07-23,61.2,61.8,60.6,61.2,50120.0
2018-07-24,60.9,61.5,60.9,61.5,51990.0
2018-07-25,61.5,62.3,61.5,62.3,61350.0
2018-07-26,62.5,63.2,62.5,62.9,57380.0
2018-07-27,63.0,63.2,62.5,63.0,70940.0
2018-07-30,63.0,63.0,62.2,63.0,54550.0
2018-07-31,62.5,62.9,62.1,62.7,53490.0
2018-08-01,62.3,62.9,61.9,62.9,70310.0
2018-08-02,62.5,63.2,62.4,62.7,52300.0
2018-08-03,63.0,63.0,62.0,62.7,51420.0
2018-08-06,62.0,63.0,61.5,62.8,80250.0
2018-08-07,63.0,67.0,63.0,66.9,255960.0
2018-08-08,66.9,67.7,64.6,65.0,109180.0
2018-08-09,65.0,66.0,64.7,65.0,102890.0
2018-08-10,64.8,65.0,63.0,64.3,102800.0
2018-08-13,64.4,64.8,62.6,62.8,88960.0
2018-08-14,62.8,64.0,62.3,63.9,80880.0
2018-08-15,64.3,64.3,62.5,63.4,86700.0
2018-08-16,64.5,64.5,62.5,63.2,69790.0
2018-08-17,64.0,64.0,62.7,63.3,74260.0
2018-08-20,63.9,63.9,63.3,63.4,71810.0
2018-08-21,63.9,63.9,62.5,63.5,69390.0
2018-08-22,63.0,63.6,62.0,63.5,96360.0
2018-08-23,63.0,63.1,61.4,61.7,61540.0
2018-08-24,61.7,62.0,61.5,62.0,56790.0
2018-08-27,62.0,62.5,61.7,62.2,58630.0
2018-08-28,62.7,62.8,61.7,62.5,71390.0
2018-08-29,62.9,62.9,61.7,62.3,62260.0
2018-08-30,62.4,63.0,62.1,62.7,61290.0
2018-08-31,62.8,62.8,61.9,62.5,59620.0
2018-09-04,63.0,63.0,61.5,61.5,54940.0
2018-09-05,61.5,62.4,61.5,62.2,50880.0
2018-09-06,62.5,62.5,62.0,62.2,50070.0
2018-09-07,62.3,62.4,61.5,62.2,56310.0
2018-09-10,62.4,62.4,61.3,62.4,51430.0
2018-09-11,62.3,62.4,61.9,62.3,52210.0
2018-09-12,62.4,62.4,62.1,62.4,59970.0
2018-09-13,62.4,62.4,61.5,61.7,55440.0
2018-09-14,62.5,62.5,61.4,61.4,59050.0
2018-09-17,61.4,61.6,60.7,61.2,51540.0
2018-09-18,61.2,61.9,60.7,61.3,55030.0
2018-09-19,60.8,62.0,60.5,61.4,52700.0
2018-09-20,61.4,62.4,60.8,62.3,60390.0
2018-09-21,62.3,62.6,62.3,62.5,51010.0
2018-09-24,62.5,62.8,62.5,62.7,56980.0
2018-09-25,62.9,62.9,62.6,62.9,55090.0
2018-09-26,63.0,63.1,62.4,62.9,55210.0
2018-09-27,63.0,63.3,62.8,63.2,69340.0
2018-09-28,64.0,65.6,63.8,65.0,139230.0
2018-10-01,66.5,67.2,65.5,66.0,120530.0
2018-10-02,66.0,66.9,66.0,66.6,130840.0
2018-10-03,67.2,67.4,66.9,67.4,111510.0
2018-10-04,67.9,68.0,66.5,66.5,130840.0
2018-10-05,67.0,67.0,66.2,66.5,108540.0
2018-10-08,66.8,66.8,65.5,65.5,120990.0
2018-10-09,65.5,65.6,65.0,65.0,100400.0
2018-10-10,65.2,66.6,65.0,66.6,133520.0
2018-10-11,66.0,66.0,64.8,66.0,92130.0
2018-10-12,65.2,66.5,64.8,66.5,104070.0
2018-10-15,66.5,67.7,66.4,67.6,108220.0
2018-10-16,67.8,68.8,67.8,68.8,121880.0
2018-10-17,68.8,69.9,68.8,69.8,115570.0
2018-10-18,69.8,69.9,69.3,69.7,91670.0
2018-10-19,69.3,69.5,68.2,69.5,106900.0
