date,open,high,low,close,klgdkl
2010-01-04,28.8,29.9,28.8,29.9,144870.0
2010-01-05,31.2,31.3,31.2,31.3,203490.0
2010-01-06,31.3,32.5,31.0,32.5,188230.0
2010-01-07,33.2,34.1,33.2,34.1,128780.0
2010-01-08,35.8,35.8,32.6,32.6,247110.0
2010-01-11,32.5,33.0,32.1,32.6,100060.0
2010-01-12,32.6,32.6,31.0,31.0,163870.0
2010-01-13,30.0,31.3,29.5,30.8,126610.0
2010-01-14,31.6,31.6,30.5,31.0,80220.0
2010-01-15,30.1,31.5,30.0,30.0,39830.0
2010-01-18,29.5,29.5,28.5,29.5,67580.0
2010-01-19,30.0,30.0,29.2,30.0,30030.0
2010-01-20,30.0,30.5,28.8,29.0,34620.0
2010-01-21,28.7,29.0,27.6,27.6,86310.0
2010-01-22,27.2,27.8,26.4,26.8,86470.0
2010-01-25,27.3,28.1,27.3,28.1,86030.0
2010-01-26,29.5,29.5,29.5,29.5,7480.0
2010-01-27,30.9,30.9,30.2,30.9,224400.0
2010-01-28,30.9,30.9,29.4,29.6,66610.0
2010-01-29,29.0,29.8,28.4,29.1,50190.0
2010-02-01,29.9,29.9,28.5,29.2,25430.0
2010-02-02,29.2,30.4,29.2,30.0,48890.0
2010-02-03,30.3,30.3,30.0,30.2,74120.0
2010-02-04,30.2,31.6,30.2,31.2,117930.0
2010-02-05,30.5,32.0,30.5,31.0,174480.0
2010-02-08,30.5,31.0,30.1,30.8,44460.0
2010-02-09,30.9,30.9,30.0,30.3,86150.0
2010-02-10,30.3,31.0,30.3,30.8,41440.0
2010-02-11,31.0,31.0,30.5,30.8,30040.0
2010-02-12,31.1,31.4,30.8,31.4,66870.0
2010-02-22,32.7,32.7,31.5,32.3,114260.0
2010-02-23,32.0,32.0,30.7,30.7,85850.0
2010-02-24,30.7,31.0,30.3,31.0,52220.0
2010-02-25,32.0,32.0,31.0,31.0,61990.0
2010-02-26,31.4,31.5,31.0,31.5,64420.0
2010-03-01,31.5,32.4,31.5,31.6,88500.0
2010-03-02,31.7,32.2,31.5,31.8,128920.0
2010-03-03,32.3,33.3,32.0,33.3,186500.0
2010-03-04,33.3,34.0,33.0,33.0,131040.0
2010-03-05,33.0,33.5,32.2,33.0,93620.0
2010-03-08,34.2,34.2,33.6,33.7,124840.0
2010-03-09,33.8,34.4,33.4,34.0,154760.0
2010-03-10,33.9,34.3,33.7,34.0,168270.0
2010-03-11,34.0,34.4,33.9,34.0,146740.0
2010-03-12,34.0,34.7,34.0,34.5,89210.0
2010-03-15,35.6,35.6,34.6,34.6,60440.0
2010-03-16,34.0,34.5,33.6,33.7,152340.0
2010-03-17,33.6,34.0,33.5,33.5,88440.0
2010-03-18,33.5,33.8,33.3,33.6,49510.0
2010-03-19,33.9,34.1,33.6,33.9,131640.0
2010-03-22,33.9,34.0,33.8,34.0,83430.0
2010-03-23,34.5,34.8,34.2,34.6,215260.0
2010-03-24,35.0,35.3,34.6,35.3,136350.0
2010-03-25,34.6,35.3,33.8,33.8,326840.0
2010-03-26,34.4,34.8,33.8,34.4,70170.0
2010-03-29,32.7,33.0,32.7,32.8,478640.0
2010-03-30,32.8,32.9,32.0,32.0,126410.0
2010-03-31,32.0,32.0,31.1,31.1,117240.0
2010-04-01,32.5,32.5,31.5,32.0,35580.0
2010-04-02,32.3,33.0,32.0,32.0,52690.0
2010-04-05,33.0,33.0,32.3,32.3,62430.0
2010-04-06,32.4,32.9,32.0,32.3,123340.0
2010-04-07,32.3,32.9,32.1,32.9,74550.0
2010-04-08,32.5,32.8,32.5,32.5,38840.0
2010-04-09,32.4,32.6,32.4,32.5,77820.0
2010-04-12,32.5,32.5,32.1,32.1,68820.0
2010-04-13,32.1,32.9,32.1,32.3,72840.0
2010-04-14,32.5,32.7,32.4,32.7,86690.0
2010-04-15,32.6,32.8,32.5,32.7,124970.0
2010-04-16,33.0,33.0,32.5,32.6,56110.0
2010-04-19,32.6,32.6,32.0,32.0,22840.0
2010-04-20,32.3,32.4,31.9,32.0,70750.0
2010-04-21,32.1,33.3,32.1,32.5,50950.0
2010-04-22,32.8,33.0,32.5,32.5,63050.0
2010-04-26,33.0,33.0,32.3,32.3,31690.0
2010-04-27,32.5,32.5,31.8,32.1,69290.0
2010-04-28,31.5,32.7,31.5,32.0,118120.0
2010-04-29,32.5,33.1,32.1,33.0,180500.0
2010-05-04,33.6,33.6,33.0,33.5,95570.0
2010-05-05,33.5,33.5,32.6,33.0,129980.0
2010-05-06,32.4,33.4,32.4,33.0,39840.0
2010-05-07,32.5,32.5,31.6,32.0,42530.0
2010-05-10,32.0,32.0,31.0,31.1,25130.0
2010-05-11,31.7,32.5,31.3,31.4,25440.0
2010-05-12,32.0,32.0,30.5,30.5,15630.0
2010-05-13,30.5,30.6,30.2,30.2,27650.0
2010-05-14,31.0,31.3,30.5,30.5,37700.0
2010-05-17,30.0,30.5,29.8,29.8,5850.0
2010-05-18,30.4,30.4,29.7,29.8,3650.0
2010-05-19,29.5,29.5,28.4,28.4,38480.0
2010-05-20,28.0,28.4,27.5,28.3,68590.0
2010-05-21,27.8,27.8,26.9,26.9,131100.0
2010-05-24,28.1,28.2,27.1,28.2,8620.0
2010-05-25,28.2,28.9,28.2,28.3,60010.0
2010-05-26,28.5,28.5,28.2,28.2,56660.0
2010-05-27,28.2,28.5,28.0,28.2,19890.0
2010-05-28,28.2,29.4,28.2,29.0,29590.0
2010-05-31,28.3,29.5,28.3,28.7,27030.0
2010-06-01,29.5,29.5,29.0,29.4,62580.0
2010-06-02,29.5,29.5,29.4,29.4,1550.0
2010-06-03,29.4,29.5,29.0,29.5,64000.0
2010-06-04,29.9,29.9,29.3,29.5,9390.0
2010-06-07,29.5,29.5,28.2,29.0,15300.0
2010-06-08,29.0,29.0,28.8,29.0,5950.0
2010-06-09,29.8,29.8,28.7,28.8,11400.0
2010-06-10,29.0,29.4,28.0,28.1,15340.0
2010-06-11,29.4,29.4,28.2,28.3,65060.0
2010-06-14,28.9,29.7,28.5,29.7,79690.0
2010-06-15,30.0,30.4,29.7,30.1,40210.0
2010-06-16,30.2,30.2,29.7,30.2,11860.0
2010-06-17,30.0,30.0,29.3,29.4,39300.0
2010-06-18,29.9,29.9,29.0,29.0,10510.0
2010-06-21,29.1,29.5,29.0,29.1,11910.0
2010-06-22,28.7,29.2,28.7,28.8,16380.0
2010-06-23,28.9,29.0,28.7,29.0,6490.0
2010-06-24,28.5,29.8,28.5,29.0,31110.0
2010-06-25,28.7,29.0,28.5,29.0,13730.0
2010-06-28,28.6,28.8,28.6,28.8,9080.0
2010-06-29,29.4,29.4,28.8,28.8,6570.0
2010-06-30,28.5,28.5,28.2,28.5,14800.0
2010-07-01,28.5,29.0,28.2,28.2,10820.0
2010-07-02,28.2,28.6,28.2,28.2,29900.0
2010-07-05,28.6,29.0,28.4,28.9,1490.0
2010-07-06,28.9,28.9,28.3,28.8,9920.0
2010-07-07,28.9,29.0,28.4,28.9,12610.0
2010-07-08,29.0,30.0,29.0,29.9,66740.0
2010-07-09,29.9,30.6,29.8,30.6,116490.0
2010-07-12,31.0,31.5,30.5,31.5,138630.0
2010-07-13,31.9,32.0,31.0,32.0,34820.0
2010-07-14,31.1,31.6,31.0,31.5,43170.0
2010-07-15,31.1,31.4,30.8,31.0,61370.0
2010-07-16,30.2,31.0,30.2,31.0,85600.0
