date,open,high,low,close,klgdkl
2016-10-28,54.6,54.6,54.6,54.6,100.0
2016-10-31,62.7,62.7,62.7,62.7,100.0
2016-11-01,72.1,72.1,72.1,72.1,150.0
2016-11-02,82.9,82.9,82.9,82.9,2400.0
2016-11-03,95.3,95.3,95.3,95.3,2600.0
2016-11-04,109.5,109.5,109.5,109.5,13700.0
2016-11-07,125.9,125.9,125.9,125.9,31570.0
2016-11-08,144.7,144.7,144.0,144.7,118000.0
2016-11-09,166.4,166.4,123.1,137.1,83468.0
2016-11-10,145.0,161.5,126.1,128.0,82870.0
2016-11-11,128.0,128.0,115.4,115.4,89070.0
2016-11-14,100.1,122.0,100.1,107.0,81180.0
2016-11-15,110.0,115.4,107.0,110.0,65796.0
2016-11-16,110.0,110.0,104.2,104.3,43723.0
2016-11-17,101.4,102.8,99.7,100.0,69040.0
2016-11-18,102.5,102.9,99.0,100.1,46670.0
2016-11-21,100.5,108.0,100.0,107.0,60956.0
2016-11-22,108.9,114.0,108.0,108.0,82797.0
2016-11-23,108.0,110.0,107.0,107.3,55428.0
2016-11-24,106.0,108.9,104.1,105.0,46983.0
2016-11-25,103.1,108.8,103.1,106.2,40279.0
2016-11-28,108.0,111.0,105.5,106.0,64102.0
2016-11-29,107.0,109.4,105.4,107.0,29500.0
2016-11-30,106.0,106.6,105.0,106.1,17150.0
2016-12-01,106.1,111.0,106.0,109.5,85775.0
2016-12-02,109.5,111.0,107.7,111.0,37231.0
2016-12-05,109.6,110.0,108.0,109.8,47570.0
2016-12-06,110.0,111.8,95.0,100.0,122160.0
2016-12-07,100.0,119.1,88.1,116.4,273397.0
2016-12-08,116.0,124.3,105.1,124.3,213727.0
2016-12-09,124.3,135.7,116.7,135.7,172500.0
2016-12-12,129.2,148.4,121.5,148.4,180311.0
2016-12-13,143.0,161.2,143.0,161.2,143120.0
2016-12-14,161.0,180.7,160.0,180.7,78644.0
2016-12-15,201.4,201.4,175.0,201.4,83518.0
2016-12-16,210.0,225.8,180.0,225.8,88668.0
2016-12-19,200.1,210.0,179.6,179.6,31811.0
2016-12-20,175.0,175.0,162.9,163.9,32893.0
2016-12-21,160.0,170.0,138.6,170.0,27650.0
2016-12-22,168.0,169.2,125.2,147.2,76500.0
2016-12-23,130.7,140.0,111.2,130.6,106720.0
2016-12-26,111.1,128.0,111.1,125.0,38952.0
2016-12-27,126.0,140.0,125.0,140.0,41620.0
2016-12-28,135.0,140.0,130.0,132.8,42070.0
2016-12-29,129.0,132.9,124.0,131.0,24010.0
2016-12-30,125.0,128.0,122.6,125.5,13202.0
2017-01-03,125.0,125.0,120.0,122.0,8220.0
2017-01-04,124.0,124.0,118.0,120.0,12890.0
2017-01-05,122.5,138.0,116.4,126.1,78810.0
2017-01-06,122.8,133.0,122.8,127.2,22478.0
2017-01-09,131.9,145.0,125.6,145.0,33410.0
2017-01-10,133.6,133.6,127.5,128.0,17773.0
2017-01-19,147.0,149.9,133.1,135.0,59330.0
2017-01-20,144.0,144.0,136.0,139.0,41550.0
2017-01-23,136.0,140.5,133.2,133.5,10410.0
2017-01-24,133.5,134.0,128.0,133.8,12750.0
2017-01-25,138.0,138.0,131.1,135.0,5320.0
2017-02-02,132.0,134.0,131.0,132.0,12840.0
2017-02-03,130.1,131.0,127.0,127.5,28860.0
2017-02-06,127.5,127.5,119.0,120.0,23400.0
2017-02-07,119.0,120.0,115.0,117.0,20930.0
2017-02-08,116.6,119.5,111.2,117.0,20700.0
2017-02-09,113.9,116.9,113.9,114.0,10950.0
2017-02-10,114.0,117.4,114.0,117.3,9980.0
2017-02-13,117.5,117.5,115.1,115.6,2060.0
2017-02-14,114.0,115.0,113.5,113.5,9270.0
