date,open,high,low,close,klgdkl
2014-01-24,19.0,19.5,18.5,18.8,8417060.0
2014-01-27,18.7,18.8,18.1,18.4,3240910.0
2014-02-06,18.2,18.3,17.6,17.6,959590.0
2014-02-07,17.4,17.5,16.5,16.6,2987600.0
2014-02-10,16.5,17.2,16.2,17.0,4052090.0
2014-02-11,17.2,17.2,16.9,16.9,1938480.0
2014-02-12,16.8,16.9,16.7,16.8,1176180.0
2014-02-13,16.8,16.9,16.6,16.6,2156140.0
2014-02-14,16.8,17.0,16.6,16.8,1489380.0
2014-02-17,16.9,16.9,16.6,16.7,1173560.0
2014-02-18,16.7,16.7,16.6,16.6,1861540.0
2014-02-19,16.7,16.8,16.5,16.6,2988120.0
2014-02-20,16.7,17.2,16.6,16.9,3243650.0
2014-02-21,16.8,16.8,16.7,16.7,903040.0
2014-02-24,16.8,16.8,16.6,16.7,833430.0
2014-02-25,16.6,16.7,16.5,16.7,1249150.0
2014-02-26,16.7,16.9,16.6,16.7,1399670.0
2014-02-27,16.7,17.4,16.7,16.9,3731900.0
2014-02-28,16.8,17.0,16.8,17.0,1154560.0
2014-03-03,16.9,17.0,16.7,16.7,954830.0
2014-03-04,16.6,16.7,16.5,16.6,1551740.0
2014-03-05,16.7,16.8,16.6,16.6,737090.0
2014-03-06,16.6,16.7,16.5,16.6,768340.0
2014-03-07,16.6,16.7,16.6,16.6,773450.0
2014-03-10,16.6,16.8,16.6,16.7,957770.0
2014-03-11,16.6,16.7,16.6,16.6,752790.0
2014-03-12,16.6,16.7,16.5,16.5,979430.0
2014-03-13,16.6,16.6,16.4,16.5,806950.0
2014-03-14,16.6,16.7,16.4,16.6,924510.0
2014-03-17,16.6,16.7,16.5,16.6,989350.0
2014-03-18,16.6,16.9,16.5,16.8,2171570.0
2014-03-19,16.9,17.4,16.9,17.4,5624790.0
2014-03-20,17.5,18.0,17.5,17.7,3325420.0
2014-03-21,17.5,17.8,17.5,17.5,1236010.0
2014-03-24,17.7,18.0,17.6,17.6,2498010.0
2014-03-25,17.7,17.7,17.2,17.2,2051430.0
2014-03-26,17.3,17.3,16.7,16.8,2030920.0
2014-03-27,16.9,16.9,16.7,16.8,1026180.0
2014-03-28,16.8,17.0,16.8,17.0,713160.0
2014-03-31,17.1,17.1,16.8,16.8,831760.0
2014-04-01,16.9,16.9,16.6,16.7,1701600.0
2014-04-02,16.7,16.8,16.5,16.7,1217110.0
2014-04-03,16.7,16.9,16.6,16.8,519700.0
2014-04-04,16.9,16.9,16.7,16.9,608360.0
2014-04-07,16.8,16.9,16.7,16.8,441790.0
2014-04-08,16.8,16.9,16.7,16.7,515610.0
2014-04-10,16.7,16.8,16.7,16.7,485550.0
2014-04-11,16.6,16.7,16.5,16.6,670380.0
2014-04-14,16.7,16.8,16.6,16.7,414100.0
2014-04-15,16.6,16.7,16.5,16.5,480360.0
2014-04-16,16.5,16.5,15.8,16.0,1065090.0
2014-04-17,16.0,16.4,16.0,16.1,681040.0
2014-04-18,16.1,16.2,15.9,15.9,763370.0
2014-04-21,15.9,15.9,15.4,15.5,565920.0
2014-04-22,15.4,15.8,15.3,15.8,529160.0
2014-04-23,15.9,15.9,15.6,15.8,217960.0
2014-04-24,15.7,15.9,15.7,15.9,288090.0
2014-04-25,15.7,16.0,15.7,15.7,516240.0
2014-04-28,15.7,15.8,15.6,15.7,336220.0
2014-04-29,15.7,15.8,15.7,15.8,202970.0
2014-05-05,15.9,15.9,15.5,15.6,301760.0
2014-05-06,15.5,15.6,15.1,15.2,479520.0
2014-05-07,15.2,15.6,15.2,15.5,274120.0
2014-05-08,15.3,15.3,14.5,14.6,1515840.0
2014-05-09,14.4,14.8,14.4,14.8,308830.0
2014-05-12,14.7,14.7,13.8,14.0,520700.0
2014-05-13,13.5,14.2,13.5,14.1,695610.0
2014-05-14,14.0,14.8,14.0,14.7,473470.0
2014-05-15,14.8,14.8,13.9,14.2,636940.0
2014-05-16,14.2,14.6,14.1,14.6,333670.0
2014-05-19,14.4,14.7,14.4,14.5,357580.0
2014-05-20,14.5,14.7,14.4,14.7,181780.0
2014-05-21,14.6,15.0,14.4,14.9,604540.0
2014-05-22,14.9,14.9,14.6,14.6,233070.0
2014-05-23,14.7,14.7,14.5,14.7,163360.0
2014-05-26,14.5,14.7,14.5,14.6,103450.0
2014-05-27,14.6,15.0,14.6,15.0,445140.0
2014-05-28,15.0,15.0,14.8,14.9,404820.0
2014-05-29,14.8,15.0,14.8,14.9,423040.0
2014-05-30,14.8,14.9,14.7,14.8,192420.0
2014-06-02,14.8,14.8,14.5,14.6,278960.0
2014-06-03,14.5,14.7,14.5,14.5,168500.0
2014-06-04,14.5,14.6,14.3,14.5,157450.0
2014-06-05,14.5,14.5,14.3,14.5,54870.0
2014-06-06,14.4,14.6,14.4,14.6,91870.0
2014-06-09,14.6,14.7,14.4,14.5,162110.0
2014-06-10,14.5,14.8,14.4,14.7,216450.0
2014-06-11,14.7,14.7,14.5,14.7,361280.0
2014-06-12,14.7,14.9,14.7,14.9,454450.0
2014-06-13,14.8,15.0,14.7,14.9,507030.0
2014-06-16,14.9,15.0,14.8,14.9,343780.0
2014-06-17,14.9,15.0,14.8,14.9,241630.0
2014-06-18,14.9,15.0,14.8,14.9,427080.0
2014-06-19,14.8,14.9,14.6,14.9,310390.0
2014-06-20,14.8,14.9,14.7,14.7,136260.0
2014-06-23,14.7,14.9,14.7,14.9,210760.0
2014-06-24,14.8,15.0,14.8,15.0,317550.0
2014-06-25,14.9,15.0,14.8,15.0,282130.0
2014-06-26,14.9,15.3,14.8,15.1,561760.0
2014-06-27,15.0,15.2,15.0,15.2,295440.0
2014-06-30,15.2,15.2,15.0,15.2,259480.0
2014-07-01,15.1,15.1,15.0,15.1,375930.0
2014-07-02,15.1,15.3,15.0,15.2,650420.0
2014-07-03,15.2,15.3,15.1,15.2,391260.0
2014-07-04,15.2,15.2,15.1,15.2,206750.0
2014-07-07,15.1,15.2,15.0,15.0,252570.0
2014-07-08,15.0,15.1,14.8,14.8,284940.0
2014-07-09,14.9,15.1,14.8,15.0,304900.0
2014-07-10,15.0,15.0,14.8,14.8,344960.0
2014-07-11,14.9,14.9,14.8,14.9,117230.0
2014-07-14,14.8,14.9,14.7,14.8,82990.0
2014-07-15,14.8,14.9,14.7,14.9,355370.0
2014-07-16,15.0,15.0,14.9,14.9,356200.0
2014-07-17,14.9,15.0,14.8,14.9,103650.0
2014-07-18,15.0,15.0,14.9,15.0,347570.0
2014-07-21,14.9,15.0,14.8,14.9,126260.0
2014-07-22,14.8,14.9,14.7,14.8,95750.0
2014-07-23,14.9,14.9,14.7,14.7,142650.0
2014-07-24,14.7,14.9,14.7,14.8,185940.0
2014-07-25,14.8,15.7,14.8,15.3,1736770.0
2014-07-28,15.3,15.4,15.1,15.3,450520.0
2014-07-29,15.4,15.4,15.1,15.1,242380.0
2014-07-30,15.1,15.4,15.0,15.2,1349570.0
2014-07-31,15.2,15.3,15.1,15.2,356880.0
2014-08-01,15.2,15.4,15.2,15.3,406370.0
2014-08-04,15.3,15.8,15.3,15.7,1466890.0
2014-08-05,15.7,15.8,15.6,15.7,730130.0
2014-08-06,15.7,15.7,15.5,15.6,278630.0
2014-08-07,15.5,15.7,15.5,15.6,603770.0
2014-08-08,15.0,15.0,14.6,14.8,899050.0
2014-08-11,14.7,14.8,14.5,14.5,256040.0
2014-08-12,14.5,14.5,14.3,14.4,252780.0
2014-08-13,14.3,14.5,14.2,14.5,329460.0
2014-08-14,14.4,14.6,14.3,14.3,261390.0
2014-08-15,14.4,14.4,14.2,14.2,202100.0
2014-08-18,14.1,14.2,13.8,13.9,721730.0
2014-08-19,13.9,14.0,13.9,13.9,343930.0
2014-08-20,13.9,14.0,13.9,14.0,370800.0
2014-08-21,14.1,14.2,13.9,14.2,475540.0
2014-08-22,14.2,14.2,13.9,13.9,585500.0
2014-08-25,14.0,14.0,13.9,13.9,313870.0
2014-08-26,14.0,14.1,13.9,14.1,367320.0
2014-08-27,14.1,14.1,13.9,13.9,227180.0
2014-08-28,13.9,14.0,13.9,14.0,202330.0
2014-08-29,14.0,14.9,13.9,14.9,2090500.0
2014-09-03,14.9,15.1,14.6,14.7,593880.0
2014-09-04,14.6,14.8,14.4,14.5,390050.0
2014-09-05,14.4,14.5,14.2,14.4,739480.0
2014-09-08,14.4,14.4,14.2,14.2,846120.0
2014-09-09,14.2,14.3,14.0,14.2,399870.0
2014-09-10,14.1,14.2,14.0,14.1,252240.0
2014-09-11,14.2,14.2,14.0,14.1,209860.0
2014-09-12,14.1,14.2,14.0,14.1,250500.0
2014-09-15,14.1,14.2,13.9,14.0,392500.0
2014-09-16,14.0,14.0,13.8,13.9,473890.0
2014-09-17,13.9,14.0,13.8,13.9,434550.0
2014-09-18,14.0,14.0,13.8,13.9,221490.0
2014-09-19,13.9,14.0,13.8,13.9,225530.0
2014-09-22,13.9,14.0,13.8,13.8,354320.0
2014-09-23,13.8,13.9,13.7,13.8,269030.0
2014-09-24,13.8,13.9,13.7,13.7,206180.0
2014-09-25,13.8,14.0,13.7,13.9,335400.0
2014-09-26,13.9,14.0,13.8,13.8,97740.0
2014-09-29,13.8,14.0,13.8,13.9,368070.0
2014-09-30,13.9,13.9,13.7,13.8,230550.0
2014-10-01,13.8,13.9,13.8,13.8,250860.0
2014-10-02,13.8,13.9,13.8,13.9,343140.0
2014-10-03,13.9,14.0,13.8,13.9,108820.0
2014-10-06,13.9,13.9,13.8,13.9,288640.0
2014-10-07,13.9,13.9,13.8,13.8,258270.0
2014-10-08,13.8,13.8,13.6,13.7,669460.0
2014-10-09,13.7,13.8,13.6,13.7,433470.0
2014-10-10,13.7,13.7,13.6,13.6,423660.0
2014-10-13,13.7,13.7,13.4,13.5,302560.0
2014-10-14,13.6,13.6,13.3,13.3,257940.0
2014-10-15,13.3,13.4,13.2,13.3,272660.0
2014-10-16,13.3,13.4,13.1,13.1,221660.0
2014-10-17,13.1,13.2,12.9,13.1,414390.0
2014-10-20,13.2,13.2,13.0,13.2,100900.0
2014-10-21,13.1,13.2,13.1,13.2,155550.0
2014-10-22,13.2,13.3,13.1,13.2,159840.0
2014-10-23,13.2,13.2,13.0,13.1,311540.0
2014-10-24,13.0,13.2,13.0,13.0,127540.0
2014-10-27,12.9,13.0,12.6,12.6,353810.0
2014-10-28,12.6,12.7,12.6,12.7,299750.0
2014-10-29,12.7,12.9,12.7,12.8,189190.0
2014-10-30,12.9,12.9,12.7,12.8,69700.0
2014-10-31,12.8,13.5,12.7,13.5,372750.0
2014-11-03,13.4,13.5,13.2,13.2,419180.0
2014-11-04,13.2,13.2,13.0,13.0,109060.0
2014-11-05,13.0,13.1,12.9,12.9,133390.0
2014-11-06,13.0,13.2,13.0,13.1,237440.0
2014-11-07,13.1,13.2,13.0,13.1,148180.0
2014-11-10,13.1,13.2,13.1,13.1,113490.0
2014-11-11,13.1,13.2,13.0,13.0,116250.0
2014-11-12,13.1,13.1,13.0,13.0,124110.0
2014-11-13,13.1,13.2,13.0,13.2,139390.0
2014-11-14,13.2,13.2,13.0,13.0,223700.0
2014-11-17,13.2,13.2,13.0,13.2,258110.0
2014-11-18,13.0,13.2,13.0,13.1,244260.0
2014-11-19,13.0,13.1,13.0,13.1,104150.0
2014-11-20,13.1,13.1,13.0,13.0,140250.0
2014-11-21,13.0,13.1,13.0,13.0,347440.0
2014-11-24,13.0,13.0,12.8,12.9,202960.0
2014-11-25,12.9,13.0,12.9,12.9,150970.0
2014-11-26,12.9,13.0,12.8,12.8,274110.0
2014-11-27,12.8,12.8,12.6,12.7,361890.0
2014-11-28,12.7,12.8,12.7,12.7,188610.0
2014-12-01,12.7,12.9,12.7,12.9,97520.0
2014-12-02,12.9,13.1,12.7,13.1,495640.0
2014-12-03,13.0,13.1,12.9,13.1,213520.0
2014-12-04,13.1,13.6,13.0,13.3,801550.0
2014-12-05,13.3,13.5,13.2,13.4,434010.0
2014-12-08,13.4,13.4,13.2,13.2,220750.0
2014-12-09,13.2,13.2,12.8,12.9,428590.0
2014-12-10,12.9,13.2,12.7,13.0,458660.0
2014-12-11,13.0,13.2,12.9,13.1,310500.0
2014-12-12,13.1,13.3,13.1,13.1,188780.0
2014-12-15,13.1,13.2,13.1,13.1,124110.0
2014-12-16,13.0,13.1,12.9,12.9,197950.0
2014-12-17,12.8,13.0,12.5,12.7,373740.0
2014-12-18,12.8,12.9,12.7,12.9,72360.0
2014-12-19,12.9,13.0,12.7,12.9,51430.0
2014-12-22,12.9,13.2,12.9,13.1,364470.0
2014-12-23,13.1,13.2,13.0,13.1,146840.0
2014-12-24,13.0,13.1,12.9,13.0,92620.0
2014-12-25,12.9,13.0,12.8,13.0,102730.0
2014-12-26,13.0,13.0,12.8,12.8,84170.0
2014-12-29,12.9,13.0,12.7,12.7,86380.0
2014-12-30,12.7,12.9,12.7,12.9,128410.0
2014-12-31,12.9,13.1,12.7,12.7,214120.0
2015-01-05,12.9,13.0,12.9,12.9,66380.0
2015-01-06,12.8,13.3,12.8,13.2,403170.0
2015-01-07,13.2,13.6,13.1,13.6,830630.0
2015-01-08,13.6,13.8,13.4,13.6,798240.0
2015-01-09,13.6,14.5,13.6,14.5,3291280.0
2015-01-12,15.0,15.5,14.9,15.5,3509140.0
2015-01-13,15.6,16.5,15.6,16.4,4239540.0
2015-01-14,16.2,16.9,15.9,16.3,3626720.0
2015-01-15,16.3,16.9,16.3,16.4,3854730.0
2015-01-16,16.5,16.7,16.2,16.2,2253150.0
2015-01-19,16.5,16.8,16.2,16.4,3218140.0
2015-01-20,16.3,16.4,16.0,16.2,1468560.0
2015-01-21,16.2,16.3,15.7,15.7,1726690.0
2015-01-22,15.7,16.7,15.4,16.7,4915010.0
2015-01-23,17.2,17.7,17.1,17.4,5685560.0
2015-01-26,17.4,17.6,17.2,17.4,2805130.0
2015-01-27,17.3,18.0,17.1,17.4,6307270.0
2015-01-28,17.4,18.6,17.4,18.6,7664440.0
2015-01-29,18.5,18.8,17.9,18.2,4488270.0
2015-01-30,18.0,18.1,17.4,17.5,4223660.0
2015-02-02,17.4,17.7,17.2,17.2,2416500.0
2015-02-03,17.5,17.5,16.0,16.0,4755860.0
2015-02-04,15.7,15.9,15.1,15.7,4557400.0
2015-02-05,15.8,16.5,15.8,16.4,1889090.0
2015-02-06,16.5,17.4,16.3,17.4,2719610.0
2015-02-09,17.2,17.7,17.1,17.3,4540560.0
2015-02-10,17.8,18.1,17.6,17.9,3685400.0
2015-02-11,17.8,18.2,17.7,18.1,2092460.0
2015-02-12,17.8,18.2,17.5,17.8,2683000.0
2015-02-13,17.8,18.1,17.5,17.8,2237110.0
2015-02-24,18.1,18.6,18.0,18.5,2604540.0
2015-02-25,18.8,19.2,18.4,18.5,6844330.0
2015-02-26,18.5,19.0,18.5,18.9,2272350.0
2015-02-27,18.9,19.1,18.5,18.6,2068430.0
2015-03-02,18.4,18.7,18.3,18.5,2321900.0
2015-03-03,18.5,18.8,18.5,18.6,2069810.0
2015-03-04,18.6,18.7,18.3,18.6,3163180.0
2015-03-05,18.6,18.7,18.1,18.1,2812950.0
2015-03-06,18.0,18.7,17.9,18.5,3674670.0
2015-03-09,18.5,18.6,18.0,18.1,1681020.0
2015-03-10,18.0,18.4,18.0,18.3,1700740.0
2015-03-11,18.1,18.6,18.1,18.3,1830980.0
2015-03-12,18.3,18.5,18.3,18.4,1252200.0
2015-03-13,18.5,18.8,18.5,18.6,2433590.0
2015-03-16,18.5,18.6,18.3,18.3,1402610.0
2015-03-17,18.3,18.5,18.2,18.3,1211420.0
2015-03-18,18.2,18.3,17.9,18.0,2495840.0
2015-03-19,18.2,18.2,17.6,17.7,1820330.0
2015-03-20,18.1,18.0,17.6,17.9,1173340.0
2015-03-23,17.6,18.1,17.2,17.3,1769900.0
2015-03-24,17.1,17.2,16.7,17.2,2786500.0
2015-03-25,17.3,17.6,17.1,17.4,1102480.0
2015-03-26,17.2,18.0,17.2,17.8,2105980.0
2015-03-27,17.9,18.0,17.6,17.7,1477530.0
2015-03-30,17.7,17.8,17.3,17.3,1263880.0
2015-03-31,17.1,17.8,17.1,17.6,1169760.0
2015-04-01,17.6,17.7,17.3,17.3,1268780.0
2015-04-02,17.5,17.9,17.3,17.9,1271640.0
2015-04-03,17.9,18.0,17.7,17.8,1450020.0
2015-04-06,17.8,17.9,17.7,17.8,569590.0
2015-04-07,17.7,18.4,17.7,18.4,2636680.0
2015-04-08,18.4,18.6,18.3,18.5,910500.0
2015-04-09,18.4,18.9,18.4,18.9,2454430.0
2015-04-10,18.8,19.3,18.8,19.0,3852170.0
2015-04-13,19.0,19.2,18.7,19.0,1486590.0
2015-04-14,19.0,19.4,18.9,19.0,5097900.0
2015-04-15,18.8,19.1,18.8,19.0,2069480.0
2015-04-16,19.0,19.7,19.0,19.6,4920810.0
2015-04-17,19.6,19.8,19.3,19.3,2686790.0
2015-04-20,19.2,19.3,19.0,19.1,1284590.0
2015-04-21,19.0,19.3,18.8,18.8,2204810.0
2015-04-22,18.8,19.0,18.4,18.6,2705440.0
2015-04-23,18.7,18.8,18.4,18.6,1127420.0
2015-04-24,18.7,19.0,18.7,19.0,684920.0
2015-04-27,19.0,19.2,18.8,18.8,950380.0
2015-05-04,18.8,18.8,17.5,17.5,1881900.0
2015-05-05,17.7,18.1,17.1,18.0,1981420.0
2015-05-06,18.0,18.2,17.6,17.8,761530.0
2015-05-07,17.6,18.5,17.6,18.4,771260.0
2015-05-08,17.8,18.0,17.5,17.9,1376640.0
2015-05-11,17.9,18.0,17.7,17.7,465380.0
2015-05-12,17.7,17.8,17.1,17.5,1428100.0
2015-05-13,17.5,17.6,17.0,17.3,1621480.0
2015-05-14,17.3,17.7,17.1,17.5,804260.0
2015-05-15,17.6,17.7,17.3,17.3,1013200.0
2015-05-18,17.3,17.4,17.0,17.1,677080.0
2015-05-19,17.3,17.4,17.1,17.3,481540.0
2015-05-20,17.3,17.9,17.3,17.8,1103900.0
2015-05-21,17.9,18.1,17.8,17.8,984730.0
2015-05-22,17.8,18.4,17.8,18.3,1889170.0
2015-05-25,18.2,18.7,18.2,18.6,1170460.0
2015-05-26,18.6,19.3,18.5,19.2,2855890.0
2015-05-27,19.1,19.9,19.0,19.5,2260150.0
2015-05-28,19.6,20.7,19.4,20.3,3016040.0
2015-05-29,20.2,20.7,20.0,20.2,2213330.0
2015-06-01,20.2,21.6,19.9,20.9,2520640.0
2015-06-02,20.9,21.9,20.5,20.6,3699620.0
2015-06-03,20.7,21.2,20.2,20.6,1709380.0
2015-06-04,20.6,21.1,20.4,20.6,2761430.0
2015-06-05,20.5,21.9,20.5,21.8,2937100.0
2015-06-08,22.3,22.6,21.8,21.8,2974130.0
2015-06-09,21.8,22.0,21.0,21.2,3117630.0
2015-06-10,21.2,21.3,20.6,21.2,2616750.0
2015-06-11,21.4,21.7,21.0,21.4,1450590.0
2015-06-12,21.4,21.6,21.1,21.2,1291230.0
2015-06-15,21.3,22.0,21.2,22.0,2040050.0
2015-06-16,22.2,22.4,21.5,21.5,1682910.0
2015-06-17,21.2,21.7,21.1,21.5,1396270.0
2015-06-18,21.5,21.7,21.3,21.3,697040.0
2015-06-19,21.6,22.2,21.5,21.8,1947610.0
2015-06-22,21.8,22.5,21.8,22.5,3260090.0
2015-06-23,22.5,22.8,22.3,22.7,1958010.0
2015-06-24,22.6,22.7,22.4,22.6,1771700.0
2015-06-25,22.5,22.8,22.1,22.7,1556650.0
2015-06-26,22.7,22.7,21.5,21.5,2965660.0
2015-06-29,21.3,22.3,21.2,22.2,2151360.0
2015-06-30,22.0,22.7,22.0,22.1,2042130.0
2015-07-01,22.2,22.3,21.7,21.9,1437650.0
2015-07-02,21.8,23.4,21.8,23.4,4039430.0
2015-07-03,24.0,25.0,23.5,24.6,2702600.0
2015-07-06,24.9,25.6,24.7,25.3,2877760.0
2015-07-07,25.3,27.0,24.7,26.7,3130440.0
2015-07-08,26.3,27.4,25.1,25.9,4433040.0
2015-07-09,25.2,26.2,25.1,25.3,5260640.0
2015-07-10,25.7,25.9,25.3,25.7,3914560.0
2015-07-13,25.7,26.2,25.2,25.8,2417630.0
2015-07-14,25.7,26.9,25.5,26.4,3092980.0
2015-07-15,26.5,26.9,25.8,26.0,2917830.0
2015-07-16,25.8,26.0,25.3,25.8,1999870.0
2015-07-17,25.7,25.8,25.4,25.4,1601570.0
2015-07-20,25.0,25.3,24.5,25.0,2687400.0
2015-07-21,25.0,25.4,24.8,25.0,2000630.0
2015-07-22,24.8,26.4,24.8,26.4,1793210.0
2015-07-23,26.5,26.8,25.9,25.9,3037270.0
2015-07-24,25.9,26.1,25.6,25.7,1457980.0
