date,open,high,low,close,klgdkl
2010-01-04,66.5,70.5,66.5,70.5,105810.0
2010-01-05,73.0,73.5,68.5,68.5,73400.0
2010-01-06,67.0,68.5,66.0,66.0,55750.0
2010-01-07,64.5,66.5,64.0,64.0,60630.0
2010-01-08,66.0,67.0,64.0,64.0,46730.0
2010-01-11,64.0,67.0,64.0,65.5,40050.0
2010-01-12,66.0,66.0,63.0,63.0,36030.0
2010-01-13,62.5,64.0,60.0,63.5,34900.0
2010-01-14,64.5,65.0,63.0,63.5,20740.0
2010-01-15,63.5,63.5,60.5,61.0,29770.0
2010-01-18,59.0,61.0,58.0,58.0,38360.0
2010-01-19,56.5,59.0,56.5,58.5,18880.0
2010-01-20,58.5,59.0,57.5,57.5,20210.0
2010-01-21,57.5,57.5,55.0,55.5,42060.0
2010-01-22,54.5,56.5,54.5,54.5,34460.0
2010-01-25,53.5,55.5,53.5,55.5,10790.0
2010-01-26,58.0,58.0,58.0,58.0,6270.0
2010-01-27,60.5,60.5,59.0,60.0,54760.0
2010-01-28,59.0,60.0,57.0,57.0,22420.0
2010-01-29,56.0,57.5,55.0,57.0,19660.0
2010-02-01,58.0,58.0,56.5,57.0,5450.0
2010-02-02,57.0,57.5,56.5,57.0,17130.0
2010-02-03,57.0,58.0,57.0,58.0,15360.0
2010-02-04,58.0,59.0,57.0,58.5,14980.0
2010-02-05,57.0,58.0,56.0,56.5,15620.0
2010-02-08,57.5,57.5,55.0,56.5,15640.0
2010-02-09,55.5,57.0,55.0,55.0,11590.0
2010-02-10,55.0,56.5,55.0,56.0,10610.0
2010-02-11,56.0,56.5,56.0,56.5,11820.0
2010-02-12,58.0,58.0,57.5,57.5,10960.0
2010-02-22,59.0,59.0,57.5,58.0,3330.0
2010-02-23,56.5,56.5,55.5,55.5,6870.0
2010-02-24,56.5,56.5,55.5,56.0,9260.0
2010-02-25,57.0,57.5,56.0,56.5,6390.0
2010-02-26,56.5,57.0,55.0,57.0,3890.0
2010-03-01,57.5,58.0,57.0,58.0,16770.0
2010-03-02,58.0,58.0,57.0,57.5,10070.0
2010-03-03,57.5,58.0,57.5,57.5,8060.0
2010-03-04,58.5,59.0,58.0,58.5,19680.0
2010-03-05,59.5,59.5,56.5,58.5,20390.0
2010-03-08,59.5,61.0,59.0,60.0,60080.0
2010-03-09,61.0,61.0,59.0,60.0,16160.0
2010-03-10,60.0,60.5,59.5,59.5,10720.0
2010-03-11,60.0,60.0,59.0,59.5,7660.0
2010-03-12,59.0,59.5,59.0,59.5,28920.0
2010-03-15,60.5,62.0,60.0,62.0,83140.0
2010-03-16,62.0,62.0,59.0,59.0,24050.0
2010-03-17,60.0,60.0,58.5,59.0,27620.0
2010-03-18,59.0,60.0,59.0,60.0,20760.0
2010-03-19,60.0,60.0,58.5,58.5,21210.0
2010-03-22,59.0,59.5,58.5,58.5,30460.0
2010-03-23,59.5,59.5,58.0,58.5,11460.0
2010-03-24,59.0,59.0,58.0,58.0,21790.0
2010-03-25,57.0,57.5,57.0,57.0,16500.0
2010-03-26,57.0,57.5,57.0,57.0,12870.0
2010-03-29,57.5,59.5,57.5,59.5,30680.0
2010-03-30,59.5,59.5,58.0,58.0,21500.0
2010-03-31,59.0,60.5,59.0,60.5,128370.0
2010-04-01,61.5,63.0,61.0,62.0,83940.0
2010-04-02,62.5,64.5,62.0,63.0,87770.0
2010-04-05,63.0,64.0,62.0,62.0,30540.0
2010-04-06,62.0,62.0,60.5,60.5,64650.0
2010-04-07,60.0,61.0,59.5,60.0,44340.0
2010-04-08,60.0,61.0,60.0,60.0,21010.0
2010-04-09,60.0,60.5,59.0,60.0,18290.0
2010-04-12,60.0,60.0,59.0,59.5,10690.0
2010-04-13,59.5,60.0,58.5,59.0,24010.0
2010-04-14,59.0,59.0,58.5,58.5,10270.0
2010-04-15,58.0,58.5,57.0,58.0,70060.0
2010-04-16,58.0,59.5,58.0,58.0,18110.0
2010-04-19,58.0,58.0,57.0,58.0,17200.0
2010-04-20,57.5,58.0,57.5,57.5,14470.0
2010-04-21,58.0,58.0,57.0,57.0,25280.0
2010-04-22,58.0,59.5,57.5,58.0,30290.0
2010-04-26,58.0,58.0,57.5,57.5,9990.0
2010-04-27,57.5,57.5,57.0,57.0,22530.0
2010-04-28,57.0,57.5,57.0,57.5,15310.0
2010-04-29,57.5,58.0,57.0,57.5,34590.0
2010-05-04,60.0,60.0,60.0,60.0,56860.0
2010-05-05,60.0,60.5,58.5,58.5,34070.0
2010-05-06,60.0,60.0,58.0,58.5,23290.0
2010-05-07,57.5,57.5,56.0,57.5,49410.0
2010-05-10,57.5,58.0,56.0,56.5,47820.0
2010-05-11,56.5,57.0,56.5,56.5,32510.0
2010-05-12,56.0,56.0,54.0,54.0,49700.0
2010-05-13,53.5,55.0,53.5,54.5,24090.0
2010-05-14,54.5,55.0,54.5,54.5,15460.0
2010-05-17,53.5,53.5,53.0,53.5,13660.0
2010-05-18,53.0,53.5,52.5,53.5,8370.0
2010-05-19,52.0,52.0,51.0,51.0,34310.0
2010-05-20,48.6,51.0,48.6,50.0,24930.0
2010-05-21,47.7,47.9,47.5,47.5,33990.0
2010-05-24,49.3,49.6,48.0,49.3,8620.0
2010-05-25,47.5,49.5,47.5,49.0,8290.0
2010-05-26,49.2,50.0,49.2,49.2,9130.0
2010-05-27,49.0,49.5,48.0,48.5,5350.0
2010-05-28,50.5,50.5,49.5,50.5,22620.0
2010-05-31,49.0,53.0,49.0,52.0,44000.0
2010-06-01,50.0,51.5,50.0,50.5,5080.0
2010-06-02,50.0,50.5,50.0,50.0,7640.0
2010-06-03,51.5,52.0,51.0,51.0,11000.0
2010-06-04,51.5,51.5,51.0,51.0,14710.0
2010-06-07,49.0,50.0,48.5,48.5,30170.0
2010-06-08,48.5,49.0,48.0,48.3,32110.0
2010-06-09,48.6,49.8,48.6,49.7,7890.0
2010-06-10,49.7,49.9,48.0,49.8,9830.0
2010-06-11,51.0,51.0,49.0,49.0,3370.0
2010-06-14,49.0,49.8,48.6,48.6,11870.0
2010-06-15,48.6,49.5,48.6,48.6,18920.0
2010-06-16,50.5,50.5,48.4,48.4,15760.0
2010-06-17,48.4,49.1,48.4,48.4,20000.0
2010-06-18,48.5,49.6,48.4,49.6,29580.0
2010-06-21,49.6,50.0,49.6,49.8,18440.0
2010-06-22,49.8,49.8,49.0,49.0,2400.0
2010-06-23,48.1,49.5,48.1,48.6,2400.0
2010-06-24,49.0,49.0,48.5,48.6,8220.0
2010-06-25,49.0,49.0,48.2,48.2,14540.0
2010-06-28,49.0,49.0,48.0,48.5,4900.0
2010-06-29,48.5,48.5,48.3,48.3,8040.0
2010-06-30,48.0,48.0,47.5,47.8,4220.0
2010-07-01,46.7,47.0,46.7,46.7,14480.0
2010-07-02,47.0,47.0,46.8,47.0,16710.0
2010-07-05,46.5,47.0,46.5,46.8,7850.0
2010-07-06,46.6,47.0,46.5,46.5,7620.0
2010-07-07,46.0,47.0,46.0,46.0,5150.0
2010-07-08,46.0,46.0,45.0,45.6,4170.0
2010-07-09,45.1,46.0,45.1,45.6,7140.0
2010-07-12,45.5,45.5,45.0,45.4,16590.0
2010-07-13,45.6,47.0,45.6,46.0,7290.0
2010-07-14,46.0,46.1,45.7,45.8,7090.0
2010-07-15,46.0,46.0,45.5,45.5,5740.0
2010-07-16,45.5,46.5,45.5,45.7,16030.0
2010-07-19,45.7,45.8,45.7,45.8,3870.0
2010-07-20,45.8,45.8,45.4,45.5,7270.0
2010-07-21,44.7,45.3,44.7,44.7,8250.0
2010-07-22,44.4,44.6,44.4,44.4,3830.0
2010-07-23,44.2,44.5,44.1,44.1,8310.0
2010-07-26,44.5,44.5,43.5,43.5,6660.0
2010-07-27,43.5,44.0,43.2,43.2,9460.0
2010-07-28,43.0,43.0,42.5,43.0,6560.0
2010-07-29,41.3,42.0,41.3,41.3,11360.0
2010-07-30,40.8,43.0,40.8,42.7,7680.0
2010-08-02,43.0,43.0,42.7,42.8,2330.0
2010-08-03,43.0,43.0,42.2,42.6,2170.0
2010-08-04,42.6,42.6,41.5,41.6,3650.0
2010-08-05,42.0,42.0,41.0,41.5,8220.0
2010-08-06,41.5,41.5,41.4,41.5,1720.0
2010-08-09,40.1,40.2,39.5,39.5,30130.0
2010-08-10,37.7,38.0,37.6,37.6,19570.0
2010-08-11,36.5,37.9,36.5,37.9,3420.0
2010-08-12,36.8,37.0,36.1,36.1,15090.0
2010-08-13,36.1,36.1,35.1,35.5,7620.0
2010-08-16,35.5,36.8,35.5,36.8,19770.0
2010-08-17,37.0,37.0,35.2,36.9,5380.0
2010-08-18,35.8,36.3,35.7,36.0,4130.0
2010-08-19,35.2,36.0,35.2,35.2,9770.0
2010-08-20,35.7,35.7,34.5,35.0,12470.0
2010-08-23,34.7,35.3,34.7,34.7,4380.0
2010-08-24,34.5,34.5,33.0,33.0,15550.0
2010-08-25,33.0,33.0,31.4,31.4,13910.0
2010-08-26,31.4,31.8,29.9,29.9,19030.0
2010-08-27,31.0,31.0,29.9,30.3,18100.0
2010-08-30,31.4,31.8,31.4,31.8,23380.0
2010-08-31,33.0,33.3,32.5,33.3,29220.0
2010-09-01,34.5,34.5,33.3,33.7,18740.0
2010-09-06,35.0,35.3,34.4,35.3,37820.0
2010-09-07,35.3,35.3,33.7,35.0,9710.0
2010-09-08,35.0,35.0,33.5,33.5,5650.0
