date,open,high,low,close,klgdkl
2010-01-04,30.0,31.9,30.0,31.8,142420.0
2010-01-05,33.0,33.0,31.7,32.0,200100.0
2010-01-06,31.0,31.9,30.8,31.9,203390.0
2010-01-07,31.5,31.8,31.0,31.4,101420.0
2010-01-08,31.4,32.3,31.4,31.5,257750.0
2010-01-11,31.9,31.9,30.7,31.5,99820.0
2010-01-12,31.5,31.6,30.9,30.9,152270.0
2010-01-13,31.9,32.4,31.5,32.4,603080.0
2010-01-14,33.9,34.0,33.5,34.0,303360.0
2010-01-15,34.0,35.0,34.0,35.0,278200.0
2010-01-18,35.0,35.0,33.3,33.3,112160.0
2010-01-19,34.0,34.7,33.5,34.7,282220.0
2010-01-20,35.5,35.5,34.7,35.0,305620.0
2010-01-21,34.0,35.0,34.0,34.3,211050.0
2010-01-22,34.3,34.7,33.2,34.5,207660.0
2010-01-25,34.8,34.9,34.5,34.9,171620.0
2010-01-26,35.5,35.5,35.1,35.5,142040.0
2010-01-27,35.5,35.5,34.5,34.5,150780.0
2010-01-28,34.5,35.2,34.5,35.2,190950.0
2010-01-29,35.2,35.5,35.1,35.5,149100.0
2010-02-01,36.0,36.0,35.7,36.0,155650.0
2010-02-02,36.0,36.4,35.7,36.4,102760.0
2010-02-03,36.7,38.0,36.7,38.0,264120.0
2010-02-04,38.0,38.4,38.0,38.2,175140.0
2010-02-05,38.2,38.2,37.4,38.2,204660.0
2010-02-08,38.0,38.2,37.9,38.2,108030.0
2010-02-09,37.6,38.1,37.6,38.0,216700.0
2010-02-10,38.5,39.5,38.4,39.5,178290.0
2010-02-11,40.0,41.4,39.5,41.4,325360.0
2010-02-12,43.0,43.4,42.3,43.4,388970.0
2010-02-22,45.5,45.5,45.0,45.2,368570.0
2010-02-23,44.5,44.5,43.0,43.0,395140.0
2010-02-24,42.5,42.5,40.9,40.9,495890.0
2010-02-25,41.0,42.9,41.0,42.9,328580.0
2010-02-26,42.9,45.0,42.2,45.0,326410.0
2010-03-01,45.0,45.6,45.0,45.5,302320.0
2010-03-02,44.0,44.5,43.3,43.3,169020.0
2010-03-03,43.3,44.0,42.4,42.9,217660.0
2010-03-04,42.9,43.5,42.7,42.9,135390.0
2010-03-05,42.9,43.1,42.0,42.9,99880.0
2010-03-08,43.0,43.5,42.9,43.5,169640.0
2010-03-09,43.8,45.5,43.5,45.5,363710.0
2010-03-10,45.5,45.5,44.0,44.0,184070.0
2010-03-11,42.9,44.0,42.0,42.0,107650.0
2010-03-12,43.5,43.8,42.6,43.8,184140.0
2010-03-15,44.6,44.8,44.3,44.5,168690.0
2010-03-16,42.6,44.4,42.6,42.6,290120.0
2010-03-17,43.0,43.4,42.6,43.0,683190.0
2010-03-18,43.0,43.3,43.0,43.0,626930.0
2010-03-19,42.6,43.4,41.5,41.5,531800.0
2010-03-22,42.0,43.0,42.0,43.0,125480.0
2010-03-23,43.4,43.4,43.0,43.0,149440.0
2010-03-24,43.5,43.5,43.1,43.4,157640.0
2010-03-25,42.6,43.0,42.1,42.6,82870.0
2010-03-26,43.1,44.0,43.0,44.0,315190.0
2010-03-29,44.2,44.2,42.7,42.7,53920.0
2010-03-30,43.4,43.4,42.0,43.0,236420.0
2010-03-31,43.0,43.3,42.5,42.6,145520.0
2010-04-01,42.6,43.0,42.6,43.0,53240.0
2010-04-02,42.1,43.0,42.1,43.0,82900.0
2010-04-05,42.5,43.3,42.5,43.1,55070.0
2010-04-06,43.5,43.5,43.4,43.4,116950.0
2010-04-07,43.4,43.4,42.7,43.3,94020.0
2010-04-08,42.3,43.3,42.3,43.3,71980.0
2010-04-09,43.3,43.3,43.0,43.3,104430.0
