date,open,high,low,close,klgdkl
2017-07-20,17.15,17.15,17.15,17.15,2000.0
2017-07-21,18.35,18.35,18.35,18.35,10010.0
2017-07-24,19.6,19.6,19.6,19.6,10.0
2017-07-25,20.95,20.95,20.95,20.95,10.0
2017-07-26,22.4,22.4,22.4,22.4,6020.0
2017-07-27,23.95,23.95,22.7,23.95,1078970.0
2017-07-28,25.6,25.6,25.3,25.6,360000.0
2017-07-31,27.35,27.35,27.35,27.35,220000.0
2017-08-01,29.25,29.25,29.25,29.25,551530.0
2017-08-02,31.25,31.25,28.0,29.0,703050.0
2017-08-03,29.0,29.0,27.0,27.0,353980.0
2017-08-04,28.0,28.85,27.0,28.8,194320.0
2017-08-07,29.9,29.9,28.2,28.8,124720.0
2017-08-08,28.0,28.2,27.1,27.1,245060.0
2017-08-09,27.0,27.7,25.25,27.7,675340.0
2017-08-10,27.7,27.7,25.9,26.1,86550.0
2017-08-11,25.0,27.0,25.0,27.0,152900.0
2017-08-14,27.0,27.25,25.6,26.45,161420.0
2017-08-15,26.1,26.1,24.6,25.2,391180.0
2017-08-16,25.8,25.8,25.1,25.5,106700.0
2017-08-17,25.5,25.7,25.3,25.3,80110.0
2017-08-18,25.3,25.3,24.8,25.0,67000.0
2017-08-21,24.95,25.75,24.9,25.7,135980.0
2017-08-22,25.7,25.7,25.15,25.4,16960.0
2017-08-23,25.0,25.4,25.0,25.2,38920.0
2017-08-24,25.2,25.2,24.9,25.0,22810.0
2017-08-25,25.0,25.6,25.0,25.4,158370.0
2017-08-28,25.1,25.85,24.9,25.8,161300.0
2017-08-29,26.0,26.0,25.3,25.8,62230.0
2017-08-30,25.7,25.7,25.0,25.3,114910.0
2017-08-31,25.15,25.55,24.7,25.0,225550.0
2017-09-01,25.0,25.55,24.9,25.5,161080.0
2017-09-05,25.95,25.95,25.2,25.5,126890.0
2017-09-06,25.05,25.3,25.0,25.1,521380.0
2017-09-07,25.2,25.3,25.0,25.3,172410.0
2017-09-08,25.4,26.4,25.35,25.9,253780.0
2017-09-11,26.5,26.9,25.5,26.0,320470.0
2017-09-12,25.35,26.3,25.35,26.0,482780.0
2017-09-13,26.75,27.0,25.7,26.5,585880.0
2017-09-14,27.2,28.0,26.8,27.1,607710.0
2017-09-15,27.5,27.75,26.85,26.85,696120.0
2017-09-18,26.85,27.05,26.3,26.5,475760.0
2017-09-19,26.3,26.5,25.9,26.0,1038800.0
2017-09-20,26.0,26.0,25.2,25.2,1205870.0
2017-09-21,25.2,25.6,25.2,25.5,1105750.0
2017-09-22,26.2,27.25,26.2,27.25,969900.0
2017-09-25,28.0,28.4,27.2,27.4,268030.0
2017-09-26,27.4,27.4,26.65,27.0,347490.0
2017-09-27,27.0,27.25,26.8,27.1,212930.0
2017-09-28,27.3,27.3,26.95,27.0,399530.0
