date,open,high,low,close,klgdkl
2011-02-24,12.0,12.0,12.0,12.0,0.0
2011-02-25,12.0,12.0,12.0,12.0,0.0
2011-02-28,12.0,12.0,12.0,12.0,0.0
2011-03-01,12.0,12.0,12.0,12.0,0.0
2011-03-02,12.0,12.0,12.0,12.0,0.0
2011-03-03,12.0,12.0,12.0,12.0,0.0
2011-03-04,12.0,12.0,12.0,12.0,0.0
2011-03-07,12.0,12.0,12.0,12.0,0.0
2011-03-08,12.5,12.5,12.5,12.5,200.0
2011-03-09,12.5,12.5,12.5,12.5,0.0
2011-03-10,12.5,12.5,12.5,12.5,0.0
2011-03-11,12.5,12.5,12.5,12.5,0.0
2011-03-14,12.5,12.5,12.5,12.5,0.0
2011-03-15,11.3,11.3,11.3,11.3,100.0
2011-03-16,11.3,11.3,11.3,11.3,0.0
2011-03-17,11.3,11.3,11.3,11.3,0.0
2011-03-18,10.2,11.5,10.2,11.5,200.0
2011-03-21,10.9,10.9,10.9,11.5,0.0
2011-03-22,10.9,10.9,10.9,11.5,0.0
2011-03-23,10.9,10.9,10.9,11.5,0.0
2011-03-24,10.9,10.9,10.9,11.5,0.0
2011-03-25,10.9,10.9,10.9,11.5,0.0
2011-03-28,10.0,10.0,10.0,10.0,100.0
2011-03-29,10.0,10.0,10.0,10.0,0.0
2011-03-30,10.0,10.0,10.0,10.0,0.0
2011-03-31,10.0,10.0,10.0,10.0,0.0
2011-04-01,10.0,10.0,10.0,10.0,0.0
2011-04-04,10.0,10.0,10.0,10.0,0.0
2011-04-05,10.0,10.0,10.0,10.0,0.0
2011-04-06,10.0,10.0,10.0,10.0,0.0
2011-04-07,10.0,10.0,10.0,10.0,0.0
2011-04-08,10.0,10.0,10.0,10.0,0.0
2011-04-13,10.0,10.0,10.0,10.0,0.0
2011-04-14,10.0,10.0,10.0,10.0,0.0
2011-04-15,10.0,10.0,10.0,10.0,0.0
2011-04-18,9.2,9.2,9.2,9.2,100.0
2011-04-19,9.2,9.2,9.2,9.2,0.0
2011-04-20,9.2,9.2,9.2,9.2,0.0
2011-04-21,9.2,9.2,9.2,9.2,0.0
2011-04-22,9.2,9.2,9.2,9.2,0.0
2011-04-25,9.2,9.2,9.2,9.2,0.0
2011-04-26,9.2,9.2,9.2,9.2,0.0
2011-04-27,9.2,9.2,9.2,9.2,0.0
2011-04-28,9.2,9.2,9.2,9.2,0.0
2011-04-29,9.2,9.2,9.2,9.2,0.0
2011-05-04,9.2,9.2,9.2,9.2,0.0
2011-05-05,9.2,9.2,9.2,9.2,0.0
2011-05-06,9.2,9.2,9.2,9.2,0.0
2011-05-09,8.3,8.3,8.3,8.3,100.0
2011-05-10,8.3,8.3,8.3,8.3,0.0
2011-05-11,8.3,8.3,8.3,8.3,0.0
2011-05-12,8.3,8.3,8.3,8.3,0.0
2011-05-13,8.3,8.3,8.3,8.3,0.0
2011-05-16,8.3,8.3,8.3,8.3,0.0
2011-05-17,7.5,7.5,7.5,7.5,100.0
2011-05-18,7.5,7.5,7.5,7.5,0.0
2011-05-19,7.5,7.5,7.5,7.5,0.0
2011-05-20,7.5,7.5,7.5,7.5,0.0
2011-05-23,7.5,7.5,7.5,7.5,0.0
2011-05-24,7.5,7.5,7.5,7.5,0.0
2011-05-25,7.5,7.5,7.5,7.5,0.0
2011-05-26,7.5,7.5,7.5,7.5,0.0
2011-05-27,7.5,7.5,7.5,7.5,0.0
2011-05-30,6.8,6.8,6.8,6.8,100.0
2011-05-31,6.8,6.8,6.8,6.8,0.0
2011-06-01,6.2,6.2,6.2,6.2,100.0
2011-06-02,6.2,6.2,6.2,6.2,0.0
2011-06-03,6.2,6.2,6.2,6.2,0.0
2011-06-06,6.2,6.2,6.2,6.2,0.0
2011-06-07,4.7,4.7,4.7,6.2,0.0
2011-06-08,4.7,4.7,4.7,6.2,0.0
2011-06-09,4.7,4.7,4.7,6.2,0.0
2011-06-10,4.7,4.7,4.7,6.2,0.0
2011-06-13,4.7,4.7,4.7,6.2,0.0
2011-06-14,4.7,4.7,4.7,6.2,0.0
2011-06-15,4.7,4.7,4.7,6.2,0.0
2011-06-16,4.7,4.7,4.7,6.2,0.0
2011-06-17,5.1,5.1,5.1,5.1,100.0
2011-06-20,4.6,4.6,4.6,4.6,100.0
2011-06-21,4.6,4.6,4.6,4.6,0.0
2011-06-22,4.6,4.6,4.6,4.6,0.0
