date,open,high,low,close,klgdkl
2017-05-15,26.75,26.75,26.75,26.75,38000.0
2017-05-16,28.6,28.6,28.05,28.6,2807600.0
2017-05-17,29.95,30.6,29.3,30.6,1270100.0
2017-05-18,31.6,31.6,30.6,30.7,1985160.0
2017-05-19,30.0,32.8,29.5,32.8,2535030.0
2017-05-22,33.5,34.0,32.85,33.3,1358090.0
2017-05-23,33.3,33.3,31.0,31.0,1856070.0
2017-05-24,29.4,31.7,29.4,31.3,1252810.0
2017-05-25,31.0,31.8,29.8,29.8,588680.0
2017-05-26,29.8,30.45,29.0,29.0,507540.0
2017-05-29,29.0,29.0,28.1,28.45,528150.0
2017-05-30,28.0,29.0,26.5,26.5,2271640.0
2017-05-31,27.0,27.0,24.65,25.4,3636170.0
2017-06-01,25.9,26.8,25.4,25.4,696500.0
2017-06-02,25.5,25.7,25.4,25.5,507560.0
2017-06-05,25.5,25.5,24.5,24.7,848740.0
2017-06-06,24.7,25.9,24.7,25.35,579380.0
2017-06-07,25.9,25.9,25.25,25.45,402840.0
2017-06-08,25.6,25.7,25.35,25.5,629520.0
2017-06-09,25.5,25.9,25.4,25.75,338610.0
2017-06-12,25.9,25.9,25.4,25.4,260450.0
2017-06-13,25.5,25.5,25.2,25.5,202330.0
2017-06-14,25.5,25.7,25.35,25.4,219630.0
2017-06-15,25.4,25.6,25.2,25.3,140700.0
2017-06-16,25.4,25.4,25.15,25.15,240860.0
2017-06-19,25.15,26.45,25.15,26.15,630570.0
2017-06-20,26.3,26.6,26.0,26.2,745150.0
2017-06-21,26.2,26.4,25.8,26.2,300910.0
2017-06-22,26.05,26.6,26.0,26.4,621860.0
2017-06-23,26.1,26.4,25.9,25.9,449980.0
2017-06-26,26.0,26.8,26.0,26.6,517870.0
2017-06-27,26.65,27.4,26.6,27.15,809850.0
2017-06-28,27.0,27.2,26.9,27.15,177220.0
2017-06-29,26.85,27.1,26.7,26.7,181880.0
2017-06-30,26.35,27.0,26.35,26.6,119010.0
2017-07-03,26.4,26.7,26.2,26.3,59780.0
2017-07-04,26.0,26.3,25.95,25.95,265950.0
2017-07-05,26.0,26.05,25.85,25.85,110760.0
2017-07-06,25.85,26.4,25.7,26.0,82840.0
2017-07-07,26.4,26.4,25.8,25.9,113750.0
2017-07-10,26.0,26.0,25.5,25.9,265600.0
2017-07-11,25.8,26.0,25.4,25.65,429540.0
2017-07-12,25.6,25.95,25.6,25.65,139440.0
2017-07-13,25.55,25.85,25.55,25.6,216050.0
2017-07-14,25.6,25.7,25.4,25.6,102350.0
2017-07-17,25.4,25.55,24.8,25.1,357190.0
2017-07-18,25.0,25.4,24.7,25.1,280020.0
2017-07-19,24.65,25.2,24.2,24.4,180140.0
2017-07-20,24.5,25.1,24.5,25.0,241160.0
2017-07-21,25.0,25.0,24.4,24.7,123460.0
2017-07-24,24.5,24.5,23.7,23.7,63060.0
2017-07-25,23.2,24.2,23.2,24.0,126890.0
2017-07-26,24.0,25.0,24.0,24.8,96850.0
2017-07-27,24.5,24.9,24.5,24.5,130450.0
2017-07-28,24.5,24.8,24.0,24.7,97830.0
2017-07-31,24.7,24.8,24.35,24.35,88430.0
2017-08-01,24.4,24.5,24.2,24.35,109400.0
2017-08-02,23.5,24.4,23.5,24.2,102190.0
2017-08-03,24.1,24.3,23.85,24.3,119660.0
2017-08-04,23.9,24.3,23.9,24.3,143830.0
2017-08-07,24.0,24.4,24.0,24.3,127800.0
2017-08-08,24.3,24.8,24.3,24.8,324710.0
2017-08-09,24.8,25.0,24.6,24.7,169590.0
2017-08-10,24.6,24.9,24.25,24.7,68730.0
2017-08-11,24.3,24.8,24.3,24.8,129940.0
2017-08-14,24.8,25.45,24.8,25.2,146280.0
2017-08-15,25.3,26.1,25.25,25.8,310140.0
2017-08-16,26.4,26.4,25.5,25.8,104950.0
2017-08-17,25.75,25.8,25.0,25.0,60580.0
2017-08-18,24.6,25.8,24.6,25.0,106610.0
2017-08-21,25.0,25.2,25.0,25.0,37980.0
2017-08-22,24.7,25.0,24.55,25.0,83480.0
2017-08-23,24.85,24.9,24.55,24.6,66910.0
2017-08-24,24.55,24.8,24.5,24.7,19180.0
2017-08-25,24.7,24.7,24.1,24.7,53900.0
2017-08-28,24.7,24.7,24.0,24.5,36350.0
2017-08-29,24.35,24.5,24.1,24.1,45080.0
2017-08-30,24.1,25.75,24.1,25.75,621410.0
2017-08-31,27.0,27.0,26.0,26.5,540630.0
2017-09-01,26.5,26.6,25.45,26.45,459980.0
2017-09-05,25.55,26.35,25.55,25.55,20050.0
2017-09-06,24.9,25.3,24.6,25.2,23660.0
2017-09-07,25.0,25.0,24.65,24.75,8390.0
2017-09-08,24.75,25.35,24.7,24.95,82170.0
2017-09-11,24.7,25.0,24.6,24.95,33070.0
2017-09-12,25.0,25.05,24.65,25.0,49810.0
2017-09-13,25.0,25.0,24.8,25.0,11620.0
2017-09-14,25.0,25.35,25.0,25.05,110810.0
2017-09-15,25.3,25.3,24.85,25.0,42680.0
2017-09-18,25.0,25.5,25.0,25.2,125200.0
2017-09-19,25.35,25.35,24.9,25.2,143510.0
2017-09-20,25.0,25.2,24.95,25.0,60900.0
2017-09-21,25.0,25.0,24.7,25.0,79860.0
2017-09-22,25.5,25.5,24.8,25.3,184450.0
2017-09-25,25.3,25.45,25.2,25.2,119850.0
2017-09-26,24.9,26.9,24.9,25.25,111630.0
2017-09-27,25.2,25.2,24.3,24.8,19010.0
2017-09-28,24.85,24.85,24.2,24.5,10830.0
2017-09-29,25.0,25.0,23.0,24.5,210360.0
2017-10-02,24.8,24.8,24.0,24.0,5100.0
2017-10-03,23.75,24.7,23.5,24.1,25710.0
2017-10-04,24.35,24.35,24.1,24.1,17580.0
2017-10-05,24.1,24.4,23.9,24.2,28420.0
2017-10-06,24.1,24.2,23.8,24.0,38790.0
2017-10-09,24.0,24.2,23.65,24.2,62980.0
2017-10-10,24.0,25.0,24.0,24.5,204370.0
2017-10-11,24.4,25.0,24.3,24.6,267020.0
2017-10-12,24.3,24.85,24.0,24.65,84010.0
2017-10-13,24.75,24.75,24.25,24.45,820.0
2017-10-16,24.5,24.8,24.3,24.6,31320.0
2017-10-17,24.3,24.45,24.1,24.1,12830.0
2017-10-18,24.1,24.3,23.8,23.8,32480.0
2017-10-19,23.8,23.9,23.6,23.6,7440.0
2017-10-20,24.5,24.5,23.55,23.55,9340.0
2017-10-23,23.7,23.7,22.5,23.7,44120.0
2017-10-24,23.65,23.65,23.65,23.65,100.0
2017-10-25,23.2,23.5,23.0,23.1,32510.0
2017-10-26,22.5,23.4,22.5,23.3,3510.0
2017-10-27,23.2,23.25,22.6,23.25,23120.0
2017-10-30,22.6,23.9,22.6,23.3,18030.0
2017-10-31,24.0,24.0,22.6,23.35,309610.0
2017-11-01,23.3,23.35,22.75,23.0,72140.0
2017-11-02,22.6,23.3,22.6,23.0,146020.0
2017-11-03,22.45,23.0,22.4,22.9,115700.0
2017-11-06,23.0,23.1,22.65,22.8,43610.0
2017-11-07,22.45,22.9,22.4,22.8,87150.0
2017-11-08,22.6,22.8,22.5,22.8,21500.0
2017-11-09,22.7,22.8,22.45,22.7,159680.0
2017-11-10,22.65,22.8,22.5,22.6,192910.0
2017-11-13,22.5,22.85,22.5,22.6,169350.0
2017-11-14,22.5,22.7,22.5,22.6,99600.0
2017-11-15,24.15,24.15,22.6,24.15,337370.0
2017-11-16,25.5,25.5,24.25,24.9,689360.0
2017-11-17,24.6,25.35,24.6,25.0,265270.0
2017-11-20,24.95,25.0,24.9,24.9,14050.0
2017-11-21,24.15,24.85,24.0,24.5,150910.0
2017-11-22,24.5,24.5,23.9,24.5,53710.0
2017-11-23,24.5,26.2,24.5,26.2,1033490.0
2017-11-24,26.2,26.2,25.25,26.15,290350.0
2017-11-27,25.9,26.1,25.35,26.0,128520.0
2017-11-28,25.95,26.1,25.5,25.55,168100.0
2017-11-29,25.4,26.15,25.4,25.75,145970.0
2017-11-30,25.75,25.75,25.25,25.65,195870.0
2017-12-01,25.65,25.65,25.0,25.65,78370.0
2017-12-04,25.65,26.0,25.5,25.85,33200.0
2017-12-05,25.85,25.85,25.4,25.8,51440.0
2017-12-06,25.8,25.8,25.8,25.8,0.0
2017-12-07,25.6,25.7,25.45,25.45,228640.0
2017-12-08,25.5,25.5,25.45,25.45,23530.0
2017-12-11,25.0,25.0,23.8,24.85,85740.0
2017-12-12,24.9,24.9,23.85,24.85,19400.0
2017-12-13,24.85,24.85,24.1,24.8,6590.0
2017-12-14,24.5,24.5,24.4,24.5,2110.0
2017-12-15,23.6,25.7,23.6,25.1,66280.0
2017-12-18,24.5,25.2,24.15,25.2,30020.0
2017-12-19,24.05,24.95,24.05,24.95,124400.0
2017-12-20,24.2,24.95,24.1,24.15,57370.0
2017-12-21,24.2,24.7,24.15,24.4,45480.0
2017-12-22,24.1,24.45,24.1,24.45,5510.0
2017-12-25,24.5,24.7,24.4,24.7,82020.0
2017-12-26,24.1,24.6,24.0,24.6,5400.0
2017-12-27,24.5,24.6,24.15,24.5,58530.0
2017-12-28,24.6,24.65,24.0,24.65,15200.0
2017-12-29,24.1,24.6,23.8,24.6,3120.0
2018-01-02,23.95,24.0,23.95,24.0,33010.0
2018-01-03,24.0,24.4,23.5,24.0,27540.0
2018-01-04,23.15,24.0,23.15,24.0,73280.0
2018-01-05,23.15,23.5,23.0,23.0,132380.0
2018-01-08,23.9,23.9,23.7,23.9,5220.0
2018-01-09,23.8,24.0,23.3,24.0,140350.0
2018-01-10,23.3,24.0,23.0,23.9,227680.0
2018-01-11,23.5,23.75,23.4,23.75,118620.0
2018-01-12,23.75,23.75,23.05,23.3,50060.0
2018-01-15,23.85,23.85,23.5,23.5,5460.0
2018-01-16,23.85,23.85,23.5,23.5,3070.0
2018-01-17,23.7,23.7,23.0,23.45,9380.0
2018-01-18,22.1,23.4,22.1,23.3,59330.0
2018-01-19,23.4,23.4,22.8,23.2,16530.0
2018-01-22,23.0,23.0,22.1,22.95,21410.0
2018-01-25,23.45,23.45,22.15,23.45,87500.0
2018-01-26,23.4,23.45,22.1,22.35,248860.0
2018-01-29,22.1,22.85,22.1,22.5,45070.0
2018-01-30,22.85,22.85,22.3,22.6,2290.0
2018-01-31,23.0,23.0,22.0,22.8,176020.0
2018-02-01,22.75,22.75,22.5,22.5,12530.0
2018-02-02,21.5,22.0,21.5,22.0,13620.0
2018-02-05,21.0,22.2,21.0,21.0,17260.0
2018-02-06,19.8,20.85,19.55,19.8,434310.0
2018-02-07,21.0,21.15,19.0,20.35,36020.0
2018-02-08,21.2,21.2,19.5,20.7,14290.0
2018-02-09,20.0,20.0,19.6,20.0,9400.0
2018-02-12,21.1,21.1,20.4,20.75,3130.0
2018-02-13,21.25,21.25,20.9,21.0,20150.0
2018-02-21,21.1,22.3,21.0,22.3,31430.0
2018-02-22,21.9,21.9,20.8,20.8,25490.0
2018-02-23,20.8,21.2,19.5,19.5,19690.0
2018-02-26,20.85,20.85,19.5,20.85,26590.0
2018-02-27,21.8,21.8,20.9,20.9,15950.0
2018-02-28,20.0,21.0,20.0,21.0,15770.0
2018-03-01,21.5,21.8,20.4,20.4,174980.0
2018-03-02,21.0,21.2,20.7,20.85,275200.0
2018-03-05,21.0,21.0,19.8,21.0,69970.0
2018-03-06,20.8,21.0,19.8,20.7,71520.0
2018-03-07,20.5,20.5,19.9,20.0,55640.0
2018-03-08,20.7,20.9,19.8,20.3,121050.0
2018-03-09,20.0,20.8,19.7,20.1,73050.0
2018-03-12,19.5,20.1,19.5,19.5,5350.0
2018-03-13,19.5,19.5,19.0,19.4,12950.0
2018-03-14,18.05,20.75,18.05,20.75,249240.0
2018-03-15,19.3,20.1,19.3,20.1,69500.0
2018-03-16,20.5,21.0,20.5,20.5,30.0
2018-03-19,19.9,21.4,19.25,20.2,16870.0
2018-03-20,19.3,20.05,19.0,19.5,2680.0
2018-03-21,19.8,20.0,18.2,20.0,34780.0
2018-03-22,19.0,19.9,18.65,19.9,45510.0
2018-03-23,19.0,19.8,19.0,19.8,3120.0
2018-03-26,19.8,19.8,18.5,19.45,2520.0
2018-03-27,19.0,19.8,18.3,19.0,67700.0
2018-03-28,18.3,18.9,18.3,18.5,56270.0
2018-03-29,18.2,19.0,18.0,18.9,20700.0
2018-03-30,18.5,18.5,18.5,18.5,1000.0
2018-04-02,18.5,18.5,17.25,18.0,52590.0
2018-04-03,17.9,17.9,16.75,17.4,156760.0
2018-04-04,17.4,17.4,17.0,17.0,258140.0
2018-04-05,18.0,18.15,17.8,18.15,96920.0
2018-04-06,19.1,19.1,18.5,18.6,92980.0
2018-04-09,18.7,18.8,18.1,18.2,154440.0
2018-04-10,18.1,18.3,17.8,18.1,123420.0
2018-04-11,17.5,18.0,17.4,18.0,19770.0
2018-04-12,18.0,18.3,17.7,18.0,18160.0
2018-04-13,18.0,18.4,17.9,17.9,36480.0
2018-04-16,17.8,18.5,17.7,18.0,30840.0
2018-04-17,18.0,18.0,17.9,18.0,24260.0
2018-04-18,18.0,18.0,17.8,18.0,71700.0
2018-04-19,17.9,19.0,17.9,18.0,67070.0
2018-04-20,18.0,18.0,17.9,18.0,36240.0
2018-04-23,18.4,18.4,17.5,17.5,16920.0
2018-04-24,17.2,18.6,17.0,18.6,93530.0
2018-04-26,18.2,18.6,18.2,18.2,102970.0
2018-04-27,19.0,19.1,18.1,19.1,45110.0
2018-05-02,19.2,19.5,18.5,19.2,63680.0
2018-05-03,19.1,20.5,18.8,20.5,359430.0
2018-05-04,21.2,21.45,20.0,21.0,99800.0
2018-05-07,21.0,21.45,20.5,21.0,11140.0
2018-05-08,20.5,20.8,20.35,20.8,20550.0
2018-05-09,20.5,20.5,19.35,20.1,194000.0
2018-05-10,20.8,20.8,19.6,19.8,105080.0
2018-05-11,20.0,20.2,19.7,19.9,114260.0
2018-05-14,18.6,20.2,18.6,20.0,187200.0
2018-05-15,20.0,20.0,18.65,18.65,88430.0
2018-05-16,18.2,19.3,18.2,19.2,103320.0
2018-05-17,18.35,19.8,17.9,19.4,283980.0
2018-05-18,19.75,19.8,19.35,19.7,216260.0
2018-05-21,19.8,20.15,19.75,20.15,184120.0
2018-05-22,20.15,20.15,19.0,19.9,117930.0
2018-05-23,19.9,20.0,19.8,20.0,105120.0
2018-05-24,19.9,19.9,19.8,19.85,120180.0
2018-05-25,19.8,19.9,19.6,19.8,121090.0
2018-05-28,19.5,19.9,19.15,19.15,100330.0
2018-05-29,19.7,19.85,19.15,19.4,147250.0
2018-05-30,19.35,19.4,18.15,19.4,92330.0
2018-05-31,19.8,19.8,19.05,19.05,127660.0
2018-06-01,19.0,19.3,19.0,19.2,14750.0
2018-06-04,19.0,19.0,18.2,18.2,49320.0
2018-06-05,18.25,19.15,18.25,19.15,12340.0
2018-06-06,19.85,19.85,19.85,19.85,1010.0
2018-06-07,19.7,19.7,18.6,19.3,20590.0
2018-06-08,18.5,19.0,18.5,19.0,4050.0
2018-06-11,19.4,19.4,19.3,19.3,590.0
2018-06-12,19.4,19.4,19.4,19.4,510.0
2018-06-13,19.05,19.1,19.05,19.1,1710.0
2018-06-14,19.05,19.1,19.05,19.1,120.0
2018-06-15,19.3,19.3,18.25,19.2,4030.0
2018-06-18,19.4,19.9,18.1,19.0,5890.0
2018-06-19,18.9,18.9,18.9,18.9,500.0
2018-06-20,18.45,18.5,18.45,18.5,360.0
2018-06-21,18.5,18.5,18.5,18.5,1830.0
2018-06-22,19.45,19.45,17.7,19.45,10120.0
2018-06-25,19.45,19.45,19.45,19.45,200.0
2018-06-26,19.2,19.2,19.2,19.2,1130.0
2018-06-27,19.4,19.4,18.05,19.1,2020.0
2018-06-28,19.25,19.25,19.25,19.25,1110.0
2018-06-29,19.25,19.25,19.25,19.25,5000.0
2018-07-02,18.45,18.7,18.4,18.7,4400.0
2018-07-03,18.7,18.7,18.7,18.7,0.0
2018-07-04,18.95,18.95,18.95,18.95,10.0
2018-07-05,18.15,18.15,17.65,17.65,810.0
2018-07-06,18.3,18.85,17.65,18.6,2660.0
2018-07-09,18.85,18.85,17.5,18.8,3180.0
2018-07-10,18.0,19.15,18.0,19.15,9010.0
2018-07-11,18.15,18.15,17.85,17.9,6410.0
2018-07-12,19.0,19.0,19.0,19.0,3010.0
2018-07-13,18.9,18.9,18.9,18.9,10000.0
2018-07-16,18.25,18.9,18.25,18.9,2300.0
2018-07-17,18.2,18.2,18.1,18.1,2700.0
2018-07-18,18.0,18.85,18.0,18.8,1150.0
2018-07-19,18.15,18.8,18.0,18.8,22000.0
2018-07-20,18.05,18.5,18.0,18.5,13700.0
2018-07-23,18.5,18.6,18.2,18.2,20060.0
2018-07-24,18.0,18.7,18.0,18.7,10110.0
2018-07-25,18.1,18.4,18.0,18.4,25150.0
2018-07-26,18.2,18.2,17.15,17.95,24770.0
2018-07-27,17.8,17.8,17.7,17.75,6410.0
2018-07-30,18.0,18.85,18.0,18.85,600.0
2018-07-31,17.95,18.0,17.65,17.9,20800.0
2018-08-01,18.0,18.0,17.8,18.0,33070.0
2018-08-02,18.45,18.45,17.8,17.95,360.0
2018-08-03,17.8,18.0,17.8,18.0,12270.0
2018-08-06,18.05,18.4,18.0,18.0,39550.0
2018-08-07,18.0,18.5,18.0,18.0,43200.0
2018-08-08,18.0,18.65,18.0,18.65,6870.0
2018-08-09,18.05,19.0,17.9,19.0,55610.0
2018-08-10,19.0,19.65,19.0,19.5,49090.0
2018-08-13,19.0,19.0,18.5,18.6,39840.0
2018-08-14,18.8,19.3,18.8,19.3,70030.0
2018-08-15,19.0,19.6,19.0,19.4,16800.0
2018-08-16,19.0,19.1,19.0,19.0,30300.0
2018-08-17,19.0,19.0,19.0,19.0,7050.0
2018-08-20,19.0,19.1,18.65,19.0,60500.0
2018-08-21,18.6,19.0,18.6,19.0,2110.0
2018-08-22,19.0,19.0,19.0,19.0,1000.0
2018-08-23,18.45,18.95,18.45,18.95,4030.0
2018-08-24,20.0,20.0,18.0,18.9,6020.0
2018-08-27,18.4,19.0,17.6,18.65,82920.0
2018-08-28,18.7,18.9,17.4,18.05,95540.0
2018-08-29,17.55,18.4,17.4,18.35,9020.0
2018-08-30,18.35,18.35,18.15,18.15,2100.0
2018-08-31,18.2,18.2,17.95,18.2,7790.0
2018-09-04,17.35,18.8,17.35,18.5,113540.0
2018-09-05,18.8,18.8,18.0,18.4,228300.0
2018-09-06,17.85,18.4,17.8,18.4,17100.0
2018-09-07,18.3,18.3,18.3,18.3,100.0
2018-09-10,17.5,18.15,17.5,18.15,1500.0
2018-09-11,18.1,18.1,18.0,18.0,2200.0
2018-09-12,17.8,17.8,17.8,17.8,2550.0
2018-09-13,17.75,17.75,17.75,17.75,1310.0
2018-09-14,17.8,17.8,17.8,17.8,250.0
2018-09-17,17.35,17.5,17.35,17.5,2060.0
2018-09-18,17.5,18.5,17.2,18.5,32590.0
2018-09-19,17.5,18.3,17.5,18.0,4670.0
2018-09-20,18.3,18.3,18.0,18.0,210.0
2018-09-21,18.0,18.0,18.0,18.0,1000.0
2018-09-24,17.6,17.95,17.5,17.85,10880.0
2018-09-25,17.65,17.65,17.25,17.65,3200.0
2018-09-26,17.05,17.3,16.65,17.3,56350.0
2018-09-27,17.7,17.7,16.6,17.0,6660.0
2018-09-28,17.1,17.2,16.1,17.0,33350.0
