date,open,high,low,close,klgdkl
2010-01-04,61.5,61.5,61.5,61.5,247810.0
2010-01-05,64.5,64.5,64.5,64.5,288720.0
2010-01-06,67.5,67.5,66.0,67.5,1306580.0
2010-01-07,68.5,70.5,67.0,68.5,2804340.0
2010-01-08,69.0,69.5,66.0,66.0,1504570.0
2010-01-11,67.5,67.5,64.5,64.5,629400.0
2010-01-12,64.5,65.0,61.5,61.5,762290.0
2010-01-13,61.5,62.5,59.0,62.0,1180890.0
2010-01-14,42.7,42.7,42.7,42.7,41960.0
2010-01-15,44.8,44.8,44.5,44.8,2314920.0
2010-01-18,44.0,44.0,42.6,42.6,977220.0
2010-01-19,42.6,43.3,42.0,42.0,720030.0
2010-01-20,42.8,42.8,41.7,41.8,403860.0
2010-01-21,40.5,41.7,39.8,39.8,794460.0
2010-01-22,38.1,39.9,37.9,38.5,1003320.0
2010-01-25,39.0,39.4,38.0,38.8,305720.0
2010-01-26,39.8,40.7,39.8,40.7,886390.0
2010-01-27,41.0,41.5,39.0,39.5,592510.0
2010-01-28,39.5,39.7,38.8,39.0,285240.0
2010-01-29,39.0,39.8,38.2,39.0,246990.0
2010-02-01,38.7,39.5,38.0,39.5,689050.0
2010-02-02,39.9,39.9,39.0,39.6,796580.0
2010-02-03,39.6,41.0,39.5,40.3,664140.0
2010-02-04,39.8,40.5,39.0,40.3,727840.0
2010-02-05,39.5,40.4,39.5,39.5,660950.0
2010-02-08,39.5,39.5,39.1,39.1,347150.0
2010-02-09,38.7,38.8,37.8,37.8,375130.0
2010-02-10,39.0,39.0,37.8,38.3,460110.0
2010-02-11,38.3,39.0,38.0,39.0,300610.0
2010-02-12,39.0,39.7,39.0,39.2,605950.0
2010-02-22,39.7,39.7,39.2,39.2,243840.0
2010-02-23,39.0,39.0,37.5,38.0,419690.0
2010-02-24,37.5,38.0,37.4,38.0,627060.0
2010-02-25,38.2,38.3,37.8,38.0,607670.0
2010-02-26,38.0,38.3,37.6,38.0,387300.0
2010-03-01,38.1,38.4,38.0,38.1,559380.0
2010-03-02,38.1,38.2,37.9,37.9,468940.0
2010-03-03,38.2,39.0,38.0,39.0,703610.0
2010-03-04,39.7,40.9,39.6,39.6,880760.0
2010-03-05,39.5,40.0,39.4,39.7,610470.0
2010-03-08,40.9,41.6,40.3,41.3,1180840.0
2010-03-09,41.3,43.1,41.1,42.8,1757190.0
2010-03-10,42.5,43.0,41.7,42.1,1019250.0
2010-03-11,41.9,42.4,41.6,41.9,836210.0
2010-03-12,42.1,43.9,42.1,43.9,2285010.0
