date,open,high,low,close,klgdkl
2010-01-04,26.3,26.3,26.1,26.2,29080.0
2010-01-05,27.0,27.3,26.2,26.2,28510.0
2010-01-06,25.0,26.1,25.0,26.0,6710.0
2010-01-07,25.7,27.0,25.5,25.5,4060.0
2010-01-08,26.4,26.4,24.7,24.7,8110.0
2010-01-11,24.1,24.5,24.1,24.3,12550.0
2010-01-12,24.0,25.1,24.0,24.0,5010.0
2010-01-13,23.5,23.9,23.0,23.1,11300.0
2010-01-14,23.1,24.0,23.0,24.0,9080.0
2010-01-15,24.0,24.0,23.1,24.0,2030.0
2010-01-18,24.0,24.0,23.0,23.0,17290.0
2010-01-19,23.5,23.5,23.0,23.4,4710.0
2010-01-20,23.1,23.2,23.0,23.0,5040.0
2010-01-21,23.5,23.5,23.0,23.0,6160.0
2010-01-22,23.0,23.0,23.0,23.0,14280.0
2010-01-25,23.9,23.9,23.0,23.0,3570.0
2010-01-26,23.0,23.4,23.0,23.1,5410.0
2010-01-27,23.4,23.5,23.2,23.2,4820.0
2010-01-28,23.8,23.8,23.8,23.8,50.0
2010-01-29,23.8,23.8,23.2,23.2,2220.0
2010-02-01,23.5,23.5,23.3,23.3,3100.0
2010-02-02,23.1,23.1,23.0,23.0,16850.0
2010-02-03,23.8,23.8,23.6,23.6,320.0
2010-02-04,22.7,23.5,22.7,23.5,4370.0
2010-02-05,23.5,23.5,23.5,23.5,2000.0
2010-02-08,23.5,23.5,23.5,23.5,10.0
2010-02-09,23.5,23.5,23.0,23.1,4000.0
2010-02-10,23.1,23.7,23.1,23.7,3180.0
2010-02-11,23.4,23.6,23.4,23.6,3720.0
2010-02-12,23.8,23.8,23.6,23.6,1510.0
2010-02-22,24.0,24.4,24.0,24.4,6970.0
2010-02-23,24.0,24.0,24.0,24.0,6710.0
2010-02-24,24.0,24.0,24.0,24.0,8710.0
2010-02-25,24.3,24.3,24.1,24.1,870.0
2010-02-26,24.1,24.1,24.0,24.0,7500.0
2010-03-01,24.0,24.0,24.0,24.0,0.0
2010-03-02,24.0,24.1,24.0,24.0,2400.0
2010-03-03,24.0,24.1,24.0,24.1,320.0
2010-03-04,24.4,25.1,24.4,25.1,12810.0
2010-03-05,24.5,24.5,24.5,24.5,3500.0
2010-03-08,25.0,25.3,24.8,25.1,5130.0
2010-03-09,25.0,25.1,24.6,25.1,3700.0
2010-03-10,25.0,25.0,25.0,25.0,14060.0
2010-03-11,25.3,25.4,25.3,25.4,4110.0
2010-03-12,25.5,26.4,25.4,26.4,14450.0
2010-03-15,26.5,26.5,26.0,26.0,4100.0
2010-03-16,26.0,27.2,26.0,26.0,26850.0
2010-03-17,26.0,26.5,26.0,26.0,3800.0
2010-03-18,25.5,27.0,25.5,26.9,8150.0
2010-03-19,27.1,27.1,26.7,26.7,10760.0
2010-03-22,25.5,26.9,25.5,25.8,10540.0
2010-03-23,25.8,27.0,25.8,27.0,87390.0
2010-03-24,28.2,28.3,27.2,28.3,62260.0
2010-03-25,28.4,28.5,26.9,28.5,58340.0
2010-03-26,27.1,27.9,27.1,27.1,13690.0
2010-03-29,27.0,27.5,27.0,27.2,34560.0
2010-03-30,26.9,27.4,26.9,27.4,300.0
2010-03-31,27.4,27.4,26.1,26.1,7370.0
2010-04-01,26.2,26.2,25.3,26.1,2400.0
2010-04-02,26.5,26.5,26.5,26.5,200.0
2010-04-05,26.5,26.9,25.5,25.5,29270.0
2010-04-06,26.5,26.7,25.0,25.0,36810.0
2010-04-07,25.6,26.2,25.0,26.2,15490.0
2010-04-08,26.1,26.1,25.3,25.8,9270.0
2010-04-09,25.6,25.6,25.1,25.4,7650.0
2010-04-12,25.0,25.2,24.9,24.9,14100.0
2010-04-13,24.6,25.0,24.3,24.3,13310.0
2010-04-14,23.9,24.5,23.9,24.5,330.0
2010-04-15,24.2,24.3,24.2,24.3,900.0
2010-04-16,25.5,25.5,24.6,24.6,5740.0
2010-04-19,24.2,24.5,24.2,24.5,6170.0
2010-04-20,24.2,25.0,24.0,24.7,11960.0
2010-04-21,25.2,25.2,24.9,25.0,33700.0
2010-04-22,25.4,25.5,25.0,25.0,17820.0
2010-04-26,25.4,25.4,25.1,25.3,16390.0
2010-04-27,25.9,25.9,25.2,25.3,21730.0
2010-04-28,25.3,25.6,25.3,25.6,1700.0
2010-04-29,25.4,25.5,25.1,25.1,12850.0
2010-05-04,25.4,25.8,25.1,25.8,7600.0
2010-05-05,25.8,25.8,25.4,25.7,7650.0
2010-05-06,25.7,26.5,25.7,26.2,36380.0
2010-05-07,25.9,26.0,25.6,25.9,38320.0
2010-05-10,25.8,25.9,25.5,25.6,8820.0
2010-05-11,25.6,25.7,25.5,25.6,8700.0
2010-05-12,25.2,25.5,24.6,24.6,26220.0
2010-05-13,25.6,25.6,24.2,24.5,10520.0
2010-05-14,24.5,24.5,24.5,24.5,1000.0
