date,open,high,low,close,klgdkl
2010-01-22,35.0,35.0,28.5,35.0,117370.0
2010-01-25,33.3,33.3,33.3,33.3,5280.0
2010-01-26,31.7,31.7,31.7,31.7,32860.0
2010-01-27,30.2,30.2,30.2,30.2,7740.0
2010-01-28,28.7,28.7,28.7,28.7,2490.0
2010-01-29,27.3,27.3,27.3,27.3,30530.0
2010-02-01,27.0,28.0,27.0,27.3,112910.0
2010-02-02,27.0,27.2,26.2,26.2,46370.0
2010-02-03,26.3,27.5,26.2,27.5,40270.0
2010-02-04,28.5,28.5,27.6,27.6,24700.0
2010-02-05,26.6,27.0,26.4,26.4,26520.0
2010-02-08,26.4,26.5,26.0,26.0,30380.0
2010-02-09,26.0,26.0,25.1,25.1,24180.0
2010-02-10,25.3,26.0,25.2,26.0,19310.0
2010-02-11,26.0,26.4,25.8,26.4,7710.0
2010-02-12,26.9,26.9,26.0,26.0,5570.0
2010-02-22,27.0,27.0,26.2,26.9,950.0
2010-02-23,25.0,26.6,24.9,26.0,7420.0
2010-02-24,26.0,26.6,25.1,26.6,21160.0
2010-02-25,25.6,26.6,25.5,25.5,5840.0
2010-02-26,25.5,26.0,24.3,24.5,24740.0
2010-03-01,24.5,25.2,24.5,24.6,11060.0
2010-03-02,25.0,25.0,24.2,25.0,25780.0
2010-03-03,25.0,25.0,24.5,25.0,18140.0
2010-03-04,25.4,25.4,24.0,25.0,13450.0
2010-03-05,24.9,24.9,24.3,24.6,36370.0
2010-03-08,24.6,24.8,24.5,24.7,66150.0
2010-03-09,24.8,25.4,24.5,24.8,49710.0
2010-03-10,24.8,24.8,23.8,24.6,43890.0
2010-03-11,24.3,24.6,24.1,24.1,32100.0
2010-03-12,24.7,24.7,24.0,24.2,25050.0
2010-03-15,24.2,24.9,24.2,24.2,30480.0
2010-03-16,24.1,24.2,23.5,23.9,39430.0
2010-03-17,23.9,23.9,23.3,23.3,45610.0
2010-03-18,23.3,24.4,23.3,24.4,93120.0
2010-03-19,24.4,24.5,24.2,24.2,94770.0
2010-03-22,24.0,24.2,23.5,23.5,28960.0
2010-03-23,22.7,23.5,22.6,22.6,45050.0
2010-03-24,22.6,23.0,22.0,22.0,80470.0
2010-03-25,22.0,22.2,21.9,22.0,67070.0
2010-03-26,22.0,22.1,21.8,22.0,41230.0
2010-03-29,22.0,22.3,22.0,22.0,56500.0
2010-03-30,21.6,22.0,21.0,21.0,48430.0
2010-03-31,21.0,22.0,21.0,22.0,88480.0
2010-04-01,22.5,23.1,22.4,23.1,157200.0
2010-04-02,24.2,24.2,24.2,24.2,74940.0
2010-04-05,25.4,25.4,25.4,25.4,191930.0
2010-04-06,26.6,26.6,26.0,26.0,343680.0
2010-04-07,26.0,27.1,25.6,26.5,152330.0
2010-04-08,26.3,26.8,26.2,26.8,144790.0
2010-04-09,27.1,28.0,26.7,28.0,254550.0
2010-04-12,28.0,29.0,27.8,29.0,182780.0
2010-04-13,29.0,30.4,29.0,30.4,220630.0
2010-04-14,31.5,31.9,31.0,31.9,251400.0
2010-04-15,33.0,33.4,32.5,33.4,307030.0
2010-04-16,34.5,34.5,31.8,31.8,191940.0
2010-04-19,31.6,32.5,30.3,30.5,177990.0
2010-04-20,30.5,32.0,30.5,32.0,269350.0
2010-04-21,33.0,33.0,31.0,32.0,75680.0
