date,open,high,low,close,klgdkl
2010-01-04,63.5,63.5,60.5,62.5,2620.0
2010-01-05,62.5,62.5,60.0,62.0,5340.0
2010-01-06,61.0,62.0,60.0,62.0,26260.0
2010-01-07,58.5,58.5,58.5,58.5,7000.0
2010-01-08,56.5,56.5,56.5,56.5,2790.0
2010-01-11,55.0,55.0,54.5,54.5,950.0
2010-01-12,53.0,53.0,53.0,53.0,550.0
2010-01-13,52.0,53.0,50.5,53.0,1160.0
2010-01-14,55.5,55.5,55.5,55.5,1500.0
2010-01-15,55.5,55.5,55.5,55.5,0.0
2010-01-18,55.5,56.5,55.5,56.5,3580.0
2010-01-19,56.5,56.5,56.5,56.5,0.0
2010-01-20,57.0,57.0,57.0,57.0,20.0
2010-01-21,54.5,54.5,54.5,54.5,230.0
2010-01-22,54.5,54.5,54.5,54.5,0.0
2010-01-25,52.0,52.5,52.0,52.5,610.0
2010-01-26,52.0,55.0,51.5,55.0,1010.0
2010-01-27,53.5,53.5,53.5,53.5,1500.0
2010-01-28,52.0,52.0,52.0,52.0,140.0
2010-01-29,52.0,52.0,52.0,52.0,0.0
2010-02-01,50.0,51.0,50.0,51.0,2020.0
2010-02-02,51.0,51.0,51.0,51.0,400.0
2010-02-03,53.0,53.5,53.0,53.5,810.0
2010-02-04,55.5,55.5,53.0,53.0,1120.0
2010-02-05,55.5,55.5,55.5,55.5,12310.0
2010-02-08,57.0,57.0,57.0,57.0,1300.0
2010-02-09,57.5,57.5,57.5,57.5,1400.0
2010-02-10,58.0,58.0,57.5,58.0,910.0
2010-02-11,59.0,59.0,58.5,58.5,1710.0
2010-02-12,59.0,59.0,58.5,58.5,330.0
2010-02-22,58.5,58.5,58.0,58.0,450.0
2010-02-23,57.5,57.5,57.5,57.5,20.0
2010-02-24,57.0,59.5,57.0,57.5,1440.0
2010-02-25,57.5,57.5,57.5,57.5,1900.0
2010-02-26,57.5,57.5,57.5,57.5,0.0
2010-03-01,57.5,57.5,57.5,57.5,12220.0
2010-03-02,58.0,58.0,57.0,57.0,4980.0
2010-03-03,55.5,55.5,55.5,55.5,60.0
2010-03-04,55.5,57.5,55.5,57.0,8000.0
2010-03-05,56.0,56.5,56.0,56.5,580.0
2010-03-08,55.5,57.0,55.5,57.0,1400.0
2010-03-09,57.5,58.0,57.0,57.0,4010.0
2010-03-10,57.0,57.5,57.0,57.5,210.0
2010-03-11,56.0,56.0,56.0,56.0,10.0
2010-03-12,57.0,58.0,57.0,58.0,800.0
2010-03-15,59.0,59.0,57.5,59.0,2190.0
2010-03-16,57.5,58.0,57.5,58.0,8680.0
2010-03-17,55.5,57.0,55.5,57.0,1840.0
2010-03-18,56.5,56.5,54.5,54.5,3000.0
2010-03-19,57.0,57.0,57.0,57.0,2030.0
2010-03-22,59.5,59.5,59.5,59.5,10.0
2010-03-23,57.5,58.0,57.0,57.0,2720.0
2010-03-24,55.0,55.5,55.0,55.5,710.0
2010-03-25,56.0,56.0,54.5,54.5,900.0
2010-03-26,55.5,55.5,54.0,55.0,1190.0
2010-03-29,55.0,55.0,55.0,55.0,0.0
2010-03-30,55.5,56.0,55.5,55.5,4660.0
2010-03-31,55.5,55.5,55.5,55.5,130.0
2010-04-01,54.5,55.5,54.0,55.5,1590.0
2010-04-02,56.0,56.0,56.0,56.0,600.0
2010-04-05,56.0,58.0,56.0,56.0,1510.0
2010-04-06,56.0,56.0,56.0,56.0,0.0
2010-04-07,56.0,56.0,56.0,56.0,0.0
2010-04-08,57.0,57.0,57.0,57.0,2420.0
2010-04-09,57.0,57.0,56.0,57.0,2720.0
2010-04-12,57.0,57.0,57.0,57.0,310.0
2010-04-13,57.0,57.0,57.0,57.0,1810.0
2010-04-14,57.0,57.0,57.0,57.0,300.0
2010-04-15,57.0,57.0,57.0,57.0,1680.0
2010-04-16,57.0,57.0,57.0,57.0,230.0
2010-04-19,57.0,57.0,57.0,57.0,2590.0
2010-04-20,59.5,59.5,54.5,54.5,3100.0
2010-04-21,54.5,57.0,54.5,57.0,10670.0
2010-04-22,59.0,59.0,57.5,57.5,6510.0
2010-04-26,58.0,59.0,58.0,59.0,2010.0
2010-04-27,57.5,59.0,57.5,59.0,2700.0
2010-04-28,56.5,58.0,56.5,57.5,2010.0
2010-04-29,57.5,58.0,57.5,57.5,7210.0
2010-05-04,56.5,56.5,56.5,56.5,50.0
2010-05-05,54.5,55.0,54.5,55.0,100.0
2010-05-06,55.0,55.0,55.0,55.0,260.0
2010-05-07,56.5,56.5,54.0,56.5,2060.0
2010-05-10,54.5,54.5,54.5,54.5,50.0
2010-05-11,56.0,56.0,56.0,56.0,10.0
2010-05-12,56.0,56.0,56.0,56.0,0.0
2010-05-13,56.0,56.0,56.0,56.0,500.0
2010-05-14,56.0,56.0,56.0,56.0,0.0
2010-05-17,54.0,54.0,54.0,54.0,10.0
2010-05-18,52.0,53.0,52.0,53.0,1520.0
2010-05-19,53.5,55.5,53.0,55.0,11520.0
2010-05-20,53.0,53.5,53.0,53.5,8070.0
2010-05-21,51.0,51.0,51.0,51.0,20.0
2010-05-24,51.0,53.0,51.0,53.0,8710.0
2010-05-25,51.0,55.0,51.0,55.0,30.0
2010-05-26,55.0,55.0,55.0,55.0,0.0
2010-05-27,55.0,55.0,55.0,55.0,0.0
2010-05-28,57.0,57.0,53.0,55.0,510.0
2010-05-31,57.0,57.0,53.0,55.0,11120.0
2010-06-01,53.0,53.0,53.0,53.0,780.0
2010-06-02,53.0,53.0,53.0,53.0,20.0
2010-06-03,54.5,54.5,54.5,54.5,10.0
2010-06-04,55.0,56.0,55.0,56.0,10010.0
2010-06-07,54.0,54.5,54.0,54.5,24000.0
2010-06-08,55.5,55.5,55.5,55.5,400.0
2010-06-09,57.0,57.0,57.0,57.0,20.0
2010-06-10,57.0,57.0,56.0,56.5,3630.0
2010-06-11,54.0,56.5,54.0,56.5,80.0
2010-06-14,54.0,54.0,54.0,54.0,250.0
2010-06-15,56.5,56.5,56.5,56.5,40.0
2010-06-16,56.5,56.5,56.5,56.5,0.0
2010-06-17,56.5,57.0,56.5,57.0,7800.0
2010-06-18,54.5,57.0,54.5,57.0,1010.0
2010-06-21,54.5,54.5,54.5,54.5,80.0
