date,open,high,low,close,klgdkl
2018-08-20,15.2,15.2,15.2,15.2,176720.0
2018-08-21,16.25,16.25,16.25,16.25,162480.0
2018-08-22,17.35,17.35,17.3,17.35,313040.0
2018-08-23,17.5,18.55,17.5,18.55,210380.0
2018-08-24,18.55,19.5,17.3,19.0,289430.0
2018-08-27,17.9,19.0,17.9,17.9,121410.0
2018-08-28,16.9,17.85,16.75,16.75,113440.0
2018-08-29,16.5,16.5,15.6,16.0,111000.0
2018-08-30,15.95,16.4,15.95,16.35,54920.0
2018-08-31,16.0,16.8,16.0,16.8,165600.0
2018-09-04,16.5,17.0,16.0,16.4,157290.0
2018-09-05,16.35,16.35,15.9,16.25,144000.0
2018-09-06,15.8,16.85,15.15,16.85,258450.0
2018-09-07,16.3,17.25,16.0,17.25,231970.0
2018-09-10,16.8,17.3,16.5,17.25,230150.0
2018-09-11,16.7,17.4,16.7,17.3,242460.0
2018-09-12,17.3,17.45,17.0,17.4,132350.0
2018-09-13,16.7,17.5,16.7,17.5,223610.0
2018-09-14,16.4,17.8,16.4,17.8,305410.0
2018-09-17,18.0,18.5,17.6,18.5,223380.0
2018-09-18,18.5,19.75,18.5,19.75,300660.0
2018-09-19,20.0,21.1,19.9,21.1,253370.0
2018-09-20,20.8,21.05,20.15,20.15,221970.0
2018-09-21,20.55,21.55,19.5,19.5,213130.0
2018-09-24,20.0,20.2,19.65,20.0,186130.0
2018-09-25,20.7,20.7,19.65,20.7,129250.0
2018-09-26,20.5,20.9,19.5,19.5,45020.0
2018-09-27,19.8,19.8,19.05,19.5,25750.0
2018-09-28,19.2,19.4,18.15,19.25,138220.0
2018-10-01,18.9,19.5,18.5,19.5,25670.0
2018-10-02,18.7,20.0,18.7,20.0,111710.0
2018-10-03,19.7,20.0,19.4,19.9,207130.0
2018-10-04,19.6,21.25,19.3,20.5,310380.0
2018-10-05,20.5,20.85,19.3,20.85,157710.0
2018-10-08,20.5,20.95,20.5,20.5,92690.0
2018-10-09,20.4,20.4,19.7,20.25,188410.0
2018-10-10,20.0,20.25,19.8,19.8,135150.0
2018-10-11,19.8,19.0,18.6,18.6,27250.0
2018-10-12,18.5,19.0,18.2,19.0,25160.0
2018-10-15,19.0,19.0,18.2,18.2,43190.0
2018-10-16,18.2,18.25,18.1,18.25,27460.0
2018-10-17,18.0,18.9,18.0,18.7,86130.0
2018-10-18,18.9,18.9,18.7,18.75,26380.0
2018-10-19,18.9,18.9,18.75,18.85,77460.0
2018-10-22,18.85,19.15,18.65,19.15,63970.0
2018-10-23,19.15,19.6,18.95,19.2,193000.0
2018-10-24,19.25,20.2,19.25,20.2,207380.0
2018-10-25,19.5,20.0,19.5,19.9,43230.0
2018-10-26,19.9,19.95,19.55,19.55,135830.0
2018-10-29,19.55,20.1,19.55,20.1,204210.0
2018-10-30,20.1,20.5,19.8,20.5,249970.0
2018-10-31,19.85,20.5,19.8,19.95,195190.0
2018-11-01,20.0,20.0,19.6,19.6,66730.0
2018-11-02,19.6,19.75,18.3,18.4,137940.0
2018-11-05,18.8,18.8,18.2,18.4,118810.0
2018-11-06,18.45,19.65,18.45,18.5,309280.0
2018-11-07,18.7,19.3,18.5,18.5,254750.0
2018-11-08,18.6,18.9,17.25,18.0,229540.0
2018-11-09,18.0,18.0,17.0,17.0,266710.0
2018-11-12,16.8,17.7,16.0,17.65,312180.0
2018-11-13,17.6,17.6,17.25,17.35,219720.0
2018-11-14,17.55,18.55,17.5,18.55,196730.0
2018-11-15,18.55,19.1,18.15,18.45,189810.0
2018-11-16,18.5,19.7,18.45,19.7,270030.0
2018-11-19,19.75,19.8,19.55,19.7,238300.0
2018-11-20,19.65,19.8,19.2,19.5,102910.0
2018-11-21,19.4,19.5,18.8,19.5,67410.0
2018-11-22,19.0,19.55,19.0,19.45,127690.0
2018-11-23,19.45,19.6,18.4,18.5,138110.0
2018-11-26,18.5,18.55,17.9,18.35,91700.0
2018-11-27,18.35,18.8,18.1,18.65,193690.0
2018-11-28,18.65,18.7,18.3,18.55,183220.0
2018-11-29,18.55,18.65,18.5,18.55,195140.0
2018-11-30,18.55,18.65,18.3,18.6,140050.0
2018-12-03,18.7,19.1,18.6,18.9,214000.0
2018-12-04,18.95,18.95,18.6,18.9,107220.0
2018-12-05,18.9,19.0,18.0,19.0,202200.0
2018-12-06,19.0,19.05,18.4,18.75,121440.0
2018-12-07,18.75,18.9,18.1,18.45,93100.0
2018-12-10,18.45,18.45,18.0,18.0,88500.0
2018-12-11,17.55,17.8,16.75,16.75,86030.0
2018-12-12,16.8,17.3,16.8,17.05,126410.0
2018-12-13,16.9,17.8,16.9,17.8,62850.0
2018-12-14,17.9,17.9,17.0,17.0,66800.0
2018-12-17,17.0,17.0,16.8,16.9,49650.0
2018-12-18,16.5,16.85,15.8,15.8,21360.0
2018-12-19,15.8,16.6,15.4,15.8,21410.0
2018-12-20,15.8,16.8,15.3,16.8,24790.0
2018-12-21,16.8,16.8,16.45,16.55,19500.0
2018-12-24,16.55,16.7,16.5,16.55,21150.0
2018-12-25,16.55,16.55,15.7,16.45,20010.0
2018-12-26,16.45,16.5,16.3,16.35,20040.0
2018-12-27,16.6,16.6,16.3,16.45,38270.0
2018-12-28,16.7,16.7,16.4,16.4,23040.0
2019-01-02,16.4,16.5,16.2,16.2,20190.0
2019-01-03,16.4,16.4,16.0,16.15,19500.0
2019-01-04,16.3,16.3,15.8,15.8,20200.0
2019-01-07,16.2,16.2,15.7,15.7,24950.0
2019-01-08,16.1,16.1,15.35,15.4,21210.0
2019-01-09,15.8,15.8,15.35,15.4,32110.0
2019-01-10,14.4,15.45,14.4,15.2,22910.0
2019-01-11,15.2,15.25,14.95,14.95,27300.0
2019-01-14,15.3,15.3,14.8,14.9,22500.0
2019-01-15,14.9,14.95,14.5,14.5,35170.0
2019-01-16,14.5,14.95,14.2,14.55,21540.0
2019-01-17,14.5,14.5,13.75,13.8,20290.0
2019-01-18,14.5,14.5,12.95,13.95,20020.0
2019-01-21,13.95,14.0,13.9,13.95,7770.0
2019-01-22,13.95,14.0,13.9,14.0,8280.0
2019-01-23,14.0,14.1,13.95,14.1,8850.0
2019-01-24,14.15,14.2,14.05,14.15,13340.0
2019-01-25,14.25,14.4,14.2,14.4,6020.0
2019-01-28,14.4,14.7,14.4,14.7,6520.0
2019-01-29,14.8,15.0,14.8,15.0,5030.0
2019-01-30,15.0,15.05,14.95,15.05,7590.0
2019-01-31,15.0,15.3,14.9,15.3,8450.0
2019-02-01,15.25,15.4,15.25,15.35,6570.0
2019-02-11,15.35,15.5,15.35,15.45,5150.0
2019-02-12,15.45,15.55,15.4,15.45,27380.0
2019-02-13,15.45,15.55,15.35,15.55,13160.0
2019-02-14,15.6,16.2,15.55,16.1,45410.0
2019-02-15,16.15,17.2,16.05,16.9,119250.0
2019-02-18,16.9,17.8,16.9,17.5,104990.0
2019-02-19,17.45,17.9,17.3,17.3,92580.0
2019-02-20,17.3,18.5,17.25,18.0,151250.0
2019-02-21,17.9,18.05,17.2,17.4,74650.0
2019-02-22,17.7,18.6,17.7,18.6,195040.0
2019-02-25,18.7,19.45,18.7,19.3,118190.0
2019-02-26,19.2,20.65,19.1,20.65,203080.0
2019-02-27,20.65,20.85,20.4,20.4,150240.0
2019-02-28,20.3,20.55,19.3,19.5,147490.0
2019-03-01,19.5,19.5,18.75,18.9,145060.0
2019-03-04,18.95,19.9,18.75,19.5,173240.0
2019-03-05,19.5,19.8,19.0,19.0,169640.0
2019-03-06,18.8,20.3,18.5,20.3,223330.0
2019-03-07,20.4,20.75,20.3,20.45,152020.0
2019-03-08,20.45,20.8,20.45,20.65,120620.0
2019-03-11,20.6,20.85,20.45,20.85,151150.0
2019-03-12,20.85,21.4,20.75,21.3,138090.0
2019-03-13,21.35,21.4,21.2,21.4,120080.0
2019-03-14,21.4,21.4,20.45,20.85,135920.0
2019-03-15,20.65,21.0,20.4,20.9,164780.0
2019-03-18,20.9,21.65,20.9,21.5,191660.0
2019-03-19,21.55,22.3,21.55,22.2,246160.0
2019-03-20,22.3,23.0,22.25,22.7,251700.0
2019-03-21,22.75,23.8,22.55,23.2,242670.0
2019-03-22,23.3,23.9,22.4,22.4,288320.0
2019-03-25,21.9,21.9,20.85,20.9,228700.0
2019-03-26,20.95,21.4,20.0,20.3,205330.0
2019-03-27,20.05,20.05,19.0,19.3,218450.0
2019-03-28,19.4,19.9,19.2,19.5,196980.0
2019-03-29,19.55,19.7,19.0,19.55,199740.0
2019-04-01,19.6,19.75,19.05,19.3,199810.0
2019-04-02,19.35,19.4,18.65,18.75,211350.0
2019-04-03,18.7,19.5,18.7,18.95,200880.0
2019-04-04,19.0,19.2,17.9,18.2,240350.0
2019-04-05,18.1,18.5,17.8,17.8,229940.0
2019-04-08,17.5,18.2,17.0,18.0,314640.0
