date,open,high,low,close,klgdkl
2018-09-05,48.0,48.0,44.5,47.0,697470.0
2018-09-06,45.1,47.0,45.1,47.0,332460.0
2018-09-07,47.0,47.5,46.5,47.2,276640.0
2018-09-10,46.1,47.2,46.0,46.5,127280.0
2018-09-11,46.2,46.8,45.8,46.8,252160.0
2018-09-12,46.8,46.8,45.9,46.0,28030.0
2018-09-13,45.8,45.8,43.0,44.2,136940.0
2018-09-14,44.15,44.2,42.5,42.7,494030.0
2018-09-17,42.9,43.0,41.15,42.1,155060.0
2018-09-18,42.1,43.3,41.5,43.3,236840.0
2018-09-19,43.1,45.6,43.1,45.4,369050.0
2018-09-20,45.4,46.3,45.4,45.6,74690.0
2018-09-21,45.1,45.2,44.7,45.2,120710.0
2018-09-24,43.5,45.0,42.9,43.15,168300.0
2018-09-25,43.15,44.9,43.0,43.15,41650.0
2018-09-26,43.15,43.9,43.0,43.1,27170.0
2018-09-27,42.75,43.0,42.0,42.1,112200.0
2018-09-28,43.0,43.0,42.3,43.0,18270.0
2018-10-01,43.0,43.45,42.5,43.0,59710.0
2018-10-02,42.6,43.0,42.0,42.5,93500.0
2018-10-03,42.3,42.5,42.0,42.4,110520.0
2018-10-04,42.5,42.5,42.0,42.0,98740.0
2018-10-05,42.0,42.5,41.8,42.5,138020.0
2018-10-08,42.7,42.7,42.1,42.5,138950.0
2018-10-09,42.3,43.0,42.3,42.9,228760.0
2018-10-10,42.8,43.1,42.8,43.0,188300.0
2018-10-11,42.55,42.9,42.0,42.55,297170.0
2018-10-12,42.3,42.9,42.3,42.8,179930.0
2018-10-15,42.7,43.1,42.4,43.1,286890.0
2018-10-16,42.9,43.2,42.8,43.2,277350.0
2018-10-17,43.2,43.5,42.9,43.1,258900.0
2018-10-18,42.9,43.1,42.8,43.1,179440.0
2018-10-19,43.0,43.4,42.9,43.1,231390.0
2018-10-22,43.1,43.2,42.9,42.9,171130.0
2018-10-23,42.9,42.9,42.6,42.8,163030.0
2018-10-24,42.8,42.8,42.5,42.6,125540.0
2018-10-25,42.2,42.4,41.9,42.1,82440.0
2018-10-26,42.1,42.5,42.0,42.3,111330.0
2018-10-29,42.3,42.5,41.8,42.0,90900.0
2018-10-30,42.0,42.0,41.2,41.2,125980.0
2018-10-31,41.2,42.0,41.2,41.6,137470.0
2018-11-01,41.4,42.0,41.4,41.8,151580.0
2018-11-02,41.6,42.2,41.6,42.2,212830.0
2018-11-05,42.0,42.3,41.8,41.8,117540.0
2018-11-06,41.8,42.0,41.6,41.7,85080.0
2018-11-07,41.6,41.9,41.4,41.7,109090.0
2018-11-08,41.9,42.0,41.4,41.6,109670.0
2018-11-09,41.5,41.6,41.2,41.5,98180.0
2018-11-12,41.4,41.4,41.1,41.4,89420.0
2018-11-13,41.3,41.4,41.2,41.3,80910.0
2018-11-14,41.3,41.5,41.2,41.5,74130.0
2018-11-15,41.5,41.5,41.2,41.4,69490.0
2018-11-16,41.4,41.4,41.2,41.4,68840.0
2018-11-19,41.5,41.8,41.2,41.8,165310.0
2018-11-20,41.8,42.0,41.6,41.9,141130.0
2018-11-21,41.7,41.9,41.7,41.8,103010.0
2018-11-22,41.8,42.3,41.8,42.2,217170.0
2018-11-23,42.1,42.2,41.8,42.0,117110.0
2018-11-26,42.0,42.2,41.9,42.0,101680.0
2018-11-27,42.0,42.1,41.9,42.0,111350.0
2018-11-28,42.0,42.7,41.8,42.5,269970.0
2018-11-29,42.5,42.9,42.5,42.8,211180.0
2018-11-30,42.7,43.5,42.3,43.5,275120.0
2018-12-03,43.4,43.9,43.0,43.5,275030.0
2018-12-04,43.5,43.5,42.8,42.8,172160.0
2018-12-05,42.7,42.9,42.6,42.8,141860.0
2018-12-06,42.8,42.8,42.5,42.7,122310.0
2018-12-07,42.7,43.1,42.7,43.1,116490.0
2018-12-10,43.0,43.2,42.8,43.1,136820.0
2018-12-11,43.1,43.3,42.8,43.1,92030.0
