date,open,high,low,close,klgdkl
2010-01-04,77.0,77.0,75.0,77.0,285810.0
2010-01-05,80.5,80.5,77.0,80.0,500380.0
2010-01-06,80.0,82.0,78.0,78.0,482310.0
2010-01-07,78.0,79.5,77.0,78.0,302470.0
2010-01-08,80.0,80.0,76.0,78.0,510990.0
2010-01-11,78.0,78.0,75.5,76.0,200210.0
2010-01-12,73.5,75.0,72.5,72.5,336860.0
2010-01-13,75.0,75.5,71.0,75.0,183080.0
2010-01-14,77.0,77.0,74.0,75.5,159470.0
2010-01-15,75.5,75.5,73.5,74.0,96930.0
2010-01-18,71.0,72.0,70.5,70.5,169930.0
2010-01-19,69.0,71.5,69.0,71.0,66920.0
2010-01-20,72.0,72.0,68.0,68.0,63370.0
2010-01-21,66.0,67.5,65.0,65.0,168910.0
2010-01-22,63.5,66.0,63.5,65.0,110340.0
2010-01-25,65.0,65.0,64.0,65.0,97580.0
2010-01-26,67.0,68.0,66.0,68.0,356200.0
2010-01-27,69.5,69.5,65.0,65.0,94260.0
2010-01-28,65.0,66.0,64.0,64.0,27600.0
2010-01-29,63.0,65.0,62.5,65.0,67170.0
2010-02-01,65.0,65.5,63.5,64.0,41670.0
2010-02-02,65.0,65.0,62.5,63.0,140390.0
2010-02-03,63.0,63.5,62.5,63.0,112600.0
2010-02-04,62.0,64.5,62.0,64.0,112330.0
2010-02-05,64.0,64.0,62.5,62.5,87370.0
2010-02-08,61.0,62.0,60.5,60.5,88380.0
2010-02-09,59.5,60.0,58.0,58.0,130220.0
2010-02-10,59.5,60.5,59.0,60.5,102720.0
2010-02-11,60.5,63.5,60.5,63.5,98000.0
2010-02-12,65.0,66.0,64.5,65.5,89420.0
2010-02-22,66.5,67.0,65.5,66.5,125550.0
2010-02-23,66.0,66.0,63.5,63.5,140550.0
2010-02-24,62.5,63.5,62.0,63.0,108320.0
2010-02-25,63.0,63.5,61.5,61.5,96240.0
2010-02-26,61.0,62.0,60.5,62.0,155060.0
2010-03-01,62.0,64.0,61.5,64.0,144850.0
2010-03-02,62.5,64.5,62.5,64.0,232020.0
2010-03-03,64.0,64.5,63.5,64.5,128990.0
2010-03-04,64.5,66.5,64.0,64.0,231990.0
2010-03-05,64.0,65.0,63.5,64.0,159050.0
2010-03-08,65.0,67.0,65.0,67.0,185250.0
2010-03-09,70.0,70.0,69.5,70.0,503660.0
2010-03-10,71.5,73.0,70.0,72.5,626030.0
2010-03-11,71.0,72.0,70.0,70.5,380640.0
2010-03-12,71.0,71.0,69.0,69.5,234910.0
2010-03-15,70.0,72.5,69.5,71.0,446030.0
2010-03-16,70.0,70.5,67.5,67.5,339920.0
2010-03-17,68.5,68.5,66.0,66.0,287500.0
2010-03-18,67.0,69.0,66.0,69.0,297010.0
2010-03-19,69.5,69.5,68.0,68.0,210650.0
2010-03-22,67.0,68.0,66.5,67.5,167070.0
2010-03-23,67.0,67.0,65.0,65.0,199320.0
2010-03-24,66.0,66.5,65.0,66.5,372150.0
2010-03-25,65.0,65.5,64.0,64.0,280720.0
2010-03-26,65.0,65.0,63.5,64.0,179300.0
2010-03-29,64.5,65.0,64.0,65.0,72230.0
2010-03-30,65.0,65.5,63.5,63.5,115590.0
2010-03-31,64.0,64.0,62.5,62.5,156270.0
2010-04-01,63.0,63.5,62.0,63.0,134490.0
2010-04-02,64.0,66.0,63.0,65.0,463570.0
2010-04-05,67.0,67.0,65.5,66.0,126230.0
2010-04-06,67.0,67.0,64.5,65.0,203790.0
2010-04-07,64.0,65.5,64.0,65.0,201800.0
2010-04-08,65.5,65.5,64.0,64.5,199780.0
2010-04-09,65.0,66.0,64.5,65.0,261030.0
2010-04-12,66.0,66.5,65.0,65.0,209410.0
2010-04-13,65.0,65.5,64.0,64.5,123710.0
2010-04-14,64.0,64.5,63.5,64.5,114930.0
2010-04-15,64.5,65.0,64.0,64.0,134750.0
2010-04-16,65.0,65.0,64.5,64.5,144590.0
2010-04-19,64.5,64.5,63.5,63.5,69300.0
2010-04-20,64.0,64.0,62.5,63.5,208020.0
2010-04-21,63.0,64.0,63.0,63.0,99040.0
2010-04-22,64.5,66.0,64.5,66.0,583290.0
2010-04-26,66.5,66.5,64.0,65.0,207870.0
2010-04-27,64.5,65.0,64.0,64.0,106580.0
2010-04-28,63.5,65.0,63.5,64.5,96450.0
2010-04-29,64.5,65.0,63.5,64.0,215850.0
2010-05-04,64.5,64.5,63.5,64.0,147090.0
2010-05-05,64.0,64.0,63.0,63.0,162920.0
2010-05-06,63.0,63.5,62.5,63.0,129680.0
2010-05-07,62.5,63.0,60.5,61.0,265460.0
2010-05-10,60.5,61.0,59.0,59.5,175770.0
2010-05-11,60.5,62.0,60.5,62.0,307060.0
2010-05-12,62.0,62.0,59.5,59.5,173280.0
2010-05-13,60.0,61.5,59.5,59.5,135350.0
2010-05-14,60.0,60.0,59.5,59.5,80710.0
2010-05-17,59.0,59.0,57.0,57.5,93410.0
2010-05-18,57.5,57.5,56.0,56.0,141290.0
2010-05-19,54.0,54.5,53.5,53.5,270330.0
2010-05-20,51.5,53.5,51.0,53.5,177740.0
2010-05-21,51.0,52.0,51.0,51.0,156510.0
2010-05-24,50.0,51.5,50.0,51.0,125900.0
2010-05-25,51.0,51.5,50.5,51.0,115450.0
2010-05-26,52.5,53.5,52.0,53.5,170760.0
2010-05-27,53.0,54.0,52.5,53.5,98670.0
2010-05-28,56.0,56.0,54.5,55.5,170560.0
2010-05-31,54.0,55.5,54.0,55.0,103430.0
2010-06-01,54.0,54.5,53.5,54.0,78850.0
2010-06-02,53.5,54.0,53.5,54.0,107730.0
2010-06-03,54.5,54.5,53.5,53.5,104230.0
2010-06-04,53.5,54.0,52.5,52.5,99790.0
2010-06-07,52.5,55.0,52.5,54.0,322130.0
2010-06-08,54.0,54.5,53.5,54.0,107150.0
2010-06-09,54.0,54.0,53.0,53.5,61960.0
2010-06-10,52.5,53.5,52.5,53.5,124710.0
2010-06-11,43.0,43.0,41.8,42.0,118550.0
2010-06-14,41.3,41.8,40.5,40.5,73780.0
2010-06-15,40.1,40.5,39.8,39.9,66990.0
2010-06-16,40.5,40.5,40.0,40.5,61440.0
2010-06-17,40.0,40.8,40.0,40.8,56010.0
2010-06-18,40.8,40.8,40.3,40.7,40410.0
2010-06-21,40.5,40.8,40.5,40.6,61030.0
2010-06-22,40.5,40.5,39.9,40.0,81770.0
2010-06-23,38.5,40.0,38.5,40.0,31310.0
2010-06-24,40.0,40.0,39.7,39.8,63870.0
2010-06-25,39.1,39.8,39.0,39.0,60220.0
2010-06-28,39.0,39.0,38.8,38.8,34000.0
2010-06-29,39.0,39.0,38.5,38.5,123010.0
2010-06-30,37.1,38.6,37.1,38.6,100660.0
2010-07-01,38.0,38.5,37.9,37.9,39510.0
2010-07-02,38.0,38.3,37.4,37.5,67680.0
2010-07-05,37.9,39.3,37.8,39.3,183710.0
2010-07-06,39.3,40.0,39.3,39.4,163710.0
2010-07-07,40.4,40.4,38.6,38.6,104220.0
2010-07-08,39.2,39.2,38.6,38.6,44430.0
2010-07-09,38.6,39.0,38.5,38.6,94720.0
2010-07-12,38.9,38.9,38.4,38.7,29700.0
2010-07-13,39.0,40.0,38.8,39.7,91620.0
2010-07-14,40.2,40.2,39.8,39.9,156450.0
2010-07-15,39.1,39.8,39.1,39.4,81450.0
2010-07-16,39.4,39.4,39.2,39.2,51110.0
2010-07-19,39.2,39.2,38.8,39.0,29760.0
2010-07-20,39.0,39.0,38.7,38.7,38790.0
2010-07-21,38.6,38.7,38.0,38.1,45320.0
2010-07-22,38.0,38.3,38.0,38.1,31500.0
2010-07-23,38.0,38.9,37.9,37.9,32020.0
2010-07-26,37.2,37.9,37.0,37.0,64630.0
2010-07-27,37.0,37.4,36.8,37.0,35850.0
2010-07-28,37.1,37.1,36.1,36.1,21530.0
