date,open,high,low,close,klgdkl
2015-03-18,24.0,24.0,20.0,21.2,391350.0
2015-03-19,24.0,22.0,20.2,21.5,100950.0
2015-03-20,22.0,22.0,21.0,21.0,31280.0
2015-03-23,21.6,21.0,19.6,19.6,178850.0
2015-03-24,19.6,19.7,19.4,19.5,16140.0
2015-03-25,19.4,19.8,19.4,19.8,3800.0
2015-03-26,19.4,19.7,19.4,19.6,14030.0
2015-03-27,19.7,19.7,19.5,19.6,6790.0
2015-03-30,19.4,19.5,18.9,18.9,21650.0
2015-03-31,18.9,19.2,18.9,19.2,8420.0
2015-04-01,18.9,19.0,18.9,19.0,6700.0
2015-04-02,19.2,19.9,19.2,19.9,3020.0
2015-04-03,18.9,19.4,18.9,19.4,150.0
2015-04-06,19.0,19.0,18.7,19.0,3530.0
2015-04-07,19.4,19.4,18.2,18.3,6070.0
2015-04-08,18.3,18.3,17.7,18.2,27220.0
2015-04-09,18.2,18.8,18.0,18.8,11000.0
2015-04-10,19.1,19.1,18.8,19.0,1030.0
2015-04-13,18.8,18.8,18.5,18.5,3500.0
2015-04-14,18.4,19.5,18.1,19.5,115140.0
2015-04-15,19.5,19.5,19.0,19.0,2600.0
2015-04-16,19.0,19.4,18.9,19.4,35560.0
2015-04-17,19.9,19.9,19.1,19.7,170.0
2015-04-20,19.7,19.7,19.0,19.0,12860.0
2015-04-21,19.1,19.1,19.0,19.0,10830.0
2015-04-22,19.0,19.4,19.0,19.4,110.0
2015-04-23,19.4,20.2,19.0,19.0,10110.0
2015-04-24,19.2,19.3,19.1,19.3,6840.0
2015-04-27,19.8,20.0,19.4,20.0,3280.0
2015-05-04,19.5,19.7,19.0,19.7,7970.0
2015-05-05,18.7,19.5,18.5,19.5,22510.0
2015-05-06,19.4,19.4,19.4,19.4,100.0
2015-05-07,19.9,19.9,19.5,19.5,90.0
2015-05-08,19.5,20.4,19.3,19.3,11930.0
2015-05-11,19.4,19.4,19.4,19.4,100.0
2015-05-12,19.2,19.8,19.2,19.7,11330.0
2015-05-13,19.5,19.5,19.5,19.5,210.0
2015-05-14,19.5,19.5,19.5,19.5,6050.0
2015-05-15,19.2,19.5,18.7,19.4,2270.0
2015-05-18,19.7,19.7,19.3,19.5,32200.0
2015-05-19,19.5,19.6,19.0,19.6,7530.0
2015-05-20,19.6,20.0,19.6,20.0,13140.0
2015-05-21,20.0,20.0,19.5,20.0,6600.0
2015-05-22,20.1,20.2,20.1,20.1,56540.0
2015-05-25,20.1,20.6,20.0,20.1,30540.0
2015-05-26,19.7,19.7,18.8,18.8,11610.0
2015-05-27,18.9,19.1,18.9,19.1,14820.0
2015-05-28,19.1,19.2,19.0,19.2,16430.0
2015-05-29,19.1,19.1,19.1,19.1,14240.0
2015-06-01,18.8,19.1,18.8,19.0,19850.0
2015-06-02,18.7,18.7,18.7,18.7,250.0
2015-06-03,18.7,18.8,18.5,18.7,14240.0
2015-06-04,19.0,19.0,18.9,19.0,12240.0
2015-06-05,18.9,19.0,18.8,19.0,8770.0
2015-06-08,19.0,19.0,18.7,19.0,13750.0
2015-06-09,19.0,19.6,19.0,19.2,37100.0
2015-06-10,19.2,19.3,19.1,19.1,5920.0
2015-06-11,19.1,19.1,18.9,19.0,21140.0
2015-06-12,19.2,19.2,18.8,18.9,10850.0
2015-06-15,19.0,19.5,19.0,19.4,99870.0
2015-06-16,19.1,19.5,19.0,19.4,26940.0
2015-06-17,19.5,20.7,19.5,20.7,141280.0
2015-06-18,22.1,22.1,22.1,22.1,135100.0
2015-06-19,23.0,23.6,22.8,23.6,443180.0
2015-06-22,23.9,23.9,22.7,22.7,90270.0
2015-06-23,22.7,23.7,22.5,23.6,92630.0
2015-06-24,23.1,23.9,23.1,23.2,72170.0
2015-06-25,23.5,23.5,22.5,22.7,119340.0
2015-06-26,22.7,23.2,22.7,23.1,46320.0
2015-06-29,23.1,23.3,22.9,23.0,70480.0
2015-06-30,22.6,24.0,22.6,23.4,95680.0
2015-07-01,23.2,23.3,22.8,23.0,35000.0
2015-07-02,23.0,23.1,23.0,23.0,61410.0
2015-07-03,23.0,23.5,22.9,23.0,69420.0
2015-07-06,23.2,23.4,22.4,22.4,66740.0
2015-07-07,23.0,23.2,22.5,22.7,37050.0
2015-07-08,23.2,23.2,22.3,22.7,70400.0
2015-07-09,22.5,22.7,22.5,22.7,2420.0
2015-07-10,22.6,22.9,22.6,22.7,12320.0
2015-07-13,22.4,22.7,22.4,22.5,5770.0
2015-07-14,22.5,22.7,22.5,22.7,47630.0
2015-07-15,22.9,22.9,22.5,22.6,24670.0
2015-07-16,22.6,22.6,22.4,22.5,54430.0
2015-07-17,22.7,22.8,22.5,22.5,46110.0
2015-07-20,22.7,22.7,22.5,22.5,4870.0
2015-07-21,22.5,24.0,22.5,24.0,153000.0
2015-07-22,24.0,24.6,24.0,24.6,147960.0
2015-07-23,24.6,24.6,23.5,23.8,38290.0
2015-07-24,23.7,23.8,22.7,22.7,62260.0
2015-07-27,22.5,23.0,21.5,21.9,90750.0
2015-07-28,21.9,22.8,21.6,22.5,61000.0
2015-07-29,23.0,23.0,22.5,22.5,28330.0
2015-07-30,22.5,22.6,22.1,22.1,57900.0
2015-07-31,23.0,23.0,22.2,22.3,10220.0
2015-08-03,22.2,22.3,22.0,22.2,34470.0
2015-08-04,21.5,22.2,21.4,22.2,2670.0
2015-08-05,22.8,22.8,21.7,22.8,25690.0
2015-08-06,22.9,22.9,22.5,22.5,4540.0
2015-08-07,22.6,22.7,22.6,22.7,20.0
2015-08-10,22.7,23.0,22.7,22.9,24420.0
2015-08-11,22.8,22.8,22.6,22.6,7000.0
2015-08-12,22.5,22.6,21.6,22.2,9110.0
2015-08-13,22.2,22.2,21.5,22.2,14210.0
2015-08-14,21.8,22.2,21.7,22.2,3350.0
2015-08-17,21.0,22.5,20.8,22.1,37450.0
2015-08-18,22.1,22.1,21.2,22.1,3120.0
2015-08-19,21.2,21.9,20.9,20.9,31720.0
2015-08-20,21.8,21.8,20.9,21.3,3120.0
2015-08-21,22.0,22.0,20.8,21.8,1020.0
2015-08-24,21.4,21.4,20.3,20.3,16420.0
2015-08-25,19.1,21.2,19.1,20.7,410.0
2015-08-26,20.5,21.8,19.9,21.7,13970.0
2015-08-27,21.1,21.5,21.0,21.4,10010.0
2015-08-28,21.6,21.6,21.4,21.6,27000.0
2015-08-31,21.9,21.9,21.3,21.3,12240.0
2015-09-01,21.6,21.6,21.3,21.5,3020.0
2015-09-03,21.1,21.5,21.0,21.5,12150.0
2015-09-04,21.0,21.5,21.0,21.2,3640.0
2015-09-07,21.2,21.2,21.0,21.0,2480.0
2015-09-08,21.0,21.2,20.8,20.8,10640.0
2015-09-09,21.1,21.1,20.9,20.9,2530.0
2015-09-10,21.3,21.3,20.8,21.0,1940.0
2015-09-11,21.0,21.0,21.0,21.0,2850.0
2015-09-14,20.8,20.8,19.2,20.8,2980.0
2015-09-15,20.7,20.7,20.0,20.0,3050.0
2015-09-16,20.0,20.0,19.3,20.0,730.0
2015-09-17,20.2,20.2,20.2,20.2,10.0
2015-09-18,20.0,20.2,20.0,20.2,3030.0
2015-09-21,20.0,20.0,20.0,20.0,1800.0
2015-09-22,20.0,20.0,19.8,19.9,760.0
2015-09-23,20.0,20.0,19.8,20.0,3970.0
2015-09-24,20.0,20.2,20.0,20.2,3830.0
2015-09-25,20.0,20.0,19.9,19.9,1750.0
2015-09-28,20.0,20.0,19.8,19.8,3210.0
2015-09-29,19.4,19.9,19.4,19.8,14390.0
2015-09-30,20.0,20.0,19.7,19.7,2260.0
2015-10-01,19.7,20.4,19.7,20.4,1010.0
2015-10-02,20.2,21.7,20.2,21.5,89750.0
2015-10-05,21.5,21.6,21.3,21.4,9240.0
2015-10-06,21.4,21.4,21.4,21.4,850.0
2015-10-07,20.5,21.2,20.4,21.0,50710.0
2015-10-08,21.0,21.0,20.4,20.4,21360.0
2015-10-09,20.4,20.4,20.4,20.4,420.0
2015-10-12,20.4,20.4,20.4,20.4,1440.0
2015-10-13,20.4,20.5,20.4,20.5,2540.0
2015-10-14,20.3,20.5,20.3,20.3,2260.0
2015-10-15,20.3,20.7,20.3,20.6,12210.0
2015-10-16,20.6,21.0,20.2,20.5,12970.0
2015-10-19,21.0,21.0,20.5,20.7,8420.0
2015-10-20,20.5,20.5,20.4,20.5,5420.0
2015-10-21,20.8,20.8,20.0,20.4,7970.0
2015-10-22,20.2,20.6,20.2,20.6,5450.0
2015-10-23,20.5,20.5,20.3,20.5,1910.0
2015-10-26,20.5,20.5,20.2,20.5,23220.0
2015-10-27,20.4,20.4,20.2,20.4,2750.0
2015-10-28,20.5,20.5,20.4,20.4,70.0
2015-10-29,20.4,20.5,20.4,20.5,3280.0
2015-10-30,20.6,20.8,20.3,20.3,24400.0
2015-11-02,21.0,21.0,19.8,19.9,6070.0
2015-11-03,20.4,20.4,20.1,20.1,20.0
2015-11-04,20.2,20.2,20.2,20.2,80.0
2015-11-05,20.2,20.3,20.2,20.2,4050.0
2015-11-06,20.2,20.2,19.8,20.2,14270.0
2015-11-09,20.2,20.2,20.2,20.2,50.0
2015-11-10,20.2,20.2,19.8,20.1,2170.0
2015-11-11,19.8,20.1,19.4,20.1,14550.0
2015-11-12,20.0,20.1,19.7,20.0,8610.0
2015-11-13,19.7,20.0,19.7,20.0,11900.0
2015-11-16,20.1,20.1,19.8,20.1,9040.0
2015-11-17,20.4,21.2,20.2,20.4,22710.0
2015-11-18,20.2,20.4,20.2,20.4,14430.0
2015-11-19,20.0,20.4,20.0,20.4,1010.0
2015-11-20,19.6,20.4,19.5,20.4,4640.0
2015-11-23,19.6,20.3,19.6,20.3,7350.0
2015-11-24,20.3,20.3,20.3,20.3,0.0
2015-11-25,20.2,20.3,20.2,20.3,5390.0
2015-11-26,20.3,20.3,20.1,20.1,3040.0
2015-11-27,19.5,20.0,19.4,20.0,3020.0
2015-11-30,19.5,21.2,19.5,21.2,2980.0
2015-12-01,19.9,20.0,19.9,19.9,11500.0
2015-12-02,20.1,20.1,19.5,20.1,20600.0
2015-12-03,19.8,19.8,19.7,19.7,2560.0
2015-12-04,20.0,20.0,20.0,20.0,1000.0
2015-12-07,20.0,20.0,19.9,19.9,1020.0
2015-12-08,19.6,19.9,19.6,19.9,460.0
2015-12-09,19.6,19.8,19.1,19.8,1220.0
2015-12-10,19.8,19.8,19.8,19.8,2930.0
2015-12-11,19.9,20.0,19.5,19.9,10410.0
2015-12-14,19.8,19.9,19.8,19.9,970.0
2015-12-15,19.9,19.9,19.8,19.9,3780.0
2015-12-16,19.9,19.9,19.8,19.9,1080.0
2015-12-17,19.9,19.9,19.9,19.9,100.0
2015-12-18,19.8,19.9,19.6,19.9,7410.0
2015-12-21,19.7,19.9,19.5,19.9,1220.0
2015-12-22,19.9,20.7,19.9,20.3,43500.0
2015-12-23,20.1,20.1,20.1,20.1,10000.0
2015-12-24,20.1,20.1,20.0,20.1,5300.0
2015-12-25,20.1,20.5,20.1,20.1,28090.0
2015-12-28,20.2,20.3,20.2,20.2,5020.0
2015-12-29,20.0,20.2,20.0,20.2,3180.0
2015-12-30,20.3,20.3,19.9,20.3,16200.0
2015-12-31,21.0,21.0,21.0,21.0,23100.0
2016-01-04,21.0,20.0,20.0,20.0,5000.0
2016-01-05,20.0,20.0,20.0,20.0,0.0
2016-01-06,20.0,20.0,19.8,19.8,3970.0
2016-01-07,19.7,19.7,19.7,19.7,4000.0
2016-01-08,19.7,20.0,18.6,20.0,7050.0
2016-01-11,20.0,20.0,20.0,20.0,3000.0
2016-01-12,20.0,20.0,20.0,20.0,0.0
2016-01-13,19.6,20.0,19.6,20.0,21490.0
2016-01-14,19.8,19.8,19.7,19.7,8000.0
2016-01-15,20.0,20.0,20.0,20.0,10700.0
2016-01-18,18.8,20.0,18.7,20.0,4100.0
2016-01-19,20.0,20.0,20.0,20.0,0.0
2016-01-20,20.0,20.0,20.0,20.0,30.0
2016-01-21,19.9,20.0,19.5,19.9,8300.0
2016-01-22,19.5,19.5,19.5,19.5,100.0
2016-01-25,19.5,20.0,19.5,19.5,8910.0
2016-01-26,19.5,19.9,19.4,19.9,5610.0
2016-01-27,19.9,20.3,19.9,20.3,11590.0
2016-01-28,20.0,20.0,19.9,20.0,2640.0
2016-01-29,19.5,19.8,19.0,19.8,2460.0
2016-02-01,19.8,19.9,19.8,19.9,3300.0
2016-02-02,19.0,19.9,19.0,19.9,2010.0
2016-02-03,19.9,19.9,19.8,19.9,3030.0
2016-02-04,19.9,19.9,19.9,19.9,0.0
2016-02-05,19.1,19.9,19.1,19.9,620.0
2016-02-15,19.9,19.9,19.9,19.9,0.0
2016-02-16,19.9,19.9,19.9,19.9,0.0
2016-02-17,18.9,19.9,18.9,19.9,50.0
2016-02-18,19.1,19.8,19.0,19.8,4220.0
2016-02-19,19.0,19.6,19.0,19.3,2430.0
2016-02-22,19.6,20.0,19.5,19.9,11050.0
2016-02-23,20.0,20.0,19.9,20.0,19920.0
2016-02-24,20.0,20.5,20.0,20.0,11060.0
2016-02-25,20.0,20.0,20.0,20.0,10.0
2016-02-26,20.0,20.0,19.8,19.8,18500.0
2016-02-29,19.8,20.0,19.5,20.0,37170.0
2016-03-01,20.0,20.0,19.8,20.0,17340.0
2016-03-02,19.7,19.7,19.7,19.7,10.0
2016-03-03,19.7,20.0,20.0,20.0,4660.0
2016-03-04,19.8,19.8,19.8,19.8,700.0
2016-03-07,19.8,19.8,19.7,19.8,1380.0
2016-03-08,19.8,19.8,19.8,19.8,2310.0
2016-03-09,19.8,19.9,19.5,19.5,10360.0
2016-03-10,18.8,19.8,18.8,19.5,1630.0
