date,open,high,low,close,klgdkl
2017-05-30,14.4,14.4,14.4,14.4,790.0
2017-05-31,15.4,15.4,15.4,15.4,1100.0
2017-06-01,15.4,16.45,15.4,16.45,4110.0
2017-06-02,17.6,17.6,17.6,17.6,500.0
2017-06-05,18.8,18.8,18.8,18.8,400.0
2017-06-06,20.1,20.1,20.1,20.1,340.0
2017-06-07,21.5,21.5,21.5,21.5,30.0
2017-06-08,23.0,23.0,23.0,23.0,4140.0
2017-06-09,24.6,24.6,24.6,24.6,20510.0
2017-06-12,24.6,26.3,24.6,26.3,40580.0
2017-06-13,28.1,28.1,28.1,28.1,37250.0
2017-06-14,30.05,30.05,30.05,30.05,51250.0
2017-06-15,32.15,32.15,32.15,32.15,21830.0
2017-06-16,32.15,34.4,32.15,34.4,14700.0
2017-06-19,36.8,36.8,36.8,36.8,10260.0
2017-06-20,39.35,39.35,39.35,39.35,42030.0
2017-06-21,42.1,42.1,36.6,36.6,68460.0
2017-06-22,34.05,34.05,34.05,34.05,1860.0
2017-06-23,31.7,31.7,31.7,31.7,30.0
2017-06-26,29.5,33.8,29.5,29.5,60940.0
2017-06-27,29.5,29.5,27.45,27.45,20640.0
2017-06-28,25.55,25.55,25.55,25.55,3190.0
2017-06-29,23.8,25.5,23.8,24.0,44330.0
2017-06-30,25.65,25.65,25.6,25.65,1190.0
2017-07-03,27.4,27.4,27.4,27.4,30230.0
2017-07-04,29.3,29.3,29.3,29.3,18450.0
2017-07-05,31.35,31.35,29.5,31.3,16160.0
2017-07-06,31.3,31.9,29.15,30.5,17520.0
2017-07-07,29.1,29.5,29.1,29.4,11770.0
2017-07-10,29.3,29.3,28.3,29.0,3260.0
2017-07-11,28.3,28.5,28.3,28.4,630.0
2017-07-12,29.0,29.5,28.4,29.5,1360.0
2017-07-13,30.4,30.5,29.3,30.5,2500.0
2017-07-14,29.9,30.8,28.4,28.4,5700.0
2017-07-17,27.6,29.4,26.8,26.85,5620.0
2017-07-18,28.0,28.4,27.0,28.4,710.0
2017-07-19,27.3,28.9,27.15,28.9,2630.0
2017-07-20,29.0,29.0,26.9,26.9,1960.0
2017-07-21,26.9,28.5,26.9,28.3,210.0
2017-07-24,27.5,27.5,27.4,27.4,1860.0
2017-07-25,27.8,27.8,27.3,27.5,3750.0
2017-07-26,27.5,28.5,27.4,28.5,67320.0
2017-07-27,27.9,28.6,27.8,28.5,30740.0
2017-07-28,28.5,28.5,27.95,27.95,20950.0
2017-07-31,28.4,28.4,27.65,28.3,14750.0
2017-08-01,28.3,28.3,27.6,28.0,710.0
2017-08-02,27.65,27.9,27.65,27.9,1730.0
2017-08-03,27.65,27.85,27.5,27.85,30340.0
2017-08-04,27.8,27.8,27.7,27.8,4950.0
2017-08-07,27.6,27.8,27.6,27.8,9450.0
2017-08-08,27.8,27.8,27.4,27.4,42650.0
2017-08-09,27.4,27.7,27.4,27.7,18800.0
2017-08-10,28.0,29.0,28.0,29.0,6100.0
2017-08-11,29.2,29.3,29.0,29.2,27880.0
2017-08-14,29.3,29.5,29.2,29.4,25480.0
2017-08-15,29.5,29.7,29.0,29.7,23850.0
2017-08-16,29.7,30.0,29.7,29.9,16470.0
2017-08-17,29.9,30.0,29.4,29.7,13330.0
2017-08-18,29.7,29.8,27.65,27.65,14450.0
2017-08-21,27.0,27.65,27.0,27.65,21600.0
2017-08-22,27.7,27.7,27.6,27.65,15660.0
2017-08-23,27.7,29.55,27.7,28.0,15730.0
