date,open,high,low,close,klgdkl
2010-01-04,19.5,20.6,19.1,20.6,521700.0
2010-01-05,21.8,21.8,21.2,21.8,818500.0
2010-01-06,22.0,23.0,20.8,21.7,953800.0
2010-01-07,21.9,22.3,21.0,21.1,501900.0
2010-01-08,21.8,22.5,20.8,21.2,443600.0
2010-01-11,21.6,21.6,20.3,20.4,259600.0
2010-01-12,20.5,20.5,19.3,19.3,462800.0
2010-01-13,19.0,20.5,18.4,19.9,501500.0
2010-01-14,20.1,20.7,19.9,20.5,317800.0
2010-01-15,20.6,20.6,19.6,19.8,198600.0
2010-01-18,19.3,19.3,18.6,18.6,253600.0
2010-01-19,19.0,19.3,18.3,18.9,175600.0
2010-01-20,19.2,19.2,18.2,18.2,164000.0
2010-01-21,17.9,18.4,17.4,17.6,233300.0
2010-01-22,17.0,18.2,16.8,17.9,183700.0
2010-01-25,17.8,18.2,17.5,18.1,98400.0
2010-01-26,18.0,19.0,18.0,19.0,233100.0
2010-01-27,19.2,19.2,17.7,17.9,199200.0
2010-01-28,17.6,18.0,17.5,18.0,141000.0
2010-01-29,17.9,18.0,17.5,17.8,81400.0
2010-02-01,18.0,18.1,17.8,18.0,71000.0
2010-02-02,18.3,18.3,17.6,17.8,58000.0
2010-02-03,17.9,18.0,17.6,17.9,84900.0
2010-02-04,17.9,18.3,17.5,18.0,112400.0
2010-02-05,17.8,17.8,17.5,17.6,108300.0
2010-02-08,17.6,17.6,17.4,17.5,52700.0
2010-02-09,17.5,17.5,17.0,17.2,118700.0
2010-02-10,17.6,17.6,17.2,17.4,45000.0
2010-02-11,17.6,17.9,17.4,17.7,75500.0
2010-02-12,18.0,18.0,17.6,17.9,42800.0
2010-02-22,18.5,18.5,18.0,18.2,81600.0
2010-02-23,18.2,18.2,17.5,17.7,67700.0
2010-02-24,17.3,17.9,17.3,17.8,111900.0
2010-02-25,17.8,18.0,17.6,17.8,61100.0
2010-02-26,17.8,17.8,17.6,17.7,126100.0
2010-03-01,17.8,18.1,17.8,18.0,126300.0
2010-03-02,18.5,18.5,17.8,17.9,81600.0
2010-03-03,18.0,18.9,18.0,18.8,387700.0
2010-03-04,19.0,19.3,18.5,18.6,141600.0
2010-03-05,18.6,19.3,18.3,18.8,269900.0
2010-03-08,19.4,19.9,19.4,19.9,605600.0
2010-03-09,21.0,21.1,19.6,20.1,442300.0
2010-03-10,20.1,20.1,19.0,19.2,252000.0
2010-03-11,19.6,20.0,19.0,19.1,162200.0
2010-03-12,19.3,19.5,19.1,19.3,242100.0
2010-03-15,19.4,19.7,19.0,19.0,277600.0
2010-03-16,19.1,19.1,18.0,18.4,243000.0
2010-03-17,18.6,19.0,18.0,18.3,173100.0
2010-03-18,18.7,18.9,18.2,18.8,165500.0
2010-03-19,19.0,19.0,18.3,18.4,409300.0
2010-03-22,18.3,18.6,18.2,18.5,138300.0
2010-03-23,18.2,18.4,17.8,18.0,262900.0
2010-03-24,18.4,18.4,18.1,18.3,106100.0
2010-03-25,18.2,18.3,17.6,17.9,160800.0
2010-03-26,17.8,18.1,17.4,17.8,181400.0
2010-03-29,17.9,17.9,17.2,17.5,264400.0
2010-03-30,17.5,17.7,17.2,17.4,186200.0
2010-03-31,17.2,17.5,17.0,17.0,133100.0
2010-04-01,17.2,17.7,16.9,17.3,117300.0
2010-04-02,17.5,17.5,17.2,17.4,91700.0
