date,open,high,low,close,klgdkl
2010-01-04,57.5,59.5,57.5,59.5,101160.0
2010-01-05,61.5,62.0,60.0,61.0,199050.0
2010-01-06,59.5,64.0,59.5,63.5,191020.0
2010-01-07,62.0,64.5,62.0,62.0,87450.0
2010-01-08,64.0,64.0,59.0,59.0,109340.0
2010-01-11,57.0,59.0,56.5,57.5,79960.0
2010-01-12,57.0,58.0,55.0,55.0,68350.0
2010-01-13,53.0,55.0,52.5,55.0,108370.0
2010-01-14,57.0,57.5,55.0,57.5,74370.0
2010-01-15,57.5,57.5,55.0,55.0,38260.0
2010-01-18,52.5,54.0,52.5,52.5,42080.0
2010-01-19,54.5,54.5,52.0,53.0,9070.0
2010-01-20,54.0,54.0,50.5,50.5,71890.0
2010-01-21,48.1,49.0,48.0,48.0,104350.0
2010-01-22,45.7,48.0,45.6,46.0,157510.0
2010-01-25,47.0,47.9,46.0,47.9,42520.0
2010-01-26,49.8,50.0,49.8,50.0,90200.0
2010-01-27,51.0,51.0,49.0,49.0,54230.0
2010-01-28,47.6,48.5,47.6,47.8,23350.0
2010-01-29,47.9,48.3,47.0,47.6,48860.0
2010-02-01,47.6,48.0,47.0,47.6,10810.0
2010-02-02,47.6,48.5,47.0,48.5,54730.0
2010-02-03,48.5,48.8,48.0,48.0,11580.0
2010-02-04,48.5,50.0,48.0,49.9,25540.0
2010-02-05,48.7,49.0,48.0,48.0,27880.0
2010-02-08,48.0,48.0,47.5,48.0,3390.0
2010-02-09,47.8,47.8,46.5,47.2,15900.0
2010-02-10,46.0,48.6,46.0,47.3,7830.0
2010-02-11,48.0,48.9,48.0,48.9,15820.0
2010-02-12,49.9,49.9,48.5,49.3,17700.0
2010-02-22,49.9,50.5,49.3,49.9,20910.0
2010-02-23,49.5,49.5,47.6,47.6,24260.0
2010-02-24,47.2,48.0,47.0,48.0,13800.0
2010-02-25,48.9,48.9,48.0,48.5,8420.0
2010-02-26,47.7,49.4,47.7,49.3,16350.0
2010-03-01,49.5,49.8,49.5,49.6,16340.0
2010-03-02,50.0,50.5,50.0,50.5,36980.0
2010-03-03,51.0,51.5,50.5,51.5,21110.0
2010-03-04,52.5,53.0,51.0,51.5,33800.0
2010-03-05,50.5,52.0,50.0,51.5,95260.0
2010-03-08,53.5,53.5,52.0,53.0,90330.0
2010-03-09,53.0,53.5,52.0,52.5,52360.0
2010-03-10,52.5,55.0,52.0,54.5,166830.0
2010-03-11,55.0,57.0,54.5,57.0,137660.0
2010-03-12,58.0,58.0,56.5,57.5,104620.0
2010-03-15,56.5,59.0,56.5,57.5,145950.0
2010-03-16,56.0,56.5,55.0,55.5,221810.0
2010-03-17,55.5,55.5,53.5,53.5,169390.0
2010-03-18,54.5,54.5,53.0,54.5,75720.0
2010-03-19,55.0,55.0,54.0,54.5,124870.0
2010-03-22,55.0,55.0,53.0,54.0,71410.0
2010-03-23,53.0,53.5,52.0,53.0,131920.0
2010-03-24,52.5,53.0,52.0,52.5,83300.0
2010-03-25,53.5,55.0,52.5,55.0,463910.0
2010-03-26,57.5,57.5,55.0,56.5,217180.0
2010-03-29,55.5,57.0,55.0,57.0,102600.0
2010-03-30,55.5,56.5,55.0,55.0,133220.0
2010-03-31,54.5,54.5,53.0,53.0,156190.0
2010-04-01,52.0,53.5,51.5,53.5,132330.0
2010-04-02,56.0,56.0,55.0,56.0,179030.0
2010-04-05,58.0,58.0,56.5,56.5,118160.0
2010-04-06,56.5,59.0,56.0,59.0,379530.0
2010-04-07,61.0,61.5,60.0,61.5,242650.0
2010-04-08,61.5,63.0,59.5,60.0,185300.0
2010-04-09,60.0,63.0,60.0,62.0,271730.0
2010-04-12,63.0,63.0,59.5,59.5,148240.0
2010-04-13,59.0,59.5,58.5,58.5,174120.0
2010-04-14,58.5,59.0,57.5,58.5,88120.0
2010-04-15,59.5,61.0,59.0,61.0,195140.0
2010-04-16,61.0,64.0,61.0,62.5,245950.0
2010-04-19,62.0,63.0,60.0,61.0,90920.0
2010-04-20,62.0,62.0,61.0,61.5,144440.0
2010-04-21,62.0,62.0,60.0,60.5,157480.0
2010-04-22,61.0,63.5,59.0,61.0,214950.0
2010-04-26,61.5,63.0,61.5,62.5,296250.0
2010-04-27,63.0,65.0,62.0,64.0,293280.0
2010-04-28,64.0,67.0,63.5,67.0,295190.0
2010-04-29,68.0,69.5,67.5,69.0,152940.0
2010-05-04,69.0,70.0,67.5,70.0,235030.0
2010-05-05,68.5,72.5,68.5,72.5,425430.0
2010-05-06,75.0,75.0,69.5,71.0,235430.0
2010-05-07,69.0,71.5,67.5,71.0,216710.0
2010-05-10,70.0,70.0,67.5,67.5,140630.0
2010-05-11,67.0,67.5,65.0,66.0,134280.0
2010-05-12,66.0,66.0,63.0,63.0,123100.0
2010-05-13,62.0,62.0,60.0,60.0,79910.0
2010-05-14,60.0,61.0,59.5,60.0,40960.0
2010-05-17,59.5,60.0,57.5,58.5,104780.0
2010-05-18,59.0,60.0,56.5,60.0,70900.0
2010-05-19,60.0,60.0,57.0,57.0,159830.0
2010-05-20,54.5,58.5,54.5,58.5,55700.0
2010-05-21,56.0,56.0,56.0,56.0,149520.0
2010-05-24,56.0,56.0,53.5,56.0,111390.0
2010-05-25,55.5,56.0,54.0,54.0,75900.0
2010-05-26,54.0,55.0,53.5,55.0,66120.0
2010-05-27,55.0,56.0,53.5,56.0,60580.0
2010-05-28,58.5,58.5,57.5,58.5,207170.0
2010-05-31,59.0,61.0,58.5,61.0,294930.0
2010-06-01,61.0,61.5,60.0,61.0,89670.0
2010-06-02,61.0,63.5,58.5,62.5,229670.0
2010-06-03,63.5,63.5,61.0,61.0,101310.0
2010-06-04,60.0,60.5,59.0,59.0,74070.0
2010-06-07,57.0,57.5,56.5,57.0,71470.0
2010-06-08,56.0,58.0,56.0,57.5,36600.0
2010-06-09,58.0,58.5,57.5,57.5,57130.0
2010-06-10,58.0,58.0,57.5,58.0,16010.0
2010-06-11,59.5,60.0,58.5,59.0,63760.0
2010-06-14,60.0,60.0,59.5,60.0,32490.0
2010-06-15,59.5,60.0,57.5,57.5,32540.0
2010-06-16,59.0,60.0,59.0,59.0,39920.0
2010-06-17,58.0,59.0,57.0,58.0,34010.0
2010-06-18,57.5,58.5,57.5,58.5,18130.0
2010-06-21,59.0,59.0,58.5,58.5,58320.0
2010-06-22,58.5,58.5,58.0,58.0,70150.0
2010-06-23,58.0,58.0,58.0,58.0,27930.0
2010-06-24,59.0,60.5,59.0,59.5,68230.0
2010-06-25,59.0,59.5,58.0,58.0,37390.0
2010-06-28,58.0,59.5,57.5,59.0,10210.0
2010-06-29,58.5,59.5,57.0,57.0,118850.0
2010-06-30,56.5,56.5,56.0,56.5,20400.0
2010-07-01,56.5,56.5,55.0,55.0,33240.0
2010-07-02,57.5,57.5,55.0,56.5,16760.0
2010-07-05,55.5,56.0,55.5,55.5,21580.0
2010-07-06,55.0,55.0,53.5,53.5,40310.0
2010-07-07,55.5,55.5,53.0,53.5,8810.0
2010-07-08,54.0,55.0,53.5,53.5,10800.0
2010-07-09,53.5,54.0,53.0,54.0,13500.0
2010-07-12,54.0,54.0,54.0,54.0,26390.0
2010-07-13,54.0,56.0,53.5,56.0,47070.0
2010-07-14,57.5,57.5,56.0,56.0,22200.0
2010-07-15,56.0,56.0,54.0,54.5,1960.0
2010-07-16,55.5,55.5,54.0,54.0,10250.0
2010-07-19,54.5,54.5,53.0,53.0,21150.0
2010-07-20,54.0,55.0,53.0,54.0,25870.0
2010-07-21,55.0,55.0,53.0,53.0,7110.0
2010-07-22,53.5,53.5,52.5,53.0,27610.0
2010-07-23,54.0,54.5,53.0,54.0,72400.0
2010-07-26,54.0,55.0,54.0,54.0,51550.0
2010-07-27,54.0,56.5,54.0,56.5,82500.0
2010-07-28,55.0,56.0,55.0,55.0,35710.0
2010-07-29,56.0,56.0,55.0,55.0,23310.0
2010-07-30,54.0,56.0,54.0,55.0,63070.0
2010-08-02,54.5,55.0,54.5,55.0,40150.0
2010-08-03,55.0,55.0,55.0,55.0,9480.0
2010-08-04,54.0,55.5,53.5,55.5,17850.0
2010-08-05,55.5,55.5,54.5,55.5,280800.0
2010-08-06,55.5,55.5,55.0,55.0,12930.0
2010-08-09,55.0,55.5,55.0,55.0,174540.0
2010-08-10,55.0,55.5,54.0,55.0,178370.0
2010-08-11,55.5,55.5,55.0,55.0,58520.0
2010-08-12,55.0,55.0,54.0,55.0,157900.0
2010-08-13,54.0,55.0,54.0,55.0,39610.0
2010-08-16,54.5,55.5,54.5,55.5,16980.0
2010-08-17,55.5,55.5,54.5,55.5,65400.0
2010-08-18,54.0,55.0,54.0,55.0,19670.0
2010-08-19,55.0,55.5,55.0,55.5,23330.0
2010-08-20,55.0,55.5,55.0,55.5,13400.0
2010-08-23,54.0,54.0,54.0,54.0,3950.0
2010-08-24,55.0,55.0,54.0,54.0,55520.0
2010-08-25,54.0,54.0,52.5,52.5,57050.0
2010-08-26,53.5,54.0,52.5,54.0,31730.0
2010-08-27,53.5,55.0,53.5,55.0,58980.0
2010-08-30,57.0,57.0,55.5,56.0,1510.0
2010-08-31,56.0,56.0,54.5,54.5,6440.0
2010-09-01,55.0,55.0,54.5,54.5,5480.0
2010-09-06,55.0,55.0,54.5,55.0,17430.0
2010-09-07,54.5,54.5,53.0,53.0,7290.0
2010-09-08,53.0,54.5,53.0,53.0,30010.0
2010-09-09,53.0,53.0,53.0,53.0,2020.0
2010-09-10,53.5,53.5,52.5,52.5,5030.0
2010-09-13,52.0,53.0,52.0,53.0,500.0
2010-09-14,53.5,53.5,53.5,53.5,100.0
2010-09-15,53.5,53.5,53.5,53.5,10.0
2010-09-16,53.5,53.5,52.5,52.5,290.0
2010-09-17,53.5,53.5,52.0,52.0,2010.0
2010-09-20,52.5,52.5,49.4,49.4,77350.0
2010-09-21,50.5,51.5,49.5,51.5,65150.0
2010-09-22,53.0,53.0,51.0,51.0,47130.0
2010-09-23,50.0,51.0,50.0,51.0,2920.0
2010-09-24,50.5,51.5,50.0,50.0,3010.0
2010-09-27,50.0,50.0,50.0,50.0,1250.0
2010-09-28,50.0,50.0,49.1,49.6,6260.0
2010-09-29,52.0,52.0,49.4,50.5,3210.0
2010-09-30,49.9,49.9,49.4,49.4,18200.0
2010-10-01,51.0,51.0,49.3,49.3,40.0
2010-10-04,47.6,49.5,47.6,49.5,5510.0
2010-10-05,48.0,49.9,47.5,49.9,6670.0
2010-10-06,48.3,50.0,48.2,50.0,1100.0
2010-10-07,49.9,50.0,49.9,50.0,500.0
2010-10-08,50.0,50.0,49.0,49.4,3050.0
2010-10-11,49.4,49.8,49.4,49.7,2430.0
2010-10-12,49.0,49.3,47.4,47.4,63570.0
2010-10-13,47.4,48.1,47.4,47.5,51600.0
2010-10-14,45.7,47.5,45.7,46.3,40600.0
2010-10-15,46.0,48.6,46.0,47.9,54430.0
2010-10-18,48.2,48.3,47.0,47.5,14080.0
2010-10-19,49.0,49.3,47.1,47.1,20030.0
2010-10-20,47.1,47.1,44.8,44.8,51990.0
2010-10-21,45.0,46.2,43.5,43.8,45010.0
2010-10-22,44.0,45.9,42.5,45.9,61200.0
2010-10-25,48.0,48.1,47.0,48.1,38540.0
2010-10-26,48.5,50.5,46.6,48.9,21500.0
2010-10-27,49.0,49.0,46.7,48.7,12510.0
2010-10-28,48.7,48.7,46.6,46.6,18510.0
2010-10-29,47.2,47.4,46.6,46.6,9400.0
2010-11-01,46.9,46.9,44.5,44.5,14670.0
2010-11-02,43.0,43.5,42.5,42.9,19140.0
2010-11-03,40.8,41.1,40.8,40.8,63080.0
2010-11-04,41.0,41.0,39.1,39.2,42710.0
2010-11-05,41.1,41.1,40.0,41.1,28910.0
2010-11-08,42.8,42.8,40.8,40.8,35630.0
2010-11-09,40.0,40.0,39.1,39.1,8510.0
2010-11-10,39.1,39.4,38.4,38.6,10840.0
2010-11-11,37.5,39.0,37.5,38.8,1300.0
2010-11-12,37.5,37.5,36.9,36.9,28040.0
2010-11-15,38.0,38.0,35.1,35.1,6790.0
2010-11-16,33.7,35.1,33.4,33.4,16150.0
2010-11-17,35.0,35.0,32.1,32.1,2910.0
2010-11-18,33.6,33.7,33.6,33.7,4240.0
2010-11-19,33.0,35.1,33.0,34.0,2290.0
2010-11-22,32.3,34.5,32.3,34.2,4050.0
2010-11-23,34.7,35.0,34.5,34.5,5330.0
2010-11-24,35.9,35.9,35.5,35.5,110.0
2010-11-25,36.7,36.7,36.0,36.4,8230.0
2010-11-26,37.0,37.0,35.0,36.7,2740.0
2010-11-29,36.9,36.9,34.9,36.0,30780.0
2010-11-30,37.2,37.8,34.2,35.7,109460.0
2010-12-01,37.0,37.4,35.8,37.4,33400.0
2010-12-02,38.9,39.2,36.0,39.2,36470.0
2010-12-03,41.1,41.1,41.1,41.1,11210.0
2010-12-06,43.1,43.1,42.9,43.1,55930.0
2010-12-07,45.0,45.0,41.0,41.0,28380.0
2010-12-08,39.4,42.0,39.0,39.3,41600.0
2010-12-09,39.3,41.2,38.0,41.0,22810.0
2010-12-10,41.3,42.0,41.0,42.0,24100.0
2010-12-13,44.1,44.1,43.0,43.0,37800.0
2010-12-14,43.0,43.0,40.9,41.0,46060.0
2010-12-15,41.2,41.2,39.1,39.5,14750.0
2010-12-16,39.5,41.4,37.6,39.4,41760.0
2010-12-17,39.5,40.2,39.4,40.0,19870.0
2010-12-20,41.1,41.1,39.9,40.0,23820.0
2010-12-21,39.5,40.5,38.6,40.5,26530.0
2010-12-22,41.0,41.0,39.9,40.0,10680.0
2010-12-23,39.9,40.0,39.0,39.0,13360.0
2010-12-24,39.0,39.0,39.0,39.0,2050.0
2010-12-27,40.1,40.1,39.5,40.0,830.0
2010-12-28,41.0,41.0,39.1,40.3,5320.0
2010-12-29,39.2,39.2,39.2,39.2,2600.0
2010-12-30,39.2,39.2,39.0,39.0,5770.0
2010-12-31,38.5,40.0,38.5,39.5,3160.0
2011-01-04,39.0,39.3,39.0,39.0,3130.0
2011-01-05,39.8,39.8,38.6,38.6,7100.0
2011-01-06,39.5,39.5,37.0,38.6,5960.0
2011-01-07,38.6,39.4,38.2,39.4,1790.0
2011-01-10,38.0,38.1,38.0,38.0,5360.0
2011-01-11,39.0,39.0,39.0,39.0,560.0
2011-01-12,37.4,38.9,37.4,38.8,3030.0
2011-01-13,38.8,38.8,38.0,38.8,4500.0
2011-01-14,38.8,39.5,38.0,39.5,14810.0
2011-01-17,40.5,40.5,40.5,40.5,60.0
2011-01-18,40.5,40.5,39.5,39.5,5350.0
2011-01-19,39.5,39.5,39.0,39.5,10300.0
2011-01-20,39.0,39.0,38.5,39.0,5040.0
2011-01-21,38.5,39.9,38.5,39.0,2760.0
2011-01-24,38.0,38.0,38.0,38.0,8000.0
2011-01-25,38.0,38.0,37.7,37.7,3010.0
2011-01-26,39.4,39.4,37.8,39.0,610.0
2011-01-27,39.0,39.0,39.0,39.0,2200.0
2011-01-28,39.1,39.2,38.5,38.5,4050.0
2011-02-08,39.5,39.5,39.5,39.5,260.0
2011-02-09,37.8,39.8,37.8,38.2,2160.0
2011-02-10,38.0,39.6,38.0,39.6,8870.0
2011-02-11,36.2,37.8,36.2,37.0,7210.0
2011-02-14,37.5,37.5,36.3,36.5,13200.0
2011-02-15,37.0,37.0,36.0,36.0,1110.0
2011-02-16,36.0,36.0,34.5,34.5,8420.0
2011-02-17,33.2,35.0,33.2,35.0,7400.0
2011-02-18,35.0,35.0,35.0,35.0,1410.0
2011-02-21,35.0,35.0,33.3,33.3,8820.0
2011-02-22,31.7,32.5,31.7,31.7,9480.0
2011-02-23,33.0,33.0,31.7,31.7,510.0
2011-02-24,31.7,31.7,31.7,31.7,1090.0
2011-02-25,33.0,33.0,31.5,31.5,3850.0
2011-02-28,31.5,31.5,31.1,31.1,480.0
2011-03-01,30.4,31.1,30.4,31.1,3110.0
2011-03-02,29.6,31.0,29.6,31.0,3020.0
2011-03-03,31.0,31.0,29.5,29.5,1500.0
2011-03-04,29.8,29.8,29.1,29.1,770.0
2011-03-07,29.0,29.0,29.0,29.0,1050.0
2011-03-08,29.0,29.4,29.0,29.0,3410.0
2011-03-09,28.2,29.0,28.2,28.8,1780.0
2011-03-10,28.8,29.9,28.8,29.9,5740.0
2011-03-11,30.1,31.3,30.1,31.3,9990.0
2011-03-14,30.0,30.1,30.0,30.0,1670.0
2011-03-15,28.6,30.8,28.6,30.8,1160.0
2011-03-16,29.5,30.8,29.3,30.6,5080.0
2011-03-17,30.0,30.5,30.0,30.5,2210.0
2011-03-18,30.0,30.4,30.0,30.4,1750.0
2011-03-21,31.0,31.0,30.0,30.0,2990.0
2011-03-22,31.0,31.0,29.0,30.7,1050.0
2011-03-23,30.9,31.0,29.4,30.5,1580.0
2011-03-24,29.5,29.5,29.5,29.5,1520.0
2011-03-25,29.5,30.3,29.5,30.3,520.0
2011-03-28,30.3,30.3,29.1,29.1,950.0
2011-03-29,29.1,30.0,28.6,30.0,1830.0
2011-03-30,30.0,30.0,30.0,30.0,0.0
2011-03-31,28.5,28.5,28.5,28.5,1900.0
2011-04-01,29.0,29.0,29.0,29.0,10.0
2011-04-04,29.7,29.7,29.7,29.7,10.0
2011-04-05,29.7,29.7,29.7,29.7,0.0
2011-04-06,29.0,29.0,28.5,29.0,3010.0
2011-04-07,29.0,29.0,28.5,28.5,200.0
2011-04-08,27.8,29.5,27.8,29.5,310.0
2011-04-13,29.0,29.0,29.0,29.0,20.0
2011-04-14,28.5,28.5,27.6,28.5,850.0
2011-04-15,27.1,27.1,27.1,27.1,3440.0
2011-04-18,27.0,27.0,25.8,25.8,3710.0
2011-04-19,25.1,25.8,25.0,25.5,4690.0
2011-04-20,25.0,25.5,25.0,25.5,3450.0
2011-04-21,24.5,25.9,24.5,25.5,3010.0
2011-04-22,25.5,25.5,25.0,25.0,2180.0
2011-04-25,25.5,26.2,25.5,26.0,4850.0
2011-04-26,24.8,25.8,24.7,25.8,3120.0
2011-04-27,25.0,25.7,24.6,25.7,1100.0
2011-04-28,25.0,25.4,25.0,25.4,700.0
2011-04-29,24.5,25.7,24.2,25.4,36830.0
2011-05-04,25.4,25.4,24.5,24.5,550.0
2011-05-05,24.9,24.9,23.7,23.7,170.0
2011-05-06,24.4,24.4,24.0,24.3,3110.0
2011-05-09,24.9,24.9,24.9,24.9,30.0
2011-05-10,25.5,25.5,25.1,25.1,40.0
2011-05-11,25.5,25.5,24.5,25.1,1640.0
2011-05-12,25.1,25.1,25.1,25.1,20.0
2011-05-13,25.1,25.1,24.5,24.5,1390.0
2011-05-16,25.5,25.5,25.0,25.0,40.0
2011-05-17,25.0,25.3,25.0,25.0,810.0
2011-05-18,25.5,25.5,23.8,23.8,1560.0
2011-05-19,24.4,24.4,24.4,24.4,40.0
2011-05-20,25.0,25.0,23.2,24.7,710.0
2011-05-23,25.3,25.3,23.5,23.5,460.0
2011-05-24,22.5,23.5,22.4,22.4,6360.0
2011-05-25,21.5,21.5,21.3,21.3,520.0
2011-05-26,20.3,21.2,20.3,20.4,4770.0
2011-05-27,19.4,21.2,19.4,20.1,2030.0
2011-05-30,19.1,21.0,19.1,19.2,9610.0
2011-05-31,19.0,19.0,19.0,19.0,560.0
2011-06-01,19.9,19.9,18.8,19.3,4090.0
2011-06-02,19.4,19.9,19.4,19.9,12500.0
2011-06-03,19.8,19.8,19.3,19.4,27220.0
2011-06-06,19.0,19.7,18.9,19.7,8010.0
2011-06-07,19.7,19.8,19.5,19.7,5360.0
2011-06-08,19.1,19.7,19.1,19.7,1290.0
2011-06-09,19.2,19.9,19.0,19.9,7360.0
2011-06-10,19.0,20.8,19.0,20.7,8220.0
2011-06-13,21.4,21.6,21.2,21.6,3450.0
2011-06-14,22.0,22.2,22.0,22.2,500.0
2011-06-15,22.0,22.0,22.0,22.0,20.0
2011-06-16,20.9,20.9,20.9,20.9,4070.0
2011-06-17,20.0,20.0,19.9,19.9,12670.0
2011-06-20,19.5,19.5,19.0,19.0,15510.0
2011-06-21,19.0,19.7,19.0,19.7,2900.0
2011-06-22,20.0,20.0,20.0,20.0,200.0
2011-06-23,19.0,20.0,19.0,20.0,5400.0
2011-06-24,19.1,20.0,19.1,20.0,210.0
2011-06-27,19.0,19.0,19.0,19.0,2520.0
2011-06-28,19.0,19.7,19.0,19.7,2140.0
2011-06-29,19.7,19.7,19.7,19.7,0.0
2011-06-30,19.2,19.2,19.0,19.2,1130.0
2011-07-01,19.9,19.9,18.3,18.3,2560.0
2011-07-04,17.6,19.0,17.6,17.9,8230.0
2011-07-05,18.7,18.7,17.9,18.7,57790.0
2011-07-06,19.5,19.5,19.5,19.5,50.0
2011-07-07,18.7,19.0,18.7,18.9,1700.0
2011-07-08,18.1,18.5,18.0,18.5,23940.0
2011-07-11,19.0,19.0,18.2,18.2,300.0
2011-07-12,17.5,18.9,17.5,18.9,440.0
2011-07-13,18.3,18.8,18.0,18.8,4500.0
2011-07-14,18.8,18.8,18.8,18.8,1010.0
2011-07-15,18.8,18.9,18.7,18.7,820.0
2011-07-18,18.5,18.5,18.5,18.5,1100.0
2011-07-19,18.0,18.5,18.0,18.5,840.0
2011-07-20,18.2,18.5,18.2,18.5,1540.0
2011-07-21,18.0,18.0,18.0,18.0,100.0
2011-07-22,18.0,18.4,18.0,18.4,2200.0
2011-07-25,18.4,18.4,18.4,18.4,200.0
2011-07-26,18.0,18.0,17.9,17.9,2180.0
2011-07-27,17.2,17.6,17.1,17.1,16200.0
2011-07-28,17.2,17.4,17.0,17.0,1810.0
2011-07-29,16.5,17.3,16.5,17.3,1410.0
2011-08-01,17.3,17.3,17.3,17.3,140.0
2011-08-02,17.4,17.4,16.8,16.8,1070.0
2011-08-03,16.3,16.9,16.1,16.1,4790.0
2011-08-04,15.8,16.5,15.3,16.5,20390.0
2011-08-05,17.0,17.0,16.2,16.2,110.0
2011-08-08,16.6,16.6,16.0,16.6,310.0
2011-08-09,16.4,16.4,15.8,15.8,5970.0
2011-08-10,16.5,16.5,16.5,16.5,180.0
2011-08-11,16.0,16.4,15.8,16.0,1920.0
2011-08-12,16.5,16.7,16.3,16.6,2700.0
2011-08-15,16.5,17.0,16.4,17.0,3430.0
2011-08-16,16.8,17.0,16.6,16.8,10530.0
2011-08-17,16.6,16.8,16.5,16.8,13570.0
2011-08-18,17.3,17.3,17.3,17.3,20.0
2011-08-19,16.8,17.2,16.5,16.5,4670.0
2011-08-22,17.0,17.3,16.9,17.1,4290.0
2011-08-23,16.7,17.3,16.7,17.1,6380.0
2011-08-24,17.0,17.3,16.7,16.7,19530.0
2011-08-25,17.1,17.3,17.0,17.3,3090.0
2011-08-26,17.1,17.4,17.0,17.0,13270.0
2011-08-29,17.6,17.6,17.1,17.5,320.0
2011-08-30,17.9,18.3,17.5,18.3,22670.0
2011-08-31,18.9,18.9,18.8,18.8,130.0
2011-09-01,18.8,18.8,18.2,18.8,10800.0
2011-09-05,18.8,18.8,18.3,18.5,2300.0
2011-09-06,18.5,18.7,18.0,18.5,24590.0
2011-09-07,18.6,19.0,18.5,19.0,5820.0
2011-09-08,19.5,19.8,19.2,19.2,50240.0
2011-09-09,19.5,20.0,19.3,19.3,30210.0
2011-09-12,20.0,20.0,19.5,19.8,8890.0
2011-09-13,20.0,20.5,19.9,20.5,10260.0
2011-09-14,20.9,20.9,20.2,20.3,30010.0
2011-09-15,20.3,20.5,19.4,19.6,7820.0
2011-09-16,19.2,20.5,18.7,19.1,29010.0
2011-09-19,19.5,20.0,19.5,19.9,10560.0
2011-09-20,20.0,20.7,19.6,20.3,4220.0
2011-09-21,19.5,19.9,19.5,19.5,2800.0
2011-09-22,18.8,19.9,18.8,19.4,2220.0
2011-09-23,19.8,19.8,19.0,19.0,1750.0
2011-09-26,19.0,19.1,19.0,19.0,1580.0
2011-09-27,19.0,19.0,18.6,18.6,2240.0
2011-09-28,18.6,19.0,18.3,18.3,3750.0
2011-09-29,18.9,18.9,18.3,18.3,7410.0
2011-09-30,18.3,18.5,18.2,18.5,6930.0
2011-10-03,17.7,19.0,17.6,18.9,2790.0
2011-10-04,18.9,18.9,18.0,18.7,5310.0
2011-10-05,19.4,19.4,17.9,18.9,510.0
2011-10-06,18.1,19.1,18.1,19.0,34120.0
2011-10-07,19.0,19.3,18.5,18.5,11820.0
2011-10-10,18.5,19.0,18.5,18.9,7590.0
2011-10-11,19.0,19.0,19.0,19.0,14550.0
2011-10-12,18.5,18.8,18.1,18.2,20110.0
2011-10-13,18.6,18.6,18.6,18.6,120.0
2011-10-14,18.9,18.9,18.8,18.8,190.0
2011-10-17,18.4,18.8,18.3,18.5,4930.0
2011-10-18,18.4,18.7,18.2,18.6,4850.0
2011-10-19,18.8,18.8,18.7,18.8,650.0
2011-10-20,18.8,18.8,18.8,18.8,1070.0
2011-10-21,18.8,19.0,18.8,19.0,3110.0
2011-10-24,19.5,19.5,18.6,19.1,6570.0
2011-10-25,19.0,19.4,19.0,19.2,120.0
2011-10-26,19.2,19.2,18.4,18.4,3430.0
2011-10-27,18.8,18.8,18.8,18.8,20.0
2011-10-28,18.0,18.9,18.0,18.4,2910.0
2011-10-31,19.2,19.2,18.4,19.2,24590.0
