date,open,high,low,close,klgdkl
2016-10-10,13.8,13.8,13.8,13.8,4408940.0
2016-10-11,14.0,14.75,13.8,14.75,4161520.0
2016-10-12,15.0,15.75,14.75,15.75,5403810.0
2016-10-13,14.65,14.65,14.65,14.65,261250.0
2016-10-14,13.65,13.65,13.65,13.65,7650.0
2016-10-17,12.7,12.7,12.7,12.7,21280.0
2016-10-18,11.85,11.85,11.85,11.85,6710.0
2016-10-19,11.05,11.05,11.05,11.05,2641130.0
2016-10-20,10.3,10.3,10.3,10.3,3387140.0
2016-10-21,9.58,10.3,9.58,10.0,7545240.0
2016-10-24,9.8,10.05,9.3,9.3,3508570.0
2016-10-25,8.65,8.75,8.65,8.65,373200.0
2016-10-26,8.05,8.05,8.05,8.05,5830.0
2016-10-27,7.49,7.49,7.49,7.49,2447490.0
2016-10-28,6.97,6.97,6.97,6.97,2208660.0
2016-10-31,6.97,6.49,6.49,6.49,52380.0
2016-11-01,6.04,6.04,6.04,6.04,4910.0
2016-11-02,5.62,5.62,5.62,5.62,20490.0
2016-11-03,5.23,5.6,5.23,5.24,1429710.0
2016-11-04,5.21,5.6,5.21,5.6,61410.0
2016-11-07,5.99,5.99,5.99,5.99,19800.0
2016-11-08,6.4,6.4,6.4,6.4,77500.0
2016-11-09,6.6,6.84,5.98,6.84,665740.0
2016-11-10,7.3,7.31,7.0,7.25,497830.0
2016-11-11,6.81,7.5,6.8,7.5,318350.0
2016-11-14,6.99,7.4,6.98,7.2,355490.0
2016-11-15,6.9,7.3,6.9,7.2,174470.0
2016-11-16,7.13,7.55,6.92,7.11,297580.0
2016-11-17,7.11,7.5,7.02,7.5,151350.0
2016-11-18,7.0,7.55,7.0,7.48,206160.0
2016-11-21,7.4,7.48,7.2,7.2,853320.0
2016-11-22,7.22,7.49,7.2,7.3,126990.0
2016-11-23,7.21,7.34,7.21,7.28,347240.0
2016-11-24,7.21,7.37,7.11,7.21,524590.0
2016-11-25,7.25,7.25,7.1,7.14,391270.0
2016-11-28,7.0,7.15,6.92,6.92,225520.0
2016-11-29,6.92,7.25,6.9,7.2,809070.0
2016-11-30,7.15,7.6,7.01,7.25,861460.0
2016-12-01,7.2,7.52,7.11,7.5,688230.0
2016-12-02,7.4,7.57,7.35,7.5,760740.0
2016-12-05,7.4,7.59,7.3,7.5,650580.0
2016-12-06,7.5,7.55,7.4,7.5,511240.0
2016-12-07,7.4,7.54,7.3,7.5,887650.0
2016-12-08,7.4,7.55,7.3,7.5,544030.0
2016-12-09,7.4,7.52,7.3,7.5,425380.0
2016-12-12,7.45,7.5,7.3,7.5,412040.0
2016-12-13,7.54,7.54,7.4,7.47,326290.0
2016-12-14,7.46,7.99,7.45,7.99,3316310.0
2016-12-15,8.0,8.54,7.7,8.54,7027170.0
2016-12-16,8.55,9.13,8.4,9.13,5656640.0
2016-12-19,9.13,9.13,8.5,8.5,1850830.0
2016-12-20,7.91,7.91,7.91,7.91,79670.0
2016-12-21,7.36,7.36,7.36,7.36,114710.0
2016-12-22,6.85,7.49,6.85,7.0,743870.0
2016-12-23,7.1,7.3,6.65,7.0,433200.0
2016-12-26,7.0,7.1,6.82,6.92,486050.0
2016-12-27,6.92,7.4,6.92,7.18,949550.0
2016-12-28,7.18,7.3,7.02,7.05,415220.0
2016-12-29,7.05,7.17,6.81,7.0,484290.0
2016-12-30,7.0,7.07,6.84,7.0,345510.0
2017-01-03,7.0,7.0,6.81,6.85,611360.0
2017-01-04,6.85,7.19,6.85,7.0,561330.0
2017-01-05,7.0,7.05,6.87,7.05,650220.0
2017-01-06,7.05,7.2,6.9,7.05,373160.0
2017-01-09,7.09,7.09,6.85,7.0,239690.0
2017-01-10,7.0,7.49,6.9,7.49,693900.0
2017-01-11,7.52,8.01,7.5,8.01,7154920.0
2017-01-12,8.05,8.55,7.9,8.52,2738990.0
2017-01-13,8.45,8.54,7.99,8.0,655450.0
2017-01-16,7.49,8.0,7.48,7.5,1629660.0
2017-01-17,7.49,7.6,7.42,7.42,536030.0
2017-01-18,7.42,7.92,7.35,7.65,2694390.0
2017-01-19,7.65,7.65,7.5,7.6,248860.0
2017-01-20,7.6,7.7,7.5,7.59,707750.0
2017-01-23,7.59,7.65,7.5,7.5,1161350.0
2017-01-24,7.5,7.55,7.39,7.5,386820.0
2017-01-25,7.5,7.5,7.36,7.5,220340.0
2017-02-02,7.4,7.5,7.0,7.0,300910.0
2017-02-03,6.98,7.29,6.8,7.0,386120.0
2017-02-06,7.2,7.2,6.94,7.0,322940.0
2017-02-07,7.0,7.08,6.91,6.99,247590.0
2017-02-08,6.96,7.47,6.95,7.47,4400710.0
2017-02-09,7.48,7.5,7.2,7.44,1593040.0
2017-02-10,7.44,7.45,7.27,7.27,789530.0
2017-02-13,7.15,7.5,7.05,7.3,1860150.0
2017-02-14,7.3,7.3,7.15,7.2,633750.0
2017-02-15,7.2,7.26,6.7,7.2,1896640.0
2017-02-16,7.2,7.2,6.95,7.16,281160.0
2017-02-17,7.16,7.16,6.95,7.14,228880.0
2017-02-20,7.08,7.09,6.97,7.0,497320.0
2017-02-21,7.0,7.07,6.96,7.0,302940.0
2017-02-22,7.0,7.09,6.97,7.02,551480.0
2017-02-23,7.08,7.08,6.97,7.04,382370.0
2017-02-24,7.04,7.04,6.95,7.02,316920.0
2017-02-27,7.02,7.02,6.95,7.02,235430.0
2017-02-28,7.02,7.08,6.96,7.02,347620.0
2017-03-01,7.02,7.02,6.91,7.01,245210.0
2017-03-02,7.01,7.42,6.95,7.09,3028310.0
2017-03-03,7.09,7.17,6.95,7.11,808910.0
2017-03-06,7.11,7.13,7.0,7.08,268240.0
