date,open,high,low,close,klgdkl
2019-07-26,22.9,23.0,22.3,22.45,284370.0
2019-07-29,22.45,22.7,22.45,22.6,22550.0
2019-07-30,22.6,23.0,22.6,22.9,36260.0
2019-07-31,22.85,22.85,22.3,22.4,93350.0
2019-08-01,22.55,22.85,22.3,22.5,14620.0
2019-08-02,22.5,22.8,22.5,22.7,54670.0
2019-08-05,22.7,23.0,22.5,22.7,50460.0
2019-08-06,22.9,22.9,22.4,22.7,55170.0
2019-08-07,22.9,22.7,22.4,22.7,26850.0
2019-08-08,22.7,22.7,22.2,22.2,39450.0
2019-08-09,22.3,22.3,21.7,21.9,56030.0
2019-08-12,22.0,22.4,21.9,21.9,50760.0
2019-08-13,21.9,22.4,21.9,22.2,32910.0
2019-08-14,22.4,23.4,22.4,23.0,68020.0
2019-08-15,22.5,23.1,22.5,23.1,71240.0
2019-08-16,23.2,23.3,23.0,23.1,19230.0
2019-08-19,22.65,23.1,22.65,23.0,26380.0
2019-08-20,23.0,23.2,22.7,22.7,73250.0
2019-08-21,23.2,23.2,22.7,22.8,8840.0
2019-08-22,23.0,23.7,22.7,23.6,85010.0
2019-08-23,23.5,23.5,23.15,23.4,15210.0
2019-08-26,23.4,24.0,23.35,23.45,49210.0
2019-08-27,23.45,23.85,23.35,23.7,13150.0
2019-08-28,23.4,23.8,23.2,23.3,25220.0
2019-08-29,23.0,23.1,22.5,22.65,46510.0
2019-08-30,23.9,23.9,22.5,23.0,59550.0
2019-09-03,22.6,23.3,22.2,22.5,42960.0
2019-09-04,22.6,23.25,22.0,22.0,182390.0
2019-09-05,22.0,22.6,22.0,22.6,6110.0
2019-09-06,22.3,22.7,22.3,22.7,37770.0
2019-09-09,22.7,23.0,22.7,23.0,71870.0
2019-09-10,23.0,23.0,22.6,22.8,20080.0
2019-09-11,22.5,22.75,22.25,22.7,21890.0
2019-09-12,22.6,23.0,22.6,23.0,61150.0
2019-09-13,23.0,23.0,22.7,23.0,5110.0
2019-09-16,23.0,23.0,22.65,22.95,20210.0
