date,open,high,low,close,klgdkl
2017-01-16,35.0,35.0,35.0,35.0,100.0
2017-01-17,40.2,40.2,39.0,40.2,207498.0
2017-01-18,42.0,42.0,40.1,40.5,67500.0
2017-01-19,40.7,40.7,39.0,39.0,19500.0
2017-01-20,38.0,40.0,37.0,39.0,18305.0
2017-01-23,38.9,39.0,37.0,38.8,21920.0
2017-01-24,38.1,39.0,37.1,39.0,39950.0
2017-01-25,40.0,40.0,39.5,40.0,34000.0
2017-02-02,40.0,43.8,40.0,40.6,45210.0
2017-02-03,41.6,44.0,41.6,42.0,9924.0
2017-02-06,42.2,43.8,41.0,41.5,18316.0
2017-02-07,41.1,42.0,41.1,42.0,2600.0
2017-02-08,41.0,42.6,41.0,41.2,15260.0
2017-02-09,41.7,41.7,41.2,41.2,13700.0
2017-02-10,41.0,41.0,39.0,39.1,25200.0
2017-02-13,41.5,41.5,39.0,39.5,12320.0
2017-02-14,39.1,39.2,39.1,39.2,1500.0
2017-02-15,41.0,41.0,39.1,39.3,14484.0
2017-02-16,39.4,40.1,39.4,40.1,6435.0
2017-02-17,39.6,39.7,39.6,39.7,1200.0
2017-02-20,39.6,39.6,39.6,39.6,0.0
2017-02-21,38.1,39.5,38.1,39.0,6400.0
2017-02-22,38.5,38.6,38.4,38.6,8600.0
2017-02-23,39.0,39.0,38.6,38.6,9220.0
2017-02-24,38.8,39.2,38.8,39.0,13820.0
2017-02-27,37.5,39.0,37.5,37.5,3700.0
2017-02-28,37.5,38.9,37.5,38.5,8500.0
2017-03-01,35.0,38.0,35.0,38.0,18120.0
2017-03-02,37.3,37.9,37.2,37.9,11000.0
2017-03-03,37.6,37.9,37.6,37.9,31400.0
2017-03-06,38.0,38.0,37.6,37.6,800.0
2017-03-07,37.9,37.9,37.5,37.7,3500.0
2017-03-08,37.0,37.0,36.0,36.2,15100.0
2017-03-09,36.0,36.7,36.0,36.6,10400.0
2017-03-10,36.4,36.4,36.4,36.6,11.0
2017-03-13,36.6,36.8,36.5,36.5,8864.0
2017-03-14,36.5,37.1,36.3,37.1,33150.0
2017-03-15,37.0,37.5,37.0,37.1,7030.0
2017-03-16,37.5,37.5,37.5,37.5,19518.0
2017-03-17,37.5,37.5,37.4,37.4,1500.0
2017-03-20,37.0,37.5,37.0,37.0,7670.0
2017-03-21,37.4,37.4,37.1,37.2,900.0
2017-03-22,38.0,38.0,37.3,37.3,8600.0
2017-03-23,37.9,37.9,37.3,37.4,8900.0
2017-03-24,37.3,37.3,32.0,35.3,12900.0
2017-03-27,38.9,38.9,37.0,37.7,27200.0
2017-03-28,37.3,37.3,37.2,37.3,6400.0
2017-03-29,36.6,37.2,36.6,37.0,13500.0
2017-03-30,37.9,37.9,37.1,37.6,40800.0
