date,open,high,low,close,klgdkl
2010-01-04,26.0,26.8,26.0,26.8,45400.0
2010-01-05,28.0,28.1,27.6,27.7,139070.0
2010-01-06,26.9,27.7,26.9,27.5,29610.0
2010-01-07,26.8,27.5,26.7,27.5,30240.0
2010-01-08,27.5,27.6,26.8,27.0,31200.0
2010-01-11,26.1,27.0,26.1,27.0,8470.0
2010-01-12,26.0,27.0,26.0,26.5,27860.0
2010-01-13,26.5,27.0,26.4,26.6,81310.0
2010-01-14,27.4,27.4,26.9,27.2,60880.0
2010-01-15,27.0,27.1,27.0,27.1,23730.0
2010-01-18,25.9,26.6,25.9,26.6,27250.0
2010-01-19,27.0,27.6,27.0,27.6,91710.0
2010-01-20,26.8,27.3,26.8,27.3,46660.0
2010-01-21,27.0,27.3,27.0,27.1,26270.0
2010-01-22,27.1,27.4,27.0,27.4,41800.0
2010-01-25,27.4,27.5,27.0,27.4,13500.0
2010-01-26,27.6,28.2,27.5,28.0,107980.0
2010-01-27,27.4,28.7,27.4,28.3,80450.0
2010-01-28,28.3,28.3,28.3,28.3,10000.0
2010-01-29,28.3,28.3,28.2,28.3,9100.0
2010-02-01,28.3,28.5,28.3,28.5,14010.0
2010-02-02,27.5,28.6,27.5,28.5,8160.0
2010-02-03,28.3,28.5,28.3,28.5,6350.0
2010-02-04,28.3,28.3,28.0,28.0,7020.0
2010-02-05,28.4,28.4,27.4,27.4,3200.0
2010-02-08,27.4,27.4,27.0,27.0,9050.0
2010-02-09,27.0,27.0,25.7,25.7,9010.0
2010-02-10,25.7,26.9,25.7,26.9,1570.0
2010-02-11,26.9,28.1,26.9,28.1,7570.0
2010-02-12,28.1,28.1,28.1,28.1,9100.0
2010-02-22,28.9,28.9,28.5,28.5,7600.0
2010-02-23,27.5,28.9,27.5,28.4,14430.0
2010-02-24,28.5,28.5,28.4,28.4,4300.0
2010-02-25,28.3,28.7,28.3,28.5,2580.0
2010-02-26,27.3,28.5,27.3,28.5,1250.0
2010-03-01,28.0,28.0,27.6,27.6,2000.0
2010-03-02,26.7,28.0,26.7,27.5,8020.0
2010-03-03,27.5,28.5,27.5,28.5,150.0
2010-03-04,28.5,28.5,28.0,28.0,20840.0
2010-03-05,27.0,27.1,27.0,27.1,3000.0
2010-03-08,27.1,28.0,27.1,27.9,18110.0
2010-03-09,27.9,27.9,26.6,27.3,15110.0
2010-03-10,27.3,27.5,27.0,27.0,12890.0
2010-03-11,27.5,27.5,27.0,27.0,1050.0
2010-03-12,27.5,27.5,27.0,27.5,16280.0
2010-03-15,28.5,28.5,27.5,28.0,4800.0
2010-03-16,27.0,27.3,27.0,27.3,8140.0
2010-03-17,27.0,27.9,27.0,27.2,4020.0
2010-03-18,28.0,28.0,28.0,28.0,16000.0
2010-03-19,28.0,28.0,28.0,28.0,10.0
2010-03-22,28.0,28.5,28.0,28.5,6860.0
2010-03-23,27.3,28.0,27.3,28.0,6130.0
2010-03-24,28.0,28.2,27.5,27.5,11840.0
2010-03-25,28.0,28.0,27.3,27.3,8910.0
2010-03-26,27.4,27.5,26.0,26.0,11700.0
2010-03-29,25.7,27.3,24.7,24.7,36260.0
2010-03-30,25.9,25.9,25.9,25.9,7120.0
2010-03-31,26.7,26.7,26.7,26.7,9820.0
2010-04-01,28.0,28.0,27.5,28.0,5880.0
2010-04-02,27.5,27.5,27.1,27.1,7000.0
2010-04-05,26.0,28.0,26.0,26.5,5110.0
2010-04-06,26.5,27.6,26.5,26.6,1310.0
2010-04-07,25.6,26.6,25.3,26.6,7020.0
2010-04-08,27.0,27.0,27.0,27.0,1500.0
2010-04-09,27.5,27.5,25.8,27.1,6310.0
2010-04-12,27.8,28.0,27.0,27.4,15810.0
2010-04-13,27.4,27.4,26.9,27.3,770.0
2010-04-14,27.5,27.5,26.5,26.5,2070.0
2010-04-15,26.5,26.7,26.5,26.6,2640.0
2010-04-16,27.9,27.9,27.5,27.9,30700.0
2010-04-19,29.0,29.0,27.2,27.2,3860.0
2010-04-20,28.5,28.5,27.5,28.2,1900.0
2010-04-21,28.2,28.2,27.5,27.5,8420.0
2010-04-22,28.0,28.0,27.5,27.5,6850.0
2010-04-26,28.0,28.5,26.8,28.0,19970.0
2010-04-27,27.3,28.0,27.1,27.3,14730.0
2010-04-28,27.4,28.6,27.1,28.6,61920.0
2010-04-29,28.6,28.6,28.0,28.0,6900.0
