date,open,high,low,close,klgdkl
2010-01-04,59.0,60.0,59.0,59.0,57350.0
2010-01-05,59.0,59.5,58.0,58.5,32320.0
2010-01-06,57.0,59.0,57.0,58.5,70420.0
2010-01-07,58.5,58.5,58.0,58.5,35980.0
2010-01-08,58.5,59.0,57.5,57.5,39040.0
2010-01-11,57.5,58.0,57.0,57.0,20420.0
2010-01-12,58.0,58.0,56.0,56.0,13310.0
2010-01-13,55.5,56.0,53.5,56.0,19180.0
2010-01-14,57.0,57.0,55.0,55.0,32890.0
2010-01-15,55.0,55.0,54.0,54.0,4130.0
2010-01-18,54.0,54.0,51.5,51.5,54860.0
2010-01-19,52.0,52.0,51.0,52.0,990.0
2010-01-20,51.0,52.0,49.5,49.9,64340.0
2010-01-21,52.0,52.0,51.5,51.5,80270.0
2010-01-22,53.0,53.5,52.5,52.5,22250.0
2010-01-25,52.0,52.5,52.0,52.5,8980.0
2010-01-26,53.5,55.0,53.5,54.0,52590.0
2010-01-27,52.0,53.0,52.0,53.0,15910.0
2010-01-28,54.0,54.0,52.5,52.5,19670.0
2010-01-29,52.5,53.0,52.5,53.0,21040.0
2010-02-01,53.0,54.0,53.0,53.0,3820.0
2010-02-02,52.5,53.0,52.5,52.5,31860.0
2010-02-03,52.5,53.0,52.5,52.5,4050.0
2010-02-04,54.0,54.0,52.5,53.5,15550.0
2010-02-05,53.5,53.5,53.0,53.5,3100.0
2010-02-08,53.5,53.5,52.0,52.0,3280.0
2010-02-09,50.5,53.0,50.0,53.0,1400.0
2010-02-10,53.5,53.5,53.0,53.0,10750.0
2010-02-11,54.5,54.5,54.5,54.5,1310.0
2010-02-12,56.5,57.0,55.5,57.0,61320.0
2010-02-22,55.5,57.5,55.5,57.5,6000.0
2010-02-23,56.0,56.0,55.0,55.0,5100.0
2010-02-24,55.0,55.0,54.0,54.0,7280.0
2010-02-25,54.0,54.0,53.5,53.5,1060.0
2010-02-26,54.5,54.5,54.0,54.0,38720.0
2010-03-01,55.5,55.5,54.0,54.0,15770.0
2010-03-02,54.0,55.5,54.0,55.5,21260.0
2010-03-03,56.5,56.5,55.5,55.5,11690.0
2010-03-04,55.5,56.0,55.0,55.0,36300.0
2010-03-05,56.5,56.5,55.0,55.0,16430.0
2010-03-08,57.5,57.5,56.0,56.5,30720.0
2010-03-09,56.0,56.5,56.0,56.5,14200.0
2010-03-10,57.0,57.0,56.5,57.0,27950.0
2010-03-11,58.0,58.0,56.5,57.0,5480.0
2010-03-12,56.5,56.5,56.0,56.5,11830.0
2010-03-15,56.5,57.0,56.5,57.0,18090.0
2010-03-16,57.0,57.0,55.0,55.5,2530.0
2010-03-17,56.0,56.5,56.0,56.5,67730.0
2010-03-18,54.0,57.0,54.0,56.5,21020.0
2010-03-19,57.0,57.0,56.0,56.5,13830.0
2010-03-22,56.5,56.5,55.0,55.0,3120.0
2010-03-23,56.0,57.0,56.0,56.5,34640.0
2010-03-24,57.0,57.0,56.0,57.0,17440.0
2010-03-25,55.5,56.0,55.5,56.0,1500.0
2010-03-26,57.0,57.0,55.5,56.5,23680.0
2010-03-29,57.0,57.0,55.0,55.0,130.0
2010-03-30,56.0,57.0,55.5,56.5,17260.0
2010-03-31,56.5,56.5,55.0,56.0,11970.0
2010-04-01,56.0,56.0,54.0,54.5,4340.0
2010-04-02,56.0,56.0,55.5,55.5,13630.0
2010-04-05,56.5,56.5,56.0,56.0,11300.0
2010-04-06,57.0,58.5,56.5,58.5,245410.0
2010-04-07,61.0,61.0,60.5,61.0,202660.0
2010-04-08,61.0,61.0,60.0,60.0,23250.0
2010-04-09,60.5,60.5,60.0,60.0,40360.0
2010-04-12,60.0,60.0,57.5,57.5,44870.0
2010-04-13,58.0,59.5,58.0,58.0,22160.0
2010-04-14,58.0,58.5,58.0,58.5,34570.0
2010-04-15,59.5,59.5,58.0,58.0,10370.0
2010-04-16,59.5,60.5,59.0,60.5,76720.0
2010-04-19,60.0,61.0,60.0,60.5,47270.0
2010-04-20,61.5,62.0,60.0,60.5,44420.0
2010-04-21,61.0,63.5,60.5,63.5,112840.0
2010-04-22,66.5,66.5,66.0,66.5,211090.0
2010-04-26,67.0,67.5,66.0,66.0,136520.0
2010-04-27,66.0,66.5,65.5,65.5,34850.0
2010-04-28,65.0,68.0,64.5,67.0,97270.0
2010-04-29,65.0,66.5,64.5,65.5,123750.0
2010-05-04,66.0,66.0,64.5,64.5,44080.0
2010-05-05,65.0,65.0,62.5,62.5,14950.0
2010-05-06,62.5,63.5,62.5,63.5,26040.0
2010-05-07,63.5,65.0,62.5,64.0,24390.0
2010-05-10,64.0,65.0,63.0,65.0,17280.0
2010-05-11,64.5,67.0,64.0,65.0,54090.0
2010-05-12,65.0,65.0,63.5,63.5,46570.0
2010-05-13,63.5,63.5,63.5,63.5,20.0
2010-05-14,64.0,64.0,63.5,63.5,8660.0
2010-05-17,61.0,64.0,61.0,61.5,9410.0
2010-05-18,61.5,61.5,60.0,60.0,9500.0
2010-05-19,60.0,60.0,57.0,57.0,12810.0
2010-05-20,56.0,57.5,56.0,57.5,13460.0
2010-05-21,55.5,56.0,55.0,55.0,64090.0
2010-05-24,57.5,57.5,57.5,57.5,10.0
2010-05-25,59.0,59.5,56.0,59.0,1720.0
2010-05-26,58.0,60.0,58.0,60.0,1800.0
2010-05-27,60.0,60.0,60.0,60.0,500.0
2010-05-28,62.5,62.5,60.0,60.0,3400.0
2010-05-31,60.0,60.0,60.0,60.0,510.0
2010-06-01,60.0,60.0,60.0,60.0,410.0
2010-06-02,60.0,60.0,59.0,60.0,5170.0
2010-06-03,60.0,60.0,60.0,60.0,0.0
2010-06-04,58.0,58.0,58.0,58.0,800.0
2010-06-07,58.0,58.0,58.0,58.0,0.0
2010-06-08,58.0,58.0,58.0,58.0,0.0
2010-06-09,56.0,58.5,56.0,58.5,2260.0
2010-06-10,56.5,56.5,56.0,56.0,2350.0
2010-06-11,56.0,56.5,56.0,56.0,4940.0
2010-06-14,58.0,58.0,55.5,56.0,6420.0
