date,open,high,low,close,klgdkl
2015-08-03,62.0,62.0,57.0,57.5,313220.0
2015-08-04,57.5,58.0,53.5,53.5,9220.0
2015-08-05,55.0,55.0,53.0,55.0,19420.0
2015-08-06,53.5,53.5,51.5,51.5,23650.0
2015-08-07,47.9,51.5,47.9,47.9,23890.0
2015-08-10,47.9,51.0,47.9,51.0,11530.0
2015-08-11,51.5,53.5,48.5,48.5,22830.0
2015-08-12,48.6,49.5,47.0,48.0,25000.0
2015-08-13,48.0,49.0,45.9,48.9,14720.0
2015-08-14,47.5,48.9,47.3,48.8,3570.0
2015-08-17,46.6,48.6,46.6,48.4,49820.0
2015-08-18,47.9,48.2,47.6,48.0,47070.0
2015-08-19,48.0,48.9,47.9,48.4,25460.0
2015-08-20,48.6,49.0,47.2,49.0,102480.0
2015-08-21,49.0,49.9,48.2,49.7,104370.0
2015-08-24,48.7,48.7,47.8,48.7,48760.0
2015-08-25,49.2,49.2,46.0,47.6,75340.0
2015-08-26,48.3,48.3,46.0,47.7,105380.0
2015-08-27,47.7,47.9,46.8,46.8,20510.0
2015-08-28,47.9,47.9,46.3,46.4,49470.0
2015-08-31,47.1,47.1,46.0,46.5,63050.0
2015-09-01,47.0,47.2,46.2,46.5,64670.0
2015-09-03,46.7,46.7,45.6,46.3,105250.0
2015-09-04,46.6,46.6,45.6,45.6,16340.0
2015-09-07,45.7,45.7,45.0,45.6,82270.0
2015-09-08,45.3,45.5,45.0,45.3,57180.0
2015-09-09,45.5,45.5,44.9,44.9,59660.0
2015-09-10,45.0,45.0,44.8,44.9,60240.0
2015-09-11,44.9,45.0,44.8,44.9,17410.0
2015-09-14,44.9,45.9,44.8,44.9,69820.0
2015-09-15,44.9,44.9,43.0,44.8,12800.0
2015-09-16,44.4,44.9,44.3,44.5,71540.0
2015-09-17,44.5,46.3,44.5,45.9,43750.0
2015-09-18,45.9,47.0,45.9,46.3,44790.0
2015-09-21,46.2,46.7,45.7,46.2,41170.0
2015-09-22,46.2,46.8,46.0,46.8,78730.0
2015-09-23,46.8,46.8,46.4,46.5,6260.0
2015-09-24,46.8,46.8,44.9,46.3,47390.0
2015-09-25,46.3,46.3,46.0,46.2,30020.0
2015-09-28,46.1,46.1,45.9,46.0,50280.0
2015-09-29,46.0,46.0,45.2,46.0,47480.0
2015-09-30,46.8,46.8,46.0,46.7,25130.0
2015-10-01,46.8,47.5,46.6,47.1,34670.0
2015-10-02,47.5,50.0,47.5,49.6,168090.0
2015-10-05,49.6,51.5,49.5,50.5,77660.0
2015-10-06,50.5,52.5,50.0,50.5,102720.0
2015-10-07,50.0,51.5,49.2,49.4,49580.0
2015-10-08,49.9,50.5,49.7,50.0,92140.0
2015-10-09,38.5,40.0,38.0,38.8,80930.0
2015-10-12,39.9,39.9,36.8,36.8,89850.0
2015-10-13,36.7,38.5,36.3,38.5,100500.0
2015-10-14,38.3,38.9,38.0,38.3,84390.0
2015-10-15,36.8,38.5,36.0,36.9,61910.0
2015-10-16,36.9,37.5,35.2,36.9,94770.0
2015-10-19,36.9,36.9,35.0,35.9,75400.0
2015-10-20,35.0,36.4,35.0,36.2,78030.0
2015-10-21,35.7,35.7,34.0,35.4,41820.0
2015-10-22,35.4,35.4,34.0,34.3,80090.0
2015-10-23,34.3,34.3,32.1,34.3,112570.0
2015-10-26,34.3,36.3,34.3,35.9,107010.0
2015-10-27,36.0,36.2,35.3,36.2,86810.0
2015-10-28,36.0,36.2,34.5,36.2,75340.0
2015-10-29,36.4,37.2,36.2,37.2,43620.0
2015-10-30,37.9,39.7,37.6,38.4,103510.0
2015-11-02,39.0,39.0,37.5,37.5,31060.0
2015-11-03,37.7,38.4,37.0,38.3,102100.0
2015-11-04,38.0,38.0,37.2,37.5,57600.0
2015-11-05,37.3,37.4,36.5,37.3,24620.0
2015-11-06,36.5,37.3,36.5,37.3,4510.0
2015-11-09,37.5,37.5,36.4,37.3,12130.0
2015-11-10,37.4,37.4,36.4,37.2,8620.0
2015-11-11,36.5,36.5,35.0,35.0,24670.0
2015-11-12,36.0,36.4,35.0,35.9,39100.0
2015-11-13,35.5,35.8,35.0,35.8,55140.0
2015-11-16,35.9,35.9,35.7,35.8,20400.0
2015-11-17,35.0,35.6,34.5,35.0,62420.0
2015-11-18,35.7,35.7,35.0,35.5,83390.0
2015-11-19,35.0,35.0,34.5,34.5,60970.0
2015-11-20,34.5,34.5,33.0,33.0,59710.0
2015-11-23,33.9,33.9,33.0,33.4,53810.0
2015-11-24,34.9,34.9,32.6,33.3,16280.0
2015-11-25,33.3,33.5,32.1,32.5,8900.0
2015-11-26,33.2,33.2,31.0,32.8,7030.0
2015-11-27,32.6,33.0,31.5,32.6,29260.0
2015-11-30,32.2,34.0,32.2,33.9,71600.0
2015-12-01,33.5,33.5,33.2,33.2,4980.0
2015-12-02,33.2,33.1,32.8,32.9,32520.0
2015-12-03,32.6,32.6,32.5,32.5,40900.0
2015-12-04,32.3,32.4,32.3,32.4,5300.0
2015-12-07,33.9,34.3,33.3,33.3,5890.0
2015-12-08,33.3,33.3,33.0,33.2,170.0
2015-12-09,33.2,33.5,32.8,33.0,60510.0
2015-12-10,34.0,34.0,32.6,32.7,95800.0
2015-12-11,32.6,33.0,32.0,32.7,79560.0
2015-12-14,32.5,32.5,31.0,32.0,20020.0
2015-12-15,32.0,32.5,32.0,32.4,5590.0
2015-12-16,32.4,33.0,31.2,33.0,33930.0
2015-12-17,33.0,33.9,33.0,33.0,39010.0
2015-12-18,31.8,33.0,31.8,33.0,20.0
2015-12-21,32.4,32.5,32.4,32.5,8330.0
2015-12-22,31.6,32.5,31.6,32.5,930.0
2015-12-23,32.2,32.2,31.6,31.6,5000.0
2015-12-24,31.9,32.9,31.8,32.5,35230.0
2015-12-25,32.5,34.7,32.0,32.5,47810.0
2015-12-28,32.0,32.0,31.7,31.7,270.0
2015-12-29,31.9,31.9,31.8,31.9,19930.0
2015-12-30,34.1,34.1,31.9,34.1,110410.0
2015-12-31,34.8,34.8,33.2,33.2,34990.0
2016-01-04,33.5,33.5,32.1,33.5,1520.0
2016-01-05,33.5,33.5,33.5,33.5,0.0
2016-01-06,32.8,32.9,32.6,32.7,12610.0
2016-01-07,32.0,32.6,30.5,32.5,7930.0
2016-01-08,32.4,32.4,31.0,31.8,5210.0
2016-01-11,29.6,33.5,29.6,32.0,18240.0
2016-01-12,31.0,32.5,31.0,32.5,11280.0
2016-01-13,31.2,32.5,31.0,32.5,950.0
2016-01-14,32.5,32.5,31.5,31.5,2630.0
2016-01-15,30.3,32.0,30.3,31.8,600.0
2016-01-18,30.1,31.8,30.0,31.8,4630.0
2016-01-19,30.3,31.5,30.0,31.5,3310.0
2016-01-20,29.4,31.5,29.4,31.5,820.0
2016-01-21,30.0,31.3,30.0,31.3,11740.0
2016-01-22,31.0,31.0,30.9,30.9,2820.0
2016-01-25,30.0,33.0,30.0,33.0,21430.0
2016-01-26,33.0,33.0,32.0,32.8,19590.0
2016-01-27,32.7,32.7,32.0,32.6,15600.0
2016-01-28,32.6,32.7,31.2,31.2,27110.0
2016-01-29,31.0,32.0,31.0,31.5,15040.0
2016-02-01,31.6,32.0,31.5,32.0,2740.0
2016-02-02,31.0,32.0,31.0,32.0,1050.0
2016-02-03,32.0,32.0,32.0,32.0,10.0
2016-02-04,31.0,32.4,31.0,32.4,1320.0
2016-02-05,32.0,32.4,31.0,32.4,3320.0
2016-02-15,33.3,33.3,33.3,33.3,10.0
2016-02-16,31.5,32.4,31.5,32.0,1180.0
2016-02-17,32.0,32.0,31.8,31.8,6440.0
2016-02-18,31.8,32.3,31.1,32.3,9140.0
2016-02-19,32.4,32.4,31.5,32.0,11270.0
2016-02-22,32.1,32.5,32.0,32.5,9000.0
2016-02-23,32.9,32.9,31.6,32.9,21820.0
2016-02-24,32.0,32.8,31.8,32.8,32260.0
2016-02-25,30.8,30.8,30.7,30.8,1370.0
2016-02-26,30.8,31.4,29.9,29.9,2100.0
2016-02-29,29.9,30.9,29.5,29.9,14160.0
2016-03-01,30.3,30.4,29.1,29.9,15310.0
2016-03-02,29.9,30.0,29.2,29.9,15640.0
2016-03-03,29.8,29.9,29.2,29.8,15790.0
2016-03-04,29.1,29.1,28.6,28.6,32870.0
2016-03-07,29.9,30.0,29.0,29.9,79170.0
2016-03-08,29.9,31.9,29.9,31.9,107790.0
2016-03-09,31.9,32.0,29.8,31.9,38260.0
2016-03-10,30.1,32.0,30.1,32.0,21450.0
2016-03-11,31.8,31.8,30.0,30.2,26210.0
2016-03-14,30.0,31.5,28.8,30.0,7690.0
2016-03-15,30.9,30.9,28.5,29.0,11980.0
2016-03-16,30.8,30.8,28.0,28.5,37290.0
2016-03-17,29.5,29.8,29.0,29.5,22830.0
2016-03-18,29.7,29.7,29.0,29.5,25090.0
2016-03-21,29.5,29.5,29.2,29.5,16080.0
2016-03-22,29.5,29.5,29.0,29.0,19470.0
2016-03-23,29.2,29.2,28.5,29.2,30880.0
2016-03-24,29.4,29.4,29.2,29.2,14390.0
2016-03-25,29.4,29.5,29.2,29.2,15650.0
2016-03-28,29.2,29.2,29.0,29.2,44950.0
2016-03-29,29.5,29.5,28.6,28.9,40130.0
2016-03-30,29.3,29.3,28.5,29.0,20930.0
2016-03-31,28.9,28.9,28.8,28.8,16230.0
2016-04-01,28.5,28.9,28.0,28.9,11100.0
2016-04-04,28.9,28.9,28.7,28.8,23720.0
2016-04-05,28.8,28.8,28.7,28.8,23270.0
2016-04-06,28.8,28.8,28.8,28.8,24070.0
2016-04-07,28.8,28.8,26.9,28.8,42540.0
2016-04-08,28.5,28.5,28.3,28.3,29310.0
2016-04-11,28.5,28.5,28.1,28.3,24600.0
2016-04-12,28.9,28.9,26.9,28.2,1730.0
2016-04-13,27.9,28.0,27.1,27.9,460.0
2016-04-14,26.9,26.9,26.3,26.5,11460.0
2016-04-15,25.6,27.1,25.6,27.1,11170.0
2016-04-19,26.5,27.0,26.5,27.0,40.0
2016-04-20,27.0,27.1,26.2,26.2,5060.0
2016-04-21,26.9,26.9,26.6,26.6,22850.0
2016-04-22,26.3,26.7,26.0,26.6,23680.0
2016-04-25,26.4,26.5,26.4,26.5,3970.0
2016-04-26,26.4,26.4,26.0,26.1,1270.0
2016-04-27,26.1,26.1,25.6,26.0,2910.0
2016-04-28,25.6,25.9,25.3,25.4,11340.0
2016-04-29,24.0,26.9,24.0,26.9,12160.0
2016-05-04,26.8,26.8,26.3,26.5,4650.0
2016-05-05,26.5,26.5,26.1,26.1,4320.0
2016-05-06,26.1,26.4,26.0,26.2,11960.0
2016-05-09,25.1,26.1,25.1,26.1,3680.0
2016-05-10,26.1,26.1,26.1,26.1,0.0
2016-05-11,26.0,26.0,25.1,26.0,140.0
2016-05-12,25.2,26.0,25.0,25.9,2320.0
2016-05-13,25.8,25.8,25.1,25.7,1400.0
2016-05-16,25.7,25.7,25.0,25.1,3840.0
2016-05-17,25.0,25.0,24.0,24.1,8390.0
2016-05-18,24.0,24.0,22.5,22.5,5040.0
2016-05-19,24.0,24.0,23.2,23.5,1910.0
2016-05-20,23.5,23.5,23.5,23.5,0.0
2016-05-23,23.0,24.2,23.0,23.5,1380.0
2016-05-24,23.0,23.0,23.0,23.0,1690.0
2016-05-25,23.5,23.5,22.9,23.0,120.0
2016-05-26,23.0,23.0,23.0,23.0,0.0
2016-05-27,23.0,23.0,21.6,23.0,6360.0
2016-05-30,21.6,21.9,21.5,21.5,5460.0
2016-05-31,22.0,23.0,20.1,23.0,33190.0
2016-06-01,24.0,24.2,23.2,23.5,1530.0
2016-06-02,23.4,23.4,22.9,23.1,1000.0
2016-06-03,23.0,23.6,23.0,23.5,3890.0
2016-06-06,23.5,23.5,22.5,22.6,5280.0
2016-06-07,23.4,24.1,22.6,24.0,6160.0
2016-06-08,24.0,24.0,23.0,24.0,12510.0
2016-06-09,23.3,23.5,22.9,23.3,16950.0
2016-06-10,23.3,23.4,22.4,23.3,4760.0
2016-06-13,23.3,24.2,23.0,24.2,1460.0
