date,open,high,low,close,klgdkl
2010-01-04,46.2,46.2,46.2,46.2,22990.0
2010-01-05,48.4,48.5,46.6,46.6,58120.0
2010-01-06,45.6,48.0,45.6,47.0,31670.0
2010-01-07,47.5,48.0,45.7,47.0,121920.0
2010-01-08,48.6,48.6,45.9,45.9,62110.0
2010-01-11,46.5,46.9,45.7,46.3,12430.0
2010-01-12,45.5,46.0,45.0,45.0,20130.0
2010-01-13,43.9,45.0,42.8,45.0,37150.0
2010-01-14,46.5,46.5,43.8,46.0,27670.0
2010-01-15,44.4,44.5,43.9,43.9,8780.0
2010-01-18,43.8,43.8,41.8,41.8,20860.0
2010-01-19,41.0,43.0,41.0,42.5,5290.0
2010-01-20,42.0,43.8,41.0,42.4,36980.0
2010-01-21,40.7,42.4,40.6,40.6,20270.0
2010-01-22,39.6,40.6,38.6,40.0,10560.0
2010-01-25,40.1,41.9,40.0,41.0,18320.0
2010-01-26,42.5,43.0,41.0,42.9,81420.0
2010-01-27,44.6,44.6,42.0,42.5,19750.0
2010-01-28,42.2,42.6,42.0,42.6,10490.0
2010-01-29,41.4,42.5,41.4,42.5,7120.0
2010-02-01,42.4,42.5,42.0,42.0,25190.0
2010-02-02,42.5,42.5,41.0,41.5,54590.0
2010-02-03,42.1,42.1,40.5,42.0,45040.0
2010-02-04,42.0,42.0,41.4,41.4,50530.0
2010-02-05,41.4,41.4,40.0,40.5,42620.0
2010-02-08,39.6,40.7,39.6,39.6,6870.0
2010-02-09,38.8,39.3,38.8,38.9,22530.0
2010-02-10,38.9,39.5,38.9,38.9,12310.0
2010-02-11,39.0,40.7,39.0,40.2,16230.0
2010-02-12,41.8,41.8,40.2,40.3,6950.0
2010-02-22,41.5,41.5,41.0,41.1,34300.0
2010-02-23,40.0,41.0,40.0,40.0,29520.0
2010-02-24,40.0,40.2,40.0,40.2,20140.0
2010-02-25,41.0,41.0,40.5,40.5,21180.0
2010-02-26,41.0,41.4,40.5,41.4,10600.0
2010-03-01,41.4,41.4,41.3,41.4,16040.0
2010-03-02,41.9,42.8,41.8,42.3,63220.0
2010-03-03,42.3,44.0,42.3,44.0,82200.0
2010-03-04,44.5,45.0,43.0,44.5,27310.0
2010-03-05,43.0,44.5,43.0,43.2,24420.0
2010-03-08,44.0,45.3,44.0,45.3,113540.0
2010-03-09,45.6,47.2,45.6,46.3,77520.0
2010-03-10,46.3,48.4,46.3,48.4,142050.0
2010-03-11,49.0,50.0,48.5,49.6,111330.0
2010-03-12,49.6,49.6,48.0,48.8,104500.0
2010-03-15,48.8,49.4,48.7,48.7,156750.0
2010-03-16,47.0,48.6,47.0,47.9,112860.0
2010-03-17,48.5,48.5,47.7,48.0,74330.0
2010-03-18,48.0,50.0,48.0,50.0,136400.0
2010-03-19,52.0,52.5,50.5,52.0,392960.0
2010-03-22,51.0,52.0,49.4,49.4,74090.0
2010-03-23,49.5,49.5,48.0,48.3,119210.0
2010-03-24,50.0,50.0,48.0,48.8,41780.0
2010-03-25,48.6,51.0,46.9,49.0,159970.0
2010-03-26,49.0,49.1,48.3,49.0,39260.0
2010-03-29,48.4,49.0,48.4,48.6,76020.0
2010-03-30,48.6,48.6,47.0,47.0,61330.0
2010-03-31,46.5,48.8,46.5,47.0,40320.0
2010-04-01,48.0,48.0,47.0,48.0,37710.0
2010-04-02,48.4,48.4,47.8,48.0,24090.0
2010-04-05,48.0,48.4,47.8,47.8,63710.0
2010-04-06,47.8,49.9,47.8,49.0,132560.0
2010-04-07,49.2,51.0,49.2,50.5,175000.0
2010-04-08,51.0,51.0,49.5,50.5,34230.0
2010-04-09,51.5,51.5,50.5,50.5,49440.0
2010-04-12,50.5,50.5,49.5,49.8,57570.0
2010-04-13,49.1,49.9,49.1,49.6,64340.0
2010-04-14,48.5,49.0,48.4,48.4,56000.0
2010-04-15,49.7,49.7,49.0,49.6,64380.0
2010-04-16,50.5,50.5,49.5,50.0,24780.0
2010-04-19,50.0,50.0,49.6,50.0,123880.0
2010-04-20,50.5,50.5,49.2,49.5,127960.0
2010-04-21,49.5,51.5,49.5,51.5,233590.0
2010-04-22,52.0,52.5,52.0,52.0,111350.0
2010-04-26,52.0,52.0,51.0,52.0,150700.0
