date,open,high,low,close,klgdkl
2010-01-04,17.4,18.0,17.2,17.6,47250.0
2010-01-05,18.4,18.4,18.1,18.2,2750.0
2010-01-06,17.5,18.2,17.4,17.4,8410.0
2010-01-07,17.4,18.2,17.1,17.4,96480.0
2010-01-08,18.1,18.1,17.4,18.0,80120.0
2010-01-11,17.5,17.5,17.5,17.5,390.0
2010-01-12,17.8,17.8,16.7,16.7,60260.0
2010-01-13,17.3,17.3,15.9,17.0,34810.0
2010-01-14,17.2,17.2,16.2,16.2,60420.0
2010-01-15,16.2,16.2,15.7,16.0,4160.0
2010-01-18,15.4,15.5,15.2,15.2,32790.0
2010-01-19,15.2,15.9,15.2,15.7,9200.0
2010-01-20,15.3,16.3,15.2,16.3,7700.0
2010-01-21,15.7,15.7,15.5,15.5,4560.0
2010-01-22,15.5,15.6,15.5,15.5,153510.0
2010-01-25,15.5,15.5,15.5,15.5,17430.0
2010-01-26,16.2,16.2,15.6,16.2,34770.0
2010-01-27,16.5,16.6,16.0,16.0,24250.0
2010-01-28,16.0,16.0,15.9,16.0,182590.0
2010-01-29,15.7,16.0,15.7,16.0,85260.0
2010-02-01,15.5,16.0,15.5,15.9,9210.0
2010-02-02,15.5,15.8,15.5,15.8,30900.0
2010-02-03,15.9,15.9,15.8,15.8,5440.0
2010-02-04,15.8,16.0,15.8,16.0,94840.0
2010-02-05,16.0,16.0,15.5,15.5,73090.0
2010-02-08,15.8,15.8,15.5,15.5,90310.0
2010-02-09,15.5,15.8,15.4,15.8,72470.0
2010-02-10,15.8,15.8,15.6,15.8,91250.0
2010-02-11,15.6,15.8,15.4,15.4,42750.0
2010-02-12,16.1,16.1,15.6,15.6,740.0
2010-02-22,15.8,15.8,15.8,15.8,44610.0
2010-02-23,15.9,15.9,15.1,15.1,1390.0
2010-02-24,15.1,15.2,15.1,15.2,550.0
2010-02-25,14.9,15.4,14.9,15.4,1300.0
2010-02-26,15.4,15.5,15.4,15.5,2550.0
2010-03-01,15.5,15.5,15.5,15.5,6000.0
2010-03-02,15.7,15.7,15.0,15.4,1160.0
2010-03-03,15.2,15.5,15.0,15.5,13820.0
2010-03-04,15.5,16.0,15.5,15.5,20320.0
2010-03-05,15.4,15.6,15.1,15.6,14620.0
2010-03-08,15.9,15.9,15.3,15.3,5960.0
2010-03-09,15.5,16.0,15.5,16.0,27110.0
2010-03-10,16.4,16.4,15.5,16.2,20230.0
2010-03-11,16.1,16.6,15.9,15.9,7840.0
2010-03-12,16.0,16.0,15.5,15.6,26240.0
2010-03-15,16.2,16.2,15.5,16.2,9660.0
2010-03-16,15.6,15.7,15.5,15.6,42580.0
2010-03-17,15.8,15.8,15.3,15.3,14780.0
2010-03-18,15.0,15.4,15.0,15.4,8300.0
2010-03-19,15.2,15.4,15.2,15.4,660.0
2010-03-22,15.1,15.2,15.1,15.1,14740.0
2010-03-23,15.1,15.2,15.1,15.2,1670.0
2010-03-24,15.6,15.6,14.8,14.8,920.0
2010-03-25,15.0,15.0,14.4,15.0,1210.0
2010-03-26,15.2,15.7,15.2,15.6,96020.0
2010-03-29,16.0,16.3,16.0,16.1,97970.0
2010-03-30,16.1,16.1,15.7,16.0,22190.0
2010-03-31,15.9,16.0,15.7,15.7,13540.0
2010-04-01,15.7,15.8,15.4,15.4,7670.0
2010-04-02,15.4,16.1,15.4,15.9,15980.0
2010-04-05,15.7,16.2,15.7,16.2,5100.0
2010-04-06,16.0,16.3,15.7,15.7,31580.0
2010-04-07,16.0,16.0,15.9,16.0,32180.0
2010-04-08,15.9,15.9,15.8,15.9,3800.0
