date,open,high,low,close,klgdkl
2012-07-25,20.0,20.0,19.0,19.0,337330.0
2012-07-26,18.3,19.9,18.2,19.9,837710.0
2012-07-27,20.4,20.8,19.9,20.8,667490.0
2012-07-30,20.6,21.8,20.4,21.8,449710.0
2012-07-31,22.8,22.8,22.7,22.8,520820.0
2012-08-01,21.7,22.7,21.7,21.7,719130.0
2012-08-02,21.0,22.0,20.7,21.0,477870.0
2012-08-03,20.5,21.0,20.0,20.8,503690.0
2012-08-06,20.8,21.8,20.3,21.8,535370.0
2012-08-07,22.0,22.8,21.9,22.8,322240.0
2012-08-08,23.0,23.2,22.4,22.9,261070.0
2012-08-09,22.9,24.0,22.8,23.4,537560.0
2012-08-10,22.6,23.2,22.3,22.5,501120.0
2012-08-13,21.5,22.0,21.2,22.0,311740.0
2012-08-14,22.0,22.6,21.9,22.2,166330.0
2012-08-15,22.4,22.5,21.3,21.5,261720.0
2012-08-16,21.4,21.5,21.0,21.1,305160.0
2012-08-17,20.8,21.6,20.5,21.5,357170.0
2012-08-20,21.5,22.1,21.1,21.9,285750.0
2012-08-21,21.2,21.2,20.9,20.9,166660.0
2012-08-22,19.9,19.9,19.9,19.9,264460.0
2012-08-23,19.0,19.0,19.0,19.0,24880.0
2012-08-24,18.1,18.6,18.1,18.1,745080.0
2012-08-27,17.2,17.2,17.2,17.2,104100.0
2012-08-28,16.4,16.4,16.4,16.4,179710.0
2012-08-29,15.7,16.5,15.7,16.0,641470.0
2012-08-30,15.4,16.8,15.4,16.8,881790.0
2012-08-31,17.0,17.4,16.6,17.4,608550.0
2012-09-04,17.7,17.9,16.8,16.8,469290.0
2012-09-05,16.3,16.7,16.0,16.1,647980.0
2012-09-06,15.6,16.1,15.4,15.7,534530.0
2012-09-07,15.4,15.7,15.2,15.3,218510.0
2012-09-10,15.1,15.6,14.6,14.6,218990.0
2012-09-11,13.9,14.0,13.9,13.9,200440.0
2012-09-12,13.5,14.0,13.3,13.3,257190.0
2012-09-13,12.8,13.4,12.7,13.2,387740.0
2012-09-14,13.8,13.8,13.8,13.8,233550.0
2012-09-17,14.0,14.0,13.4,13.4,206700.0
2012-09-18,12.9,13.1,12.8,12.8,333010.0
2012-09-19,12.5,13.0,12.4,12.8,81940.0
2012-09-20,12.4,12.8,12.4,12.6,114790.0
2012-09-21,12.5,13.2,12.5,12.9,197200.0
2012-09-24,12.8,12.9,12.5,12.5,28990.0
2012-09-25,12.4,12.8,12.4,12.5,63400.0
2012-09-26,12.4,12.8,12.4,12.7,24300.0
2012-09-27,12.6,12.7,12.2,12.4,122930.0
2012-09-28,12.3,13.0,12.3,12.5,122730.0
2012-10-01,12.4,12.6,12.0,12.0,117120.0
2012-10-02,12.0,12.6,12.0,12.6,212090.0
2012-10-03,13.2,13.2,13.1,13.2,115840.0
2012-10-04,13.8,13.8,13.5,13.8,240500.0
2012-10-05,14.0,14.0,13.4,13.6,73390.0
2012-10-08,14.0,14.0,13.1,13.1,95210.0
2012-10-09,12.9,13.7,12.9,13.6,173460.0
2012-10-10,13.5,14.0,13.5,14.0,218910.0
2012-10-11,14.0,14.3,13.5,13.6,182050.0
2012-10-12,13.4,13.6,13.3,13.4,153950.0
2012-10-15,13.1,13.5,13.0,13.0,73640.0
2012-10-16,12.7,13.6,12.7,13.6,162990.0
2012-10-17,14.1,14.2,13.7,14.2,149080.0
2012-10-18,14.8,14.9,14.7,14.9,283640.0
2012-10-19,15.4,15.6,15.0,15.6,561530.0
2012-10-22,16.2,16.3,15.3,16.3,386190.0
2012-10-23,16.9,17.1,16.6,17.1,121870.0
2012-10-24,17.5,17.9,16.9,17.9,245430.0
2012-10-25,18.0,18.0,17.2,17.2,88550.0
2012-10-26,16.8,18.0,16.7,18.0,999430.0
2012-10-29,18.2,18.5,17.8,18.2,95420.0
2012-10-30,18.2,18.5,17.8,17.8,116830.0
2012-10-31,17.3,17.4,17.0,17.1,275630.0
2012-11-01,16.6,17.0,16.4,16.4,206720.0
2012-11-02,15.9,16.3,15.7,15.7,154660.0
2012-11-05,15.7,16.4,15.7,16.4,105160.0
2012-11-06,17.2,17.2,17.2,17.2,101660.0
2012-11-07,17.9,18.0,17.9,18.0,262840.0
2012-11-08,18.0,18.5,17.5,17.8,254130.0
2012-11-09,17.2,17.7,17.0,17.1,175010.0
2012-11-12,17.2,17.9,16.8,17.9,221820.0
2012-11-13,17.9,18.6,17.7,18.5,168010.0
2012-11-14,18.5,18.5,17.6,18.0,202710.0
2012-11-15,18.3,18.3,17.7,18.2,150470.0
2012-11-16,18.4,19.1,18.0,19.1,504530.0
2012-11-19,20.0,20.0,19.8,20.0,195900.0
2012-11-20,21.0,21.0,20.8,21.0,304340.0
2012-11-21,21.6,21.6,20.7,20.7,183220.0
2012-11-22,20.1,20.7,20.0,20.7,81980.0
2012-11-23,20.3,21.6,20.0,20.8,101610.0
2012-11-26,21.1,21.1,20.3,20.4,180240.0
2012-11-27,20.4,21.4,20.4,21.4,92410.0
2012-11-28,22.0,22.4,21.4,22.4,267870.0
2012-11-29,23.4,23.5,22.0,23.0,96840.0
2012-11-30,23.0,23.9,22.6,23.9,88660.0
2012-12-03,23.9,24.0,22.8,22.9,192930.0
2012-12-04,22.6,23.3,22.5,22.8,92680.0
2012-12-05,22.6,23.9,22.6,23.9,435520.0
2012-12-06,23.4,24.5,23.4,23.7,274180.0
2012-12-07,23.9,23.9,23.2,23.3,225350.0
2012-12-10,23.0,23.7,23.0,23.6,164400.0
2012-12-11,23.4,24.7,23.2,24.0,317530.0
2012-12-12,24.0,25.2,23.6,25.2,321740.0
2012-12-13,26.1,26.4,25.5,26.4,445800.0
2012-12-14,27.3,27.7,26.5,27.7,404270.0
2012-12-17,28.0,28.0,26.4,27.0,469740.0
2012-12-18,26.6,27.6,26.4,27.2,314560.0
2012-12-19,27.0,28.5,26.7,28.5,508450.0
2012-12-20,29.3,29.9,27.9,27.9,655730.0
2012-12-21,27.5,27.8,26.6,26.6,697780.0
2012-12-24,25.3,26.0,25.3,25.3,689140.0
2012-12-25,24.1,25.2,24.1,24.2,639950.0
2012-12-26,24.4,25.4,24.0,25.4,740790.0
2012-12-27,26.0,26.6,25.3,26.0,539530.0
2012-12-28,25.5,25.9,24.7,24.8,709730.0
2013-01-02,24.3,25.4,23.8,24.0,795200.0
2013-01-03,24.0,24.0,22.8,22.8,594780.0
2013-01-04,21.7,22.2,21.7,21.7,1330220.0
2013-01-07,20.8,21.8,20.8,20.9,1682470.0
2013-01-08,20.1,21.9,20.1,21.9,1314070.0
2013-01-09,22.4,22.9,21.8,21.9,1190930.0
2013-01-10,21.7,21.8,20.9,20.9,1261760.0
2013-01-11,20.4,21.8,20.4,21.7,1474490.0
2013-01-14,21.1,22.6,21.1,22.6,744390.0
2013-01-15,22.4,23.5,22.2,23.5,1191440.0
2013-01-16,23.2,23.9,22.6,22.6,1043730.0
2013-01-17,22.3,23.0,21.1,21.1,873770.0
2013-01-18,20.0,20.2,19.7,19.7,1638200.0
2013-01-21,18.4,18.7,18.4,18.4,1013770.0
2013-01-22,17.3,17.9,17.2,17.7,1869090.0
2013-01-23,17.5,18.3,16.5,16.5,841050.0
2013-01-24,15.6,16.4,15.4,15.4,1591580.0
2013-01-25,15.7,16.4,15.4,16.4,591410.0
2013-01-28,17.3,17.5,17.1,17.5,1282940.0
2013-01-29,16.5,17.2,16.4,16.4,751600.0
2013-01-30,16.2,17.0,15.9,16.6,724450.0
2013-01-31,16.5,17.3,16.0,17.0,971720.0
2013-02-01,16.7,16.9,16.5,16.7,348500.0
2013-02-04,16.5,16.8,16.3,16.4,425190.0
2013-02-05,16.2,16.3,15.9,16.0,454600.0
2013-02-06,16.0,16.3,16.0,16.3,272640.0
2013-02-07,16.3,17.0,16.2,16.9,901850.0
2013-02-08,16.7,17.3,16.6,17.1,460460.0
2013-02-18,17.2,17.4,17.0,17.2,370150.0
2013-02-19,17.1,17.1,16.7,16.7,485560.0
2013-02-20,16.7,16.7,16.3,16.3,495820.0
2013-02-21,16.2,16.6,15.3,15.3,755340.0
2013-02-22,15.9,16.0,14.5,14.6,573920.0
2013-02-25,14.6,15.2,14.6,15.0,334900.0
2013-02-26,14.8,14.9,14.0,14.0,451380.0
2013-02-27,13.8,14.2,13.1,13.5,567880.0
2013-02-28,13.8,14.0,13.5,13.8,329740.0
2013-03-01,13.8,14.0,13.6,13.8,458780.0
2013-03-04,13.7,13.8,12.9,13.0,604300.0
2013-03-05,12.6,13.0,12.4,12.5,264100.0
2013-03-06,12.7,12.9,12.4,12.7,209150.0
2013-03-07,12.8,13.5,12.6,13.5,1361650.0
2013-03-08,14.3,14.4,14.3,14.4,267140.0
2013-03-11,15.4,15.4,14.7,15.1,779740.0
2013-03-12,14.9,15.0,14.2,14.4,884510.0
2013-03-13,14.6,15.4,14.5,14.8,1001190.0
2013-03-14,14.9,15.1,14.7,14.8,290930.0
2013-03-15,14.8,15.2,14.6,14.9,333650.0
2013-03-18,15.0,15.4,14.8,14.9,754460.0
2013-03-19,14.8,14.9,14.5,14.6,299710.0
2013-03-20,14.5,14.7,14.2,14.2,319580.0
2013-03-21,14.4,14.4,13.8,13.8,502350.0
2013-03-22,13.8,13.9,13.1,13.3,494410.0
2013-03-25,13.5,14.2,13.3,13.9,435350.0
2013-03-26,14.2,14.2,13.7,13.8,201440.0
2013-03-27,13.6,13.8,13.5,13.5,200420.0
2013-03-28,13.4,13.6,12.9,12.9,254920.0
2013-03-29,12.8,13.3,12.6,13.3,335170.0
2013-04-01,13.3,13.9,12.8,13.9,352620.0
2013-04-02,13.8,14.2,13.5,13.9,368500.0
2013-04-03,13.5,13.9,13.4,13.5,270510.0
2013-04-04,13.3,13.5,13.0,13.0,336020.0
