date,open,high,low,close,klgdkl
2010-01-04,22.3,22.6,22.3,22.6,116200.0
2010-01-05,23.7,23.7,22.5,22.6,329440.0
2010-01-06,21.8,22.8,21.8,22.0,172290.0
2010-01-07,23.1,23.1,23.0,23.1,285040.0
2010-01-08,24.2,24.2,23.0,23.0,330030.0
2010-01-11,23.0,24.0,22.5,23.2,132010.0
2010-01-12,23.2,24.3,22.9,22.9,446690.0
2010-01-13,23.4,23.4,21.8,23.2,220060.0
2010-01-14,23.8,24.0,23.2,23.2,102220.0
2010-01-15,23.2,23.2,22.3,22.5,71240.0
2010-01-18,22.4,22.4,21.4,21.4,157240.0
2010-01-19,22.0,22.0,21.0,21.5,58650.0
2010-01-20,21.8,21.8,20.6,20.6,169380.0
2010-01-21,20.0,20.6,19.6,19.6,89970.0
2010-01-22,18.9,19.6,18.9,19.0,84770.0
2010-01-25,18.4,19.9,18.4,19.9,70540.0
2010-01-26,20.8,20.8,20.8,20.8,30420.0
2010-01-27,21.3,21.3,20.0,20.1,53600.0
2010-01-28,20.1,20.1,19.4,19.6,29930.0
2010-01-29,19.5,20.2,19.3,19.7,30180.0
2010-02-01,19.7,20.5,19.0,19.7,18820.0
2010-02-02,20.0,20.0,19.5,19.6,92560.0
2010-02-03,19.8,19.8,19.4,19.7,48010.0
2010-02-04,19.7,20.6,19.6,20.6,90340.0
2010-02-05,20.5,21.0,20.3,20.8,148090.0
2010-02-08,20.6,20.8,20.1,20.8,62900.0
2010-02-09,20.4,20.7,20.3,20.6,84520.0
2010-02-10,21.1,21.2,20.6,21.0,77670.0
2010-02-11,21.0,21.2,20.8,20.9,60200.0
2010-02-12,21.1,21.4,21.1,21.3,65870.0
2010-02-22,21.9,21.9,21.1,21.5,78300.0
2010-02-23,21.1,21.3,20.8,20.8,89810.0
2010-02-24,20.6,21.2,20.6,21.2,59430.0
2010-02-25,20.3,20.5,20.2,20.3,79960.0
2010-02-26,20.3,20.3,20.1,20.3,41420.0
2010-03-01,20.3,20.4,20.3,20.3,73920.0
2010-03-02,20.2,20.6,20.1,20.2,63340.0
2010-03-03,20.2,20.5,20.2,20.4,110190.0
2010-03-04,21.2,21.4,21.2,21.4,281830.0
2010-03-05,21.5,22.4,21.2,22.4,179900.0
2010-03-08,23.4,23.4,22.6,23.4,260950.0
2010-03-09,23.0,23.7,22.8,23.0,269270.0
2010-03-10,22.5,22.9,22.1,22.3,233000.0
2010-03-11,22.5,22.8,22.3,22.8,214410.0
