date,open,high,low,close,klgdkl
2010-01-04,60.0,61.0,60.0,61.0,6690.0
2010-01-05,61.0,61.0,58.0,58.0,18190.0
2010-01-06,57.0,58.0,55.5,55.5,14710.0
2010-01-07,54.0,57.0,54.0,55.0,92280.0
2010-01-08,57.0,57.0,55.5,56.0,54210.0
2010-01-11,56.0,56.0,55.0,55.0,6430.0
2010-01-12,55.0,55.0,53.5,54.0,1240.0
2010-01-13,53.0,55.0,53.0,53.0,2250.0
2010-01-14,53.5,53.5,53.0,53.0,60520.0
2010-01-15,54.5,54.5,53.0,53.0,18800.0
2010-01-18,53.0,54.0,52.5,52.5,19700.0
2010-01-19,54.5,54.5,53.0,53.0,260.0
2010-01-20,54.5,54.5,53.0,53.0,2440.0
2010-01-21,52.5,52.5,52.5,52.5,5210.0
2010-01-22,53.0,53.0,52.0,52.0,6520.0
2010-01-25,54.0,54.0,52.0,52.0,3260.0
2010-01-26,53.0,54.0,52.0,54.0,17180.0
2010-01-27,54.0,54.0,52.0,52.0,3630.0
2010-01-28,52.0,53.0,52.0,53.0,1030.0
2010-01-29,51.0,53.5,50.5,52.5,14000.0
2010-02-01,51.0,52.5,51.0,52.5,2650.0
2010-02-02,52.0,52.0,51.5,51.5,7470.0
2010-02-03,51.5,52.0,51.5,52.0,4470.0
2010-02-04,50.5,52.5,50.5,52.5,7330.0
2010-02-05,52.0,52.5,51.5,51.5,3080.0
2010-02-08,51.0,51.0,51.0,51.0,630.0
2010-02-09,51.0,51.5,51.0,51.0,7770.0
2010-02-10,51.0,52.0,51.0,52.0,4320.0
2010-02-11,51.0,52.5,51.0,51.0,4180.0
2010-02-12,51.0,53.0,51.0,51.0,4620.0
2010-02-22,51.0,51.5,51.0,51.0,6750.0
2010-02-23,50.0,50.0,49.0,49.0,15340.0
2010-02-24,48.1,48.3,48.1,48.1,16000.0
2010-02-25,48.1,49.0,48.1,48.5,15660.0
2010-02-26,48.5,48.7,48.4,48.5,14250.0
2010-03-01,48.5,50.0,48.5,50.0,23730.0
2010-03-02,49.0,49.0,48.5,48.5,10800.0
2010-03-03,48.0,49.0,48.0,48.3,9610.0
2010-03-04,48.3,49.5,48.3,48.5,27380.0
2010-03-05,48.5,49.5,48.5,48.7,16090.0
2010-03-08,49.0,49.5,49.0,49.1,19010.0
2010-03-09,48.6,49.5,48.6,49.5,23250.0
2010-03-10,49.5,50.0,49.3,50.0,41150.0
2010-03-11,50.0,50.5,50.0,50.0,49830.0
2010-03-12,51.0,52.0,50.5,52.0,14910.0
2010-03-15,52.5,52.5,51.0,51.5,16110.0
2010-03-16,51.5,51.5,49.2,49.5,13410.0
2010-03-17,49.5,50.0,49.2,49.2,19870.0
2010-03-18,49.2,49.7,49.2,49.4,3510.0
2010-03-19,49.2,49.3,49.0,49.0,24050.0
2010-03-22,50.0,50.0,50.0,50.0,540.0
2010-03-23,49.5,49.9,49.0,49.0,9550.0
2010-03-24,47.1,49.0,47.0,49.0,54020.0
2010-03-25,49.0,49.0,47.0,47.6,13940.0
2010-03-26,48.6,48.6,47.7,47.7,5250.0
2010-03-29,47.7,48.0,47.6,47.6,9790.0
2010-03-30,47.5,47.5,47.0,47.0,15040.0
2010-03-31,46.8,47.5,45.0,45.0,36530.0
2010-04-01,44.6,45.5,44.6,45.0,35120.0
2010-04-02,45.5,46.0,45.1,45.5,21420.0
2010-04-05,46.4,46.5,46.0,46.4,15080.0
2010-04-06,46.8,47.8,46.5,47.8,18550.0
2010-04-07,48.0,48.0,47.5,47.8,26170.0
2010-04-08,48.3,48.3,46.3,46.3,35800.0
2010-04-09,47.0,47.2,46.3,47.2,19050.0
2010-04-12,47.2,47.7,47.1,47.7,20700.0
2010-04-13,47.7,47.7,46.7,46.7,16060.0
2010-04-14,47.0,47.0,46.9,46.9,13540.0
2010-04-15,47.0,47.0,46.5,46.5,9060.0
2010-04-16,47.3,47.3,46.7,47.0,21600.0
2010-04-19,46.5,46.5,45.7,45.7,16360.0
2010-04-20,45.6,45.8,45.5,45.5,17730.0
2010-04-21,45.5,46.2,45.5,46.2,17010.0
2010-04-22,46.2,47.3,46.2,46.6,22160.0
2010-04-26,47.0,47.0,46.5,46.5,14040.0
2010-04-27,46.5,46.5,46.1,46.2,19410.0
2010-04-28,46.2,46.5,46.0,46.1,17780.0
2010-04-29,46.1,46.3,46.1,46.1,27950.0
