date,open,high,low,close,klgdkl
2010-01-04,34.9,35.7,34.9,35.7,484340.0
2010-01-05,37.4,37.4,36.8,37.2,1153070.0
2010-01-06,36.0,37.3,36.0,36.2,340200.0
2010-01-07,36.5,36.5,35.9,36.1,661900.0
2010-01-08,36.5,36.8,35.7,35.7,688810.0
2010-01-11,36.3,36.3,34.8,35.0,527360.0
2010-01-12,35.4,35.4,34.1,34.2,648350.0
2010-01-13,34.2,34.8,32.9,34.3,524300.0
2010-01-14,35.9,35.9,34.3,34.5,318190.0
2010-01-15,33.7,35.0,33.7,34.1,124940.0
2010-01-18,34.0,34.0,32.5,32.7,367180.0
2010-01-19,32.7,33.5,32.7,33.1,328230.0
2010-01-20,33.1,33.5,33.0,33.1,268590.0
2010-01-21,32.6,33.2,32.0,32.0,367210.0
2010-01-22,32.0,32.4,31.7,32.0,281540.0
2010-01-25,32.0,32.1,31.9,31.9,249360.0
2010-01-26,32.5,33.0,32.5,32.7,466620.0
2010-01-27,33.1,33.1,31.2,31.2,312540.0
2010-01-28,31.2,32.2,31.1,31.2,322340.0
2010-01-29,31.1,31.3,31.0,31.2,234690.0
2010-02-01,31.2,31.3,31.1,31.2,181550.0
2010-02-02,31.3,31.6,31.2,31.3,243310.0
2010-02-03,31.5,31.9,31.4,31.6,376650.0
2010-02-04,32.7,33.1,32.5,33.1,824210.0
2010-02-05,33.5,34.3,33.1,33.5,774940.0
2010-02-08,33.4,33.4,33.1,33.1,457670.0
2010-02-09,33.1,33.4,32.6,33.0,299640.0
2010-02-10,33.2,33.6,33.1,33.5,583670.0
2010-02-11,33.7,34.0,33.2,34.0,705600.0
2010-02-12,34.5,34.8,34.3,34.4,793590.0
2010-02-22,35.0,35.0,34.6,34.8,509010.0
2010-02-23,34.7,34.7,33.2,33.2,448360.0
2010-02-24,33.0,33.2,32.3,32.7,869260.0
2010-02-25,32.6,33.0,32.5,32.5,752730.0
2010-02-26,32.1,32.5,31.9,32.1,1388700.0
2010-03-01,32.6,33.2,32.5,32.6,819100.0
2010-03-02,32.6,33.0,32.3,32.5,571350.0
2010-03-03,32.7,32.9,32.4,32.7,485090.0
2010-03-04,33.2,33.4,32.8,33.0,902800.0
2010-03-05,33.1,33.2,33.0,33.2,612720.0
2010-03-08,33.5,34.3,33.4,34.2,883980.0
2010-03-09,34.2,35.2,34.2,34.6,1008220.0
2010-03-10,34.6,35.2,34.5,35.2,1108710.0
2010-03-11,34.9,35.1,34.7,34.7,816970.0
2010-03-12,34.7,35.0,34.5,35.0,571450.0
2010-03-15,35.5,35.6,34.9,35.0,637950.0
2010-03-16,34.9,35.0,34.0,34.0,492880.0
2010-03-17,34.0,34.1,33.7,33.7,363530.0
2010-03-18,34.0,34.1,33.5,34.1,299020.0
2010-03-19,33.9,34.3,33.8,33.9,616170.0
2010-03-22,33.8,33.9,33.5,33.5,207070.0
2010-03-23,33.5,33.6,33.0,33.1,317680.0
2010-03-24,33.1,33.7,33.1,33.6,363160.0
2010-03-25,33.7,33.7,32.7,32.8,350560.0
2010-03-26,33.0,33.2,32.8,32.8,321070.0
2010-03-29,32.9,33.2,32.8,32.8,164720.0
2010-03-30,32.5,32.8,32.2,32.2,179540.0
2010-03-31,32.2,32.8,32.2,32.4,287400.0
2010-04-01,32.8,33.5,32.5,33.5,476450.0
2010-04-02,33.5,33.8,33.0,33.3,337110.0
2010-04-05,33.9,33.9,33.6,33.6,322030.0
2010-04-06,33.9,33.9,33.5,33.5,336120.0
2010-04-07,33.5,33.5,32.8,33.0,348830.0
2010-04-08,33.0,33.5,32.7,32.9,416380.0
2010-04-09,32.9,32.9,32.5,32.6,697950.0
2010-04-12,32.7,33.4,32.5,33.4,598300.0
2010-04-13,33.4,33.4,33.0,33.0,456240.0
2010-04-14,32.8,33.0,32.2,32.2,573520.0
2010-04-15,32.9,32.9,32.3,32.7,487480.0
2010-04-16,32.6,32.8,32.2,32.3,597670.0
2010-04-19,32.5,32.6,31.9,31.9,335160.0
