date,open,high,low,close,klgdkl
2010-01-04,60.0,60.5,60.0,60.5,80840.0
2010-01-05,63.5,63.5,62.5,63.0,122350.0
2010-01-06,63.0,64.0,62.0,62.0,73040.0
2010-01-07,62.5,63.0,62.0,62.0,64740.0
2010-01-08,62.0,63.5,61.5,61.5,52610.0
2010-01-11,62.0,62.0,59.0,61.0,28190.0
2010-01-12,60.0,61.0,59.0,59.5,86610.0
2010-01-13,58.5,59.5,58.5,59.0,19550.0
2010-01-14,61.0,61.0,59.0,61.0,30220.0
2010-01-15,63.0,63.5,62.0,63.0,142460.0
2010-01-18,63.0,63.0,60.5,60.5,31490.0
2010-01-19,61.5,62.0,61.0,61.0,19780.0
2010-01-20,61.0,62.0,61.0,61.0,19930.0
2010-01-21,59.0,61.0,59.0,59.0,45950.0
2010-01-22,57.5,58.5,56.5,57.5,41790.0
2010-01-25,56.5,60.0,56.5,58.5,18390.0
2010-01-26,60.5,61.0,60.5,61.0,4700.0
2010-01-27,61.0,62.0,61.0,61.0,11690.0
2010-01-28,59.5,60.0,58.5,58.5,7250.0
2010-01-29,60.0,60.0,58.0,60.0,4780.0
2010-02-01,60.5,60.5,60.5,60.5,9770.0
2010-02-02,61.5,61.5,59.0,59.0,50850.0
2010-02-03,61.0,61.5,59.5,61.5,30350.0
2010-02-04,62.5,64.5,62.0,64.5,116070.0
2010-02-05,62.5,63.5,62.5,62.5,26670.0
2010-02-08,61.0,61.5,60.0,60.0,22890.0
2010-02-09,58.5,60.0,58.5,60.0,540.0
2010-02-10,61.5,61.5,61.0,61.5,4470.0
2010-02-11,62.0,62.5,61.0,62.0,7910.0
2010-02-12,62.5,63.0,62.5,62.5,9990.0
2010-02-22,64.5,64.5,62.0,63.0,8500.0
2010-02-23,60.5,60.5,60.0,60.5,59500.0
2010-02-24,61.0,61.0,60.0,60.0,68910.0
2010-02-25,62.0,62.0,60.0,60.5,45180.0
2010-02-26,60.5,60.5,60.0,60.0,25860.0
2010-03-01,60.5,61.0,60.5,61.0,12820.0
2010-03-02,62.0,62.0,61.0,62.0,39980.0
2010-03-03,62.0,62.5,62.0,62.5,21210.0
2010-03-04,63.0,63.5,63.0,63.0,40930.0
2010-03-05,63.0,63.5,63.0,63.5,40080.0
2010-03-08,63.5,66.5,63.5,66.5,88980.0
2010-03-09,66.5,69.0,66.5,69.0,103450.0
2010-03-10,69.5,70.0,67.5,70.0,65320.0
2010-03-11,70.0,70.0,68.0,69.0,31920.0
2010-03-12,69.0,69.0,67.0,68.0,32350.0
2010-03-15,69.0,69.0,67.0,67.5,160340.0
2010-03-16,66.5,67.5,65.5,65.5,120570.0
2010-03-17,65.5,66.5,65.0,65.0,109870.0
2010-03-18,65.0,65.5,64.5,65.0,153230.0
2010-03-19,65.5,65.5,62.0,62.0,239200.0
2010-03-22,62.0,63.5,62.0,62.0,119690.0
2010-03-23,62.5,62.5,61.5,61.5,39690.0
2010-03-24,63.0,63.0,61.5,62.5,22630.0
2010-03-25,62.0,62.0,60.0,60.5,34700.0
2010-03-26,60.0,61.0,60.0,60.5,54630.0
2010-03-29,62.0,62.0,61.0,61.5,13500.0
2010-03-30,61.5,62.0,61.0,61.0,51010.0
2010-03-31,61.0,61.5,61.0,61.0,45540.0
2010-04-01,61.0,63.0,61.0,63.0,64070.0
2010-04-02,63.0,64.0,62.5,63.5,48350.0
2010-04-05,64.5,64.5,63.5,64.0,31810.0
2010-04-06,64.5,64.5,64.0,64.0,28680.0
2010-04-07,64.0,67.0,63.5,67.0,130340.0
2010-04-08,68.5,68.5,66.0,66.5,52900.0
2010-04-09,65.5,66.5,65.5,65.5,95950.0
2010-04-12,65.5,66.0,65.5,65.5,32850.0
2010-04-13,65.0,66.0,65.0,65.5,53560.0
2010-04-14,65.5,66.0,65.5,65.5,58680.0
2010-04-15,65.5,67.5,65.5,67.0,88230.0
2010-04-16,67.5,68.5,67.5,68.0,59120.0
2010-04-19,68.0,68.0,66.5,66.5,105550.0
2010-04-20,66.5,67.0,66.0,66.0,64390.0
2010-04-21,66.0,66.5,65.5,65.5,71160.0
2010-04-22,68.0,68.0,66.0,66.0,26870.0
2010-04-26,66.0,67.5,66.0,67.0,54840.0
2010-04-27,67.0,68.0,67.0,67.0,46500.0
2010-04-28,67.0,67.0,66.5,67.0,57010.0
2010-04-29,65.0,66.5,65.0,66.5,44330.0
2010-05-04,66.5,67.0,66.0,66.0,34200.0
2010-05-05,66.0,66.0,64.0,66.0,55430.0
2010-05-06,65.5,66.5,65.5,66.0,21940.0
2010-05-07,65.5,65.5,63.5,63.5,24160.0
2010-05-10,63.5,63.5,62.5,62.5,31370.0
2010-05-11,63.5,64.0,63.0,63.5,14280.0
2010-05-12,63.5,63.5,62.0,62.0,78850.0
2010-05-13,62.0,63.0,61.5,61.5,6470.0
2010-05-14,61.5,62.5,61.5,62.0,23150.0
2010-05-17,62.0,62.0,60.0,60.5,7100.0
2010-05-18,59.0,60.0,59.0,60.0,17430.0
2010-05-19,60.0,60.0,58.0,58.0,26790.0
2010-05-20,56.0,58.0,56.0,58.0,13540.0
2010-05-21,56.0,57.0,56.0,56.0,55230.0
2010-05-24,58.5,58.5,58.0,58.5,24010.0
2010-05-25,60.0,61.0,60.0,61.0,54520.0
2010-05-26,63.0,63.5,62.5,63.5,11300.0
2010-05-27,61.5,62.5,61.5,62.5,5430.0
2010-05-28,65.0,65.0,63.5,63.5,3030.0
2010-05-31,60.5,61.5,60.5,61.5,3370.0
2010-06-01,61.5,61.5,61.5,61.5,2620.0
2010-06-02,63.5,63.5,61.5,62.0,4130.0
2010-06-03,63.5,63.5,61.0,61.0,220.0
2010-06-04,61.0,61.5,61.0,61.5,2300.0
2010-06-07,60.0,60.0,58.5,59.0,18000.0
2010-06-08,58.0,59.0,57.5,58.5,13710.0
2010-06-09,58.5,58.5,58.5,58.5,6830.0
2010-06-10,58.5,58.5,58.5,58.5,3200.0
2010-06-11,58.5,59.0,58.0,58.0,3350.0
2010-06-14,58.0,58.0,58.0,58.0,6780.0
2010-06-15,57.5,57.5,57.5,57.5,5830.0
2010-06-16,57.5,59.0,57.5,58.0,29610.0
2010-06-17,57.5,58.5,57.5,58.5,4200.0
2010-06-18,58.5,59.0,58.0,59.0,23600.0
2010-06-21,59.0,60.5,59.0,60.5,7230.0
2010-06-22,59.0,60.5,59.0,60.0,15500.0
2010-06-23,59.5,60.0,59.5,60.0,6870.0
2010-06-24,60.0,60.5,60.0,60.5,18420.0
2010-06-25,60.0,62.0,60.0,62.0,28000.0
