date,open,high,low,close,klgdkl
2010-01-04,34.9,35.4,34.8,35.4,252000.0
2010-01-05,36.9,37.0,34.0,34.5,273170.0
2010-01-06,34.0,36.2,33.4,36.2,578280.0
2010-01-07,38.0,38.0,38.0,38.0,57550.0
2010-01-08,39.9,39.9,37.1,37.1,1390220.0
2010-01-11,38.9,38.9,38.9,38.9,66970.0
2010-01-12,40.8,40.8,37.2,39.0,1340180.0
2010-01-13,39.5,40.9,37.2,40.9,504280.0
2010-01-14,40.9,40.9,38.9,38.9,502640.0
2010-01-15,37.5,39.1,37.0,37.1,528940.0
2010-01-18,35.4,36.7,35.3,35.3,604910.0
2010-01-19,34.5,36.0,34.3,35.3,254500.0
2010-01-20,35.3,36.0,34.0,34.4,384330.0
2010-01-21,33.5,34.9,32.7,32.8,323440.0
2010-01-22,31.8,34.4,31.8,32.8,221320.0
2010-01-25,32.1,34.2,32.1,34.2,120840.0
2010-01-26,35.0,35.9,35.0,35.9,200030.0
2010-01-27,35.5,35.8,34.2,34.2,264000.0
2010-01-28,34.2,34.2,32.7,32.9,126130.0
2010-01-29,33.0,33.4,32.6,33.0,76230.0
2010-02-01,33.7,34.0,33.1,33.8,95940.0
2010-02-02,34.5,34.5,33.6,33.9,83760.0
2010-02-03,33.9,35.5,33.8,35.5,227980.0
2010-02-04,35.8,37.2,35.8,36.5,171610.0
2010-02-05,36.0,36.5,35.5,35.5,113480.0
2010-02-08,35.3,35.7,34.7,35.0,126830.0
2010-02-09,35.3,35.3,34.0,34.0,179420.0
2010-02-10,34.9,34.9,34.0,34.2,42030.0
2010-02-11,34.9,35.2,34.2,35.0,105620.0
2010-02-12,35.5,36.0,35.0,36.0,132720.0
2010-02-22,36.1,37.0,36.0,36.5,136380.0
2010-02-23,36.9,38.3,36.5,38.3,810980.0
2010-02-24,38.3,39.5,37.9,38.4,462860.0
2010-02-25,38.4,39.0,38.0,38.5,157810.0
2010-02-26,38.1,39.5,38.1,39.5,257900.0
2010-03-01,39.3,39.9,38.7,39.5,369770.0
2010-03-02,39.5,39.8,38.9,39.1,244440.0
2010-03-03,39.1,41.0,39.1,41.0,376170.0
2010-03-04,42.0,43.0,41.5,43.0,349090.0
2010-03-05,44.0,45.1,43.6,45.1,693340.0
2010-03-08,45.8,47.3,44.0,47.3,632840.0
2010-03-09,47.0,49.2,46.6,49.0,188940.0
2010-03-10,47.0,49.0,46.6,46.6,508390.0
2010-03-11,47.0,48.9,46.6,48.2,753700.0
2010-03-12,49.0,49.0,47.7,47.9,246040.0
2010-03-15,48.3,48.3,46.0,46.8,497640.0
2010-03-16,46.0,49.1,45.9,48.8,934040.0
2010-03-17,49.0,49.2,47.1,47.5,514590.0
2010-03-18,47.8,48.0,46.5,47.7,282320.0
2010-03-19,48.2,49.4,47.7,47.7,491620.0
2010-03-22,48.0,50.0,47.8,50.0,959950.0
2010-03-23,51.5,52.5,51.5,52.5,189890.0
2010-03-24,55.0,55.0,54.5,55.0,723690.0
2010-03-25,55.0,57.5,53.0,56.0,1107850.0
2010-03-26,56.0,57.0,54.5,55.0,867990.0
2010-03-29,56.0,57.5,55.5,57.5,713500.0
2010-03-30,59.0,60.0,58.0,58.0,1152800.0
2010-03-31,58.0,58.0,55.5,55.5,1314900.0
2010-04-01,54.0,58.0,53.0,57.0,1512130.0
2010-04-02,56.0,57.0,54.5,54.5,537880.0
2010-04-05,55.0,55.0,53.0,54.0,512170.0
2010-04-06,54.0,56.5,54.0,56.5,828820.0
2010-04-07,57.0,59.0,56.5,56.5,905020.0
2010-04-08,58.0,58.0,55.5,55.5,650280.0
2010-04-09,55.5,56.5,54.0,54.0,680340.0
2010-04-12,54.0,54.0,51.5,52.5,631100.0
2010-04-13,52.5,52.5,49.9,49.9,746460.0
2010-04-14,50.0,52.0,50.0,52.0,605130.0
2010-04-15,53.0,53.0,51.5,51.5,303700.0
2010-04-16,50.5,54.0,50.5,54.0,1049940.0
2010-04-19,53.5,54.0,52.0,52.0,521070.0
2010-04-20,52.0,54.5,52.0,54.5,987060.0
2010-04-21,57.0,57.0,57.0,57.0,129130.0
2010-04-22,59.5,59.5,58.5,59.5,1022790.0
2010-04-26,60.0,62.0,60.0,62.0,1225250.0
2010-04-27,61.5,65.0,61.5,63.0,779640.0
2010-04-28,62.0,63.5,61.0,61.0,677040.0
2010-04-29,61.5,63.0,60.0,60.5,1258080.0
2010-05-04,60.5,63.5,60.0,62.5,763920.0
2010-05-05,62.5,62.5,60.0,60.5,411350.0
2010-05-06,61.0,62.0,60.0,60.0,456510.0
2010-05-07,58.5,59.5,57.0,57.0,670540.0
2010-05-10,57.5,57.5,54.5,54.5,847290.0
2010-05-11,56.0,56.0,53.0,54.0,390350.0
2010-05-12,53.5,53.5,51.5,51.5,429270.0
2010-05-13,51.0,52.0,49.0,49.0,660780.0
2010-05-14,50.5,51.0,50.0,51.0,386430.0
2010-05-17,52.0,53.5,50.0,53.5,428850.0
2010-05-18,53.5,53.5,51.0,51.0,308020.0
2010-05-19,49.4,50.0,48.5,48.5,469200.0
2010-05-20,46.1,49.5,46.1,49.5,641970.0
2010-05-21,47.1,47.2,47.1,47.1,252320.0
2010-05-24,47.1,47.2,44.8,44.8,333110.0
2010-05-25,44.8,45.9,43.2,44.0,377660.0
2010-05-26,44.9,46.2,44.6,46.2,287720.0
2010-05-27,46.2,47.9,46.0,47.9,264630.0
2010-05-28,50.0,50.0,48.5,50.0,615890.0
2010-05-31,50.0,50.0,48.0,48.0,186880.0
2010-06-01,46.5,48.2,46.5,46.6,146770.0
2010-06-02,46.0,48.9,46.0,48.5,430540.0
2010-06-03,49.3,49.9,48.7,48.7,511950.0
2010-06-04,48.5,49.6,48.2,48.2,204050.0
2010-06-07,46.5,47.0,45.8,47.0,483560.0
2010-06-08,46.5,49.0,46.3,49.0,400270.0
2010-06-09,50.0,50.5,49.5,49.9,479200.0
2010-06-10,49.5,49.9,49.0,49.0,130650.0
2010-06-11,49.6,49.7,49.0,49.0,179790.0
2010-06-14,49.0,49.4,48.0,48.0,229650.0
2010-06-15,48.1,48.6,47.8,47.8,206960.0
2010-06-16,48.5,50.0,48.4,50.0,467610.0
2010-06-17,50.0,51.0,49.5,49.6,283680.0
2010-06-18,50.0,50.0,49.1,49.1,127940.0
2010-06-21,49.1,49.3,48.9,48.9,159080.0
2010-06-22,48.9,49.5,47.7,47.7,207120.0
2010-06-23,47.5,48.9,47.5,48.0,141160.0
2010-06-24,48.9,48.9,47.4,47.8,177330.0
2010-06-25,47.5,47.6,46.5,46.5,271480.0
2010-06-28,45.6,47.0,45.6,45.7,165890.0
2010-06-29,46.3,47.9,46.3,47.9,337280.0
2010-06-30,46.7,46.9,46.5,46.9,128310.0
2010-07-01,46.5,46.9,46.3,46.3,95300.0
2010-07-02,47.0,47.0,46.2,46.3,58420.0
2010-07-05,47.0,47.0,46.0,46.0,68010.0
2010-07-06,45.3,46.0,45.0,45.0,296650.0
2010-07-07,45.2,45.5,44.3,44.7,142310.0
2010-07-08,45.0,45.1,44.4,44.9,162920.0
2010-07-09,44.3,45.2,44.3,44.9,72870.0
2010-07-12,45.0,45.1,44.3,45.1,56640.0
2010-07-13,45.1,47.2,45.1,47.0,135780.0
2010-07-14,47.0,47.1,45.6,45.6,77850.0
2010-07-15,46.0,46.4,45.2,45.2,43310.0
