date,open,high,low,close,klgdkl
2012-04-11,20.0,20.0,20.0,20.0,100.0
2012-04-12,19.0,19.4,19.0,19.4,110.0
2012-04-13,18.5,18.5,18.5,18.5,1150.0
2012-04-16,18.5,18.5,17.6,17.6,1520.0
2012-04-17,17.6,17.6,17.6,17.6,1840.0
2012-04-18,18.4,18.4,18.4,18.4,70.0
2012-04-19,18.4,18.4,18.4,18.4,2100.0
2012-04-20,17.5,17.5,17.5,17.5,10.0
2012-04-23,18.0,18.0,18.0,18.0,2000.0
2012-04-24,18.0,18.0,18.0,18.0,1500.0
2012-04-25,18.8,18.8,18.8,18.8,10.0
2012-04-26,19.7,19.7,19.7,19.7,70.0
2012-04-27,20.2,20.2,20.2,20.2,500.0
2012-05-02,20.6,20.7,20.6,20.6,3200.0
2012-05-03,21.0,21.6,21.0,21.6,3030.0
2012-05-04,21.6,22.6,21.6,22.6,1210.0
2012-05-07,23.7,23.7,23.7,23.7,1700.0
2012-05-08,24.6,24.6,24.6,24.6,20.0
2012-05-09,24.6,24.6,24.6,24.6,0.0
2012-05-10,23.0,23.5,22.5,23.5,820.0
2012-05-11,23.0,23.0,23.0,23.0,500.0
2012-05-14,22.1,22.1,22.1,22.1,100.0
2012-05-15,21.4,21.4,21.3,21.3,200.0
2012-05-16,20.6,21.3,20.3,20.3,5200.0
2012-05-17,19.6,19.6,19.3,19.3,520.0
2012-05-18,19.3,19.3,18.4,18.4,1570.0
2012-05-21,19.3,19.3,19.3,19.3,260.0
2012-05-22,20.0,20.2,20.0,20.2,2130.0
2012-05-23,19.5,20.2,19.5,20.2,1000.0
2012-05-24,20.4,20.5,20.4,20.5,800.0
2012-05-25,19.6,21.4,19.5,21.4,280.0
2012-05-28,21.4,21.4,21.4,21.4,0.0
2012-05-29,21.4,21.4,21.4,21.4,0.0
2012-05-30,20.4,20.4,20.4,20.4,10.0
2012-05-31,19.6,21.0,19.6,20.4,1280.0
2012-06-01,20.4,20.6,20.4,20.6,90.0
2012-06-04,20.4,20.4,20.4,20.4,500.0
2012-06-05,20.4,20.4,20.4,20.4,0.0
2012-06-06,20.6,20.6,20.6,20.6,2070.0
2012-06-07,20.1,20.8,20.1,20.8,630.0
2012-06-08,21.0,21.8,20.9,21.8,8120.0
2012-06-11,22.8,22.8,20.9,20.9,790.0
2012-06-12,20.9,21.9,20.9,21.9,100.0
2012-06-13,21.9,22.9,20.9,22.9,13240.0
2012-06-14,21.8,21.8,21.8,21.8,2000.0
2012-06-15,21.8,21.8,21.8,21.8,2000.0
2012-06-18,21.8,22.8,21.8,22.8,13020.0
2012-06-19,22.8,22.8,22.0,22.0,2100.0
2012-06-20,22.0,23.0,22.0,23.0,9180.0
2012-06-21,22.2,22.2,22.0,22.0,4400.0
2012-06-22,22.0,22.1,22.0,22.1,18300.0
2012-06-25,22.1,22.2,22.1,22.2,2220.0
2012-06-26,22.0,22.2,22.0,22.2,2600.0
2012-06-27,22.8,23.3,21.5,23.0,10950.0
2012-06-28,21.9,21.9,21.9,21.9,120.0
2012-06-29,22.9,22.9,22.2,22.2,260.0
2012-07-02,23.3,23.3,22.5,22.5,6270.0
2012-07-03,23.6,23.6,23.6,23.6,1730.0
2012-07-04,23.6,23.6,23.6,23.6,0.0
2012-07-05,24.0,24.0,24.0,24.0,6240.0
2012-07-06,23.9,23.9,23.5,23.5,440.0
2012-07-09,22.4,24.0,22.4,22.6,6020.0
2012-07-10,23.7,23.7,23.7,23.7,2500.0
2012-07-11,22.8,24.0,22.8,24.0,100.0
2012-07-12,24.0,24.0,24.0,24.0,0.0
2012-07-13,24.0,24.0,24.0,24.0,710.0
2012-07-16,23.5,23.9,23.5,23.9,910.0
2012-07-17,23.0,24.0,23.0,24.0,130.0
2012-07-18,24.0,24.0,24.0,24.0,0.0
2012-07-19,23.8,23.9,23.8,23.9,5360.0
2012-07-20,24.0,24.0,24.0,24.0,7340.0
2012-07-23,23.6,23.9,23.0,23.0,5030.0
2012-07-24,23.2,23.2,23.2,23.2,270.0
2012-07-25,23.0,23.0,23.0,23.0,10.0
2012-07-26,23.0,23.0,23.0,23.0,10.0
2012-07-27,23.0,23.0,23.0,23.0,1350.0
2012-07-30,23.5,23.5,23.0,23.0,8390.0
2012-07-31,23.0,23.4,23.0,23.4,5130.0
2012-08-01,23.3,23.3,23.3,23.3,1320.0
2012-08-02,23.3,23.3,23.3,23.3,0.0
2012-08-03,23.2,23.2,23.1,23.1,150.0
2012-08-06,23.1,23.3,23.1,23.3,5560.0
2012-08-07,23.3,23.4,23.2,23.4,1960.0
2012-08-08,23.5,24.0,23.5,24.0,3100.0
2012-08-09,24.0,24.0,24.0,24.0,0.0
2012-08-10,24.0,24.0,24.0,24.0,0.0
2012-08-13,24.0,24.0,24.0,24.0,1100.0
2012-08-14,24.0,24.0,24.0,24.0,10.0
2012-08-15,24.0,24.1,24.0,24.1,110.0
2012-08-16,24.1,24.1,24.1,24.1,0.0
2012-08-17,24.1,24.1,24.1,24.1,0.0
2012-08-20,24.1,24.1,24.1,24.1,0.0
2012-08-21,24.0,24.0,23.2,23.2,3120.0
2012-08-22,23.2,23.2,23.2,23.2,90.0
2012-08-23,22.6,22.7,22.2,22.2,4250.0
2012-08-24,22.2,22.2,22.2,22.2,0.0
2012-08-27,22.7,23.3,22.7,23.3,2560.0
2012-08-28,23.6,23.6,23.6,23.6,1000.0
2012-08-29,23.6,23.6,23.6,23.6,3330.0
2012-08-30,23.9,23.9,23.9,23.9,2020.0
2012-08-31,24.0,24.0,23.6,23.9,3700.0
2012-09-04,23.4,23.4,23.3,23.3,2300.0
2012-09-05,23.3,23.3,23.3,23.3,0.0
2012-09-06,23.5,24.0,23.5,24.0,2540.0
2012-09-07,24.0,24.0,24.0,24.0,0.0
2012-09-10,24.0,24.0,23.6,23.8,2720.0
2012-09-11,23.8,23.8,23.8,23.8,10.0
2012-09-12,23.8,23.8,23.8,23.8,0.0
2012-09-13,24.0,24.0,24.0,24.0,3000.0
2012-09-14,24.0,24.0,24.0,24.0,0.0
2012-09-17,24.0,24.0,24.0,24.0,0.0
2012-09-18,24.0,24.0,24.0,24.0,0.0
2012-09-19,23.7,24.1,23.7,24.1,4500.0
2012-09-20,23.9,23.9,23.9,23.9,100.0
2012-09-21,24.0,24.0,24.0,24.0,1230.0
2012-09-24,23.8,23.9,23.8,23.8,2410.0
2012-09-25,23.8,23.8,23.8,23.8,0.0
2012-09-26,23.7,23.7,23.7,23.7,10.0
2012-09-27,23.7,23.7,23.7,23.7,0.0
2012-09-28,24.0,24.0,24.0,24.0,2000.0
2012-10-01,24.0,24.0,24.0,24.0,0.0
2012-10-02,24.0,24.0,24.0,24.0,50.0
2012-10-03,24.0,24.0,24.0,24.0,30.0
2012-10-04,24.0,24.0,24.0,24.0,0.0
2012-10-05,24.0,24.0,24.0,24.0,0.0
2012-10-08,24.0,24.1,24.0,24.1,240.0
2012-10-09,23.7,23.7,23.7,23.7,90.0
2012-10-10,24.0,24.0,24.0,24.0,1500.0
2012-10-11,24.0,24.0,24.0,24.0,0.0
2012-10-12,24.1,24.1,24.1,24.1,40.0
2012-10-15,24.1,24.1,24.1,24.1,0.0
2012-10-16,24.1,24.1,24.1,24.1,400.0
2012-10-17,24.3,24.3,24.1,24.1,100.0
2012-10-18,24.2,24.2,24.2,24.2,500.0
2012-10-19,24.2,24.2,24.2,24.2,0.0
2012-10-22,24.2,24.2,24.2,24.2,3280.0
2012-10-23,24.2,24.3,24.2,24.3,2980.0
2012-10-24,24.3,24.3,23.8,23.8,1050.0
2012-10-25,23.8,23.8,23.8,23.8,0.0
2012-10-26,23.8,23.8,23.8,23.8,0.0
2012-10-29,23.8,23.8,23.8,23.8,0.0
2012-10-30,23.8,23.8,23.8,23.8,0.0
2012-10-31,23.8,23.8,23.8,23.8,0.0
2012-11-01,23.8,23.8,23.8,23.8,0.0
2012-11-02,23.8,23.8,23.8,23.8,0.0
2012-11-05,23.9,23.9,23.9,23.9,250.0
2012-11-06,23.9,23.9,23.9,23.9,0.0
2012-11-07,23.9,23.9,23.9,23.9,0.0
2012-11-08,23.9,23.9,23.9,23.9,0.0
2012-11-09,24.0,24.0,24.0,24.0,350.0
2012-11-12,24.0,24.0,24.0,24.0,0.0
2012-11-13,24.0,24.0,24.0,24.0,0.0
2012-11-14,24.0,24.0,24.0,24.0,100.0
2012-11-15,24.0,24.0,24.0,24.0,470.0
2012-11-16,24.0,24.0,24.0,24.0,0.0
2012-11-19,24.0,24.0,24.0,24.0,0.0
2012-11-20,24.0,24.0,24.0,24.0,0.0
2012-11-21,23.9,23.9,23.8,23.9,4790.0
2012-11-22,24.0,24.0,24.0,24.0,260.0
2012-11-23,24.0,24.0,24.0,24.0,50.0
2012-11-26,23.8,23.8,23.8,23.8,90.0
2012-11-27,23.8,23.8,23.8,23.8,1000.0
2012-11-28,23.7,23.7,23.7,23.7,90.0
2012-11-29,23.7,23.7,23.7,23.7,0.0
2012-11-30,23.7,23.7,23.7,23.7,0.0
2012-12-03,24.0,24.0,24.0,24.0,10.0
2012-12-04,24.0,24.0,24.0,24.0,0.0
2012-12-05,24.0,24.0,24.0,24.0,0.0
2012-12-06,24.0,24.0,24.0,24.0,0.0
2012-12-07,24.0,24.0,24.0,24.0,0.0
2012-12-10,24.0,24.0,24.0,24.0,0.0
2012-12-11,24.0,24.0,24.0,24.0,0.0
2012-12-12,24.1,24.3,24.1,24.3,660.0
2012-12-13,24.6,24.6,24.3,24.3,1000.0
2012-12-14,24.5,25.0,24.5,25.0,2780.0
2012-12-17,25.5,26.0,25.5,26.0,790.0
2012-12-18,26.0,26.0,26.0,26.0,0.0
2012-12-19,26.0,26.0,26.0,26.0,0.0
2012-12-20,26.0,26.0,26.0,26.0,210.0
