date,open,high,low,close,klgdkl
2010-10-26,24.0,25.0,24.0,24.0,48010.0
2010-10-27,22.9,24.0,22.8,22.8,24680.0
2010-10-28,22.8,22.8,21.7,21.7,22820.0
2010-10-29,20.7,22.7,20.7,20.7,53340.0
2010-11-01,20.5,20.9,20.5,20.5,28940.0
2010-11-02,20.9,21.5,20.9,21.5,15780.0
2010-11-03,22.5,22.5,22.3,22.5,26470.0
2010-11-04,23.6,23.6,23.3,23.6,39030.0
2010-11-05,24.7,24.7,24.7,24.7,14040.0
2010-11-08,25.9,25.9,25.9,25.9,44640.0
2010-11-09,27.1,27.1,24.8,24.8,87340.0
2010-11-10,24.8,26.0,24.8,25.8,55510.0
2010-11-11,25.1,25.3,24.8,24.8,14320.0
2010-11-12,24.1,25.9,23.8,25.9,37640.0
2010-11-15,25.6,25.6,24.7,24.7,18860.0
2010-11-16,25.6,25.6,24.0,24.8,17530.0
2010-11-17,25.0,25.0,25.0,25.0,5000.0
2010-11-18,25.5,25.7,23.8,23.8,40550.0
2010-11-19,24.2,24.2,22.7,22.7,36370.0
2010-11-22,23.6,23.6,22.0,23.5,13550.0
2010-11-23,23.7,24.6,22.4,24.3,27730.0
2010-11-24,23.6,24.4,23.5,24.4,4470.0
2010-11-25,25.0,25.0,24.2,24.2,12210.0
2010-11-26,24.2,24.2,24.0,24.2,8400.0
2010-11-29,24.2,24.2,23.2,24.0,11480.0
2010-11-30,25.2,25.2,25.0,25.2,18610.0
2010-12-01,26.4,26.4,26.0,26.4,51930.0
2010-12-02,27.4,27.4,26.4,27.0,33090.0
2010-12-03,27.5,28.0,27.2,27.8,52380.0
2010-12-06,28.2,28.2,27.6,28.0,83520.0
2010-12-07,27.0,27.0,25.3,25.3,5850.0
2010-12-08,24.5,25.0,24.1,24.1,13500.0
2010-12-09,24.0,24.9,23.4,24.9,13700.0
2010-12-10,24.5,24.5,23.7,24.0,29320.0
2010-12-13,25.1,25.2,25.0,25.2,54340.0
2010-12-14,25.0,25.1,24.1,24.1,8510.0
2010-12-15,24.1,24.2,23.7,23.7,8250.0
2010-12-16,23.0,23.4,22.7,22.7,36890.0
2010-12-17,22.7,23.3,22.3,22.9,23980.0
2010-12-20,23.2,23.2,22.5,22.5,28250.0
2010-12-21,23.2,23.2,22.5,22.7,16070.0
2010-12-22,23.2,23.2,22.9,23.0,22510.0
2010-12-23,22.8,22.9,22.6,22.7,13900.0
2010-12-24,22.4,22.9,22.4,22.9,9870.0
2010-12-27,23.0,23.0,23.0,23.0,2100.0
2010-12-28,23.0,23.2,22.6,22.6,7130.0
2010-12-29,22.7,22.7,22.5,22.7,6950.0
2010-12-30,22.7,22.7,22.4,22.4,18620.0
2010-12-31,23.0,23.0,22.3,22.6,4210.0
2011-01-04,23.0,23.0,22.4,22.7,7370.0
2011-01-05,22.7,22.7,22.4,22.4,10820.0
2011-01-06,22.4,22.4,22.2,22.3,3620.0
2011-01-07,22.3,22.4,22.3,22.3,7510.0
2011-01-10,22.4,22.4,22.1,22.1,1200.0
2011-01-11,22.0,22.0,22.0,22.0,4350.0
2011-01-12,22.0,22.0,22.0,22.0,1530.0
2011-01-13,22.0,22.4,22.0,22.0,4590.0
2011-01-14,22.0,22.0,21.9,22.0,2860.0
2011-01-17,22.0,22.4,22.0,22.1,2950.0
2011-01-18,22.4,22.4,22.1,22.1,4880.0
2011-01-19,22.0,22.2,22.0,22.1,6660.0
2011-01-20,22.4,22.4,22.1,22.3,5240.0
2011-01-21,22.4,22.5,22.2,22.2,2200.0
2011-01-24,22.3,22.3,22.0,22.2,4700.0
2011-01-25,22.2,22.2,22.0,22.0,4780.0
2011-01-26,22.4,22.4,22.0,22.2,3020.0
2011-01-27,22.2,22.2,22.0,22.0,3350.0
2011-01-28,22.1,23.1,22.0,23.1,30070.0
2011-02-08,24.2,24.2,24.0,24.2,13180.0
2011-02-09,24.5,24.5,23.7,23.7,9490.0
2011-02-10,23.0,23.4,22.9,23.4,2910.0
2011-02-11,23.3,23.3,22.6,23.0,15780.0
2011-02-14,23.0,23.0,22.7,22.7,9180.0
2011-02-15,22.5,22.7,22.2,22.7,2160.0
2011-02-16,22.3,22.3,22.3,22.3,2100.0
2011-02-17,22.2,22.5,22.0,22.0,5940.0
2011-02-18,22.4,22.4,21.0,22.0,6510.0
2011-02-21,20.9,20.9,20.9,20.9,4070.0
2011-02-22,19.9,20.1,19.9,19.9,12800.0
2011-02-23,20.0,20.7,20.0,20.4,13020.0
2011-02-24,20.4,20.4,19.4,20.1,9390.0
2011-02-25,20.1,20.1,20.1,20.1,1570.0
2011-02-28,20.5,20.5,20.1,20.1,11530.0
2011-03-01,20.2,20.6,20.0,20.6,7880.0
2011-03-02,20.0,20.0,19.8,19.8,23820.0
2011-03-03,19.8,19.8,19.4,19.5,10640.0
2011-03-04,19.7,20.0,19.6,19.7,10880.0
2011-03-07,19.7,19.7,19.7,19.7,0.0
2011-03-08,19.8,20.2,19.8,20.0,1810.0
2011-03-09,20.0,20.4,19.9,20.4,1580.0
2011-03-10,20.0,21.0,20.0,20.3,3120.0
2011-03-11,20.5,20.9,20.5,20.6,2460.0
2011-03-14,20.0,20.6,19.7,19.7,6490.0
2011-03-15,19.6,20.6,19.6,19.7,23360.0
2011-03-16,19.8,20.5,19.8,20.5,2000.0
2011-03-17,19.8,20.5,19.6,19.8,1610.0
2011-03-18,19.8,20.4,19.6,20.4,1520.0
2011-03-21,21.0,21.0,20.0,20.0,160.0
2011-03-22,21.0,21.0,19.7,20.0,4670.0
2011-03-23,20.4,20.4,19.8,19.8,110.0
2011-03-24,19.7,19.9,19.7,19.9,920.0
2011-03-25,19.7,19.9,19.6,19.7,2900.0
2011-03-28,20.6,20.6,20.6,20.6,10810.0
2011-03-29,21.6,21.6,21.5,21.6,25640.0
2011-03-30,21.6,21.9,21.6,21.9,10590.0
2011-03-31,22.2,22.6,21.9,21.9,12000.0
2011-04-01,22.0,22.0,21.9,21.9,10000.0
2011-04-04,21.4,21.9,21.4,21.9,7770.0
2011-04-05,21.9,22.0,21.9,22.0,25880.0
2011-04-06,22.0,22.2,22.0,22.2,4600.0
2011-04-07,22.0,22.1,22.0,22.1,5480.0
2011-04-08,22.1,22.2,22.1,22.1,9270.0
2011-04-13,22.1,22.2,22.1,22.2,27930.0
