date,open,high,low,close,klgdkl
2010-07-16,31.5,33.5,31.0,32.5,160300.0
2010-07-19,31.5,31.5,30.9,30.9,94410.0
2010-07-20,32.2,32.2,31.0,32.0,85180.0
2010-07-21,33.4,33.4,32.5,32.6,44010.0
2010-07-22,31.7,32.0,31.1,31.9,45220.0
2010-07-23,32.8,32.8,30.5,30.5,42080.0
2010-07-26,31.5,31.5,29.0,30.1,41210.0
2010-07-27,30.1,30.1,28.7,28.7,13090.0
2010-07-28,27.4,27.4,27.3,27.3,69810.0
2010-07-29,27.2,28.0,27.0,28.0,50070.0
2010-07-30,28.0,28.5,28.0,28.5,38210.0
2010-08-02,29.0,29.0,28.5,28.5,43870.0
2010-08-03,28.8,28.8,27.5,27.5,16070.0
2010-08-04,27.5,27.5,26.4,27.0,3680.0
2010-08-05,27.0,27.0,26.3,26.3,8050.0
2010-08-06,27.0,27.0,25.1,25.3,16030.0
2010-08-09,26.2,26.2,24.8,25.6,23710.0
2010-08-10,25.6,25.6,24.4,25.0,15700.0
2010-08-11,25.0,25.0,24.5,25.0,11470.0
2010-08-12,25.0,25.0,23.8,24.0,3910.0
2010-08-13,22.8,23.0,22.8,22.8,1200.0
2010-08-16,23.8,23.9,22.8,23.9,21450.0
2010-08-17,25.0,25.0,24.5,25.0,55240.0
2010-08-18,26.2,26.2,26.0,26.2,150720.0
2010-08-19,26.4,26.4,24.9,26.0,82080.0
2010-08-20,25.6,25.7,25.5,25.7,22400.0
2010-08-23,25.8,25.8,24.8,25.0,23100.0
2010-08-24,23.8,23.8,23.8,23.8,8940.0
2010-08-25,22.7,22.7,22.7,22.7,50.0
2010-08-26,23.0,23.5,21.6,21.6,45730.0
2010-08-27,20.6,22.0,20.6,21.6,52870.0
2010-08-30,21.6,22.6,21.6,22.3,54010.0
2010-08-31,22.9,23.3,22.9,23.3,15100.0
2010-09-01,23.4,23.4,22.2,22.5,21540.0
2010-09-06,23.3,23.6,23.3,23.6,72000.0
2010-09-07,23.6,24.0,22.5,22.5,19720.0
2010-09-08,23.5,23.5,21.5,22.5,10590.0
2010-09-09,21.7,22.9,21.4,22.5,89020.0
2010-09-10,22.6,22.6,21.4,21.9,48160.0
2010-09-13,20.9,21.9,20.9,21.9,52780.0
2010-09-14,21.9,22.0,20.9,21.5,27500.0
2010-09-15,21.5,21.5,20.5,20.5,28630.0
2010-09-16,19.6,19.6,19.5,19.5,89860.0
2010-09-17,20.0,20.4,19.5,20.2,58740.0
2010-09-20,20.9,21.0,19.9,20.6,46440.0
2010-09-21,20.6,20.6,19.6,20.6,155270.0
2010-09-22,20.6,21.6,19.6,21.6,185180.0
2010-09-23,22.6,22.6,21.1,22.2,396090.0
2010-09-24,22.0,22.0,21.1,21.1,267480.0
2010-09-27,21.8,21.8,20.3,20.3,78560.0
2010-09-28,20.5,20.5,19.9,20.5,78620.0
2010-09-29,20.3,20.3,19.5,20.0,172050.0
2010-09-30,19.2,19.6,19.0,19.0,152030.0
2010-10-01,19.5,19.5,18.2,18.2,64230.0
2010-10-04,17.6,18.2,17.3,17.3,171280.0
2010-10-05,17.3,17.3,16.5,17.0,116860.0
2010-10-06,17.0,17.6,17.0,17.5,57360.0
2010-10-07,17.6,17.9,16.8,16.8,36140.0
2010-10-08,16.3,16.9,16.1,16.1,126750.0
2010-10-11,15.9,16.6,15.9,15.9,56380.0
2010-10-12,16.1,16.6,16.1,16.4,100420.0
2010-10-13,16.0,16.7,16.0,16.3,16920.0
2010-10-14,16.4,16.5,16.2,16.2,23770.0
2010-10-15,16.2,16.2,15.9,16.0,22990.0
2010-10-18,16.0,16.3,15.8,16.1,94190.0
2010-10-19,16.0,16.4,15.4,16.3,35310.0
2010-10-20,16.3,16.3,15.5,15.5,99390.0
2010-10-21,15.4,15.7,14.8,14.9,77780.0
2010-10-22,14.5,15.1,14.2,14.2,87470.0
2010-10-25,13.9,13.9,13.5,13.6,101350.0
2010-10-26,14.1,14.2,13.7,14.2,83310.0
2010-10-27,14.0,14.2,13.6,13.6,56170.0
2010-10-28,13.8,13.9,13.6,13.7,22540.0
2010-10-29,13.9,13.9,13.6,13.7,41440.0
2010-11-01,13.7,14.0,13.7,13.7,42870.0
2010-11-02,13.7,13.7,13.3,13.3,47470.0
2010-11-03,13.2,13.2,13.0,13.0,39040.0
2010-11-04,13.0,13.5,13.0,13.5,44580.0
2010-11-05,14.1,14.1,13.7,13.7,96030.0
2010-11-08,13.4,14.0,13.4,13.6,31710.0
2010-11-09,13.6,13.6,13.1,13.1,53690.0
2010-11-10,13.3,13.5,13.1,13.4,32810.0
2010-11-11,13.6,13.6,12.9,13.2,17730.0
2010-11-12,13.2,13.2,12.6,13.0,79050.0
2010-11-15,13.0,13.0,12.4,12.8,35430.0
2010-11-16,12.8,12.8,12.2,12.2,40060.0
2010-11-17,12.0,12.7,12.0,12.2,31070.0
2010-11-18,12.2,12.8,12.2,12.7,39840.0
2010-11-19,13.1,13.1,12.2,12.6,35650.0
2010-11-22,12.0,12.0,12.0,12.0,39870.0
2010-11-23,12.1,12.3,11.8,12.3,39630.0
2010-11-24,11.7,12.3,11.7,12.3,27330.0
2010-11-25,12.4,12.9,12.1,12.6,43260.0
2010-11-26,13.0,13.0,12.0,12.6,46850.0
2010-11-29,12.8,12.8,12.1,12.3,100370.0
2010-11-30,12.9,12.9,12.8,12.9,146210.0
2010-12-01,13.4,13.5,13.0,13.5,160740.0
2010-12-02,14.1,14.1,14.1,14.1,29200.0
2010-12-03,14.8,14.8,14.8,14.8,11050.0
2010-12-06,15.5,15.5,15.5,15.5,127630.0
2010-12-07,16.2,16.2,16.2,16.2,698010.0
2010-12-08,16.2,16.2,15.4,15.4,218380.0
2010-12-09,14.9,16.1,14.7,16.0,321490.0
2010-12-10,16.1,16.3,15.8,16.0,108500.0
2010-12-13,16.7,16.7,16.0,16.0,248550.0
2010-12-14,16.0,16.2,15.2,15.3,289420.0
2010-12-15,15.3,15.5,15.0,15.3,156180.0
2010-12-16,15.4,15.4,14.6,14.6,136440.0
2010-12-17,14.1,15.1,13.9,14.5,67770.0
2010-12-20,14.7,14.9,13.8,13.8,123870.0
2010-12-21,14.0,14.0,13.2,13.2,173090.0
2010-12-22,13.8,13.8,13.8,13.8,40940.0
2010-12-23,13.8,13.8,13.3,13.3,82670.0
2010-12-24,13.1,13.8,13.1,13.3,52820.0
2010-12-27,13.8,13.8,13.0,13.0,81040.0
2010-12-28,13.0,13.6,13.0,13.6,146510.0
2010-12-29,14.0,14.1,13.5,13.7,54950.0
2010-12-30,13.7,13.9,13.3,13.3,41040.0
2010-12-31,13.6,13.6,13.3,13.4,75700.0
2011-01-04,13.4,13.6,13.2,13.4,49310.0
2011-01-05,13.3,13.4,13.0,13.0,68460.0
2011-01-06,13.1,13.2,13.0,13.0,60790.0
2011-01-07,13.0,13.2,13.0,13.1,79220.0
2011-01-10,13.1,13.1,12.7,12.7,37470.0
2011-01-11,12.7,12.7,12.3,12.3,52020.0
2011-01-12,12.3,12.9,12.3,12.9,37080.0
2011-01-13,12.9,13.4,12.9,13.1,65400.0
2011-01-14,13.3,13.4,12.9,13.4,51540.0
2011-01-17,13.7,13.9,13.4,13.7,100500.0
2011-01-18,13.7,13.8,13.4,13.4,62830.0
2011-01-19,13.5,13.9,13.3,13.9,208050.0
2011-01-20,13.9,13.9,13.5,13.5,86410.0
2011-01-21,13.5,13.7,13.4,13.5,117060.0
2011-01-24,13.9,13.9,13.0,13.0,100500.0
2011-01-25,13.1,13.2,12.8,13.2,59520.0
2011-01-26,13.2,13.5,13.0,13.5,2020.0
2011-01-27,13.5,13.6,13.4,13.4,35360.0
2011-01-28,13.8,13.9,13.5,13.7,103260.0
2011-02-08,13.9,13.9,13.5,13.7,8410.0
2011-02-09,13.8,13.8,13.2,13.4,119000.0
2011-02-10,13.5,13.6,13.3,13.3,29050.0
2011-02-11,13.3,13.3,13.1,13.3,44670.0
2011-02-14,13.0,13.3,12.9,13.1,67430.0
2011-02-15,13.1,13.1,12.8,13.0,44370.0
2011-02-16,13.0,13.0,12.8,12.9,17980.0
2011-02-17,12.9,12.9,12.4,12.5,52900.0
2011-02-18,12.6,12.6,12.1,12.1,77870.0
2011-02-21,12.1,12.1,11.5,11.5,179980.0
2011-02-22,11.0,11.5,11.0,11.0,210190.0
2011-02-23,11.4,11.4,10.9,11.2,57570.0
2011-02-24,11.5,11.5,10.7,11.2,87070.0
2011-02-25,11.5,11.5,11.2,11.3,14820.0
2011-02-28,11.4,11.5,10.9,10.9,51370.0
2011-03-01,10.5,10.9,10.5,10.5,59830.0
2011-03-02,10.5,10.5,10.0,10.0,166680.0
2011-03-03,9.8,10.0,9.5,9.5,78630.0
2011-03-04,9.5,9.9,9.5,9.9,36820.0
2011-03-07,10.1,10.1,9.9,9.9,18610.0
2011-03-08,10.2,10.2,10.1,10.2,27610.0
2011-03-09,9.9,10.0,9.7,9.8,30560.0
2011-03-10,9.6,10.2,9.6,10.2,33130.0
2011-03-11,10.4,10.7,10.4,10.7,75050.0
2011-03-14,10.9,11.0,10.2,10.5,181240.0
2011-03-15,10.1,10.8,10.1,10.7,45800.0
2011-03-16,10.7,10.7,10.3,10.4,34240.0
2011-03-17,10.8,10.8,10.4,10.4,46250.0
2011-03-18,10.4,10.7,10.3,10.5,49870.0
2011-03-21,10.8,11.0,10.5,11.0,122660.0
2011-03-22,11.0,11.1,10.8,11.1,121250.0
2011-03-23,9.8,10.2,9.8,10.1,16120.0
2011-03-24,10.2,10.2,9.9,10.1,9920.0
2011-03-25,10.0,10.1,9.6,9.9,13410.0
2011-03-28,10.0,10.0,9.5,10.0,12610.0
2011-03-29,10.0,10.0,9.6,9.7,31740.0
2011-03-30,9.5,9.5,9.3,9.4,76200.0
2011-03-31,9.2,9.6,9.2,9.4,61670.0
2011-04-01,9.1,9.4,9.0,9.4,31820.0
2011-04-04,9.3,9.4,9.0,9.4,11100.0
2011-04-05,9.4,9.4,9.0,9.0,22470.0
2011-04-06,9.1,9.1,8.7,9.0,120430.0
2011-04-07,8.6,9.0,8.6,8.9,54060.0
2011-04-08,8.9,8.9,8.6,8.7,31520.0
2011-04-13,8.9,8.9,8.4,8.7,32490.0
2011-04-14,8.7,8.7,8.3,8.3,38370.0
2011-04-15,8.5,8.5,8.0,8.0,52630.0
2011-04-18,8.3,8.4,7.9,8.0,4910.0
2011-04-19,8.2,8.2,7.7,8.1,6020.0
2011-04-20,7.8,8.3,7.8,7.9,19920.0
2011-04-21,8.0,8.0,7.7,7.7,31700.0
2011-04-22,7.8,7.8,7.4,7.4,43190.0
2011-04-25,7.1,7.7,7.1,7.7,5920.0
2011-04-26,7.8,7.9,7.5,7.8,14920.0
2011-04-27,7.7,8.0,7.7,8.0,26990.0
2011-04-28,8.0,8.0,7.7,7.7,12650.0
2011-04-29,7.8,7.8,7.7,7.7,4000.0
2011-05-04,7.8,7.9,7.8,7.9,21060.0
2011-05-05,7.9,7.9,7.7,7.8,10210.0
2011-05-06,7.8,7.8,7.6,7.6,4890.0
2011-05-09,7.8,7.8,7.6,7.8,5500.0
2011-05-10,7.9,7.9,7.8,7.9,5010.0
2011-05-11,7.8,7.8,7.7,7.8,6010.0
2011-05-12,7.8,8.0,7.6,8.0,14250.0
2011-05-13,8.0,8.0,7.8,7.9,7100.0
2011-05-16,7.8,7.9,7.8,7.8,7320.0
2011-05-17,7.8,7.8,7.5,7.5,31860.0
2011-05-18,7.3,7.3,7.2,7.2,41450.0
2011-05-19,7.2,7.2,6.9,6.9,11640.0
2011-05-20,6.6,7.2,6.6,6.6,21840.0
2011-05-23,6.9,6.9,6.3,6.6,7770.0
2011-05-24,6.7,6.7,6.3,6.4,10870.0
2011-05-25,6.4,6.4,6.1,6.1,6700.0
2011-05-26,5.8,6.2,5.8,6.1,99520.0
2011-05-27,6.4,6.4,5.8,6.1,21410.0
2011-05-30,6.1,6.1,5.8,5.8,9550.0
2011-05-31,6.0,6.0,5.6,5.6,40390.0
2011-06-01,5.7,5.8,5.7,5.8,8190.0
2011-06-02,5.8,6.0,5.8,6.0,60600.0
2011-06-03,6.3,6.3,6.0,6.1,26400.0
2011-06-06,6.2,6.2,6.0,6.2,7970.0
2011-06-07,6.4,6.5,6.4,6.5,47370.0
2011-06-08,6.3,6.6,6.2,6.2,10230.0
2011-06-09,6.3,6.5,6.0,6.5,39590.0
2011-06-10,6.8,6.8,6.6,6.8,53630.0
2011-06-13,7.1,7.1,7.1,7.1,31010.0
2011-06-14,7.2,7.4,6.8,6.9,48510.0
2011-06-15,6.8,6.9,6.6,6.6,25750.0
2011-06-16,6.3,6.9,6.3,6.9,52570.0
2011-06-17,7.0,7.0,6.6,6.7,52810.0
2011-06-20,6.4,6.9,6.4,6.7,9350.0
2011-06-21,6.8,6.8,6.7,6.8,13800.0
2011-06-22,7.0,7.0,6.5,7.0,8030.0
2011-06-23,7.0,7.0,6.7,6.9,9970.0
2011-06-24,7.0,7.0,6.6,6.6,29830.0
2011-06-27,6.8,6.8,6.3,6.3,24350.0
2011-06-28,6.1,6.5,6.0,6.0,89620.0
2011-06-29,6.0,6.2,5.8,6.1,13150.0
2011-06-30,5.9,5.9,5.8,5.8,36900.0
2011-07-01,5.7,5.7,5.6,5.6,114070.0
2011-07-04,5.6,5.8,5.6,5.8,8850.0
2011-07-05,6.0,6.0,5.8,6.0,11320.0
2011-07-06,6.1,6.2,5.9,6.2,13020.0
2011-07-07,6.2,6.2,5.9,5.9,26310.0
2011-07-08,5.8,5.9,5.8,5.9,3260.0
2011-07-11,5.8,5.8,5.8,5.8,5000.0
2011-07-12,5.9,5.9,5.9,5.9,150.0
2011-07-13,6.0,6.0,5.7,6.0,5760.0
2011-07-14,6.0,6.0,5.7,6.0,9120.0
2011-07-15,6.0,6.0,5.7,6.0,6630.0
2011-07-18,6.0,6.0,5.7,5.8,8140.0
2011-07-19,5.6,5.8,5.6,5.6,11290.0
2011-07-20,5.8,5.8,5.5,5.6,4560.0
2011-07-21,5.5,5.6,5.4,5.4,11850.0
2011-07-22,5.6,5.6,5.3,5.5,14020.0
2011-07-25,5.5,5.5,5.3,5.5,10650.0
2011-07-26,5.4,5.4,5.3,5.3,6990.0
2011-07-27,5.2,5.2,5.1,5.1,49830.0
2011-07-28,5.0,5.2,5.0,5.1,27600.0
2011-07-29,5.3,5.3,5.3,5.3,10.0
2011-08-01,5.1,5.4,5.1,5.1,12230.0
2011-08-02,5.0,5.2,4.9,5.2,16010.0
2011-08-03,5.0,5.3,5.0,5.3,12040.0
2011-08-04,5.2,5.5,5.2,5.5,28400.0
2011-08-05,5.5,5.5,5.3,5.5,13010.0
2011-08-08,5.5,5.5,5.3,5.5,19310.0
2011-08-09,5.3,5.3,5.3,5.3,5210.0
2011-08-10,5.2,5.3,5.1,5.3,22610.0
2011-08-11,5.1,5.2,5.1,5.2,23520.0
2011-08-12,5.0,5.2,5.0,5.2,11710.0
2011-08-15,5.0,5.2,5.0,5.2,4050.0
2011-08-16,5.0,5.2,5.0,5.2,14250.0
2011-08-17,5.0,5.4,5.0,5.4,25270.0
2011-08-18,5.4,5.5,5.4,5.5,6980.0
2011-08-19,5.3,5.5,5.3,5.4,11230.0
2011-08-22,5.3,5.5,5.3,5.5,16070.0
2011-08-23,5.3,5.6,5.3,5.5,22390.0
2011-08-24,5.6,5.7,5.3,5.7,20320.0
2011-08-25,5.6,5.7,5.5,5.7,23650.0
2011-08-26,5.6,5.7,5.5,5.7,12620.0
2011-08-29,5.7,5.8,5.7,5.7,14910.0
2011-08-30,5.8,5.8,5.6,5.8,21390.0
2011-08-31,5.6,6.0,5.6,6.0,23160.0
2011-09-01,6.1,6.2,5.8,6.2,2980.0
2011-09-05,6.3,6.3,5.9,6.2,22330.0
2011-09-06,5.9,6.2,5.9,6.2,4170.0
2011-09-07,6.2,6.3,6.0,6.3,15820.0
2011-09-08,6.3,6.3,6.2,6.2,8060.0
2011-09-09,6.2,6.2,6.1,6.2,13040.0
2011-09-12,6.2,6.4,5.9,6.4,18810.0
2011-09-13,6.6,6.6,6.4,6.6,24020.0
2011-09-14,6.8,6.9,6.6,6.7,35130.0
2011-09-15,6.7,6.7,6.4,6.5,12820.0
2011-09-16,6.7,6.7,6.2,6.5,21730.0
2011-09-19,6.5,6.5,6.5,6.5,3100.0
2011-09-20,6.5,6.6,6.2,6.6,23100.0
2011-09-21,6.5,6.6,6.3,6.6,17410.0
2011-09-22,6.4,6.5,6.3,6.5,14020.0
2011-09-23,6.4,6.4,6.2,6.4,10670.0
2011-09-26,6.4,6.4,6.1,6.4,6220.0
2011-09-27,6.4,6.4,6.1,6.4,18470.0
2011-09-28,6.4,6.5,6.1,6.4,12370.0
2011-09-29,6.2,6.4,6.2,6.4,7240.0
2011-09-30,6.4,6.4,6.1,6.1,2220.0
2011-10-03,5.9,6.2,5.8,6.2,3080.0
2011-10-04,6.2,6.2,5.9,6.0,6000.0
2011-10-05,6.2,6.2,5.7,5.7,6720.0
2011-10-06,5.9,5.9,5.5,5.9,4470.0
2011-10-07,5.7,6.0,5.7,6.0,4400.0
2011-10-10,6.0,6.2,5.7,6.0,6590.0
2011-10-11,5.7,6.1,5.7,6.0,9870.0
2011-10-12,5.7,6.0,5.7,6.0,5030.0
2011-10-13,5.7,6.0,5.7,5.7,5620.0
2011-10-14,5.8,5.8,5.5,5.6,2140.0
2011-10-17,5.8,5.8,5.4,5.8,5910.0
2011-10-18,5.6,5.6,5.6,5.6,5020.0
2011-10-19,5.5,5.7,5.4,5.7,3110.0
2011-10-20,5.5,5.9,5.5,5.9,2630.0
2011-10-21,5.7,6.0,5.7,6.0,1540.0
2011-10-24,6.1,6.1,6.1,6.1,100.0
2011-10-25,5.8,6.0,5.8,6.0,2020.0
2011-10-26,5.7,6.1,5.7,5.8,2380.0
2011-10-27,5.6,5.9,5.6,5.9,9880.0
2011-10-28,5.7,5.9,5.7,5.9,4310.0
