date,open,high,low,close,klgdkl
2010-06-04,32.9,32.9,31.0,31.1,958770.0
2010-06-07,30.1,30.9,30.0,30.1,174100.0
2010-06-08,31.6,31.6,30.0,30.6,296830.0
2010-06-09,30.6,30.7,30.0,30.1,270660.0
2010-06-10,29.4,30.0,28.7,29.0,171510.0
2010-06-11,29.4,29.4,28.5,28.6,207730.0
2010-06-14,28.6,30.0,28.6,29.5,264930.0
2010-06-15,29.9,29.9,28.9,29.0,153920.0
2010-06-16,29.0,29.8,29.0,29.5,225880.0
2010-06-17,29.5,29.6,29.2,29.2,171440.0
2010-06-18,29.2,29.2,28.6,28.9,121420.0
2010-06-21,29.0,29.1,28.9,28.9,200230.0
2010-06-22,23.0,23.6,22.9,23.0,195110.0
2010-06-23,22.5,23.8,22.5,23.0,42650.0
2010-06-24,23.5,24.1,23.3,24.1,396740.0
2010-06-25,24.0,25.0,23.9,24.1,266630.0
2010-06-28,24.2,24.2,23.9,24.0,148950.0
2010-06-29,24.0,24.3,23.8,23.8,136270.0
2010-06-30,23.2,23.3,22.7,22.8,324040.0
2010-07-01,22.6,23.0,22.3,22.4,264470.0
2010-07-02,23.2,23.2,22.2,22.9,91600.0
2010-07-05,22.9,23.0,22.5,23.0,115070.0
2010-07-06,22.5,23.0,22.5,22.9,408600.0
2010-07-07,23.2,23.2,22.8,22.9,339170.0
2010-07-08,22.9,23.1,22.8,22.9,308800.0
2010-07-09,23.0,23.4,22.8,23.4,622360.0
2010-07-12,23.6,24.5,23.5,24.1,623230.0
2010-07-13,24.3,24.3,23.9,24.1,315500.0
2010-07-14,24.0,24.1,23.2,23.2,430560.0
2010-07-15,23.5,23.9,23.4,23.4,260630.0
2010-07-16,23.3,23.6,23.1,23.2,118880.0
2010-07-19,22.8,23.1,22.7,23.0,81370.0
2010-07-20,23.0,23.0,22.8,22.8,121800.0
2010-07-21,22.9,22.9,22.5,22.7,176750.0
2010-07-22,22.5,22.6,22.4,22.5,235640.0
2010-07-23,22.5,22.6,22.3,22.4,355370.0
2010-07-26,22.4,23.5,22.4,23.3,263130.0
2010-07-27,23.1,23.4,22.8,23.1,81960.0
2010-07-28,23.0,23.0,22.3,22.3,126320.0
2010-07-29,22.5,22.5,22.2,22.3,74180.0
2010-07-30,22.2,22.7,22.2,22.3,88610.0
2010-08-02,22.3,22.6,22.0,22.0,41700.0
2010-08-03,22.9,22.9,22.0,22.0,34520.0
2010-08-04,21.7,21.9,21.7,21.8,71110.0
2010-08-05,21.8,22.0,21.8,21.8,87660.0
2010-08-06,21.3,21.9,21.3,21.9,71920.0
2010-08-09,22.3,22.3,21.3,21.3,237120.0
2010-08-10,20.6,20.7,20.3,20.3,192760.0
2010-08-11,20.9,21.2,20.5,21.1,54260.0
2010-08-12,20.5,20.8,20.1,20.1,146540.0
2010-08-13,20.0,20.5,20.0,20.4,62960.0
2010-08-16,21.0,21.4,20.9,21.4,140680.0
2010-08-17,20.7,21.5,20.7,21.4,26270.0
2010-08-18,21.8,21.8,20.8,20.9,31850.0
2010-08-19,21.2,21.2,20.7,21.0,6550.0
2010-08-20,21.0,21.2,20.8,21.2,90330.0
2010-08-23,21.0,21.2,21.0,21.0,38820.0
2010-08-24,20.7,20.8,20.0,20.0,259760.0
2010-08-25,19.5,19.5,19.0,19.0,134950.0
2010-08-26,19.9,19.9,19.0,19.5,125810.0
2010-08-27,19.9,20.2,19.0,20.0,61480.0
2010-08-30,21.0,21.0,20.6,20.9,61240.0
2010-08-31,20.5,21.7,20.5,21.7,156040.0
2010-09-01,21.0,22.2,21.0,21.8,61340.0
2010-09-06,22.6,22.6,21.9,22.0,473620.0
2010-09-07,21.5,22.0,21.5,21.9,66140.0
2010-09-08,21.4,21.8,21.2,21.8,38810.0
2010-09-09,22.7,22.8,21.8,22.6,161970.0
2010-09-10,22.3,22.6,21.8,21.8,228900.0
2010-09-13,22.0,22.8,21.5,22.0,178460.0
2010-09-14,22.4,22.5,22.1,22.2,39070.0
2010-09-15,21.6,22.5,21.6,22.0,132730.0
2010-09-16,22.0,22.7,22.0,22.7,276900.0
2010-09-17,23.6,23.8,23.5,23.8,562480.0
2010-09-20,24.9,24.9,24.9,24.9,1947160.0
2010-09-21,25.0,26.0,23.8,24.9,1243910.0
2010-09-22,24.9,25.0,24.5,24.9,980330.0
2010-09-23,24.7,24.8,24.0,24.4,607600.0
2010-09-24,24.5,25.6,24.0,25.2,1215440.0
