date,open,high,low,close,klgdkl
2010-01-04,11.2,11.9,11.2,11.8,35300.0
2010-01-05,12.3,12.3,12.0,12.2,15860.0
2010-01-06,11.7,12.2,11.7,12.0,13990.0
2010-01-07,11.6,12.5,11.6,12.4,13580.0
2010-01-08,12.6,12.6,11.8,12.3,37250.0
2010-01-11,12.0,12.1,12.0,12.1,9010.0
2010-01-12,12.0,12.0,11.8,11.8,39490.0
2010-01-13,11.8,11.8,11.5,11.5,9200.0
2010-01-14,12.0,12.0,11.5,11.9,14160.0
2010-01-15,11.9,11.9,11.5,11.5,7510.0
2010-01-18,11.4,11.5,11.4,11.5,3900.0
2010-01-19,11.3,11.7,11.3,11.3,8900.0
2010-01-20,11.8,11.8,11.7,11.7,140.0
2010-01-21,11.4,11.5,11.4,11.4,8720.0
2010-01-22,11.5,11.5,11.2,11.2,4010.0
2010-01-25,11.2,11.2,11.0,11.0,9250.0
2010-01-26,11.5,11.5,11.5,11.5,60.0
2010-01-27,11.5,11.5,11.3,11.5,7830.0
2010-01-28,11.4,11.4,11.3,11.3,4510.0
2010-01-29,11.3,11.3,11.1,11.1,550.0
2010-02-01,11.5,11.5,11.5,11.5,10.0
2010-02-02,11.1,11.2,11.1,11.2,2620.0
2010-02-03,11.4,11.4,11.1,11.1,3410.0
2010-02-04,11.2,11.2,11.0,11.1,4700.0
2010-02-05,10.7,10.9,10.7,10.7,9040.0
2010-02-08,10.2,10.6,10.2,10.6,22190.0
2010-02-09,10.6,10.6,10.1,10.1,13500.0
2010-02-10,10.1,10.4,10.1,10.4,15850.0
2010-02-11,10.4,10.4,10.3,10.3,12010.0
2010-02-12,10.4,10.4,10.1,10.2,5150.0
2010-02-22,10.2,10.3,10.2,10.3,15670.0
2010-02-23,10.4,10.4,10.1,10.1,9410.0
2010-02-24,10.1,10.2,10.1,10.1,14570.0
2010-02-25,10.1,10.3,10.1,10.2,12740.0
2010-02-26,10.2,10.4,10.1,10.4,19940.0
2010-03-01,10.2,10.3,10.1,10.3,17030.0
2010-03-02,10.3,10.3,10.2,10.3,14950.0
2010-03-03,10.1,10.4,10.1,10.2,9170.0
2010-03-04,10.2,10.3,10.2,10.3,15830.0
2010-03-05,10.3,10.3,10.2,10.2,15500.0
2010-03-08,10.3,10.3,10.1,10.2,13490.0
2010-03-09,10.2,10.3,10.2,10.3,32330.0
2010-03-10,10.3,10.4,10.2,10.4,24870.0
2010-03-11,10.4,10.9,10.4,10.9,44460.0
