date,open,high,low,close,klgdkl
2010-10-13,55.0,55.0,52.0,55.0,366930.0
2010-10-14,55.0,56.0,54.5,55.0,102890.0
2010-10-15,52.5,55.0,52.5,52.5,79650.0
2010-10-18,52.5,53.0,50.5,51.5,67420.0
2010-10-19,52.0,53.5,50.0,52.0,64120.0
2010-10-20,49.6,52.0,49.6,52.0,11000.0
2010-10-21,51.5,52.0,50.0,52.0,20500.0
2010-10-22,52.0,52.0,51.5,52.0,26000.0
2010-10-25,50.0,52.0,50.0,52.0,26200.0
2010-10-26,52.0,53.5,51.5,52.5,17310.0
2010-10-27,53.0,53.5,50.0,52.5,20750.0
2010-10-28,50.5,51.5,49.9,50.0,16160.0
2010-10-29,50.5,51.0,48.0,51.0,18000.0
2010-11-01,52.0,52.0,51.0,51.5,710.0
2010-11-02,51.5,52.0,49.0,49.5,5200.0
2010-11-03,47.1,51.0,47.1,50.0,6680.0
2010-11-04,46.7,50.0,46.7,50.0,9630.0
2010-11-05,50.0,50.0,50.0,50.0,3000.0
2010-11-08,50.0,50.0,48.5,50.0,29730.0
2010-11-09,48.0,50.0,47.5,49.8,11060.0
2010-11-10,49.8,49.8,47.4,49.7,3500.0
2010-11-11,47.6,49.5,47.4,49.5,2310.0
2010-11-12,47.2,48.9,47.1,48.9,6310.0
2010-11-15,48.9,48.9,48.9,48.9,1000.0
2010-11-16,48.8,48.8,46.7,46.7,3740.0
2010-11-17,46.7,49.0,46.7,48.0,14590.0
2010-11-18,49.0,49.0,48.0,48.0,1100.0
2010-11-19,48.0,48.0,48.0,48.0,2100.0
2010-11-22,47.5,47.5,47.5,47.5,2000.0
2010-11-23,47.2,48.0,47.2,47.8,3600.0
2010-11-24,47.8,47.8,47.8,47.8,200.0
2010-11-25,47.9,47.9,47.7,47.8,3280.0
2010-11-26,49.0,49.0,45.5,47.8,6420.0
2010-11-29,45.5,47.4,45.5,47.2,4620.0
2010-11-30,48.9,48.9,47.0,47.2,12820.0
2010-12-01,47.1,47.2,45.0,47.0,14600.0
2010-12-02,46.0,47.0,46.0,47.0,26600.0
2010-12-03,47.0,49.3,47.0,49.0,36300.0
2010-12-06,50.0,50.0,46.6,49.5,12700.0
2010-12-07,49.3,49.3,47.1,48.7,46600.0
2010-12-08,47.3,47.5,47.3,47.5,18690.0
2010-12-09,45.2,49.3,45.2,49.1,6530.0
2010-12-10,47.0,49.4,47.0,49.0,70010.0
2010-12-13,49.1,49.1,49.0,49.0,96000.0
2010-12-14,48.9,49.0,46.6,49.0,49060.0
2010-12-15,49.0,49.0,47.0,47.0,99100.0
2010-12-16,47.0,49.0,44.7,49.0,237200.0
2010-12-17,49.0,49.1,47.0,49.1,134500.0
2010-12-20,48.4,50.0,47.8,49.0,109500.0
2010-12-21,49.0,49.0,47.8,48.8,230970.0
