date,open,high,low,close,klgdkl
2017-06-08,14.15,14.15,14.15,14.15,2894000.0
2017-06-09,15.1,15.1,15.1,15.1,2268500.0
2017-06-12,16.15,16.15,14.1,16.05,2498930.0
2017-06-13,15.8,16.25,14.95,16.15,3809550.0
2017-06-14,15.8,15.8,15.2,15.5,1047980.0
2017-06-15,15.45,16.55,15.2,16.55,2860630.0
2017-06-16,16.75,17.7,16.7,17.7,3212380.0
2017-06-19,17.9,17.9,17.1,17.5,1253710.0
2017-06-20,17.5,17.5,17.1,17.3,872250.0
2017-06-21,17.3,17.6,16.95,17.35,1505590.0
2017-06-22,17.3,17.5,16.9,17.3,1183930.0
2017-06-23,17.35,17.7,17.3,17.4,1554810.0
2017-06-26,17.45,18.6,17.45,18.6,2490950.0
2017-06-27,18.65,19.35,18.65,19.3,2126670.0
2017-06-28,19.3,19.45,18.4,19.05,2830970.0
2017-06-29,19.05,19.1,18.15,18.95,2882890.0
2017-06-30,18.85,19.1,17.65,17.65,2186090.0
2017-07-03,16.45,17.3,16.45,17.2,2676180.0
2017-07-04,17.2,17.7,16.95,17.05,2347990.0
2017-07-05,17.05,17.1,15.9,16.45,1572490.0
2017-07-06,16.0,16.2,15.3,15.3,2388100.0
2017-07-07,15.0,15.5,14.95,15.4,1528000.0
2017-07-10,15.4,15.4,14.35,14.35,2669680.0
2017-07-11,13.35,14.5,13.35,14.45,3602570.0
2017-07-12,14.45,14.9,14.35,14.8,2115590.0
2017-07-13,14.8,14.85,13.8,13.8,1298370.0
2017-07-14,12.95,13.95,12.95,13.6,506770.0
2017-07-17,13.6,13.85,12.75,13.8,1132950.0
2017-07-18,13.7,14.65,13.65,14.55,2198900.0
2017-07-19,14.55,14.55,13.55,13.55,1208790.0
2017-07-20,13.2,13.8,12.8,13.6,147400.0
2017-07-21,13.6,13.6,12.65,12.65,263840.0
2017-07-24,11.8,13.05,11.8,12.65,497610.0
2017-07-25,13.0,13.0,12.1,12.8,170850.0
2017-07-26,12.8,12.8,12.3,12.8,204600.0
2017-07-27,12.5,12.5,11.95,12.45,194160.0
2017-07-28,12.45,12.5,11.6,12.5,262480.0
2017-07-31,11.7,12.15,11.65,11.8,1594360.0
2017-08-01,11.0,11.7,11.0,11.6,2075200.0
2017-08-02,11.6,11.75,11.45,11.65,276120.0
2017-08-03,11.7,11.7,10.85,11.5,396900.0
2017-08-04,11.5,12.3,10.75,12.3,1465130.0
2017-08-07,12.6,12.95,12.4,12.95,524970.0
2017-08-08,12.9,12.9,12.05,12.4,725610.0
2017-08-09,12.3,12.3,11.55,11.55,752770.0
2017-08-10,11.55,12.0,10.75,11.35,1182230.0
2017-08-11,11.3,11.3,10.6,11.0,681220.0
2017-08-14,10.95,10.95,10.25,10.25,574250.0
2017-08-15,10.4,10.65,10.2,10.25,1496610.0
2017-08-16,10.35,10.35,9.54,10.0,798660.0
2017-08-17,10.0,10.15,9.3,10.15,1040220.0
2017-08-18,10.1,10.15,9.44,10.0,2053250.0
2017-08-21,9.98,9.98,9.3,9.7,1108450.0
2017-08-22,9.45,9.5,9.03,9.03,707640.0
2017-08-23,9.0,9.0,8.4,8.4,1225180.0
2017-08-24,7.84,8.1,7.82,7.82,471750.0
2017-08-25,7.85,8.36,7.82,8.36,1724600.0
2017-08-28,8.42,8.94,8.39,8.94,2305420.0
2017-08-29,8.94,9.3,8.5,9.0,1530270.0
2017-08-30,8.68,9.2,8.37,9.0,1343310.0
2017-08-31,8.98,8.98,8.37,8.61,1181930.0
2017-09-01,8.61,8.68,8.01,8.1,1568360.0
2017-09-05,8.1,8.66,8.1,8.66,1716430.0
2017-09-06,8.7,8.8,8.1,8.68,1222480.0
2017-09-07,8.64,8.64,8.17,8.17,495050.0
2017-09-08,8.12,8.32,8.12,8.17,819900.0
2017-09-11,8.17,8.19,8.05,8.19,316900.0
2017-09-12,8.19,8.29,8.18,8.19,437410.0
2017-09-13,8.3,8.3,8.05,8.19,235130.0
2017-09-14,8.2,8.34,8.2,8.3,492500.0
2017-09-15,8.3,8.39,8.09,8.2,306910.0
2017-09-18,8.2,8.25,8.15,8.21,234120.0
