date,open,high,low,close,klgdkl
2010-01-04,14.5,15.0,14.5,15.0,32480.0
2010-01-05,15.7,15.7,15.1,15.6,26660.0
2010-01-06,15.6,15.6,15.0,15.6,11400.0
2010-01-07,15.8,16.3,15.6,16.3,77840.0
2010-01-08,17.0,17.1,16.6,16.9,168590.0
2010-01-11,17.0,17.0,16.1,16.1,14320.0
2010-01-12,15.3,15.9,15.3,15.3,31410.0
2010-01-13,14.7,15.3,14.6,15.0,24880.0
2010-01-14,15.5,15.5,14.3,15.0,13750.0
2010-01-15,15.0,15.0,14.4,14.4,3100.0
2010-01-18,14.4,14.8,13.7,14.8,13330.0
2010-01-19,15.3,15.3,14.5,15.0,5310.0
2010-01-20,15.0,15.0,14.3,14.3,2500.0
2010-01-21,14.9,14.9,13.6,13.6,5350.0
2010-01-22,13.0,13.8,13.0,13.3,11670.0
2010-01-25,13.3,13.8,13.3,13.8,7550.0
2010-01-26,14.2,14.4,14.0,14.4,17310.0
2010-01-27,14.4,14.6,13.8,13.8,2510.0
2010-01-28,13.8,13.8,13.2,13.7,20530.0
2010-01-29,13.1,13.2,13.1,13.2,21450.0
2010-02-01,13.5,13.5,12.9,13.4,8250.0
2010-02-02,13.2,13.4,13.0,13.1,13990.0
2010-02-03,12.9,12.9,12.9,12.9,6960.0
2010-02-04,13.3,13.3,12.9,13.2,12330.0
2010-02-05,13.4,13.4,13.0,13.3,4130.0
2010-02-08,12.7,12.8,12.7,12.8,17460.0
2010-02-09,12.2,12.4,12.2,12.3,12420.0
2010-02-10,12.8,12.9,12.0,12.9,5420.0
2010-02-11,12.5,12.9,12.5,12.5,2930.0
2010-02-12,12.3,12.8,12.3,12.6,2010.0
2010-02-22,13.2,13.2,13.1,13.2,10410.0
2010-02-23,13.4,13.4,12.8,12.8,11930.0
2010-02-24,12.3,12.8,12.3,12.7,2040.0
2010-02-25,12.7,12.7,12.7,12.7,1100.0
2010-02-26,12.3,13.2,12.3,12.6,2090.0
2010-03-01,13.0,13.0,12.5,12.5,1170.0
2010-03-02,12.9,12.9,12.6,12.6,4970.0
2010-03-03,12.9,13.2,12.7,13.2,10660.0
2010-03-04,12.9,13.4,12.9,13.2,7330.0
2010-03-05,13.5,13.5,13.0,13.2,6200.0
2010-03-08,13.0,13.5,13.0,13.4,8850.0
2010-03-09,13.1,13.5,13.1,13.4,8270.0
2010-03-10,13.5,13.5,13.2,13.2,6120.0
2010-03-11,13.2,13.2,13.1,13.2,28330.0
2010-03-12,13.0,13.2,13.0,13.0,9190.0
2010-03-15,13.2,13.6,13.2,13.6,23100.0
2010-03-16,14.2,14.2,14.0,14.2,127160.0
2010-03-17,14.8,14.9,14.4,14.9,52450.0
2010-03-18,14.9,14.9,14.2,14.2,30060.0
2010-03-19,14.2,14.2,13.6,13.7,21680.0
2010-03-22,13.7,14.0,13.7,13.9,24150.0
2010-03-23,14.2,14.2,13.5,13.5,19890.0
2010-03-24,13.8,14.0,13.8,14.0,21610.0
2010-03-25,13.4,13.4,13.3,13.4,11510.0
2010-03-26,13.7,13.7,13.3,13.3,1700.0
2010-03-29,13.0,13.4,13.0,13.4,8730.0
2010-03-30,13.4,13.6,12.9,12.9,15640.0
2010-03-31,13.3,13.3,13.0,13.1,6980.0
2010-04-01,13.1,13.2,13.1,13.1,7150.0
2010-04-02,12.8,13.3,12.8,13.0,5560.0
2010-04-05,13.4,13.6,13.0,13.6,15610.0
2010-04-06,13.5,13.6,13.1,13.5,25720.0
2010-04-07,13.8,13.8,13.4,13.7,4620.0
