date,open,high,low,close,klgdkl
2018-10-18,14.4,14.4,14.4,14.4,1800.0
2018-10-19,15.4,15.4,15.4,15.4,2200.0
2018-10-22,16.45,16.45,16.45,16.45,2800.0
2018-10-23,17.6,17.6,17.6,17.6,3200.0
2018-10-24,18.8,18.8,18.8,18.8,3700.0
2018-10-25,20.1,20.1,20.1,20.1,800.0
2018-10-26,21.5,21.5,21.5,21.5,19500.0
2018-10-29,23.0,23.0,23.0,23.0,11200.0
2018-10-30,24.6,24.6,24.6,24.6,10200.0
2018-10-31,26.3,26.3,26.3,26.3,10500.0
2018-11-01,28.1,28.1,28.1,28.1,13610.0
2018-11-02,30.05,30.05,30.05,30.05,16600.0
2018-11-05,32.15,32.15,32.15,32.15,38600.0
2018-11-06,34.4,34.4,34.4,34.4,86870.0
2018-11-07,36.8,36.8,36.75,36.75,358700.0
2018-11-08,36.0,36.3,35.7,36.3,77250.0
2018-11-09,35.5,36.25,34.8,35.5,94040.0
2018-11-12,35.3,37.6,35.3,37.0,110590.0
2018-11-13,36.2,37.0,36.05,36.25,103310.0
2018-11-14,35.8,38.0,35.7,36.1,94280.0
2018-11-15,35.9,36.5,35.0,35.7,122210.0
2018-11-16,35.4,36.7,35.4,36.7,73460.0
2018-11-19,36.2,37.2,36.05,36.5,80460.0
2018-11-20,35.8,36.7,35.7,36.1,76790.0
2018-11-21,35.3,36.0,35.1,35.5,77530.0
2018-11-22,35.5,37.0,35.3,36.4,84560.0
2018-11-23,36.1,37.6,35.8,36.6,112660.0
2018-11-26,36.3,37.55,36.2,37.5,127760.0
2018-11-27,37.8,39.6,36.9,38.1,114620.0
2018-11-28,37.5,38.2,36.8,37.9,135880.0
2018-11-29,37.3,38.0,36.7,37.1,124920.0
2018-11-30,36.9,37.0,36.25,36.95,100060.0
2018-12-03,36.5,38.95,36.5,38.5,107730.0
2018-12-04,38.5,38.8,37.5,37.9,89790.0
2018-12-05,37.5,38.0,37.2,37.55,93080.0
2018-12-06,37.5,37.6,36.8,37.2,85200.0
2018-12-07,36.7,37.3,36.4,37.25,90240.0
2018-12-10,36.75,37.0,36.4,36.75,86510.0
2018-12-11,36.4,36.75,36.3,36.6,80490.0
2018-12-12,36.5,36.65,36.0,36.6,75340.0
2018-12-13,36.6,36.8,36.45,36.7,81630.0
2018-12-14,36.5,36.55,36.3,36.55,81190.0
2018-12-17,36.45,36.65,36.25,36.55,87800.0
2018-12-18,36.4,36.7,36.2,36.55,84140.0
2018-12-19,36.3,36.4,36.05,36.4,97400.0
2018-12-20,36.2,36.45,36.2,36.4,77710.0
2018-12-21,36.3,36.3,36.0,36.25,75730.0
2018-12-24,36.05,36.2,36.0,36.15,75900.0
2018-12-25,35.9,36.0,35.7,36.0,84100.0
2018-12-26,35.8,36.1,35.8,36.05,76440.0
2018-12-27,36.0,36.4,35.95,36.4,76750.0
2018-12-28,36.5,36.85,36.3,36.8,80510.0
2019-01-02,36.85,36.95,36.6,36.85,82010.0
2019-01-03,36.5,36.85,36.5,36.5,60760.0
