date,open,high,low,close,klgdkl
2010-01-04,9.4,9.6,9.3,9.6,25850.0
2010-01-05,10.0,10.0,10.0,10.0,22600.0
2010-01-06,10.3,10.3,9.8,10.3,5350.0
2010-01-07,10.3,10.5,10.3,10.5,5870.0
2010-01-08,10.4,10.9,10.2,10.2,1890.0
2010-01-11,9.8,9.9,9.7,9.7,12540.0
2010-01-12,9.5,9.8,9.4,9.8,2440.0
2010-01-13,9.4,9.8,9.4,9.8,8010.0
2010-01-14,9.7,9.7,9.4,9.4,3790.0
2010-01-15,9.5,9.7,9.1,9.5,21340.0
2010-01-18,9.7,9.7,9.2,9.2,2700.0
2010-01-19,9.2,9.3,8.8,9.2,16970.0
2010-01-20,9.0,9.0,9.0,9.0,600.0
2010-01-21,9.0,9.0,8.7,8.8,1740.0
2010-01-22,8.5,9.1,8.5,9.1,2320.0
2010-01-25,8.8,8.8,8.7,8.7,5330.0
2010-01-26,9.0,9.0,8.9,9.0,5570.0
2010-01-27,9.0,9.0,8.9,8.9,320.0
2010-01-28,8.9,8.9,8.5,8.5,10740.0
2010-01-29,8.4,8.6,8.4,8.4,750.0
2010-02-01,8.7,8.7,8.6,8.6,280.0
2010-02-02,8.8,8.8,8.3,8.3,3160.0
2010-02-03,8.5,8.5,8.3,8.4,3590.0
2010-02-04,8.2,8.6,8.1,8.6,6090.0
2010-02-05,8.5,8.5,8.4,8.4,560.0
2010-02-08,8.4,8.4,8.3,8.3,1600.0
2010-02-09,8.3,8.3,8.3,8.3,2700.0
2010-02-10,8.5,8.5,8.3,8.3,1500.0
2010-02-11,8.0,8.6,8.0,8.5,1520.0
2010-02-12,8.6,8.6,8.6,8.6,2110.0
2010-02-22,8.6,8.6,8.6,8.6,70.0
2010-02-23,8.3,8.5,8.2,8.2,8630.0
2010-02-24,8.4,8.5,7.9,8.5,270.0
2010-02-25,8.5,8.6,8.1,8.2,4330.0
2010-02-26,8.2,8.2,8.0,8.2,3860.0
2010-03-01,8.2,8.2,8.0,8.2,640.0
2010-03-02,8.2,8.3,8.2,8.3,1450.0
2010-03-03,8.3,8.4,8.2,8.2,2950.0
2010-03-04,8.0,8.3,8.0,8.2,4270.0
2010-03-05,8.0,8.4,8.0,8.3,1100.0
2010-03-08,8.2,8.4,8.2,8.2,4840.0
2010-03-09,8.1,8.4,8.1,8.2,6470.0
2010-03-10,8.5,8.5,8.2,8.5,2370.0
2010-03-11,8.6,8.6,8.3,8.3,4610.0
2010-03-12,8.4,8.6,8.4,8.6,7070.0
2010-03-15,8.8,8.8,8.6,8.8,6380.0
2010-03-16,8.6,8.8,8.4,8.7,10740.0
2010-03-17,8.3,8.7,8.3,8.3,43610.0
2010-03-18,8.1,8.2,8.0,8.1,15580.0
2010-03-19,8.1,8.2,8.1,8.1,7500.0
2010-03-22,7.7,7.9,7.7,7.7,82130.0
2010-03-23,7.4,7.4,7.4,7.4,10200.0
2010-03-24,7.1,7.1,7.1,7.1,16800.0
2010-03-25,6.8,6.8,6.8,6.8,2980.0
2010-03-26,6.5,6.5,6.5,6.5,5710.0
2010-03-29,6.2,6.2,6.2,6.2,41520.0
2010-03-30,6.5,6.5,6.5,6.5,25600.0
2010-03-31,6.8,6.8,6.8,6.8,14480.0
2010-04-01,7.1,7.1,7.1,7.1,24850.0
2010-04-02,6.8,6.8,6.8,6.8,20290.0
2010-04-05,6.5,6.5,6.5,6.5,7930.0
2010-04-06,6.2,6.2,6.2,6.2,26360.0
2010-04-07,6.4,6.4,6.4,6.4,10930.0
2010-04-08,6.3,6.3,6.3,6.3,4820.0
2010-04-09,6.3,6.3,6.3,6.3,9110.0
2010-04-12,6.0,6.0,6.0,6.0,18360.0
2010-04-13,5.9,5.9,5.9,5.9,6600.0
2010-04-14,6.1,6.1,6.1,6.1,10350.0
2010-04-15,6.4,6.4,6.4,6.4,14180.0
2010-04-16,6.4,6.4,6.4,6.4,13390.0
2010-04-19,6.1,6.1,6.1,6.1,51590.0
2010-04-20,6.4,6.4,6.4,6.4,12830.0
2010-04-21,6.7,6.7,6.7,6.7,9600.0
2010-04-22,6.7,7.0,7.0,7.0,31260.0
2010-04-26,7.3,7.3,7.3,7.3,26320.0
2010-04-27,7.6,7.6,7.6,7.6,38080.0
2010-04-28,7.8,7.8,7.8,7.8,26370.0
2010-04-29,7.8,7.8,7.8,7.8,33530.0
2010-05-04,7.5,7.5,7.5,7.5,36850.0
2010-05-05,7.2,7.2,7.2,7.2,3030.0
2011-02-23,5.8,5.8,5.8,5.8,4800.0
2011-02-24,5.6,5.6,5.6,5.6,10.0
2011-02-25,5.6,5.6,5.6,5.6,20.0
2011-02-28,5.6,5.6,5.6,5.6,0.0
2011-03-01,5.4,5.4,5.4,5.4,3100.0
2011-03-02,5.2,5.2,5.2,5.2,10.0
2011-03-03,5.0,5.0,5.0,5.0,30.0
2011-03-04,4.8,4.8,4.8,4.8,20.0
2011-03-07,4.6,4.6,4.6,4.6,3420.0
2011-03-08,4.4,4.4,4.4,4.4,490.0
2011-03-09,4.2,4.2,4.2,4.2,370.0
2011-03-10,4.0,4.0,4.0,4.0,480.0
2011-03-11,3.8,3.8,3.8,3.8,11600.0
2011-03-14,3.7,3.7,3.7,3.7,100.0
2011-03-15,3.6,3.6,3.6,3.6,20.0
2011-03-16,3.5,3.5,3.5,3.5,1120.0
2011-03-17,3.4,3.4,3.4,3.4,630.0
2011-03-18,3.3,3.3,3.3,3.3,10150.0
2011-03-21,3.2,3.2,3.2,3.2,23600.0
2011-03-22,3.1,3.1,3.1,3.1,44400.0
2011-03-23,3.2,3.2,3.2,3.2,37410.0
2011-03-24,3.3,3.3,3.3,3.3,11360.0
2011-03-25,3.4,3.4,3.4,3.4,15880.0
2011-03-28,3.5,3.5,3.5,3.5,30250.0
2011-03-29,3.5,3.5,3.5,3.5,32020.0
2011-03-30,3.4,3.4,3.4,3.4,13440.0
2011-03-31,3.3,3.3,3.3,3.3,540.0
2011-04-01,3.4,3.4,3.4,3.4,800.0
2011-04-04,3.5,3.5,3.5,3.5,560.0
2011-04-05,3.6,3.6,3.6,3.6,3000.0
2011-04-06,3.5,3.5,3.5,3.5,890.0
2011-04-07,3.4,3.4,3.4,3.4,10.0
2011-04-08,3.3,3.3,3.3,3.3,1000.0
2011-04-13,3.2,3.2,3.2,3.2,500.0
2011-04-14,3.2,3.2,3.2,3.2,4570.0
2011-04-15,3.1,3.1,3.1,3.1,300.0
2011-04-18,3.0,3.0,3.0,3.0,8600.0
2011-04-19,3.1,3.1,3.1,3.1,20.0
2011-04-20,3.1,3.1,3.1,3.1,1900.0
2011-04-21,3.2,3.2,3.2,3.2,10.0
2011-04-22,3.1,3.1,3.1,3.1,2660.0
2011-04-25,3.0,3.0,3.0,3.0,1000.0
2011-04-26,2.9,2.9,2.9,2.9,30.0
2011-04-27,2.8,2.8,2.8,2.8,2570.0
2011-04-28,2.8,2.8,2.8,2.8,800.0
2011-04-29,2.9,2.9,2.9,2.9,310.0
2011-05-04,3.0,3.0,3.0,3.0,1120.0
2011-05-05,3.0,3.0,3.0,3.0,130.0
2011-05-06,3.0,3.0,3.0,3.0,4100.0
2011-05-09,3.0,3.0,3.0,3.0,100.0
2011-05-10,3.0,3.0,3.0,3.0,150.0
2011-05-11,3.0,3.0,3.0,3.0,1000.0
2011-05-12,3.0,3.0,3.0,3.0,1000.0
2011-05-13,3.1,3.1,3.1,3.1,20.0
2011-05-16,3.1,3.1,3.1,3.1,0.0
2011-05-17,3.1,3.1,3.1,3.1,100.0
2011-05-18,3.0,3.0,3.0,3.0,1620.0
2011-05-19,3.0,3.0,3.0,3.0,0.0
2011-05-20,2.9,2.9,2.9,2.9,1030.0
2011-05-23,2.8,2.8,2.8,2.8,30.0
2011-05-24,2.7,2.7,2.7,2.7,540.0
2011-05-25,2.6,2.6,2.6,2.6,500.0
2011-05-26,2.5,2.5,2.5,2.5,500.0
2011-05-27,2.4,2.4,2.4,2.4,2790.0
2011-05-30,2.3,2.3,2.3,2.3,3840.0
2011-05-31,2.2,2.2,2.2,2.2,200.0
2011-06-01,2.3,2.3,2.3,2.3,3250.0
2011-06-02,2.4,2.4,2.4,2.4,220.0
2011-06-03,2.5,2.5,2.5,2.5,10.0
2011-06-06,2.6,2.6,2.6,2.6,80.0
2011-06-07,2.7,2.7,2.7,2.7,10.0
2011-06-08,2.8,2.8,2.8,2.8,10.0
2011-06-09,2.9,2.9,2.9,2.9,160.0
2011-06-10,2.9,2.9,2.9,2.9,5000.0
2011-06-13,3.0,3.0,3.0,3.0,10.0
2011-06-14,3.0,3.0,3.0,3.0,1010.0
2011-06-15,3.1,3.1,3.1,3.1,10.0
2011-06-16,3.2,3.2,3.2,3.2,10.0
2011-06-17,3.2,3.2,3.2,3.2,10.0
2011-06-20,3.2,3.2,3.2,3.2,10.0
2011-06-21,3.3,3.3,3.3,3.3,20.0
2011-06-22,3.2,3.2,3.2,3.2,12090.0
2011-06-23,3.2,3.2,3.2,3.2,0.0
2011-06-24,3.1,3.1,3.1,3.1,100.0
2011-06-27,3.0,3.0,3.0,3.0,30.0
2011-06-28,3.0,3.0,3.0,3.0,0.0
