date,open,high,low,close,klgdkl
2018-04-26,150.0,150.0,140.0,150.0,948210.0
2018-04-27,160.5,160.5,153.5,160.5,2520730.0
2018-05-02,168.0,168.0,166.5,168.0,657340.0
2018-05-03,156.3,167.5,156.3,157.0,261780.0
2018-05-04,147.0,154.0,147.0,149.0,57020.0
2018-05-07,154.8,154.8,140.2,152.0,67180.0
2018-05-08,155.0,155.0,149.0,150.0,59090.0
2018-05-09,150.0,153.5,149.0,152.4,96890.0
2018-05-10,154.0,154.8,152.5,154.8,89910.0
2018-05-11,156.0,156.5,153.1,153.1,23700.0
2018-05-14,153.1,159.5,150.5,150.5,40720.0
2018-05-15,155.0,159.9,151.0,157.0,82190.0
2018-05-16,160.0,160.0,157.0,157.0,113000.0
2018-05-17,160.0,160.0,158.0,159.5,40650.0
2018-05-18,159.5,160.0,158.2,159.5,35230.0
2018-05-21,159.9,159.9,156.0,156.1,58530.0
2018-05-22,160.0,163.0,156.1,156.1,188830.0
2018-05-23,154.5,160.0,154.5,157.0,148490.0
2018-05-24,98.8,98.8,93.0,93.6,186210.0
2018-05-25,93.6,94.1,93.6,93.6,185010.0
2018-05-28,93.6,93.6,90.5,91.3,31840.0
2018-05-29,92.0,92.0,87.0,91.0,48230.0
2018-05-30,91.0,91.0,87.0,87.0,89010.0
2018-05-31,87.0,90.5,87.0,90.4,30530.0
2018-06-01,90.4,90.4,89.5,90.3,37140.0
2018-06-04,90.3,90.3,88.5,89.0,36140.0
2018-06-05,89.0,90.0,89.0,89.1,41780.0
2018-06-06,89.1,89.3,89.0,89.3,14560.0
2018-06-07,90.0,91.0,89.3,90.0,120650.0
2018-06-08,90.0,90.0,89.0,89.9,31310.0
2018-06-11,90.0,90.0,89.8,90.0,43460.0
2018-06-12,90.1,90.1,88.0,89.0,31120.0
2018-06-13,88.5,90.7,88.5,90.0,92830.0
2018-06-14,91.0,91.0,87.0,87.0,18400.0
2018-06-15,89.0,89.0,87.1,87.1,1690.0
2018-06-18,86.8,87.1,82.1,87.1,10520.0
2018-06-19,86.0,86.0,81.1,81.1,59070.0
2018-06-20,75.5,82.5,75.5,82.5,44480.0
2018-06-21,83.5,83.5,79.9,80.0,65370.0
2018-06-22,74.5,81.0,74.5,79.0,20150.0
2018-06-25,78.0,80.8,77.5,79.2,51350.0
2018-06-26,79.9,79.9,75.0,79.0,27380.0
2018-06-27,78.0,81.0,78.0,80.5,88550.0
2018-06-28,80.5,83.0,80.0,80.5,109760.0
2018-06-29,80.5,83.0,79.5,81.0,54370.0
2018-07-02,81.5,81.5,76.0,78.0,10350.0
2018-07-03,80.0,80.0,77.5,78.0,16480.0
2018-07-04,72.6,78.0,72.6,78.0,23410.0
2018-07-05,75.0,77.0,74.0,74.0,680.0
2018-07-06,72.0,72.0,70.0,72.0,7600.0
2018-07-09,67.1,73.0,67.1,69.0,1500.0
2018-07-10,71.0,71.0,70.8,71.0,62420.0
2018-07-11,71.5,73.0,71.0,73.0,44430.0
2018-07-12,73.0,73.8,72.0,73.0,21480.0
2018-07-13,74.0,78.0,73.0,78.0,13610.0
2018-07-16,78.1,78.1,75.0,78.0,940.0
2018-07-17,75.0,75.0,75.0,75.0,750.0
2018-07-18,70.1,77.0,70.1,77.0,7960.0
2018-07-19,77.0,78.8,72.0,72.0,23540.0
2018-07-20,72.5,74.0,72.5,74.0,10370.0
2018-07-23,74.0,75.0,74.0,74.0,14610.0
2018-07-24,72.8,73.5,72.8,73.5,4080.0
2018-07-25,73.5,74.0,73.5,73.5,5600.0
2018-07-26,74.0,74.0,73.0,74.0,9830.0
2018-07-27,70.0,78.0,70.0,73.9,25420.0
2018-07-30,73.9,78.0,73.9,75.0,25240.0
2018-07-31,70.1,75.0,70.1,74.8,15950.0
2018-08-01,73.0,74.8,72.0,73.0,2430.0
2018-08-02,74.0,74.0,72.0,72.0,1420.0
2018-08-03,72.9,72.9,70.8,70.8,5000.0
2018-08-06,70.3,71.0,66.1,71.0,37050.0
2018-08-07,69.0,73.8,68.0,71.0,23730.0
2018-08-08,68.0,72.0,68.0,72.0,7530.0
2018-08-09,71.6,72.0,71.6,72.0,15530.0
2018-08-10,71.0,72.0,71.0,72.0,860.0
2018-08-13,72.0,72.4,72.0,72.1,8960.0
2018-08-14,72.0,72.2,72.0,72.1,4290.0
2018-08-15,76.9,76.9,73.0,74.0,18660.0
2018-08-16,75.0,76.0,73.1,74.0,6470.0
2018-08-17,70.2,74.0,70.2,74.0,9180.0
2018-08-20,71.2,73.6,71.2,73.6,260.0
2018-08-21,73.6,76.0,71.0,76.0,28170.0
2018-08-22,74.0,77.0,72.0,77.0,17480.0
2018-08-23,77.0,77.0,73.0,77.0,27060.0
2018-08-24,74.0,76.5,74.0,74.0,4430.0
2018-08-27,75.0,75.0,74.6,74.7,21140.0
2018-08-28,74.7,75.0,74.0,75.0,24020.0
2018-08-29,80.0,80.0,74.7,75.9,23490.0
2018-08-30,75.9,76.0,74.0,76.0,47390.0
2018-08-31,76.0,76.4,74.5,76.4,8680.0
2018-09-04,76.0,76.4,75.0,76.4,5360.0
2018-09-05,76.4,76.4,75.1,76.4,9090.0
2018-09-06,76.0,76.0,75.0,76.0,21550.0
2018-09-07,76.0,76.0,74.5,75.9,15540.0
2018-09-10,75.0,75.0,73.0,74.0,4200.0
2018-09-11,74.0,75.0,74.0,75.0,27520.0
2018-09-12,73.1,74.0,73.1,74.0,320.0
2018-09-13,75.0,75.5,74.5,75.0,19000.0
2018-09-14,75.5,75.5,75.0,75.0,5580.0
2018-09-17,75.0,75.0,75.0,75.0,10.0
2018-09-18,75.0,75.0,73.1,74.6,14040.0
2018-09-19,72.1,75.5,72.1,74.5,9430.0
2018-09-20,74.4,75.0,74.4,74.6,4770.0
2018-09-21,74.9,75.4,74.6,75.0,22400.0
2018-09-24,75.0,75.1,75.0,75.0,13710.0
2018-09-25,75.9,76.1,74.9,75.9,5320.0
2018-09-26,75.9,75.9,75.0,75.0,430.0
2018-09-27,75.9,75.9,74.5,74.5,1740.0
2018-09-28,75.0,76.3,75.0,76.1,39560.0
2018-10-01,77.9,77.9,75.0,76.0,7800.0
2018-10-02,76.0,76.0,74.5,75.9,5920.0
2018-10-03,75.0,75.5,74.5,75.5,32660.0
2018-10-04,75.0,77.9,75.0,76.0,19150.0
2018-10-05,76.0,76.0,74.0,74.0,7160.0
2018-10-08,76.2,76.2,74.1,74.1,630.0
2018-10-09,74.0,75.0,74.0,75.0,6540.0
2018-10-10,75.8,75.8,70.7,75.6,9980.0
2018-10-11,73.0,75.9,71.1,73.0,11320.0
2018-10-12,71.0,74.0,71.0,74.0,2920.0
2018-10-15,72.0,72.2,71.7,71.7,2940.0
2018-10-16,71.8,73.7,71.5,73.5,16370.0
