date,open,high,low,close,klgdkl
2017-02-06,18.0,18.0,15.9,16.0,302200.0
2017-02-07,14.9,16.0,14.9,14.9,114640.0
2017-02-08,13.9,14.8,13.9,14.7,230300.0
2017-02-09,15.7,15.7,13.7,14.7,216170.0
2017-02-10,14.7,14.7,13.7,14.5,217430.0
2017-02-13,14.7,14.7,13.5,14.5,222420.0
2017-02-14,14.5,14.6,13.5,14.5,210900.0
2017-02-15,14.5,14.5,13.5,14.4,175410.0
2017-02-16,14.4,14.4,13.85,14.4,237260.0
2017-02-17,14.4,14.6,13.5,14.3,191570.0
2017-02-20,14.3,14.3,13.5,14.1,234150.0
2017-02-21,14.2,14.5,13.6,14.5,223290.0
2017-02-22,14.6,15.0,13.7,14.4,210330.0
2017-02-23,14.4,14.4,13.55,14.3,226500.0
2017-02-24,14.3,14.5,13.5,14.5,225810.0
2017-02-27,14.5,14.6,14.1,14.5,224710.0
2017-02-28,14.5,14.5,13.6,14.5,236760.0
2017-03-01,14.5,14.5,13.6,14.2,218170.0
2017-03-02,14.3,14.3,13.5,14.1,182480.0
2017-03-03,14.1,14.1,13.5,13.7,336670.0
2017-03-06,13.7,13.95,13.2,13.9,200610.0
2017-03-07,13.9,13.9,13.55,13.8,205230.0
2017-03-08,13.9,13.9,13.4,13.8,312760.0
2017-03-09,14.0,14.0,13.5,13.8,206720.0
2017-03-10,13.8,13.8,13.4,13.8,203960.0
2017-03-13,13.8,13.8,13.5,13.8,248820.0
2017-03-14,13.8,13.8,13.4,13.8,200970.0
2017-03-15,13.8,13.8,13.4,13.7,147930.0
2017-03-16,13.8,13.8,13.4,13.7,227620.0
2017-03-17,13.7,13.7,13.4,13.6,157740.0
2017-03-20,13.7,14.55,13.4,13.8,225390.0
2017-03-21,13.5,13.8,13.4,13.8,281740.0
2017-03-22,13.8,13.8,13.4,13.7,173890.0
2017-03-23,13.6,13.8,13.1,13.3,183110.0
2017-03-24,13.6,13.6,13.2,13.4,154820.0
2017-03-27,13.5,13.5,13.0,13.3,212220.0
2017-03-28,13.35,13.4,13.1,13.4,181870.0
2017-03-29,13.4,13.4,12.9,13.0,179640.0
2017-03-30,13.0,13.1,12.9,13.0,151770.0
2017-03-31,12.95,12.95,12.15,12.3,349140.0
2017-04-03,12.4,13.0,12.4,12.8,331710.0
2017-04-04,12.8,13.2,12.65,12.9,205010.0
2017-04-05,13.0,13.5,12.6,12.7,187740.0
2017-04-07,12.95,12.95,12.45,12.6,181500.0
2017-04-10,12.5,13.05,12.0,12.0,159760.0
2017-04-11,12.1,12.7,12.1,12.2,139420.0
2017-04-12,12.9,12.9,12.15,12.3,200730.0
2017-04-13,12.5,12.6,12.15,12.2,159000.0
2017-04-14,12.6,12.8,12.2,12.8,196630.0
2017-04-17,12.5,13.5,12.5,13.2,217910.0
