date,open,high,low,close,klgdkl
2016-12-22,10.1,10.1,10.1,10.1,1000.0
2016-12-23,10.1,10.1,10.1,10.1,100.0
2016-12-26,10.1,10.1,10.1,10.1,0.0
2016-12-27,10.1,10.1,10.1,10.1,0.0
2016-12-28,10.1,10.1,10.1,10.1,0.0
2016-12-29,10.1,10.1,10.1,10.1,0.0
2016-12-30,10.1,10.1,10.1,10.1,0.0
2017-01-03,10.1,10.1,10.1,10.1,0.0
2017-01-04,10.1,10.1,10.1,10.1,0.0
2017-01-05,10.1,10.1,10.1,10.1,0.0
2017-01-06,10.1,10.1,10.1,10.1,0.0
2017-01-09,10.1,10.1,10.1,10.1,0.0
2017-01-10,10.1,10.1,10.1,10.1,0.0
2017-01-11,10.7,10.7,10.7,10.7,10.0
2017-01-12,10.7,10.7,10.7,10.7,10.0
2017-01-13,10.7,10.7,10.7,10.7,0.0
2017-01-16,10.7,10.7,10.7,10.7,0.0
2017-01-17,10.7,10.7,10.7,10.7,0.0
2017-01-18,10.7,10.7,10.7,10.7,0.0
2017-01-19,10.7,10.7,10.7,10.7,0.0
2017-01-20,10.7,10.7,10.7,10.7,0.0
2017-01-23,10.7,10.7,10.7,10.7,0.0
2017-01-24,10.7,10.7,10.7,10.7,0.0
2017-01-25,10.7,10.7,10.7,10.7,0.0
2017-02-02,10.7,10.7,10.7,10.7,0.0
2017-02-03,10.7,10.7,10.7,10.7,0.0
2017-02-06,10.7,10.7,10.7,10.7,0.0
2017-02-07,10.7,10.7,10.7,10.7,0.0
2017-02-08,10.7,10.7,10.7,10.7,0.0
2017-02-09,10.7,10.7,10.7,10.7,0.0
2017-02-10,11.4,11.4,9.96,10.7,220.0
2017-02-13,10.7,10.7,10.7,10.7,0.0
2017-02-14,10.7,10.7,10.7,10.7,0.0
2017-02-15,10.7,10.7,10.7,10.7,0.0
2017-02-16,9.96,10.7,9.96,10.7,90.0
2017-02-17,10.7,10.7,10.7,10.7,0.0
2017-02-20,10.7,10.7,10.7,10.7,0.0
2017-02-21,10.9,10.9,10.9,10.9,50.0
2017-02-22,10.9,10.9,10.9,10.9,0.0
2017-02-23,10.9,10.9,10.9,10.9,0.0
2017-02-24,10.9,10.9,10.9,10.9,0.0
2017-02-27,10.9,10.8,10.15,10.8,20.0
2017-02-28,10.8,10.8,10.8,10.8,0.0
2017-03-01,10.8,10.8,10.8,10.8,0.0
2017-03-02,11.55,11.55,11.55,11.55,1760.0
2017-03-03,12.35,12.35,12.35,12.35,310.0
2017-03-06,13.2,13.2,13.1,13.1,1980.0
2017-03-07,13.2,13.2,13.0,13.1,7110.0
2017-03-08,13.1,13.1,13.1,13.1,0.0
2017-03-09,13.1,13.1,13.1,13.1,0.0
2017-03-10,13.1,14.0,12.2,13.75,15960.0
2017-03-13,13.75,13.75,13.75,13.75,0.0
2017-03-14,13.8,13.8,13.8,13.8,30.0
2017-03-15,13.95,13.95,12.85,13.5,1140.0
2017-03-16,12.6,12.6,12.6,12.6,100.0
2017-03-17,12.6,12.6,12.6,12.6,0.0
2017-03-20,11.75,11.75,11.75,11.75,100.0
2017-03-21,10.95,12.5,10.95,12.5,4660.0
2017-03-22,12.7,13.0,12.5,12.5,3720.0
2017-03-23,12.5,12.5,12.5,12.5,0.0
2017-03-24,12.5,12.5,12.5,12.5,0.0
2017-03-27,12.5,12.5,12.5,12.5,0.0
2017-03-28,12.5,12.5,12.5,12.5,0.0
2017-03-29,12.5,12.5,12.5,12.5,0.0
2017-03-30,12.5,12.5,12.5,12.5,0.0
2017-03-31,12.5,12.5,12.5,12.5,0.0
2017-04-03,12.5,12.5,12.5,12.5,0.0
2017-04-04,12.5,12.5,12.5,12.5,0.0
2017-04-05,12.5,12.5,12.5,12.5,0.0
2017-04-07,11.65,11.65,11.65,11.65,100.0
2017-04-10,10.85,10.85,10.85,10.85,300.0
2017-04-11,10.1,10.1,10.1,10.1,1130.0
2017-04-12,9.4,10.1,9.4,10.1,1470.0
2017-04-13,9.4,10.1,9.4,10.1,1010.0
2017-04-14,10.1,10.1,10.1,10.1,0.0
2017-04-17,10.5,10.5,10.5,10.5,10.0
2017-04-18,10.5,10.5,10.5,10.5,0.0
2017-04-19,10.5,10.5,10.5,10.5,0.0
2017-04-20,10.5,10.5,10.5,10.5,0.0
2017-04-21,10.5,10.5,10.5,10.5,0.0
2017-04-24,10.5,10.5,10.5,10.5,0.0
2017-04-25,10.5,10.5,10.5,10.5,10.0
2017-04-26,10.5,10.5,10.5,10.5,0.0
2017-04-27,10.5,10.5,10.5,10.5,0.0
2017-04-28,10.5,10.5,10.5,10.5,0.0
2017-05-03,10.5,10.5,10.5,10.5,0.0
2017-05-04,10.5,10.5,10.5,10.5,0.0
2017-05-05,10.5,10.5,10.5,10.5,0.0
2017-05-08,10.6,10.6,10.6,10.6,10.0
2017-05-09,10.6,10.6,10.6,10.6,0.0
2017-05-10,10.6,10.6,10.6,10.6,0.0
2017-05-11,11.2,11.2,11.2,11.2,10.0
2017-05-12,11.7,11.7,11.7,11.7,20.0
2017-05-15,11.7,11.7,11.7,11.7,0.0
2017-05-16,11.7,11.7,11.7,11.7,0.0
2017-05-17,11.7,11.7,11.7,11.7,0.0
2017-05-18,11.7,11.7,11.7,11.7,0.0
2017-05-19,11.7,11.7,11.7,11.7,0.0
2017-05-22,11.0,11.0,10.9,10.9,740.0
2017-05-23,10.15,10.7,10.15,10.7,30.0
2017-05-24,10.7,10.7,10.7,10.7,350.0
2017-05-25,10.7,10.7,10.7,10.7,0.0
2017-05-26,10.7,10.7,10.7,10.7,20.0
2017-05-29,10.9,11.1,10.9,11.1,50.0
2017-05-30,11.1,11.1,11.1,11.1,0.0
2017-05-31,11.1,11.1,11.1,11.1,0.0
2017-06-01,11.1,11.1,11.1,11.1,0.0
2017-06-02,11.0,11.2,10.4,10.4,9270.0
2017-06-05,10.4,10.4,10.4,10.4,350.0
2017-06-06,11.0,11.0,11.0,11.0,20.0
2017-06-07,11.0,11.0,11.0,11.0,0.0
2017-06-08,10.25,10.25,10.25,10.25,3000.0
2017-06-09,9.6,9.6,9.54,9.54,7470.0
2017-06-12,9.54,9.54,9.54,9.54,0.0
2017-06-13,9.0,10.2,9.0,10.2,90.0
2017-06-14,10.2,10.2,10.2,10.2,0.0
2017-06-15,10.7,10.7,10.7,10.7,10.0
2017-06-16,10.7,10.7,10.7,10.7,0.0
2017-06-19,10.7,10.7,10.7,10.7,0.0
2017-06-20,10.7,10.7,10.7,10.7,0.0
2017-06-21,10.7,10.7,10.7,10.7,0.0
2017-06-22,10.6,10.6,10.6,10.6,260.0
2017-06-23,11.3,11.3,11.3,11.3,10.0
2017-06-26,11.3,11.3,11.3,11.3,0.0
2017-06-27,11.3,11.3,11.3,11.3,0.0
2017-06-28,11.3,11.3,11.3,11.3,0.0
2017-06-29,11.3,11.3,11.3,11.3,0.0
2017-06-30,11.3,11.3,11.3,11.3,0.0
2017-07-03,11.3,11.3,11.3,11.3,0.0
2017-07-04,11.1,12.0,11.1,12.0,20.0
2017-07-05,12.0,12.0,12.0,12.0,0.0
2017-07-06,12.0,12.0,12.0,12.0,3020.0
2017-07-07,12.0,12.0,12.0,12.0,0.0
2017-07-10,12.0,12.0,12.0,12.0,0.0
2017-07-11,12.0,12.0,12.0,12.0,0.0
2017-07-12,12.0,12.0,12.0,12.0,3050.0
2017-07-13,12.0,12.0,12.0,12.0,0.0
2017-07-14,12.0,12.0,12.0,12.0,0.0
2017-07-17,12.0,12.0,12.0,12.0,0.0
2017-07-18,12.8,12.8,12.8,12.8,10.0
2017-07-19,13.6,13.6,13.6,13.6,10.0
2017-07-20,14.2,14.5,14.2,14.5,20.0
2017-07-21,14.5,14.5,14.5,14.5,0.0
2017-07-24,13.5,13.5,13.5,13.5,20.0
2017-07-25,14.0,14.0,14.0,14.0,10.0
2017-07-26,14.0,14.0,14.0,14.0,0.0
2017-07-27,14.0,14.0,14.0,14.0,0.0
2017-07-28,14.0,14.0,14.0,14.0,0.0
2017-07-31,13.05,13.05,13.05,13.05,200.0
2017-08-01,12.15,12.15,12.15,12.15,410.0
2017-08-02,11.3,12.3,11.3,12.3,20.0
2017-08-03,12.95,12.95,12.95,12.95,10.0
2017-08-04,12.05,12.5,12.05,12.5,70.0
2017-08-07,12.5,12.5,12.5,12.5,0.0
2017-08-08,12.2,12.5,11.7,11.7,1010.0
2017-08-09,12.0,12.0,11.2,11.2,540.0
