date,open,high,low,close,klgdkl
2017-12-15,12.0,12.1,12.0,12.0,285380.0
2018-01-02,12.86,13.0,12.86,13.0,123990.0
2018-01-12,13.78,13.9,13.76,13.88,105440.0
2018-01-15,13.8,13.94,13.8,13.94,212460.0
2018-02-05,14.4,14.4,14.3,14.3,132440.0
2018-02-07,14.29,14.3,13.5,13.65,216360.0
2018-05-28,12.85,12.9,12.78,12.78,38930.0
2018-09-06,13.1,13.1,12.9,12.9,108480.0
2018-09-07,13.0,13.1,12.8,12.8,62670.0
2018-09-10,13.0,13.1,12.8,12.8,62670.0
2018-09-11,13.0,13.3,12.9,13.3,75020.0
2018-09-12,13.3,13.4,13.3,13.3,120000.0
2018-09-13,13.3,13.4,13.3,13.4,31050.0
2018-09-14,13.4,13.5,13.4,13.4,51370.0
2018-09-17,13.4,13.4,13.3,13.3,40010.0
2018-09-18,13.2,13.4,13.2,13.4,20010.0
2018-09-19,13.4,13.6,13.4,13.5,30120.0
2018-09-20,13.5,13.6,13.3,13.6,37510.0
2018-10-01,13.9,13.95,13.9,13.95,44000.0
2018-10-02,13.95,13.95,13.75,13.75,60650.0
2018-10-03,13.75,13.75,13.7,13.7,54740.0
2018-10-08,13.7,13.7,13.6,13.6,58000.0
2018-10-09,13.6,13.6,13.5,13.6,33460.0
2018-10-15,13.1,13.1,13.0,13.0,52700.0
2018-10-19,13.0,13.0,12.6,12.8,80220.0
2018-10-23,12.8,12.8,12.5,12.8,52800.0
2019-01-22,12.19,12.19,12.19,12.19,30020.0
2019-01-23,12.19,12.19,12.15,12.19,106440.0
2019-01-24,12.19,12.2,12.19,12.2,63410.0
2019-01-25,12.2,12.25,12.2,12.25,27110.0
2019-01-28,12.25,12.4,12.25,12.25,58010.0
2019-01-29,12.25,12.3,12.1,12.2,87270.0
2019-01-30,12.25,12.3,12.25,12.25,20830.0
2019-01-31,12.28,12.3,12.22,12.28,61860.0
2019-02-01,12.28,12.3,12.25,12.25,74510.0
2019-02-11,12.28,12.4,12.28,12.4,40490.0
2019-02-12,12.4,12.6,12.4,12.6,35000.0
2019-02-13,12.6,12.7,12.6,12.7,47000.0
2019-02-14,12.7,12.8,12.7,12.75,93030.0
2019-02-15,12.8,12.85,12.51,12.85,158610.0
2019-02-18,12.85,13.0,12.85,13.0,68540.0
2019-02-19,12.9,13.2,12.9,13.2,81300.0
2019-02-20,13.2,13.2,13.1,13.1,63150.0
2019-02-21,13.1,13.2,13.0,13.2,55080.0
2019-02-22,13.2,13.4,13.1,13.4,127140.0
2019-02-25,13.4,13.5,13.4,13.45,76230.0
2019-02-26,13.45,13.46,13.35,13.35,94410.0
2019-02-27,13.35,13.5,13.35,13.35,89080.0
2019-02-28,13.35,13.4,13.1,13.1,83840.0
2019-03-01,13.1,13.2,13.1,13.1,88550.0
2019-03-04,13.1,13.3,13.1,13.3,101450.0
2019-03-05,13.3,13.5,13.3,13.35,68450.0
2019-03-06,13.35,13.4,13.35,13.4,50070.0
2019-03-07,13.4,13.6,13.39,13.4,87800.0
2019-03-08,13.4,13.4,13.0,13.25,121550.0
2019-03-11,13.25,13.25,13.2,13.25,56070.0
2019-03-12,13.25,13.45,13.25,13.45,49160.0
2019-03-13,13.45,13.6,13.45,13.5,117740.0
2019-03-14,13.5,13.5,13.4,13.5,75050.0
2019-03-15,13.5,13.51,13.01,13.41,104410.0
2019-03-18,13.41,13.5,13.4,13.5,101670.0
2019-03-19,13.5,13.5,13.45,13.45,51040.0
2019-03-20,13.45,13.45,13.38,13.4,22290.0
2019-03-21,13.34,13.36,13.34,13.34,18870.0
2019-03-22,13.06,13.15,13.06,13.15,40600.0
2019-03-25,13.15,13.15,12.9,12.9,58820.0
2019-03-26,12.9,12.9,12.85,12.9,21530.0
2019-03-27,12.9,13.0,12.85,13.0,57340.0
2019-03-28,13.0,13.1,12.9,13.1,41010.0
2019-03-29,13.1,13.2,13.0,13.2,17130.0
2019-04-01,13.2,13.2,13.2,13.2,45310.0
2019-04-02,13.1,13.15,13.1,13.13,47340.0
2019-04-03,13.13,13.13,12.9,13.0,52280.0
2019-04-04,13.0,13.1,12.9,13.1,55730.0
2019-04-05,13.1,13.2,13.1,13.2,82000.0
2019-04-08,13.2,13.3,13.2,13.3,51870.0
2019-04-09,13.3,13.3,13.0,13.0,77310.0
2019-04-10,13.0,13.0,12.7,12.9,83010.0
2019-04-11,12.9,13.0,12.8,13.0,54000.0
2019-04-12,13.0,13.2,12.95,13.2,82500.0
2019-04-16,13.2,13.2,12.7,12.8,112910.0
2019-04-17,12.8,13.1,12.6,12.8,85190.0
2019-04-18,12.51,12.8,12.51,12.8,10040.0
2019-04-19,12.5,12.8,12.5,12.7,220.0
2019-04-22,12.8,12.8,12.5,12.7,8770.0
2019-04-23,12.79,12.79,12.79,12.79,50.0
2019-04-24,12.7,12.9,12.7,12.9,18050.0
2019-04-25,12.9,13.0,12.9,13.0,410.0
2019-04-26,13.0,13.1,13.0,13.1,56190.0
2019-05-02,13.1,13.1,12.9,12.9,56440.0
2019-05-03,12.9,12.9,12.8,12.81,36240.0
2019-05-06,12.81,12.81,12.6,12.7,60350.0
2019-05-07,12.7,12.7,12.6,12.7,60020.0
2019-05-08,12.7,12.7,12.4,12.7,107790.0
2019-05-09,12.7,12.7,12.6,12.6,30600.0
2019-05-10,12.7,12.8,12.7,12.8,40000.0
2019-05-13,12.8,12.8,12.8,12.8,43420.0
2019-05-14,12.7,12.8,12.7,12.8,60690.0
2019-05-15,12.8,12.9,12.7,12.9,81620.0
2019-05-16,12.9,13.0,12.8,13.0,73080.0
2019-05-17,13.0,13.1,12.9,13.1,40410.0
2019-05-20,13.1,13.15,13.0,13.15,106290.0
2019-05-21,13.15,13.2,13.05,13.15,84650.0
2019-05-22,13.1,13.15,13.1,13.1,105760.0
2019-05-23,13.1,13.1,12.91,13.1,110430.0
2019-05-24,13.1,13.15,13.0,13.0,131650.0
2019-05-27,13.0,13.0,12.95,12.95,45550.0
2019-05-28,13.0,13.0,12.9,12.9,90580.0
2019-05-29,12.9,12.9,12.72,12.72,68460.0
2019-05-30,12.72,12.8,12.72,12.8,80010.0
2019-05-31,12.8,12.83,12.8,12.83,30350.0
2019-06-03,12.83,12.83,12.71,12.71,34320.0
2019-06-04,12.71,12.71,12.6,12.6,65020.0
2019-06-05,12.6,12.7,12.6,12.61,64630.0
2019-06-06,12.61,12.61,12.4,12.4,77570.0
2019-06-07,12.5,12.58,12.5,12.58,63230.0
2019-06-10,12.58,12.7,12.58,12.7,131340.0
2019-06-11,12.7,12.7,12.6,12.7,57400.0
2019-06-12,12.7,12.9,12.65,12.9,70070.0
2019-06-13,12.8,12.9,12.6,12.6,110400.0
2019-06-14,12.6,12.6,12.5,12.5,100420.0
2019-06-17,12.5,12.5,12.2,12.3,96160.0
2019-06-18,12.3,12.3,12.29,12.3,78060.0
2019-06-19,12.5,12.5,12.3,12.5,77750.0
2019-06-20,12.5,12.6,12.5,12.5,115080.0
2019-06-21,12.5,12.6,12.5,12.6,33020.0
2019-06-24,12.6,12.7,12.6,12.7,80400.0
2019-06-25,12.7,12.8,12.7,12.8,44310.0
2019-06-26,12.8,12.8,12.7,12.8,86040.0
2019-06-27,12.4,12.8,12.4,12.4,100430.0
2019-06-28,12.6,12.6,12.3,12.6,127670.0
2019-07-01,12.65,12.65,12.5,12.65,140300.0
2019-07-02,12.68,12.68,12.64,12.68,107440.0
2019-07-03,12.69,12.69,12.6,12.6,110150.0
2019-07-04,12.6,12.68,12.6,12.68,125220.0
2019-07-05,12.68,12.7,12.61,12.7,106020.0
2019-07-08,12.75,12.75,12.7,12.7,110220.0
2019-07-09,12.65,12.7,12.65,12.7,100160.0
2019-07-10,12.7,12.8,12.7,12.7,80260.0
2019-07-11,12.7,12.75,12.7,12.75,110080.0
2019-07-12,12.75,12.8,12.75,12.76,109010.0
2019-07-15,12.75,12.75,12.65,12.65,88020.0
2019-07-16,12.65,12.8,12.6,12.8,141800.0
2019-07-17,12.8,12.8,12.75,12.8,151080.0
2019-07-18,12.8,12.8,12.78,12.78,74530.0
2019-07-19,12.78,12.81,12.78,12.81,180810.0
2019-07-22,12.81,12.82,12.79,12.79,115670.0
2019-07-23,12.79,13.0,12.78,13.0,215850.0
2019-07-24,13.0,13.0,12.95,13.0,140860.0
2019-07-25,12.95,13.1,12.95,13.1,143000.0
2019-07-26,13.1,13.2,13.05,13.05,175770.0
2019-07-29,13.05,13.05,12.9,12.95,50680.0
2019-07-30,12.95,12.95,12.85,12.85,86010.0
2019-07-31,12.78,12.78,12.74,12.78,102450.0
2019-08-01,12.83,12.9,12.8,12.9,112500.0
2019-08-02,12.9,12.9,12.9,12.9,58200.0
2019-08-05,12.9,12.9,12.7,12.7,156410.0
2019-08-06,12.7,12.7,12.55,12.55,180020.0
2019-08-07,12.7,12.58,12.55,12.58,31800.0
2019-08-08,12.58,12.62,12.55,12.62,110910.0
2019-08-09,12.62,12.7,12.62,12.7,95370.0
2019-08-12,12.71,12.76,12.71,12.76,114680.0
2019-08-13,12.76,12.77,12.72,12.72,133520.0
2019-08-14,12.72,12.75,12.72,12.75,105000.0
2019-08-15,12.73,12.73,12.72,12.72,40000.0
2019-08-16,12.75,12.88,12.75,12.88,106210.0
2019-08-19,12.88,12.89,12.86,12.88,135050.0
2019-08-20,12.88,12.93,12.88,12.93,155250.0
2019-08-21,12.93,12.95,12.93,12.95,40430.0
2019-08-22,13.0,13.0,13.0,13.0,98250.0
2019-08-23,13.02,13.02,12.98,13.0,133000.0
2019-08-26,13.0,13.0,12.88,12.9,107220.0
2019-08-27,12.9,13.1,12.9,13.1,135300.0
2019-08-28,13.0,13.1,12.9,12.9,100200.0
2019-08-29,12.9,12.9,12.85,12.86,84060.0
2019-08-30,12.86,12.95,12.86,12.95,115000.0
2019-09-03,12.95,12.95,12.9,12.9,118760.0
2019-09-04,12.95,12.9,12.87,12.87,58700.0
2019-09-05,12.86,12.87,12.86,12.86,100500.0
2019-09-06,12.86,12.86,12.86,12.86,120920.0
2019-09-09,12.86,12.85,12.8,12.8,108350.0
2019-09-10,12.8,12.82,12.8,12.82,105000.0
2019-09-11,12.82,12.85,12.82,12.83,87190.0
2019-09-12,12.85,12.87,12.85,12.87,106400.0
2019-09-13,12.92,12.98,12.92,12.98,116500.0
2019-09-16,12.92,13.1,12.98,13.0,154230.0
2019-09-17,13.0,13.1,13.0,13.1,120320.0
2019-09-18,13.1,13.2,13.1,13.15,120100.0
2019-09-19,13.2,13.2,13.2,13.2,60810.0
2019-09-20,13.2,13.25,13.2,13.25,62580.0
2019-09-23,13.21,13.23,13.21,13.23,113400.0
2019-09-24,13.18,13.18,13.18,13.18,100000.0
2019-09-25,13.18,13.18,13.17,13.17,100000.0
2019-09-26,13.17,13.19,13.16,13.19,86390.0
2019-09-27,13.2,13.35,13.2,13.35,161010.0
2019-09-30,13.35,13.36,13.35,13.36,66160.0
2019-10-01,13.34,13.36,13.34,13.36,75000.0
2019-10-02,13.37,13.37,13.36,13.36,153730.0
2019-10-03,13.25,13.25,13.22,13.25,64630.0
2019-10-04,13.3,13.3,13.28,13.28,115000.0
2019-10-07,13.25,13.25,13.24,13.24,82920.0
2019-10-08,13.25,13.25,13.24,13.25,114260.0
2019-10-09,13.25,13.25,13.23,13.23,51500.0
2019-10-10,13.23,13.23,13.2,13.2,102870.0
2019-10-11,13.23,13.23,13.2,13.2,105750.0
2019-10-14,13.2,13.22,13.2,13.22,72000.0
2019-10-15,13.25,13.25,13.22,13.22,73800.0
2019-10-16,13.25,13.28,13.25,13.28,115000.0
2019-10-17,13.28,13.29,13.27,13.28,121550.0
2019-10-18,13.23,13.28,13.23,13.28,100100.0
2019-10-21,13.28,13.28,13.2,13.2,138780.0
2019-10-22,13.2,13.2,13.17,13.2,110110.0
2019-10-23,13.2,13.2,13.18,13.18,112010.0
2019-10-24,13.18,13.3,13.18,13.3,143410.0
2019-10-25,13.3,13.3,13.28,13.3,78280.0
2019-10-28,13.3,13.33,13.3,13.33,157140.0
2019-10-29,13.3,13.36,13.3,13.31,185340.0
2019-10-30,13.31,13.35,13.3,13.32,118600.0
