date,open,high,low,close,klgdkl
2017-03-21,20.0,20.0,15.1,15.1,5900.0
2017-03-22,16.0,16.0,16.0,16.0,2200.0
2017-03-23,16.0,16.0,16.0,16.0,0.0
2017-03-24,16.0,16.0,16.0,16.0,0.0
2017-03-27,16.0,16.0,16.0,16.0,0.0
2017-03-28,15.0,15.0,15.0,15.0,2000.0
2017-03-29,15.0,17.0,15.0,17.0,1300.0
2017-03-30,16.5,16.5,16.5,16.5,0.0
2017-03-31,15.5,17.5,15.1,17.5,9700.0
2017-04-03,15.5,15.5,15.5,15.5,1000.0
2017-04-04,15.5,15.5,15.5,15.5,0.0
2017-04-05,15.4,15.4,15.1,15.2,3200.0
2017-04-07,15.1,15.1,15.1,15.1,0.0
2017-04-10,15.5,15.5,15.5,15.5,900.0
2017-04-11,15.5,15.5,15.5,15.5,0.0
2017-04-12,15.5,15.5,15.5,15.5,0.0
2017-04-13,15.5,15.5,15.5,15.5,0.0
2017-04-14,15.5,15.5,15.5,15.5,600.0
2017-04-17,15.5,15.5,15.5,15.5,600.0
2017-04-18,15.0,15.2,15.0,15.2,3100.0
2017-04-19,15.0,15.1,15.0,15.1,1100.0
2017-04-20,15.1,15.1,15.1,15.1,0.0
2017-04-21,15.1,15.1,15.1,15.1,0.0
2017-04-24,15.1,15.1,15.1,15.1,0.0
2017-04-25,15.1,15.1,15.1,15.1,1200.0
2017-04-26,13.3,13.3,13.0,13.0,1100.0
2017-04-27,13.3,13.3,13.3,13.3,0.0
2017-04-28,13.3,13.3,13.3,13.3,0.0
2017-05-03,14.9,15.0,14.9,15.0,5600.0
2017-05-04,15.0,15.0,15.0,15.0,0.0
2017-05-05,15.0,15.2,15.0,15.2,4000.0
2017-05-08,15.5,15.5,15.5,15.5,1100.0
2017-05-09,15.5,15.5,15.5,15.5,0.0
2017-05-10,14.8,14.8,14.0,14.0,22400.0
2017-05-11,14.2,14.2,14.2,14.2,100.0
2017-05-12,14.2,14.2,14.2,14.2,0.0
2017-05-15,14.2,14.2,14.2,14.2,0.0
2017-05-16,14.1,14.1,14.1,14.1,1200.0
2017-05-17,14.0,14.3,14.0,14.3,9400.0
2017-05-18,14.1,14.1,14.1,14.1,0.0
2017-05-19,14.1,14.1,14.1,14.1,0.0
2017-05-22,14.2,14.2,14.2,14.2,400.0
2017-05-23,14.0,14.0,14.0,14.0,200.0
2017-05-24,14.0,14.1,14.0,14.1,600.0
2017-05-25,14.5,14.8,14.0,14.8,1600.0
2017-05-26,14.3,14.3,14.3,14.3,1000.0
2017-05-29,14.4,14.5,14.4,14.5,2400.0
2017-05-30,14.5,14.5,14.5,14.5,4000.0
2017-05-31,14.6,14.6,14.6,14.6,1300.0
2017-06-01,14.9,15.5,14.9,15.5,3000.0
2017-06-02,15.2,16.0,15.2,16.0,2300.0
2017-06-05,16.4,16.4,16.4,16.4,100.0
2017-06-06,16.6,17.0,16.6,16.6,300.0
2017-06-07,14.0,14.0,14.0,14.0,3000.0
2017-06-08,14.0,14.5,14.0,14.2,8100.0
2017-06-09,14.4,14.5,14.3,14.3,12500.0
2017-06-12,12.3,14.0,12.3,14.0,200.0
2017-06-13,13.5,13.5,13.5,13.5,300.0
2017-06-14,13.5,13.6,12.5,12.5,4500.0
2017-06-16,13.0,13.0,13.0,13.0,2000.0
2017-06-19,13.0,13.0,13.0,13.0,3500.0
2017-06-20,13.0,13.0,13.0,13.0,3000.0
2017-06-21,13.5,13.5,13.3,13.3,6100.0
2017-06-22,13.5,13.6,13.4,13.5,55500.0
2017-06-23,13.5,13.5,13.5,13.5,3000.0
2017-06-26,13.5,14.0,13.5,14.0,23000.0
2017-06-27,14.0,14.0,13.8,14.0,23500.0
2017-06-28,14.0,14.0,14.0,14.0,15000.0
2017-06-29,14.4,14.4,13.9,14.0,8500.0
2017-06-30,14.0,14.4,14.0,14.3,27610.0
2017-07-03,14.4,14.8,14.3,14.3,68400.0
2017-07-04,14.6,15.0,14.6,14.8,83200.0
2017-07-05,15.0,15.5,14.9,15.5,80900.0
2017-07-06,15.5,15.5,15.2,15.2,17200.0
2017-07-07,15.5,15.5,14.8,15.2,7000.0
2017-07-10,15.2,15.2,14.8,14.8,16600.0
2017-07-11,14.9,14.9,14.9,14.9,500.0
2017-07-12,14.9,14.9,14.8,14.9,1800.0
2017-07-13,14.8,14.9,14.8,14.9,1100.0
2017-07-14,14.9,14.9,14.0,14.8,6400.0
2017-07-17,14.1,14.1,14.0,14.0,2910.0
2017-07-18,14.0,14.4,14.0,14.4,1800.0
2017-07-19,14.7,14.7,14.5,14.5,2800.0
2017-07-20,14.0,14.4,14.0,14.4,4100.0
2017-07-21,14.4,14.4,14.4,14.4,1700.0
2017-07-24,14.5,14.5,13.8,14.4,5800.0
2017-07-25,14.4,14.4,14.0,14.0,5100.0
2017-07-26,14.0,14.4,13.9,14.2,12800.0
2017-07-27,14.4,14.4,14.1,14.1,2800.0
2017-07-28,14.4,14.5,14.3,14.3,37000.0
2017-07-31,14.5,14.5,14.4,14.5,12600.0
2017-08-01,14.4,14.4,14.3,14.3,38200.0
2017-08-02,14.2,14.2,14.2,14.2,7722.0
2017-08-03,14.2,14.4,14.2,14.4,10700.0
2017-08-04,14.3,14.3,14.3,14.3,0.0
2017-08-07,14.3,14.3,14.3,14.3,9000.0
2017-08-08,14.3,14.3,14.1,14.1,15900.0
2017-08-09,14.0,14.0,13.9,13.9,16100.0
2017-08-10,13.9,13.9,13.9,13.9,430.0
2017-08-11,13.9,14.0,13.8,14.0,13900.0
2017-08-14,13.9,13.9,13.9,13.9,0.0
2017-08-15,13.9,13.9,13.9,13.9,0.0
2017-08-16,13.9,13.9,13.9,13.9,0.0
2017-08-17,13.8,14.0,13.7,13.9,12100.0
2017-08-18,13.8,13.8,13.7,13.7,1500.0
2017-08-21,13.8,13.8,13.7,13.7,2400.0
2017-08-22,13.7,13.7,13.7,13.7,7800.0
2017-08-23,13.7,13.8,13.7,13.8,12400.0
2017-08-24,13.7,13.7,13.7,13.7,5000.0
2017-08-25,13.7,13.7,13.7,13.7,5500.0
2017-08-28,15.0,15.0,13.7,13.8,8110.0
2017-08-29,13.8,13.8,13.8,13.8,0.0
2017-08-30,13.9,14.0,13.9,14.0,6600.0
2017-08-31,13.9,14.0,13.7,13.8,26500.0
2017-09-01,14.0,14.0,13.9,14.0,7400.0
2017-09-05,13.9,13.9,13.8,13.8,1110.0
2017-09-06,13.8,13.9,13.8,13.8,600.0
2017-09-07,14.0,14.0,14.0,14.0,100.0
2017-09-08,14.0,14.0,14.0,14.0,3450.0
2017-09-12,14.0,14.0,14.0,14.0,28215.0
2017-09-13,14.0,14.0,14.0,14.0,1014.0
2017-09-14,14.0,14.0,14.0,14.0,11719.0
2017-09-15,14.1,14.1,14.0,14.0,8000.0
2017-09-18,14.8,14.8,14.5,14.5,6000.0
2017-09-19,14.5,14.5,14.2,14.2,5100.0
2017-09-20,14.5,14.5,14.5,14.5,3500.0
2017-09-21,14.6,14.6,14.6,14.6,100.0
2017-09-22,14.6,14.6,14.6,14.6,0.0
2017-09-25,14.1,14.1,14.1,14.1,600.0
2017-09-26,14.6,14.6,14.1,14.1,3560.0
2017-09-27,14.1,14.2,13.9,14.0,14710.0
2017-09-28,14.0,14.0,14.0,14.0,5410.0
2017-09-29,14.0,14.0,14.0,14.0,0.0
2017-10-02,14.0,14.0,14.0,14.0,8000.0
2017-10-03,14.0,14.0,14.0,14.0,5400.0
2017-10-04,14.0,14.0,14.0,14.0,2000.0
2017-10-05,14.0,14.0,14.0,14.0,0.0
2017-10-06,14.0,14.0,14.0,14.0,0.0
2017-10-09,15.0,15.0,14.5,14.5,1600.0
2017-10-10,14.0,14.5,14.0,14.5,2930.0
2017-10-11,14.4,14.4,14.4,14.4,5100.0
2017-10-12,14.4,14.4,14.0,14.0,2900.0
2017-10-13,14.6,14.6,14.6,14.6,207.0
2017-10-16,14.5,14.5,14.3,14.3,9000.0
2017-10-17,14.4,14.4,14.4,14.4,0.0
2017-10-18,14.3,14.3,14.3,14.3,520.0
2017-10-19,14.3,14.5,14.3,14.5,2000.0
2017-10-20,14.4,14.4,14.4,14.4,100.0
2017-10-23,14.4,14.4,14.1,14.1,2100.0
2017-10-24,14.0,14.1,14.0,14.0,13000.0
2017-10-25,14.0,14.0,13.8,13.8,16200.0
2017-10-26,14.0,14.2,14.0,14.2,900.0
2017-10-27,14.1,14.1,13.6,13.6,200.0
2017-10-30,14.0,14.0,14.0,14.0,2230.0
2017-10-31,14.0,14.3,14.0,14.1,2900.0
2017-11-01,14.1,14.1,14.1,14.1,23000.0
2017-11-02,14.0,14.0,13.9,13.9,10000.0
2017-11-03,13.9,13.9,13.9,13.9,3000.0
2017-11-06,13.9,13.9,13.9,13.9,0.0
2017-11-07,14.0,14.0,14.0,14.0,10000.0
2017-11-08,14.0,14.0,14.0,14.0,13700.0
2017-11-09,14.5,14.5,13.6,13.6,6400.0
2017-11-10,13.8,13.8,13.8,13.8,0.0
2017-11-13,13.9,13.9,13.8,13.8,17400.0
2017-11-14,14.0,14.0,13.5,13.5,4300.0
2017-11-15,13.7,13.7,13.7,13.7,0.0
2017-11-16,13.7,13.7,13.7,13.7,3800.0
2017-11-17,14.0,14.0,14.0,14.0,9930.0
2017-11-20,14.0,14.0,14.0,14.0,2800.0
2017-11-21,14.0,14.1,14.0,14.0,8300.0
2017-11-22,14.0,14.0,14.0,14.0,2200.0
2017-11-23,14.5,14.5,14.0,14.0,5500.0
2017-11-24,14.0,14.0,13.9,13.9,31011.0
2017-11-27,13.8,14.0,12.3,14.0,22601.0
2017-11-28,14.0,14.0,13.7,14.0,5600.0
2017-11-29,14.0,14.0,14.0,14.0,12000.0
2017-11-30,13.9,14.0,13.8,14.0,22000.0
2017-12-01,14.0,14.0,13.9,14.0,14601.0
2017-12-04,14.2,14.2,13.9,14.0,53800.0
2017-12-05,14.0,14.0,13.9,13.9,33800.0
2017-12-06,13.9,14.0,13.9,14.0,31806.0
