date,open,high,low,close,klgdkl
2015-05-11,21.5,22.6,21.5,22.6,20812.0
2015-10-26,21.7,21.7,18.5,21.7,18200.0
2015-10-27,20.0,20.0,20.0,20.0,3500.0
2015-10-28,18.9,18.9,17.1,17.3,31900.0
2015-10-29,17.3,18.9,17.2,18.2,20300.0
2015-10-30,17.6,19.0,17.6,18.5,19500.0
2015-11-02,18.6,18.9,17.4,18.3,8200.0
2015-11-03,18.3,19.0,18.1,19.0,56900.0
2015-11-04,19.1,21.0,19.0,20.1,70000.0
2015-11-05,21.5,22.6,21.5,22.6,20812.0
2015-11-06,24.5,25.6,23.0,23.8,75488.0
2015-11-09,24.2,24.2,20.6,24.2,135200.0
2015-11-10,24.3,24.3,20.2,21.0,63600.0
2015-11-11,19.3,21.4,19.2,21.0,65707.0
2015-11-12,21.0,22.5,20.9,22.0,84303.0
2015-11-13,22.0,22.7,21.6,22.6,148800.0
2015-11-16,22.1,22.7,20.6,21.7,14000.0
2015-11-17,21.9,22.3,21.5,21.8,30300.0
2015-11-18,21.5,21.9,20.0,20.9,178600.0
2015-11-19,21.3,21.3,20.1,20.8,94000.0
2015-11-20,20.0,20.7,19.0,20.3,126700.0
2015-11-23,20.3,21.0,20.0,20.9,66850.0
2015-11-24,20.0,21.5,20.0,21.0,140402.0
2015-11-25,20.8,21.5,20.6,21.4,109200.0
2015-11-26,21.2,22.0,21.2,21.5,77008.0
2015-11-27,21.6,21.6,21.3,21.4,59100.0
2015-11-30,21.2,21.3,20.8,20.9,96200.0
2015-12-01,21.3,21.5,20.8,20.9,29100.0
2015-12-02,20.8,20.9,20.3,20.4,103300.0
2015-12-03,20.5,20.6,20.4,20.5,45600.0
2015-12-04,20.4,20.5,20.1,20.3,58300.0
2015-12-07,20.2,20.2,19.8,19.8,57400.0
2015-12-08,19.9,20.1,19.5,20.0,114600.0
2015-12-09,19.8,20.6,19.6,20.4,133103.0
2015-12-10,20.3,20.6,20.1,20.2,72700.0
2015-12-11,20.0,20.3,20.0,20.3,84500.0
2015-12-14,20.1,20.3,20.1,20.2,79200.0
2015-12-15,20.0,20.3,19.8,20.3,59900.0
2015-12-16,20.3,21.0,20.1,20.4,97600.0
2015-12-17,20.4,20.7,20.3,20.7,469200.0
2015-12-18,20.5,20.5,19.0,20.3,143102.0
2015-12-21,19.8,19.9,18.5,19.9,340600.0
2015-12-22,19.0,19.3,18.3,18.8,377300.0
2015-12-23,18.1,18.4,16.0,17.8,569600.0
2015-12-24,16.8,19.8,16.0,19.6,1135600.0
2015-12-25,19.7,20.0,17.7,19.5,122574700.0
2015-12-28,20.2,20.4,19.2,20.4,1884100.0
2015-12-29,21.0,21.0,19.9,20.3,1055500.0
2015-12-30,20.0,21.5,19.3,21.5,5716150.0
2015-12-31,22.0,23.2,21.5,23.0,1996310.0
2016-01-04,23.5,23.5,21.5,22.4,4515450.0
2016-01-05,22.4,22.5,21.8,22.3,1693845.0
2016-01-06,22.2,24.0,22.2,23.9,1517316.0
2016-01-07,23.9,24.8,23.3,24.5,1717369.0
2016-01-08,24.3,24.5,23.8,24.3,1093280.0
2016-01-11,24.0,24.0,22.5,23.0,2196300.0
2016-01-12,23.0,23.6,22.4,23.3,817620.0
2016-01-13,23.0,23.6,23.0,23.4,1098024.0
2016-01-14,23.0,23.2,22.5,23.0,1583200.0
2016-01-15,23.0,23.1,22.8,23.0,534600.0
2016-01-18,22.5,22.6,21.8,22.5,1165082.0
2016-01-19,22.1,22.8,22.1,22.7,430000.0
2016-01-20,23.0,23.1,22.4,22.6,1278100.0
2016-01-21,22.7,23.5,22.5,23.5,814030.0
2016-01-22,23.6,24.6,23.6,24.5,1088160.0
2016-01-25,24.7,26.2,24.5,26.0,1299888.0
2016-01-26,25.0,26.4,25.0,25.5,946060.0
2016-01-27,25.8,26.2,25.2,25.6,852380.0
2016-01-28,25.6,25.6,24.6,24.8,728330.0
2016-01-29,24.7,24.7,24.1,24.4,986380.0
2016-02-01,24.5,24.5,23.7,23.8,740100.0
2016-02-02,23.6,24.0,23.2,23.7,1130300.0
2016-02-03,23.5,23.6,23.2,23.5,381100.0
2016-02-04,23.8,24.0,23.6,23.6,135400.0
2016-02-05,23.8,24.2,23.7,24.2,142900.0
2016-02-15,23.9,24.2,23.6,23.6,255708.0
2016-02-16,23.5,24.3,23.5,24.1,371000.0
2016-02-17,24.3,24.7,23.9,24.5,502800.0
2016-02-18,24.7,25.7,24.6,25.4,628848.0
2016-02-19,25.3,25.5,24.6,24.6,470100.0
2016-02-22,24.8,25.0,24.4,24.5,454800.0
2016-02-23,24.5,24.5,23.8,24.1,748210.0
2016-02-24,24.5,24.7,23.9,24.3,313800.0
2016-02-25,24.5,24.5,23.8,23.8,521700.0
2016-02-26,23.7,24.0,23.6,24.0,376900.0
2016-02-29,23.9,24.0,23.8,23.9,242300.0
2016-03-01,24.0,24.5,23.8,24.2,771600.0
2016-03-02,24.2,24.9,24.2,24.7,563500.0
2016-03-03,24.8,25.2,24.8,24.8,623700.0
2016-03-04,24.9,25.0,24.1,24.3,899600.0
2016-03-07,24.0,24.0,22.3,23.2,1282800.0
2016-03-08,23.2,23.7,23.2,23.3,534800.0
2016-03-09,23.1,25.0,23.1,23.6,395900.0
2016-03-10,23.5,24.0,23.4,24.0,537350.0
2016-03-11,23.9,23.9,23.7,23.7,337638.0
2016-03-14,23.7,23.9,23.5,23.9,379100.0
2016-03-15,23.7,24.2,23.6,24.0,208510.0
2016-03-16,24.0,24.1,23.7,23.8,227600.0
2016-03-17,23.9,24.4,23.8,24.3,537800.0
2016-03-18,24.4,24.6,24.0,24.2,261500.0
2016-03-21,24.3,24.4,24.2,24.2,272500.0
2016-03-22,24.3,25.0,24.3,24.7,1286900.0
2016-03-23,24.8,26.8,24.8,26.1,1660850.0
2016-03-24,27.0,27.3,26.1,26.5,1396650.0
2016-03-25,26.5,26.5,25.3,25.9,914230.0
2016-03-28,25.9,26.8,25.9,26.7,2003930.0
2016-03-29,27.5,27.5,26.7,26.9,2006390.0
2016-03-30,27.0,27.0,26.1,26.2,1137710.0
2016-03-31,26.4,26.4,25.4,25.5,1371400.0
2016-04-01,25.1,25.3,24.4,24.6,943700.0
2016-04-04,24.6,24.8,24.2,24.3,601100.0
2016-04-05,24.5,25.1,24.5,24.8,623200.0
2016-04-06,24.5,24.5,23.8,24.4,779200.0
2016-04-07,24.4,24.7,24.3,24.6,903820.0
2016-04-08,24.8,24.9,24.3,24.4,473500.0
2016-04-11,24.7,24.7,24.2,24.2,420500.0
2016-04-12,24.2,24.5,24.1,24.3,433400.0
2016-04-13,24.4,24.4,23.7,23.7,648000.0
2016-04-14,23.7,24.4,23.7,23.9,583568.0
2016-04-15,24.0,24.2,23.9,23.9,446700.0
2016-04-19,24.0,24.0,23.3,23.4,534600.0
2016-04-20,23.7,23.7,23.1,23.4,399800.0
2016-04-21,23.5,23.5,23.2,23.3,222220.0
2016-04-22,23.5,23.6,23.2,23.3,228700.0
2016-04-25,23.8,23.9,23.3,23.3,742700.0
2016-04-26,23.5,23.5,23.0,23.1,457410.0
2016-04-27,23.1,23.5,23.0,23.4,773710.0
2016-04-28,23.4,24.4,23.4,24.2,687610.0
2016-04-29,24.4,24.5,24.0,24.2,476710.0
2016-05-04,23.8,24.1,23.8,23.8,286270.0
2016-05-05,23.8,24.1,23.6,23.6,750300.0
2016-05-06,23.8,23.9,23.4,23.5,525000.0
2016-05-09,23.5,23.8,23.2,23.3,489330.0
2016-05-10,23.1,23.3,23.1,23.3,258800.0
2016-05-11,23.0,23.6,23.0,23.5,307660.0
2016-05-12,23.7,23.7,23.4,23.4,106540.0
2016-05-13,23.6,23.6,23.2,23.2,243600.0
2016-05-16,23.5,23.5,23.0,23.3,211400.0
2016-05-17,23.3,23.3,23.2,23.3,208610.0
2016-05-18,23.2,23.3,23.1,23.3,273900.0
2016-05-19,23.2,23.3,23.1,23.2,110000.0
2016-05-20,23.1,23.2,23.1,23.2,149500.0
2016-05-23,23.2,23.3,23.0,23.0,282970.0
2016-05-24,23.1,23.2,22.7,22.9,550900.0
2016-05-25,23.1,23.2,23.0,23.1,769600.0
2016-05-26,23.2,23.3,22.9,23.1,211100.0
2016-05-27,23.0,23.0,22.7,22.8,293600.0
2016-05-30,22.8,22.9,22.7,22.8,531050.0
2016-05-31,22.8,23.4,22.7,23.4,937000.0
2016-06-01,23.5,23.9,23.5,23.7,666000.0
2016-06-02,23.6,24.5,23.4,24.4,1271940.0
2016-06-03,24.5,25.0,24.5,24.6,1256700.0
2016-06-06,24.5,24.5,23.5,24.2,899500.0
2016-06-07,24.1,24.4,23.8,24.3,974500.0
