date,open,high,low,close,klgdkl
2010-01-04,35.2,36.9,35.2,36.9,95520.0
2010-01-05,38.0,38.0,37.0,38.0,194650.0
2010-01-06,36.4,38.0,36.4,37.4,25180.0
2010-01-07,36.9,38.0,36.9,37.4,64310.0
2010-01-08,38.0,38.0,35.7,35.7,31150.0
2010-01-11,35.7,36.8,35.1,36.8,8120.0
2010-01-12,35.6,35.7,35.0,35.0,39700.0
2010-01-13,34.0,35.9,33.3,35.9,62250.0
2010-01-14,35.5,36.0,35.0,35.9,31200.0
2010-01-15,35.9,35.9,34.3,34.3,19140.0
2010-01-18,32.8,34.0,32.8,33.2,24720.0
2010-01-19,33.2,33.9,33.2,33.9,27850.0
2010-01-20,34.0,35.3,33.3,33.5,20970.0
2010-01-21,33.1,33.3,32.3,32.3,46820.0
2010-01-22,32.8,32.8,31.1,32.3,22130.0
2010-01-25,32.0,32.3,32.0,32.3,36910.0
2010-01-26,32.5,33.5,32.5,33.5,65460.0
2010-01-27,33.2,33.5,33.1,33.3,34990.0
2010-01-28,32.6,33.3,32.6,32.6,25230.0
2010-01-29,32.5,33.8,32.4,33.8,25810.0
2010-02-01,33.1,33.5,32.6,33.3,15220.0
2010-02-02,34.2,34.4,33.7,34.2,100890.0
2010-02-03,35.2,35.8,34.3,35.8,120890.0
2010-02-04,35.2,35.8,34.9,35.3,91860.0
2010-02-05,34.4,35.4,34.4,34.5,74500.0
2010-02-08,33.9,34.4,33.3,34.4,64780.0
2010-02-09,33.6,33.9,33.6,33.7,22860.0
2010-02-10,34.8,34.8,33.7,33.8,26120.0
2010-02-11,34.4,35.0,33.8,35.0,58660.0
2010-02-12,35.0,35.5,35.0,35.2,11410.0
2010-02-22,36.0,36.0,35.0,35.5,8450.0
2010-02-23,34.5,34.5,34.0,34.0,49120.0
2010-02-24,33.9,34.0,33.8,33.8,28000.0
2010-02-25,34.1,34.1,33.8,33.8,89380.0
2010-02-26,34.5,35.0,33.8,34.0,156780.0
2010-03-01,34.9,35.7,34.4,34.8,138510.0
2010-03-02,34.8,35.6,34.8,35.1,89140.0
2010-03-03,35.4,36.0,35.4,36.0,206900.0
2010-03-04,36.0,36.8,35.7,36.5,330360.0
2010-03-05,36.5,36.7,36.1,36.3,156820.0
2010-03-08,36.3,37.5,36.3,36.9,140180.0
2010-03-09,36.3,38.7,36.0,38.7,576020.0
2010-03-10,38.7,39.8,38.5,38.7,257170.0
2010-03-11,38.2,39.0,37.9,38.2,125690.0
2010-03-12,38.2,38.4,37.5,38.0,200410.0
2010-03-15,38.4,38.4,37.7,38.1,170310.0
2010-03-16,37.3,38.1,37.1,37.1,301710.0
2010-03-17,37.1,37.8,37.0,37.1,191410.0
2010-03-18,37.5,37.5,36.6,37.4,112560.0
2010-03-19,37.4,37.9,37.2,37.4,55760.0
2010-03-22,37.1,37.8,37.0,37.4,64070.0
2010-03-23,37.4,37.4,36.7,36.7,92470.0
2010-03-24,36.9,38.2,36.8,38.0,155340.0
2010-03-25,38.5,39.9,38.0,39.9,575660.0
2010-03-26,40.0,40.1,39.0,39.7,120960.0
2010-03-29,39.3,41.6,39.3,41.6,384020.0
2010-03-30,43.5,43.5,41.8,42.0,522230.0
2010-03-31,42.0,42.0,40.0,40.0,333750.0
