date,open,high,low,close,klgdkl
2010-01-04,29.0,29.7,29.0,29.7,123090.0
2010-01-05,31.0,31.0,29.2,30.0,269950.0
2010-01-06,30.0,31.0,29.6,30.0,280980.0
2010-01-07,30.6,31.5,30.1,31.5,133090.0
2010-01-08,33.0,33.0,30.0,30.0,244760.0
2010-01-11,30.5,30.5,28.7,30.0,95220.0
2010-01-12,30.0,30.0,28.5,28.5,141060.0
2010-01-13,27.5,29.2,27.1,29.2,216650.0
2010-01-14,28.5,29.7,28.0,28.3,56510.0
2010-01-15,28.5,28.5,27.5,28.1,46810.0
2010-01-18,27.1,27.2,26.7,26.7,92570.0
2010-01-19,27.8,27.8,26.3,27.0,42330.0
2010-01-20,27.4,27.4,26.0,26.0,33610.0
2010-01-21,26.0,26.5,24.7,24.7,83350.0
2010-01-22,24.0,25.0,24.0,24.6,63860.0
2010-01-25,25.0,25.8,24.6,25.2,29030.0
2010-01-26,26.2,26.4,26.2,26.4,59220.0
2010-01-27,26.4,26.5,25.8,25.8,35170.0
2010-01-28,25.0,25.5,24.8,24.8,44310.0
2010-01-29,24.5,25.4,24.5,24.5,61910.0
2010-02-01,24.5,25.1,24.5,24.6,50920.0
2010-02-02,24.5,24.6,24.0,24.0,33220.0
2010-02-03,24.5,24.5,23.9,24.3,49490.0
2010-02-04,24.4,25.5,24.4,25.5,128290.0
2010-02-05,25.5,25.9,25.0,25.5,65630.0
2010-02-08,24.9,25.4,24.8,24.9,28350.0
2010-02-09,24.9,24.9,24.2,24.2,60190.0
2010-02-10,25.0,25.0,24.0,24.7,23080.0
2010-02-11,25.0,25.0,24.3,25.0,14720.0
2010-02-12,25.0,25.6,24.9,25.2,19200.0
2010-02-22,25.5,25.6,25.4,25.5,30640.0
2010-02-23,25.5,25.5,24.6,24.6,21020.0
2010-02-24,24.1,24.6,24.1,24.5,19370.0
2010-02-25,25.5,25.5,24.5,24.8,29970.0
2010-02-26,24.5,25.4,24.5,25.4,21740.0
2010-03-01,25.4,25.6,25.3,25.5,45880.0
2010-03-02,25.6,25.6,25.0,25.2,30080.0
2010-03-03,25.6,25.8,25.2,25.8,53440.0
2010-03-04,26.0,27.0,26.0,26.2,79400.0
2010-03-05,25.9,27.5,25.9,27.5,214400.0
2010-03-08,28.8,28.8,28.7,28.8,111490.0
2010-03-09,29.4,30.2,29.0,30.1,441810.0
