date,open,high,low,close,klgdkl
2010-01-04,79.5,81.5,79.5,81.5,595630.0
2010-01-05,85.5,85.5,84.0,85.0,909350.0
2010-01-06,84.0,87.0,82.5,85.5,1494670.0
2010-01-07,85.5,89.5,85.0,89.5,2634000.0
2010-01-08,90.0,92.0,85.5,85.5,1175930.0
2010-01-11,86.0,86.5,82.5,83.5,901170.0
2010-01-12,82.0,84.0,79.5,79.5,1038270.0
2010-01-13,78.5,83.0,76.0,83.0,1497710.0
2010-01-14,83.0,85.0,81.0,84.0,686900.0
2010-01-15,84.0,84.5,80.0,80.0,653850.0
2010-01-18,78.0,78.5,76.0,76.0,717870.0
2010-01-19,78.0,79.0,76.0,77.0,827590.0
2010-01-20,78.0,78.0,74.5,75.0,544480.0
2010-01-21,73.0,75.0,71.5,72.5,989980.0
2010-01-22,73.0,74.0,71.5,73.5,436140.0
2010-01-25,73.5,74.5,73.0,73.5,242650.0
2010-01-26,75.5,77.0,75.5,77.0,548510.0
2010-01-27,76.5,79.0,74.5,75.5,504980.0
2010-01-28,75.5,76.5,74.5,74.5,299550.0
2010-01-29,74.0,76.0,73.0,74.5,517840.0
2010-02-01,76.0,78.0,75.5,78.0,736940.0
2010-02-02,79.5,79.5,77.5,77.5,689270.0
2010-02-03,78.0,80.0,77.5,79.0,794100.0
2010-02-04,79.5,81.5,79.5,80.0,1156620.0
2010-02-05,80.0,81.0,78.0,79.5,1022200.0
2010-02-08,78.0,79.0,76.5,76.5,603300.0
2010-02-09,75.5,77.0,75.0,75.0,422620.0
2010-02-10,76.5,76.5,75.0,75.5,591350.0
2010-02-11,75.5,76.5,75.0,76.0,353330.0
2010-02-12,77.0,78.0,76.5,77.0,311040.0
2010-02-22,78.0,78.0,76.0,77.5,268650.0
2010-02-23,76.0,76.0,75.0,75.0,334600.0
2010-02-24,74.0,75.5,74.0,75.5,441500.0
2010-02-25,76.0,76.5,74.5,74.5,442580.0
2010-02-26,74.5,75.0,74.5,75.0,353030.0
2010-03-01,75.0,76.0,75.0,75.5,264900.0
2010-03-02,75.5,76.0,75.0,75.0,357570.0
2010-03-03,75.5,77.0,75.5,77.0,432400.0
2010-03-04,80.5,80.5,79.5,79.5,1378410.0
2010-03-05,79.5,81.0,79.5,80.0,782190.0
2010-03-08,80.0,81.5,79.5,80.5,1068740.0
2010-03-09,80.5,81.5,79.0,80.5,2216020.0
2010-03-10,81.0,84.5,81.0,84.5,3413180.0
2010-03-11,84.5,85.5,83.5,84.0,558530.0
2010-03-12,84.0,84.0,83.0,84.0,623970.0
2010-03-15,85.0,87.0,84.0,86.0,1146220.0
2010-03-16,85.0,85.5,82.0,82.0,1738480.0
2010-03-17,83.0,83.0,80.5,80.5,1218990.0
2010-03-18,81.0,83.0,80.0,83.0,705900.0
2010-03-19,82.5,83.0,81.5,82.5,599170.0
