date,open,high,low,close,klgdkl
2010-01-04,80.0,81.5,80.0,81.5,1089130.0
2010-01-05,85.5,85.5,83.5,85.5,2041850.0
2010-01-06,85.0,86.5,82.5,84.5,1258770.0
2010-01-07,84.0,85.0,82.5,82.5,1040530.0
2010-01-08,84.0,84.5,80.0,80.0,920810.0
2010-01-11,80.0,81.0,77.5,78.5,533760.0
2010-01-12,78.0,80.0,76.5,77.0,798000.0
2010-01-13,77.0,80.5,75.5,80.5,885630.0
2010-01-14,81.0,82.5,80.0,82.0,526890.0
2010-01-15,81.0,82.0,80.0,81.5,662150.0
2010-01-18,81.5,81.5,77.5,77.5,595380.0
2010-01-19,78.0,81.0,77.5,80.5,533330.0
2010-01-20,80.5,80.5,78.5,79.5,308940.0
2010-01-21,79.0,79.5,77.0,77.5,598730.0
2010-01-22,76.5,78.5,76.5,78.5,351580.0
2010-01-25,77.0,79.0,77.0,78.0,215660.0
2010-01-26,80.0,81.5,79.5,81.5,877020.0
2010-01-27,81.0,82.0,79.0,79.0,493820.0
2010-01-28,78.0,79.0,77.5,78.0,264750.0
2010-01-29,78.0,79.0,77.0,79.0,457350.0
2010-02-01,78.0,80.0,78.0,80.0,330160.0
2010-02-02,81.0,81.0,79.5,80.0,369110.0
2010-02-03,81.0,81.0,79.5,80.0,472490.0
2010-02-04,80.0,81.0,80.0,81.0,591080.0
2010-02-05,80.0,80.5,79.0,80.0,522520.0
2010-02-08,80.0,80.0,79.0,80.0,464250.0
2010-02-09,80.0,80.0,79.0,80.0,399920.0
2010-02-10,80.0,80.0,79.5,80.0,285060.0
2010-02-11,80.0,80.0,79.0,80.0,339490.0
2010-02-12,81.0,81.0,80.0,80.5,338050.0
2010-02-22,82.0,82.0,80.5,82.0,350540.0
2010-02-23,82.0,82.0,79.5,79.5,302290.0
2010-02-24,79.0,79.5,78.0,79.0,471550.0
2010-02-25,80.0,80.0,78.5,79.5,525550.0
2010-02-26,79.5,79.5,78.0,79.0,669550.0
2010-03-01,79.0,79.5,78.5,79.0,210870.0
2010-03-02,78.0,79.0,78.0,79.0,307260.0
2010-03-03,79.5,79.5,79.0,79.0,379500.0
2010-03-04,82.5,82.5,82.0,82.5,2071210.0
2010-03-05,85.0,85.0,83.0,84.0,2005500.0
2010-03-08,85.5,85.5,83.5,84.0,979520.0
2010-03-09,83.5,84.5,83.0,84.0,816130.0
2010-03-10,84.0,85.0,83.5,84.0,1562250.0
2010-03-11,84.5,86.5,84.0,86.0,1732900.0
2010-03-12,87.0,90.0,86.5,89.5,3580110.0
2010-03-15,90.5,90.5,88.0,88.5,1053590.0
2010-03-16,87.5,88.0,85.0,86.0,1187070.0
2010-03-17,87.0,87.0,85.5,85.5,1605600.0
2010-03-18,86.0,87.0,84.5,87.0,1367740.0
2010-03-19,87.5,87.5,86.5,87.0,971550.0
2010-03-22,86.5,86.5,85.0,85.5,545690.0
2010-03-23,85.0,85.5,83.5,83.5,705060.0
2010-03-24,84.5,85.0,83.5,84.0,978010.0
2010-03-25,83.0,83.5,80.5,81.0,1035220.0
2010-03-26,82.0,82.0,81.0,82.0,629350.0
2010-03-29,83.0,83.0,82.0,82.5,481600.0
2010-03-30,82.0,82.5,80.0,80.0,688660.0
2010-03-31,81.5,82.0,80.0,81.0,855440.0
2010-04-01,81.5,83.0,81.5,83.0,824690.0
2010-04-02,84.0,84.5,83.0,83.5,763000.0
2010-04-05,84.0,84.5,83.5,84.0,677880.0
2010-04-06,84.0,85.0,83.5,83.5,693190.0
2010-04-07,83.5,84.0,83.0,84.0,428880.0
2010-04-08,83.0,84.0,83.0,83.0,479550.0
2010-04-09,83.0,85.0,83.0,83.5,941370.0
2010-04-12,84.5,85.0,84.0,84.0,471140.0
2010-04-13,84.0,85.0,83.5,83.5,402720.0
2010-04-14,84.0,84.0,83.0,83.0,425980.0
2010-04-15,84.0,84.0,83.0,84.0,631510.0
2010-04-16,84.5,84.5,83.5,83.5,386510.0
2010-04-19,83.5,83.5,83.0,83.0,339850.0
2010-04-20,83.0,83.5,82.5,83.0,388840.0
2010-04-21,83.5,84.0,82.5,83.0,297890.0
2010-04-22,83.0,86.5,83.0,85.5,1558310.0
2010-04-26,86.0,86.0,84.5,84.5,852370.0
2010-04-27,84.0,85.0,84.0,85.0,765890.0
2010-04-28,85.0,85.5,84.0,85.0,674020.0
2010-04-29,85.0,85.5,84.5,84.5,515260.0
2010-05-04,85.0,86.0,84.5,85.0,846330.0
2010-05-05,84.0,85.5,84.0,84.5,489980.0
2010-05-06,84.0,84.5,83.5,84.0,406040.0
2010-05-07,82.0,82.5,80.5,81.0,1239800.0
2010-05-10,80.5,81.0,80.0,80.0,585770.0
2010-05-11,81.0,81.0,80.0,80.5,525770.0
2010-05-12,80.5,80.5,79.0,79.0,672230.0
2010-05-13,80.0,80.5,79.0,79.5,380270.0
2010-05-14,79.5,80.5,79.5,79.5,298920.0
2010-05-17,79.5,79.5,78.0,78.0,460460.0
2010-05-18,78.0,78.5,77.0,78.0,519890.0
2010-05-19,77.5,77.5,75.5,76.0,761130.0
2010-05-20,74.0,78.0,73.5,77.5,470300.0
2010-05-21,74.0,75.5,74.0,74.0,626890.0
2010-05-24,76.0,76.0,74.0,75.5,314890.0
2010-05-25,75.0,76.0,75.0,75.0,295110.0
2010-05-26,75.0,75.5,74.5,74.5,337380.0
2010-05-27,74.0,75.0,73.5,75.0,555690.0
2010-05-28,76.5,78.5,76.0,77.0,854960.0
2010-05-31,77.5,77.5,76.5,77.5,300450.0
2010-06-01,77.0,79.0,76.5,79.0,475870.0
2010-06-02,78.5,79.5,78.5,79.5,323250.0
2010-06-03,79.5,80.0,79.0,79.0,453650.0
2010-06-04,78.5,79.5,78.5,78.5,198460.0
2010-06-07,76.0,77.0,76.0,77.0,452330.0
2010-06-08,76.5,77.0,76.0,77.0,179360.0
2010-06-09,78.0,78.5,77.0,77.5,485690.0
2010-06-10,77.5,78.0,77.0,78.0,85640.0
2010-06-11,79.0,81.5,79.0,80.5,1281970.0
2010-06-14,81.5,81.5,80.5,81.5,609020.0
2010-06-15,81.5,82.0,81.0,81.5,259660.0
2010-06-16,82.5,83.0,82.0,83.0,492010.0
2010-06-17,83.5,83.5,82.0,83.0,488290.0
2010-06-18,83.5,83.5,82.0,82.5,577860.0
2010-06-21,83.5,83.5,82.5,83.0,343640.0
2010-06-22,82.5,83.0,81.5,82.0,377090.0
2010-06-23,82.0,82.0,81.5,81.5,126950.0
2010-06-24,81.5,82.0,81.0,81.0,139210.0
2010-06-25,80.5,80.5,79.0,79.0,396570.0
2010-06-28,79.0,80.5,79.0,79.5,221660.0
2010-06-29,79.5,81.0,79.5,80.0,293820.0
2010-06-30,78.0,79.5,78.0,79.5,110360.0
2010-07-01,79.0,79.5,78.5,79.0,109300.0
2010-07-02,79.0,79.0,78.5,78.5,88010.0
2010-07-05,79.5,79.5,78.5,79.5,237850.0
2010-07-06,79.5,79.5,78.5,78.5,152880.0
2010-07-07,79.5,79.5,78.0,78.0,244180.0
2010-07-08,79.5,79.5,78.0,79.5,135070.0
2010-07-09,79.0,79.5,78.5,79.5,60990.0
2010-07-12,79.5,80.0,79.0,80.0,98060.0
2010-07-13,80.5,81.0,80.0,80.5,343170.0
2010-07-14,81.0,81.0,80.0,81.0,236560.0
2010-07-15,81.0,81.5,80.5,81.0,225390.0
2010-07-16,81.0,82.0,80.5,81.5,623430.0
2010-07-19,81.5,82.0,80.5,81.5,313530.0
2010-07-20,81.5,82.0,80.5,82.0,464500.0
2010-07-21,82.0,82.0,80.5,81.5,99230.0
2010-07-22,79.5,81.0,79.5,80.5,149320.0
2010-07-23,81.0,81.0,80.0,81.0,131780.0
2010-07-26,81.0,81.0,80.0,81.0,175440.0
2010-07-27,81.0,81.5,80.5,80.5,306810.0
2010-07-28,80.0,80.5,79.5,80.5,329790.0
2010-07-29,80.0,81.0,80.0,81.0,308480.0
2010-07-30,80.5,81.5,80.0,81.5,312000.0
2010-08-02,81.0,81.0,80.0,80.0,219490.0
2010-08-03,80.5,80.5,79.5,80.5,368740.0
2010-08-04,80.0,80.0,78.5,79.0,469320.0
2010-08-05,79.5,79.5,78.5,79.0,455200.0
2010-08-06,79.0,79.5,78.0,79.0,295670.0
2010-08-09,79.0,79.0,77.5,77.5,206200.0
2010-08-10,77.0,77.0,74.0,76.5,795730.0
2010-08-11,75.0,76.5,74.0,76.0,375440.0
2010-08-12,74.5,76.0,72.5,76.0,671450.0
2010-08-13,75.0,76.0,74.0,76.0,358000.0
2010-08-16,76.0,77.5,75.5,77.5,314880.0
2010-08-17,77.0,77.0,75.0,75.0,444890.0
2010-08-18,75.0,75.5,71.5,75.0,772720.0
2010-08-19,74.5,74.5,73.5,74.0,200070.0
2010-08-20,74.0,74.0,72.5,73.5,504180.0
2010-08-23,72.5,74.0,72.5,74.0,197750.0
2010-08-24,72.0,72.5,71.0,71.0,452300.0
2010-08-25,70.0,71.0,68.0,71.0,469780.0
2010-08-26,71.0,71.5,69.5,71.0,308040.0
2010-08-27,69.0,70.5,69.0,70.5,217180.0
2010-08-30,71.5,73.5,71.5,73.5,397850.0
2010-08-31,73.5,76.5,73.5,75.5,1090450.0
2010-09-01,75.5,76.0,74.0,75.5,267240.0
2010-09-06,76.0,76.5,75.5,75.5,413330.0
2010-09-07,75.0,76.0,74.0,74.0,357400.0
2010-09-08,74.0,74.0,73.5,74.0,277640.0
2010-09-09,74.5,77.0,74.0,74.5,242770.0
2010-09-10,74.5,75.0,72.0,72.0,250240.0
2010-09-13,73.5,73.5,71.0,72.0,177040.0
2010-09-14,73.5,73.5,71.5,71.5,95250.0
2010-09-15,72.0,72.5,71.5,72.5,379860.0
2010-09-16,71.5,73.0,71.5,72.0,78030.0
2010-09-17,73.0,74.0,72.0,74.0,211890.0
2010-09-20,74.5,74.5,73.0,74.0,225490.0
2010-09-21,74.0,74.0,73.5,74.0,220920.0
2010-09-22,74.0,74.5,73.5,74.0,89750.0
2010-09-23,73.0,74.0,72.5,73.5,130460.0
2010-09-24,73.5,73.5,73.0,73.0,54220.0
2010-09-27,73.0,73.5,72.0,72.0,196000.0
2010-09-28,72.0,74.0,72.0,73.5,196480.0
2010-09-29,73.5,73.5,72.5,72.5,43310.0
2010-09-30,72.5,74.0,70.0,73.0,496330.0
2010-10-01,74.0,74.0,73.0,74.0,330180.0
2010-10-04,74.5,74.5,73.5,74.5,372080.0
2010-10-05,74.5,75.5,74.0,75.5,415180.0
2010-10-06,75.5,77.5,75.0,77.5,641100.0
2010-10-07,78.5,78.5,76.5,78.0,749760.0
2010-10-08,78.0,78.0,77.0,78.0,339390.0
2010-10-11,78.0,78.5,77.0,78.5,135380.0
2010-10-12,78.5,78.5,76.5,78.0,281220.0
