date,open,high,low,close,klgdkl
2015-03-11,48.0,48.0,47.1,47.5,123290.0
2015-03-12,44.2,48.0,44.2,44.2,179720.0
2015-03-13,44.2,44.2,41.2,41.2,19490.0
2015-03-16,38.6,39.3,38.4,38.4,39280.0
2015-03-17,35.8,36.2,35.8,35.8,50240.0
2015-03-18,35.1,37.0,35.1,37.0,40090.0
2015-03-19,37.0,37.3,37.0,37.0,340.0
2015-03-20,37.0,37.0,34.6,37.0,14970.0
2015-03-23,36.0,37.0,34.8,34.8,11730.0
2015-03-24,34.8,35.1,34.8,35.1,5670.0
2015-03-25,34.8,34.8,34.0,34.0,8350.0
2015-03-26,34.0,34.1,33.5,33.5,18890.0
2015-03-27,33.5,35.8,33.5,35.8,57030.0
2015-03-30,35.8,35.9,35.0,35.0,6550.0
2015-03-31,35.0,35.8,35.0,35.8,6190.0
2015-04-01,35.0,35.3,34.0,34.0,16090.0
2015-04-02,34.0,34.0,33.0,34.0,43080.0
2015-04-03,33.1,35.0,33.1,34.7,7360.0
2015-04-06,35.0,35.0,34.0,34.0,1050.0
2015-04-07,33.9,34.0,33.7,33.9,5270.0
2015-04-08,34.0,34.0,33.7,34.0,4040.0
2015-04-09,33.9,34.4,33.9,34.3,13610.0
2015-04-10,34.0,34.3,34.0,34.3,29320.0
2015-04-13,33.6,36.0,33.5,36.0,1690.0
2015-04-14,35.7,35.8,35.4,35.4,5510.0
2015-04-15,35.2,35.2,35.2,35.2,200.0
2015-04-16,37.5,37.5,34.0,34.5,8390.0
2015-04-17,35.8,35.8,34.5,34.5,14830.0
2015-04-20,34.0,36.8,33.5,33.5,27600.0
2015-04-21,35.0,35.5,33.5,35.5,9300.0
2015-04-22,35.0,35.5,34.5,35.5,4020.0
2015-04-23,35.5,37.0,35.0,36.5,30720.0
2015-04-24,36.4,36.5,35.5,36.4,17710.0
2015-04-27,36.0,36.0,36.0,36.0,1510.0
2015-05-04,35.9,36.0,34.5,35.0,8840.0
2015-05-05,34.7,35.0,34.6,35.0,7100.0
2015-05-06,35.0,35.0,34.0,34.0,16940.0
